gene,class,prevalence_n_cities,category,label,top_city,top_city_zh,top_share,top_lift_vs_global_mean,min_share_across_12,max_share,city_specificity_0to1,city_entropy_bits,present_cities_by_share,share_HongKong,share_Singapore,share_Amsterdam,share_CapeTown,share_Paris,share_SaoPaulo,share_MexicoCity,share_Sydney,share_Jakarta,share_Dhaka,share_NewDelhi,share_Manila,lift_HongKong,lift_Singapore,lift_Amsterdam,lift_CapeTown,lift_Paris,lift_SaoPaulo,lift_MexicoCity,lift_Sydney,lift_Jakarta,lift_Dhaka,lift_NewDelhi,lift_Manila
0,near_core_9to11cities,11,植被,树丛·灌木,SaoPaulo,圣保罗,0.0027115221,1.5470764,0.00044961735,0.0027115221,0.029866046,3.4778938,SaoPaulo|Sydney|Paris|Amsterdam|MexicoCity|NewDelhi|CapeTown|Singapore|HongKong|Manila|Jakarta,0.0013881803,0.0014880952,0.0022959184,0.001519983,0.002372449,0.0027115221,0.0020642007,0.0024617347,0.0010607993,0.00044961735,0.0019377126,0.0012818878,0.79203517,0.8490423,1.309951,0.86723606,1.353616,1.5470764,1.177743,1.4045585,0.60524587,0.25653207,1.1055744,0.7313893
1,accessory_6to8cities,7,植被,沿墙绿篱,Singapore,新加坡,0.0028125,3.078534,5.8460884e-05,0.0028125,0.15840366,3.0170913,Singapore|HongKong|Paris|SaoPaulo|NewDelhi|Dhaka|Amsterdam,0.002202381,0.0028125,0.00051977041,0.00021683673,0.0016039541,0.001178784,0.0004602466,0.00019345238,5.8460884e-05,0.00072066327,0.00077912415,0.00021683673,2.4107039,3.078534,0.56893543,0.23734729,1.7556719,1.290285,0.50378127,0.21175102,0.063990692,0.78883071,0.85282141,0.23734729
2,accessory_6to8cities,7,植被,沿墙绿篱,Jakarta,雅加达,0.0092527636,4.1468837,2.1258503e-05,0.0092527636,0.30054937,2.5075043,Jakarta|NewDelhi|Manila|Dhaka|SaoPaulo|MexicoCity|HongKong,0.0006335034,0.0004772534,0.00044217687,2.1258503e-05,0.00041985544,0.0010863095,0.0006462585,9.8852041e-05,0.0092527636,0.0015114796,0.0069621599,0.0052232143,0.28392219,0.2138944,0.19817388,0.0095275903,0.18816991,0.48685986,0.28963875,0.044303295,4.1468837,0.67741167,3.1202858,2.3409289
3,pair_specific_2cities,2,建筑立面,沿街立面,Amsterdam,阿姆斯特丹,0.0022310799,4.2001,3.1887755e-05,0.0022310799,0.23655188,2.7369329,Amsterdam|CapeTown,3.1887755e-05,0.00020514456,0.0022310799,0.0017495748,0.00027954932,0.0003082483,0.00035714286,6.5901361e-05,0.00023490646,0.00047406463,0.00025085034,0.0001860119,0.060030015,0.3861931,4.2001,3.2936468,0.52626313,0.58029014,0.67233617,0.12406203,0.44222111,0.89244622,0.47223612,0.35017509
4,regional_3to5cities,4,建筑立面,沿街立面,Sydney,悉尼,0.0017793367,3.2828894,2.1258503e-06,0.0017793367,0.22164698,2.7903664,Sydney|HongKong|SaoPaulo|Singapore,0.0015295493,0.00054315476,0.00021683673,0.00040178571,0.00019238946,0.0012436224,0.0002912415,0.0017793367,2.1258503e-06,4.2517007e-05,6.2712585e-05,0.00019876701,2.8220297,1.0021245,0.40006537,0.7412976,0.35495996,2.2944926,0.5373427,3.2828894,0.0039222095,0.07844419,0.11570518,0.36672659
5,core_universal_12cities,12,路面·道路,车行道,Singapore,新加坡,0.0040975765,1.3749443,0.0012723214,0.0040975765,0.019881566,3.5136878,Singapore|HongKong|MexicoCity|Sydney|Paris|SaoPaulo|CapeTown|Amsterdam|Jakarta|Manila|Dhaka|NewDelhi,0.0039668367,0.0040975765,0.0028497024,0.0030792942,0.003394983,0.0032110969,0.0037553146,0.003736182,0.0028018707,0.0015593112,0.0012723214,0.0020376276,1.3310745,1.3749443,0.95621935,1.033259,1.1391886,1.0774855,1.2600981,1.2536781,0.94016942,0.52322782,0.42692822,0.68372715
6,city_unique_1city,1,植被,沿墙绿篱,Amsterdam,阿姆斯特丹,0.00058779762,2.2687179,5.5272109e-05,0.00058779762,0.056059499,3.3839913,Amsterdam,0.00035926871,0.00024766156,0.00058779762,8.9285714e-05,0.00031462585,0.00027210884,0.00019026361,5.5272109e-05,0.00013286565,0.00022640306,0.0002912415,0.0003422619,1.3866667,0.95589743,2.2687179,0.34461538,1.214359,1.0502564,0.73435897,0.21333333,0.51282051,0.87384615,1.1241026,1.3210256
7,core_universal_12cities,12,建筑立面,沿街立面,Paris,巴黎,0.019757653,2.4610903,0.00052614796,0.019757653,0.1193844,3.1569739,Paris|Sydney|Amsterdam|HongKong|SaoPaulo|Jakarta|Singapore|CapeTown|MexicoCity|Manila|NewDelhi|Dhaka,0.0098352466,0.0057217262,0.011252126,0.0050297619,0.019757653,0.0097821003,0.0042251276,0.019585459,0.0064827806,0.00052614796,0.00067920918,0.0034587585,1.2251167,0.71272053,1.4016087,0.62652676,2.4610903,1.2184966,0.52629837,2.4396412,0.80752044,0.065539042,0.084604945,0.43083645
8,core_universal_12cities,12,建筑立面,住宅·楼房,Dhaka,达卡,0.0043909439,2.1473684,0.00050807823,0.0043909439,0.071593509,3.3283025,Dhaka|Jakarta|NewDelhi|Manila|MexicoCity|SaoPaulo|Amsterdam|CapeTown|Paris|Sydney|Singapore|HongKong,0.00050807823,0.00085565476,0.0013998724,0.0013116497,0.0012340561,0.0015848214,0.001860119,0.0010756803,0.0041432823,0.0043909439,0.0031462585,0.0030272109,0.24847303,0.41845354,0.68460039,0.64145549,0.60350877,0.77504873,0.90968161,0.52605588,2.0262508,2.1473684,1.5386615,1.4804418
9,accessory_6to8cities,7,建筑立面,沿街立面,HongKong,香港,0.014624787,6.6051126,0.00014243197,0.014624787,0.37923872,2.2254059,HongKong|Singapore|Amsterdam|Paris|Manila|Sydney|NewDelhi,0.014624787,0.0045216837,0.0020727041,0.0004517432,0.0015359269,0.00024978741,0.00014243197,0.00077168367,0.00021471088,0.00028380102,0.00059417517,0.0011065051,6.6051126,2.0421651,0.93611233,0.20402448,0.69368324,0.11281354,0.064327719,0.34852182,0.096971637,0.12817538,0.2683522,0.49973997
10,regional_3to5cities,3,建筑立面,住宅·楼房,Amsterdam,阿姆斯特丹,0.0036617772,5.1424306,3.8265306e-05,0.0036617772,0.32516896,2.419244,Amsterdam|Singapore|Paris,0.00043154762,0.0019302721,0.0036617772,0.00020089286,0.0012616922,0.00014455782,0.00017538265,0.00048044218,9.8852041e-05,4.7831633e-05,3.8265306e-05,7.3341837e-05,0.60604553,2.7107849,5.1424306,0.28212464,1.7718622,0.20301032,0.24629929,0.67471078,0.13882324,0.067172534,0.053738027,0.10299789
11,near_core_9to11cities,11,建筑立面,矮墙·巷弄,Dhaka,达卡,0.013174957,3.7826153,9.5663265e-05,0.013174957,0.2227042,2.7865763,Dhaka|Jakarta|NewDelhi|Manila|MexicoCity|CapeTown|Amsterdam|Paris|HongKong|SaoPaulo|Singapore,0.00078443878,0.00058992347,0.0012202381,0.0016432823,0.0011415816,0.00062287415,0.0019387755,9.5663265e-05,0.0080027636,0.013174957,0.006917517,0.0056643282,0.22521744,0.16937084,0.35033823,0.47179696,0.32775545,0.17883119,0.55663496,0.027465541,2.2976451,3.7826153,1.9860638,1.6262652
12,near_core_9to11cities,10,路面·道路,路口·人行道,SaoPaulo,圣保罗,0.0023820153,2.1241706,6.8027211e-05,0.0023820153,0.069919722,3.3343029,SaoPaulo|Manila|Paris|MexicoCity|CapeTown|Dhaka|Singapore|Jakarta|NewDelhi|Sydney,0.00035820578,0.00093856293,6.8027211e-05,0.0014264456,0.0014838435,0.0023820153,0.0014668367,0.00062606293,0.00090561224,0.00096513605,0.00089817177,0.0019377126,0.31943128,0.83696682,0.060663507,1.2720379,1.3232227,2.1241706,1.3080569,0.55829384,0.80758294,0.86066351,0.80094787,1.7279621
13,accessory_6to8cities,6,路面·道路,车行道,Jakarta,雅加达,0.0037223639,3.9227107,7.0153061e-05,0.0037223639,0.22658994,2.7726461,Jakarta|NewDelhi|Manila|Dhaka|Singapore|Amsterdam,0.00016794218,0.00077912415,0.00063137755,0.00023171769,7.0153061e-05,0.00014668367,0.00025297619,8.2908163e-05,0.0037223639,0.0014880952,0.0020716412,0.0017421344,0.17698124,0.82105853,0.66535984,0.2441893,0.073928871,0.15457855,0.26659199,0.087370484,3.9227107,1.5681882,2.183142,1.8359003
14,near_core_9to11cities,10,建筑立面,沿街立面,MexicoCity,墨西哥城,0.011878189,3.6488803,0.0001307398,0.011878189,0.21087775,2.8289737,MexicoCity|SaoPaulo|Manila|Jakarta|Paris|CapeTown|Dhaka|NewDelhi|HongKong|Sydney,0.00084289966,0.0003422619,0.0001307398,0.0018590561,0.0025127551,0.010403912,0.011878189,0.00083333333,0.0032769983,0.0017272534,0.0016645408,0.0035916241,0.25893173,0.10514,0.040162172,0.5710865,0.77189736,3.1959947,3.6488803,0.25599303,1.0066665,0.53059781,0.51133302,1.1033169
15,accessory_6to8cities,7,建筑立面,住宅·楼房,Dhaka,达卡,0.0012988946,2.1873508,0.00019876701,0.0012988946,0.05377413,3.3921843,Dhaka|Jakarta|Amsterdam|Manila|CapeTown|MexicoCity|Singapore,0.00019876701,0.00052827381,0.00081313776,0.00072704082,0.0004772534,0.00022002551,0.00058354592,0.00026466837,0.00084502551,0.0012988946,0.00037202381,0.00079719388,0.33472554,0.88961814,1.3693317,1.2243437,0.80369928,0.37052506,0.9826969,0.44570406,1.423031,2.1873508,0.62649165,1.3424821
16,unused,0,建筑立面,矮墙·巷弄,SaoPaulo,圣保罗,0.00030505952,1.8727569,4.0391156e-05,0.00030505952,0.033198326,3.4659477,,0.00012861395,0.00012967687,4.0391156e-05,0.00015306122,0.0001264881,0.00030505952,0.00021258503,0.00017219388,0.00018707483,0.00018494898,9.7789116e-05,0.00021683673,0.78955954,0.79608482,0.24796085,0.9396411,0.77650897,1.8727569,1.3050571,1.0570962,1.1484502,1.1353997,0.60032626,1.3311582
17,accessory_6to8cities,6,路面·道路,车行道,HongKong,香港,0.0025871599,3.6958117,0.00019557823,0.0025871599,0.13840713,3.0887781,HongKong|Singapore|NewDelhi|SaoPaulo|Jakarta|Manila,0.0025871599,0.0014232568,0.00031781463,0.00020620748,0.0002997449,0.00064838435,0.00025297619,0.00034757653,0.00064413265,0.00019557823,0.00088329082,0.00059417517,3.6958117,2.033152,0.45400481,0.29457168,0.42819183,0.92623054,0.36138175,0.49652031,0.9201569,0.27938757,1.2617993,0.8487916
18,accessory_6to8cities,6,路面·道路,车行道,CapeTown,开普敦,0.0053964711,5.3696457,9.247449e-05,0.0053964711,0.28738335,2.554704,CapeTown|Sydney|Paris|Amsterdam|SaoPaulo|MexicoCity,0.00020939626,0.00011054422,0.00091305272,0.0053964711,0.0010554847,0.00068346088,0.00064094388,0.0022948554,9.247449e-05,0.00020833333,0.0001434949,0.00031143707,0.20835537,0.10999471,0.90851401,5.3696457,1.050238,0.68006346,0.6377578,2.2834479,0.092014807,0.20729773,0.1427816,0.30988895
19,near_core_9to11cities,10,建筑立面,建筑·结构,NewDelhi,新德里,0.0079985119,3.6190934,0.00013392857,0.0079985119,0.16708124,2.9859825,NewDelhi|HongKong|SaoPaulo|MexicoCity|Manila|Jakarta|Dhaka|Paris|Singapore|Amsterdam,0.0043664966,0.0007514881,0.00052189626,0.00020301871,0.0007727466,0.0032153486,0.0025403912,0.00013392857,0.0020068027,0.001860119,0.0079985119,0.0021502976,1.9757124,0.34002645,0.23614284,0.091860046,0.3496453,1.4548515,1.1494529,0.060598774,0.90801972,0.84164963,3.6190934,0.97294698
20,core_universal_12cities,12,路面·道路,路肩·开阔地,Sydney,悉尼,0.014640731,1.416896,0.0046407313,0.014640731,0.013476651,3.5366492,Sydney|MexicoCity|Dhaka|SaoPaulo|Manila|CapeTown|Paris|Singapore|NewDelhi|Amsterdam|Jakarta|HongKong,0.0046407313,0.009176233,0.008522534,0.01131165,0.0096758078,0.012112032,0.012971939,0.014640731,0.0079485544,0.012225765,0.0091018282,0.01166773,0.4491192,0.88805452,0.82479105,1.0947152,0.93640221,1.1721744,1.2553941,1.416896,0.76924264,1.1831812,0.8808538,1.1291758
21,near_core_9to11cities,11,建筑立面,沿街立面,Jakarta,雅加达,0.006108631,2.643109,0.00022427721,0.006108631,0.13991018,3.0833897,Jakarta|Manila|Dhaka|NewDelhi|HongKong|MexicoCity|Singapore|SaoPaulo|CapeTown|Sydney|Amsterdam,0.0028486395,0.0010778061,0.00054846939,0.00064732143,0.00022427721,0.00083864796,0.00203125,0.00063244048,0.006108631,0.0043675595,0.0033195153,0.0050892857,1.2325617,0.46634984,0.23731412,0.28008585,0.097041239,0.36286985,0.87889008,0.27364709,2.643109,1.8897746,1.4363023,2.2020543
22,accessory_6to8cities,8,路面·道路,车行道,HongKong,香港,0.0024266582,3.8129436,6.9090136e-05,0.0024266582,0.13089008,3.1157265,HongKong|Singapore|CapeTown|Paris|SaoPaulo|Sydney|Amsterdam|MexicoCity,0.0024266582,0.00077593537,0.00053039966,0.00070471939,0.00070153061,0.00066220238,0.00051870748,0.00056547619,0.00033907313,6.9090136e-05,0.0001519983,0.00019132653,3.8129436,1.2192067,0.83340292,1.1073069,1.1022964,1.040501,0.81503131,0.88851774,0.53277662,0.1085595,0.2388309,0.3006263
23,core_universal_12cities,12,建筑立面,建筑·结构,MexicoCity,墨西哥城,0.0042878401,1.828511,0.0010352891,0.0042878401,0.046122553,3.4196149,MexicoCity|Sydney|SaoPaulo|Paris|HongKong|Manila|Singapore|NewDelhi|Amsterdam|Jakarta|Dhaka|CapeTown,0.0024255952,0.0021928146,0.0013403486,0.0010352891,0.0030548469,0.00359375,0.0042878401,0.0041294643,0.0013169643,0.001051233,0.0014455782,0.0022661565,1.0343733,0.93510614,0.57157966,0.44148976,1.3027121,1.5325225,1.828511,1.760973,0.56160761,0.44828889,0.61645388,0.96638211
24,core_universal_12cities,12,建筑立面,沿街立面,CapeTown,开普敦,0.029035927,2.1710887,0.0056048044,0.029035927,0.032674884,3.4678243,CapeTown|MexicoCity|Sydney|SaoPaulo|Paris|NewDelhi|Amsterdam|Dhaka|Manila|Jakarta|HongKong|Singapore,0.0071609269,0.0056048044,0.012572279,0.029035927,0.013326956,0.015357143,0.016353104,0.015948129,0.010143495,0.011576318,0.012611607,0.010796131,0.53544037,0.41908521,0.94006067,2.1710887,0.99648974,1.1482919,1.2227624,1.1924814,0.75845443,0.86559019,0.94300134,0.80725365
25,accessory_6to8cities,6,路面·道路,车行道,CapeTown,开普敦,0.0044951105,4.7441339,7.2278912e-05,0.0044951105,0.24801475,2.6958389,CapeTown|Sydney|Paris|Amsterdam|MexicoCity|SaoPaulo,0.00024022109,0.0001307398,0.0010703656,0.0044951105,0.0014668367,0.00057397959,0.00060905612,0.0020131803,7.2278912e-05,0.00028911565,0.00027104592,0.00013818027,0.25352903,0.13798261,1.1296625,4.7441339,1.5480976,0.60577732,0.64279705,2.1247079,0.07628307,0.30513228,0.28606151,0.14583528
