cityname,countryname,lon,lat,metadata_status,success,failed,status
Singapore,Singapore,103.81917931993215,1.3362862753765192,>0,1,0,research
Paris,France,2.367987557249957,48.82054765367776,>0,1,0,research
Amsterdam,Netherlands,4.85276802015887,52.35436657868384,>0,1,0,research
SaoPaulo,Brazil,-46.59777372716653,-23.57640760944693,>0,1,0,research
MexicoCity,Mexico,-99.105827337073,19.46063074859181,>0,1,0,research
Sydney,Australia,151.0621811526022,-33.84953454947257,>0,1,0,research
CapeTown,SouthAfrica,18.58375797191506,-33.958972657940926,>0,1,0,research
Jakarta,Indonesia,106.82887530890487,-6.368845408217798,>0,1,0,research
Dhaka,Bangladesh,90.84901935526189,23.452980444799685,>0,1,0,research
NewDelhi,India,77.22737874432603,28.596939186757194,>0,1,0,research
Manila,Philippines,120.96484772735498,14.604325329557087,>0,1,0,research
Cairo,Egypt,31.275572910319372,30.071114685686243,>0,1,0,collected_other
Kolkata,India,88.26790865291608,22.52577550954854,>0,1,0,collected_other
Seoul,SouthKorea,126.93320335524537,37.47326755904677,>0,1,0,collected_other
Karachi,Pakistan,67.09502394355655,24.90008614160309,0,0,1,failed
Mumbai,India,72.91472404477022,19.131292824984644,>0,1,0,collected_other
Bangkok,Thailand,100.55406727216676,13.770940914025863,>0,1,0,collected_other
HoChiMinhCity,Vietnam,106.71304785303526,10.851945276416737,>0,1,0,collected_other
Moscow,Russia,37.66702713832736,55.75366501763476,>0,1,0,collected_other
Lahore,Pakistan,74.28129135043906,31.527297344132506,>0,1,0,collected_other
Istanbul,Turkey,29.049837815703203,40.98549284489771,>0,1,0,collected_other
NewYorkCity,UnitedStates,-73.93943152800274,40.73149428304786,>0,1,0,collected_other
BuenosAires,Argentina,-58.56083136101984,-34.64522248903503,>0,1,0,collected_other
LosAngeles,UnitedStates,-118.00289442856575,33.98571208664144,>0,1,0,collected_other
Kinshasa,DemocraticRepublicOfTheCongo,15.336281539070262,-4.397145263660835,0,0,1,failed
Lagos,Nigeria,3.311992093921498,6.58008481262983,>0,1,0,collected_other
Osaka,Japan,135.43490768522628,34.70423613474369,>0,1,0,collected_other
Luanda,Angola,13.29932705397705,-8.915014223114197,0,0,1,failed
Lima,Peru,-77.00025438959032,-12.028013987393186,>0,1,0,collected_other
Bogota,Colombia,-74.13079896107082,4.649518303099183,>0,1,0,collected_other
London,UnitedKingdom,-0.13358494180290253,51.50496499986922,>0,1,0,collected_other
RioDeJaneiro,Brazil,-43.392610025322924,-22.838861580100847,>0,1,0,collected_other
Taipei,Taiwan,121.42134328399412,25.014997498228116,>0,1,0,collected_other
