family_id,seed_coverage,seed_11_activation_pct,seed_23_activation_pct,seed_37_activation_pct,seed_53_activation_pct,seed_71_activation_pct,mean_activation_pct,range_pp,coefficient_of_variation
stable_0014,5,0.075600,0.075200,0.076000,0.074800,0.076800,0.075680,0.002000,0.009093
stable_0500,5,0.060800,0.060000,0.063600,0.059200,0.062000,0.061120,0.004400,0.025313
stable_0321,5,0.078800,0.082000,0.079200,0.078800,0.077600,0.079280,0.004400,0.018442
stable_0002,5,0.076000,0.075200,0.073200,0.074000,0.078800,0.075440,0.005600,0.025671
stable_0169,5,0.098000,0.100000,0.102400,0.102800,0.103600,0.101360,0.005600,0.020369
stable_0132,5,0.019200,0.017200,0.023200,0.020800,0.022400,0.020560,0.006000,0.105562
stable_0277,5,0.062400,0.063600,0.060400,0.066800,0.066000,0.063840,0.006400,0.036664
stable_0024,5,0.075600,0.070000,0.072400,0.076400,0.074400,0.073760,0.006400,0.031360
stable_0537,5,0.232400,0.230800,0.237600,0.230400,0.236400,0.233520,0.007200,0.012606
stable_0655,5,0.222400,0.214800,0.218000,0.219200,0.219600,0.218800,0.007600,0.011269
stable_0196,5,0.091200,0.088800,0.086800,0.083600,0.084400,0.086960,0.007600,0.032212
stable_0415,5,0.083600,0.087200,0.083600,0.079600,0.087600,0.084320,0.008000,0.034523
stable_0048,5,0.091200,0.099600,0.099600,0.095200,0.092800,0.095680,0.008400,0.036002
stable_0275,5,0.108800,0.112000,0.113200,0.104800,0.110000,0.109760,0.008400,0.026541
stable_0362,5,0.039600,0.040400,0.044800,0.036400,0.040000,0.040240,0.008400,0.066712
stable_0701,5,0.076000,0.071200,0.068800,0.077200,0.076400,0.073920,0.008400,0.044806
stable_0094,5,0.125200,0.126400,0.117600,0.120400,0.121600,0.122240,0.008800,0.026227
stable_0217,5,0.086000,0.077200,0.082000,0.080800,0.077200,0.080640,0.008800,0.040856
stable_0131,5,0.068400,0.064400,0.068000,0.071200,0.073200,0.069040,0.008800,0.043449
stable_0176,5,0.110800,0.115200,0.113600,0.117600,0.108800,0.113200,0.008800,0.027553
stable_0284,5,0.080400,0.083200,0.078400,0.080800,0.087200,0.082000,0.008800,0.036764
stable_0150,5,0.153600,0.157600,0.162000,0.152800,0.153600,0.155920,0.009200,0.022270
stable_0410,5,0.214400,0.214800,0.220000,0.210800,0.217200,0.215440,0.009200,0.014218
stable_0067,5,0.468000,0.467600,0.458400,0.464400,0.467200,0.465120,0.009600,0.007719
stable_0339,5,0.037600,0.032400,0.039600,0.042400,0.040000,0.038400,0.010000,0.087649
stable_0379,5,0.083600,0.094800,0.093600,0.090000,0.086800,0.089760,0.011200,0.046449
stable_0388,5,0.074400,0.063200,0.064000,0.066400,0.065600,0.066720,0.011200,0.060000
stable_0010,5,0.065200,0.073200,0.068400,0.076800,0.074800,0.071680,0.011600,0.059519
stable_0678,5,0.094400,0.082400,0.089200,0.083200,0.091600,0.088160,0.012000,0.053114
stable_0559,5,0.087600,0.078800,0.091200,0.088400,0.090400,0.087280,0.012400,0.050819
stable_0084,5,0.258800,0.269600,0.257200,0.269200,0.256800,0.262320,0.012800,0.022190
stable_0092,5,0.109200,0.098000,0.108800,0.101200,0.111600,0.105760,0.013600,0.049348
stable_0062,5,0.337200,0.323200,0.331200,0.336800,0.327200,0.331120,0.014000,0.016394
stable_0431,5,0.272800,0.280400,0.278000,0.265600,0.270400,0.273440,0.014800,0.019376
stable_0654,5,0.204800,0.202400,0.201600,0.203600,0.190000,0.200480,0.014800,0.026691
stable_0681,5,0.103600,0.102000,0.116800,0.112000,0.112800,0.109440,0.014800,0.051926
stable_0458,5,0.184800,0.187200,0.179600,0.172400,0.176800,0.180160,0.014800,0.029675
stable_0301,5,0.178400,0.186400,0.190400,0.193600,0.178400,0.185440,0.015200,0.033350
stable_0220,5,0.122000,0.107600,0.106400,0.117200,0.114000,0.113440,0.015600,0.051611
stable_0261,5,0.061600,0.077200,0.066800,0.066000,0.068800,0.068080,0.015600,0.075371
stable_0482,5,0.197200,0.188000,0.203200,0.190000,0.203600,0.196400,0.015600,0.033017
stable_0547,5,0.107200,0.112800,0.118000,0.105600,0.122000,0.113120,0.016400,0.055117
stable_0552,5,0.177600,0.165600,0.177200,0.176000,0.182000,0.175680,0.016400,0.030932
stable_0088,5,0.240800,0.224000,0.229200,0.233200,0.240800,0.233600,0.016800,0.028095
stable_0440,5,0.170400,0.168800,0.178400,0.167200,0.161600,0.169280,0.016800,0.032136
stable_0000,5,0.265600,0.260400,0.268800,0.267200,0.277600,0.267920,0.017200,0.020910
stable_0065,5,0.101600,0.084000,0.096000,0.086400,0.098400,0.093280,0.017600,0.073697
stable_0206,5,0.150400,0.145600,0.149600,0.163200,0.152000,0.152160,0.017600,0.038835
stable_0034,5,0.166000,0.161200,0.174400,0.166000,0.178800,0.169280,0.017600,0.037701
stable_0686,5,0.186000,0.168000,0.178400,0.181200,0.177600,0.178240,0.018000,0.033123
