gene,class,prevalence_n_cities,category,label,top_city,top_city_zh,top_share,top_lift_vs_global_mean,min_share_across_12,max_share,city_specificity_0to1,city_entropy_bits,present_cities_by_share,share_HongKong,share_Singapore,share_Amsterdam,share_CapeTown,share_Paris,share_SaoPaulo,share_MexicoCity,share_Sydney,share_Jakarta,share_Dhaka,share_NewDelhi,share_Manila,lift_HongKong,lift_Singapore,lift_Amsterdam,lift_CapeTown,lift_Paris,lift_SaoPaulo,lift_MexicoCity,lift_Sydney,lift_Jakarta,lift_Dhaka,lift_NewDelhi,lift_Manila
0,unused,0,未使用,未使用,MexicoCity,墨西哥城,0.0002115221088435374,4.271914132379249,0.0,0.0002115221088435374,0.3081609245744168,2.480217141934311,,1.0629251700680272e-06,0.0,7.227891156462585e-05,1.594387755102041e-05,0.00014880952380952382,6.696428571428572e-05,0.0002115221088435374,3.1887755102040818e-06,2.1258503401360544e-06,1.594387755102041e-05,5.208333333333334e-05,4.251700680272109e-06,0.021466905187835422,0.0,1.4597495527728088,0.32200357781753136,3.0053667262969594,1.3524150268336317,4.271914132379249,0.06440071556350627,0.042933810375670844,0.32200357781753136,1.0518783542039356,0.08586762075134169
1,regional_3to5cities,4,区域型 3-5城,区域型 3-5城,NewDelhi,新德里,0.012134353741496599,7.816947218259629,5.314625850340136e-06,0.012134353741496599,0.5602084742324411,1.5766361280116408,CapeTown|Paris|SaoPaulo|NewDelhi,2.5510204081632654e-05,5.314625850340136e-06,5.208333333333334e-05,0.0028762755102040814,0.002423469387755102,0.0006462585034013606,3.826530612244898e-05,2.5510204081632654e-05,2.7636054421768708e-05,0.0003422619047619048,0.012134353741496599,3.082482993197279e-05,0.016433666191155494,0.0034236804564907273,0.03355206847360913,1.8528958630527816,1.5611982881597717,0.41631954350927247,0.024650499286733237,0.016433666191155494,0.017803138373751783,0.22048502139800286,7.816947218259629,0.01985734664764622
2,accessory_6to8cities,6,辅助型 6-8城,辅助型 6-8城,NewDelhi,新德里,0.0050244472789115644,4.4976213130352045,7.334183673469388e-05,0.0050244472789115644,0.24414169646613748,2.7097236740276065,SaoPaulo|MexicoCity|Jakarta|Dhaka|NewDelhi|Manila,0.00040497448979591834,7.334183673469388e-05,0.000274234693877551,0.00020939625850340137,0.00012436224489795918,0.000900297619047619,0.0008577806122448979,0.0001094812925170068,0.0013339710884353742,0.002611607142857143,0.0050244472789115644,0.00148171768707483,0.362511893434824,0.06565176022835395,0.24548049476688868,0.18744053282588014,0.11132254995242627,0.8058991436726928,0.7678401522359658,0.09800190294957184,1.1941008563273074,2.3377735490009517,4.4976213130352045,1.3263558515699336
3,core_universal_12cities,12,12城共有基因,12城共有基因,NewDelhi,新德里,0.0031143707482993196,1.6385497250442727,0.0012308673469387755,0.0031143707482993196,0.013642479829837795,3.536054722114343,HongKong|Singapore|Amsterdam|CapeTown|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Dhaka|NewDelhi|Manila,0.0019664115646258504,0.0023267431972789116,0.0012308673469387755,0.00140093537414966,0.0019749149659863945,0.0013467261904761905,0.002068452380952381,0.002266156462585034,0.001953656462585034,0.001676232993197279,0.0031143707482993196,0.001482780612244898,1.0345791779289777,1.224158821884612,0.6475906421847331,0.7370677602758879,1.0390530338335355,0.7085469288843323,1.0882654487836705,1.1922825985646381,1.027868394072141,0.8819088451859448,1.6385497250442727,0.7801286233572562
4,regional_3to5cities,3,区域型 3-5城,区域型 3-5城,Singapore,新加坡,0.0008630952380952381,2.1284403669724767,8.184523809523809e-05,0.0008630952380952381,0.0827860673826818,3.288177553572067,Singapore|Amsterdam|MexicoCity,0.00034119897959183676,0.0008630952380952381,0.0006994047619047619,0.00013499149659863946,0.00016687925170068028,0.0004230442176870748,0.0008120748299319728,0.0004102891156462585,0.0001254251700680272,0.00031887755102040814,8.184523809523809e-05,0.0004889455782312926,0.8414154652686762,2.1284403669724767,1.7247706422018343,0.3328964613368282,0.4115334207077325,1.043250327653997,2.0026212319790297,1.0117955439056354,0.3093053735255569,0.786369593709043,0.20183486238532103,1.205766710353866
5,pair_specific_2cities,2,双城特异,双城特异,Amsterdam,阿姆斯特丹,0.0032174744897959183,7.282277465918203,0.0,0.0032174744897959183,0.44959585591708096,1.973178216778789,Amsterdam|Paris,0.0001403061224489796,6.696428571428572e-05,0.0032174744897959183,0.0004730017006802721,0.0008099489795918367,0.0,0.0001445578231292517,2.232142857142857e-05,2.1258503401360544e-06,0.00019026360544217687,0.0001519982993197279,8.290816326530613e-05,0.31756214915797915,0.15156375300721733,7.282277465918203,1.0705693664795508,1.8331996792301521,0.0,0.3271852445870088,0.05052125100240577,0.0048115477145148355,0.43063352044907777,0.3440256615878107,0.18765036086607859
6,unused,0,未使用,未使用,Sydney,悉尼,0.0003985969387755102,1.8021625951141371,3.082482993197279e-05,0.0003985969387755102,0.05531539396166596,3.3866588876559662,,0.00015093537414965987,0.00014987244897959184,0.0003422619047619048,0.0001870748299319728,0.0003826530612244898,0.00023384353741496598,0.0002657312925170068,0.0003985969387755102,9.885204081632654e-05,3.082482993197279e-05,0.0002774234693877551,0.00013605442176870748,0.6824189026832199,0.6776131357629155,1.5474569483380056,0.8458149779735683,1.7300760913095714,1.0572687224669604,1.2014417300760913,1.8021625951141371,0.446936323588306,0.1393672406888266,1.2543051661994393,0.6151381657989587
7,accessory_6to8cities,7,辅助型 6-8城,辅助型 6-8城,Jakarta,雅加达,0.0014306972789115647,1.9852507374631267,9.35374149659864e-05,0.0014306972789115647,0.07312423895087794,3.322814846188485,Singapore|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Manila,0.00031356292517006803,0.0008705357142857143,0.00040072278911564626,9.35374149659864e-05,0.0011936649659863945,0.0006218112244897959,0.0012255527210884355,0.0005102040816326531,0.0014306972789115647,0.0004889455782312926,0.00032206632653061226,0.0011766581632653061,0.4351032448377581,1.2079646017699115,0.5560471976401179,0.12979351032448377,1.656342182890855,0.8628318584070795,1.7005899705014749,0.7079646017699115,1.9852507374631267,0.6784660766961652,0.4469026548672566,1.6327433628318582
8,accessory_6to8cities,7,辅助型 6-8城,辅助型 6-8城,CapeTown,开普敦,0.0022916666666666667,2.4236065573770493,8.397108843537415e-05,0.0022916666666666667,0.11441322519845709,3.1747953787981227,HongKong|Singapore|Amsterdam|CapeTown|Paris|SaoPaulo|Sydney,0.0009268707482993197,0.0013244047619047619,0.0015136054421768708,0.0022916666666666667,0.001252125850340136,0.0007727465986394558,0.0004730017006802721,0.001913265306122449,0.0002816751700680272,0.0001403061224489796,8.397108843537415e-05,0.0003730867346938775,0.9802341920374708,1.400655737704918,1.6007494145199064,2.4236065573770493,1.324215456674473,0.8172365339578455,0.5002341920374708,2.0234192037470726,0.29789227166276344,0.148384074941452,0.0888056206088993,0.39456674473067915
9,unused,0,未使用,未使用,HongKong,香港,0.00022534013605442178,4.882917466410749,3.1887755102040818e-06,0.00022534013605442178,0.22278481641356507,2.786287288148478,,0.00022534013605442178,4.67687074829932e-05,4.3579931972789114e-05,3.1887755102040818e-06,1.16921768707483e-05,4.3579931972789114e-05,1.16921768707483e-05,8.503401360544217e-06,9.566326530612244e-06,7.865646258503401e-05,3.295068027210884e-05,3.826530612244898e-05,4.882917466410749,1.013435700575816,0.944337811900192,0.0690978886756238,0.253358925143954,0.944337811900192,0.253358925143954,0.18426103646833014,0.2072936660268714,1.7044145873320538,0.7140115163147792,0.8291746641074856
