branch_id,level,n_genes,medoid_gene,branch_stability,branch_status,dominant_role,role_purity,role_entropy,stable_fraction,nuisance_fraction,city_specific_fraction,weak_fraction,mean_reliability,mean_structure,mean_nuisance_risk,median_image_support
C000,coarse,23,695,0.510035,mixed,unstable_component,0.26087,0.984152,0.347826,0.26087,0.173913,0.217391,0.353887,0.457903,0.259328,411.0
F000,fine,9,390,0.507191,mixed,rare_stable_component,0.555556,0.852792,0.666667,0.333333,0.0,0.0,0.267583,0.488885,0.325404,354.0
F030,fine,14,695,0.511863,mixed,weakly_structured,0.357143,0.962087,0.142857,0.214286,0.285714,0.357143,0.409368,0.437986,0.21685,1271.5
C001,coarse,11,106,1.0,stable_dominant,stable_structured,0.636364,0.782776,0.636364,0.0,0.272727,0.090909,0.732004,0.637282,0.000468,1142.0
F001,fine,11,106,1.0,stable_dominant,stable_structured,0.636364,0.782776,0.636364,0.0,0.272727,0.090909,0.732004,0.637282,0.000468,1142.0
C002,coarse,57,774,0.353644,nuisance_dominant,unstable_component,0.631579,0.701043,0.192982,0.631579,0.0,0.175439,0.363164,0.524709,0.639922,1334.0
F002,fine,18,335,0.527077,mixed,weakly_structured,0.5,0.806099,0.388889,0.111111,0.0,0.5,0.426631,0.523415,0.139438,985.0
F019,fine,19,751,0.208798,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.288418,0.428787,0.998926,2071.0
F050,fine,15,753,0.240529,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.287065,0.618377,0.998561,1147.0
F063,fine,5,830,0.619048,stable_dominant,stable_structured,0.8,0.721928,0.8,0.0,0.0,0.2,0.647019,0.612871,0.001536,2002.0
C003,coarse,43,624,0.539796,mixed,unstable_component,0.348837,0.825277,0.348837,0.418605,0.0,0.232558,0.494908,0.480469,0.42323,2317.0
F003,fine,15,787,0.191992,nuisance_dominant,unstable_component,0.866667,0.56651,0.0,1.0,0.0,0.0,0.299409,0.378918,0.998705,3363.0
F040,fine,14,370,0.638747,mixed,weakly_structured,0.5,0.82741,0.285714,0.214286,0.0,0.5,0.378559,0.537099,0.209577,494.0
F056,fine,14,494,0.813492,stable_dominant,stable_structured,0.785714,0.749595,0.785714,0.0,0.0,0.214286,0.820721,0.532642,0.020304,2798.5
C004,coarse,23,467,0.503211,mixed,weakly_structured,0.391304,0.858752,0.217391,0.304348,0.086957,0.391304,0.487141,0.518941,0.329517,1472.0
F004,fine,23,467,0.503211,mixed,weakly_structured,0.391304,0.858752,0.217391,0.304348,0.086957,0.391304,0.487141,0.518941,0.329517,1472.0
C005,coarse,33,285,0.693641,city_specific_dominant,city_specific_component,0.757576,0.543092,0.090909,0.060606,0.757576,0.090909,0.360356,0.644228,0.066624,352.0
F005,fine,15,117,0.589783,city_specific_dominant,city_specific_component,0.666667,0.68764,0.066667,0.066667,0.666667,0.2,0.319539,0.693103,0.081413,271.0
F026,fine,18,285,0.780189,city_specific_dominant,city_specific_component,0.833333,0.457091,0.111111,0.055556,0.833333,0.0,0.394369,0.603499,0.054301,409.5
C006,coarse,45,177,0.590915,mixed,weakly_structured,0.577778,0.799847,0.355556,0.066667,0.0,0.577778,0.490395,0.339749,0.11365,1054.0
F006,fine,12,446,0.671483,stable_dominant,stable_structured,0.666667,0.75,0.666667,0.083333,0.0,0.25,0.665477,0.336578,0.083291,1811.0
F024,fine,19,401,0.528721,mixed,weakly_structured,0.736842,0.596125,0.210526,0.052632,0.0,0.736842,0.454242,0.343957,0.138408,1054.0
F051,fine,14,274,0.606263,mixed,weakly_structured,0.642857,0.755928,0.285714,0.071429,0.0,0.642857,0.389389,0.336755,0.106073,681.5
C007,coarse,80,521,0.425933,mixed,unstable_component,0.475,0.747085,0.125,0.4875,0.0,0.3875,0.413337,0.40748,0.536826,1050.5
F007,fine,27,404,0.425687,mixed,weakly_structured,0.62963,0.950956,0.0,0.37037,0.0,0.62963,0.456169,0.351948,0.540267,1583.0
F013,fine,15,876,0.411005,mixed,weakly_structured,0.666667,0.918296,0.0,0.333333,0.0,0.666667,0.316205,0.329,0.339795,403.0
F036,fine,14,870,0.337788,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.335149,0.435507,0.946977,978.0
F046,fine,17,305,0.620953,stable_dominant,stable_structured,0.588235,0.772576,0.588235,0.176471,0.0,0.235294,0.597219,0.564612,0.176736,1657.0
F060,fine,7,244,0.161538,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.166078,0.352185,0.999966,518.0
C008,coarse,21,780,0.637229,stable_dominant,stable_structured,0.571429,0.889595,0.571429,0.238095,0.0,0.190476,0.695048,0.560172,0.214511,3231.0
F008,fine,21,780,0.637229,stable_dominant,stable_structured,0.571429,0.889595,0.571429,0.238095,0.0,0.190476,0.695048,0.560172,0.214511,3231.0
C009,coarse,15,581,0.781217,stable_dominant,rare_stable_component,0.533333,0.803114,0.933333,0.0,0.0,0.066667,0.390594,0.556653,0.037474,279.0
F009,fine,15,581,0.781217,stable_dominant,rare_stable_component,0.533333,0.803114,0.933333,0.0,0.0,0.066667,0.390594,0.556653,0.037474,279.0
C010,coarse,71,941,0.339274,nuisance_dominant,unstable_component,0.704225,0.589326,0.070423,0.704225,0.0,0.225352,0.345773,0.440927,0.700049,1262.0
F010,fine,28,1004,0.356775,mixed,weakly_structured,0.535714,0.996317,0.0,0.464286,0.0,0.535714,0.355569,0.476353,0.473502,1270.5
F016,fine,12,674,0.204044,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.271798,0.428071,0.999404,1480.0
F041,fine,19,90,0.298192,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.344532,0.386034,0.987167,1056.0
F049,fine,12,941,0.498713,nuisance_dominant,unstable_component,0.5,0.864787,0.416667,0.5,0.0,0.083333,0.398859,0.458035,0.474701,946.5
C011,coarse,37,105,0.432162,mixed,unstable_component,0.351351,0.853276,0.324324,0.351351,0.027027,0.297297,0.221093,0.497869,0.403838,275.0
F011,fine,16,846,0.367213,mixed,weakly_structured,0.625,0.954434,0.0,0.375,0.0,0.625,0.191772,0.610734,0.514955,271.5
F047,fine,21,211,0.481647,mixed,rare_stable_component,0.428571,0.806041,0.571429,0.333333,0.047619,0.047619,0.243433,0.411876,0.319178,275.0
C012,coarse,26,403,0.525409,mixed,city_specific_component,0.423077,0.765006,0.076923,0.115385,0.423077,0.384615,0.334463,0.533969,0.234825,583.5
F012,fine,8,481,0.575955,city_specific_dominant,weakly_structured,0.5,1.0,0.0,0.0,0.5,0.5,0.250993,0.724198,0.035439,207.0
F028,fine,18,403,0.502945,mixed,city_specific_component,0.388889,0.840836,0.111111,0.166667,0.388889,0.333333,0.371561,0.449423,0.323441,658.0
