group_id,canonical_gene,n_members,cross_fine,strict_collapse_candidate,stable_fraction,nuisance_fraction,mean_pair_fused,min_pair_fused
E000,252,6,True,False,0.333333,0.0,0.456112,0.128296
E001,971,5,False,True,1.0,0.0,0.625293,0.411377
E002,133,5,False,True,1.0,0.0,0.626367,0.509277
E003,309,4,False,True,1.0,0.0,0.645264,0.535645
E004,550,4,False,False,1.0,0.0,0.570394,0.267822
E005,175,4,False,False,1.0,0.0,0.601156,0.294434
E006,718,4,True,False,0.5,0.25,0.5389,0.249023
E007,557,4,False,False,1.0,0.0,0.584839,0.35083
E008,589,4,False,False,0.0,0.0,0.571126,0.377441
E009,586,3,True,False,0.666667,0.0,0.616374,0.475586
E010,21,3,False,True,0.0,1.0,0.542155,0.422607
E011,980,3,True,False,0.333333,0.666667,0.493164,0.388672
E012,218,3,True,False,0.666667,0.0,0.516927,0.486816
E013,362,3,False,True,0.666667,0.0,0.542155,0.486816
E014,171,3,False,True,0.333333,0.0,0.553467,0.422607
E015,137,3,False,True,1.0,0.0,0.623861,0.607422
E016,141,3,False,True,0.0,0.0,0.701823,0.607422
E017,199,3,False,True,0.0,0.0,0.693197,0.626465
E018,342,3,False,False,0.333333,0.0,0.552165,0.38501
E019,420,3,False,True,0.0,0.0,0.693034,0.607422
E020,361,3,False,False,1.0,0.0,0.472982,0.358398
E021,580,3,True,False,0.666667,0.0,0.55599,0.430176
E022,562,3,False,True,0.0,0.0,0.713216,0.637695
E023,731,3,False,True,1.0,0.0,0.671712,0.633789
E024,545,3,False,False,0.0,0.666667,0.485596,0.3396
E025,605,3,True,False,0.333333,0.0,0.332068,0.003773
E026,997,3,False,True,0.333333,0.333333,0.534587,0.411377
E027,758,3,False,True,1.0,0.0,0.565999,0.464111
E028,1010,3,False,False,0.0,1.0,0.553385,0.373535
E029,328,2,False,True,0.0,1.0,0.871582,0.871582
E030,10,2,False,True,0.0,1.0,0.656738,0.656738
E031,15,2,False,True,1.0,0.0,0.577148,0.577148
E032,794,2,False,True,0.0,0.5,0.660156,0.660156
E033,40,2,True,False,0.5,0.5,0.411377,0.411377
E034,43,2,False,True,0.0,1.0,0.426514,0.426514
E035,161,2,False,True,0.5,0.0,0.475586,0.475586
E036,53,2,False,True,1.0,0.0,0.671875,0.671875
E037,54,2,False,True,0.5,0.5,0.539551,0.539551
E038,58,2,False,True,0.0,0.0,0.667969,0.667969
E039,66,2,False,True,0.0,1.0,0.441406,0.441406
E040,994,2,False,True,1.0,0.0,0.547363,0.547363
E041,641,2,False,True,0.5,0.0,0.652832,0.652832
E042,826,2,False,True,1.0,0.0,0.637695,0.637695
E043,104,2,True,False,0.5,0.0,0.656738,0.656738
E044,120,2,False,True,0.0,1.0,0.434082,0.434082
E045,123,2,True,False,0.5,0.0,0.490479,0.490479
E046,124,2,False,True,1.0,0.0,0.645508,0.645508
E047,127,2,False,True,1.0,0.0,0.671875,0.671875
E048,293,2,False,True,0.5,0.0,0.69043,0.69043
E049,136,2,False,True,0.0,1.0,0.833984,0.833984
E050,922,2,False,True,1.0,0.0,0.705566,0.705566
E051,927,2,False,True,0.0,0.5,0.671875,0.671875
E052,147,2,False,True,1.0,0.0,0.604004,0.604004
E053,945,2,True,False,0.0,1.0,0.422607,0.422607
E054,155,2,False,True,0.0,0.0,0.626465,0.626465
E055,344,2,False,True,0.5,0.0,0.656738,0.656738
E056,162,2,False,True,0.0,0.0,0.675293,0.675293
E057,373,2,False,True,1.0,0.0,0.766113,0.766113
E058,173,2,True,False,0.0,0.5,0.615234,0.615234
E059,181,2,False,True,1.0,0.0,0.875488,0.875488
E060,905,2,True,False,0.5,0.0,0.479248,0.479248
E061,186,2,True,False,0.0,0.5,0.611328,0.611328
E062,200,2,False,True,1.0,0.0,0.845215,0.845215
E063,203,2,False,True,1.0,0.0,0.532227,0.532227
E064,568,2,False,True,0.0,1.0,0.679199,0.679199
E065,211,2,False,True,1.0,0.0,0.679199,0.679199
E066,571,2,False,True,0.0,1.0,0.637695,0.637695
E067,287,2,True,False,0.5,0.5,0.411377,0.411377
E068,249,2,False,True,1.0,0.0,0.675293,0.675293
E069,434,2,True,False,0.5,0.0,0.641602,0.641602
E070,1016,2,False,True,0.0,0.0,0.641602,0.641602
E071,299,2,False,True,0.0,1.0,0.48291,0.48291
E072,967,2,False,True,1.0,0.0,0.652832,0.652832
E073,887,2,False,True,1.0,0.0,0.705566,0.705566
E074,313,2,False,True,1.0,0.0,0.762207,0.762207
E075,388,2,False,True,0.0,1.0,0.860352,0.860352
E076,396,2,False,True,1.0,0.0,0.864258,0.864258
E077,414,2,False,True,1.0,0.0,0.679199,0.679199
E078,431,2,False,True,0.0,0.0,0.864258,0.864258
E079,488,2,True,False,0.0,0.5,0.418945,0.418945
E080,845,2,False,True,0.0,1.0,0.637695,0.637695
E081,494,2,False,True,1.0,0.0,0.830078,0.830078
E082,649,2,True,False,0.0,0.0,0.633789,0.633789
E083,921,2,False,True,1.0,0.0,0.671875,0.671875
E084,871,2,True,False,0.0,0.0,0.615234,0.615234
E085,552,2,False,True,1.0,0.0,0.656738,0.656738
E086,554,2,True,False,0.0,0.5,0.362305,0.362305
E087,559,2,False,True,0.0,0.0,0.547363,0.547363
E088,598,2,False,True,1.0,0.0,0.667969,0.667969
E089,1001,2,False,True,0.5,0.5,0.422607,0.422607
