gene_id,evidence_status,reliability,structure,nuisance_risk,specificity,stability_percentile,support_percentile,equivalent_group,canonical_gene
0,weak_evidence,0.150463,0.265396,0.000896,0.998821,0.593842,0.038123,,0
1,robust_specific,0.721577,0.859563,2e-05,0.940118,0.980938,0.530792,,1
2,unstable_evidence,0.235482,0.592864,0.999981,0.082602,0.076246,0.727273,,2
3,unstable_evidence,0.255109,0.554904,0.999985,0.025613,0.071359,0.912023,E029,328
4,weak_evidence,0.425978,0.577876,0.001016,0.705781,0.58651,0.309384,,4
5,weak_evidence,0.237997,0.721896,0.031666,0.967326,0.418377,0.135386,,5
6,redundant_variant,0.682782,0.285109,4.2e-05,0.109339,0.687195,0.678397,E009,586
7,supported_mixed,0.576275,0.244705,0.020225,0.063706,0.434995,0.763441,,7
8,unstable_evidence,0.478169,0.5826,0.865935,0.087076,0.318671,0.717498,,8
9,weak_evidence,0.195105,0.296351,0.0,0.997543,0.794721,0.047898,,9
10,unstable_evidence,0.133673,0.362007,1.0,0.117637,0.026882,0.664712,E030,10
11,weak_evidence,0.20399,0.399316,0.16429,0.978735,0.373412,0.111437,,11
12,weak_evidence,0.317193,0.628706,0.004504,0.916584,0.493646,0.203812,,12
13,weak_evidence,0.338172,0.243891,0.009891,0.861146,0.47654,0.23998,,13
14,supported_mixed,0.505812,0.565494,0.0,0.743045,0.872434,0.293255,,14
15,robust_structured,0.605537,0.693874,0.0,0.347598,0.794721,0.461388,E031,15
16,unstable_evidence,0.194391,0.300912,0.995995,0.947666,0.228739,0.1652,,16
17,unstable_evidence,0.159617,0.282014,0.973007,0.990027,0.286413,0.088954,,17
18,unstable_evidence,0.351031,0.392473,0.998619,0.150413,0.201369,0.611926,,18
19,robust_structured,0.717464,0.864614,0.0,0.140556,0.817693,0.629521,,19
20,unstable_evidence,0.089302,0.74666,0.999996,0.954455,0.052297,0.152493,,20
21,unstable_evidence,0.460392,0.402085,0.997158,0.013202,0.215543,0.983382,E010,21
22,unstable_evidence,0.275254,0.328283,0.999967,0.03412,0.087977,0.861193,,22
23,unstable_evidence,0.444055,0.255947,0.980239,0.084695,0.273705,0.72043,E032,794
24,unstable_evidence,0.363447,0.129684,0.998014,0.142058,0.211144,0.625611,,24
25,unstable_evidence,0.055641,0.3739,0.994629,0.999999,0.234604,0.013196,,25
26,unstable_evidence,0.258884,0.378299,0.999734,0.36579,0.147605,0.454057,,26
27,unstable_evidence,0.02823,0.276963,1.0,0.048175,0.000978,0.815249,,27
28,robust_structured,0.751807,0.757576,0.0,0.075332,0.766862,0.737048,,28
29,supported_mixed,0.515564,0.230205,0.061969,0.1225,0.402248,0.660802,,29
30,weak_evidence,0.273214,0.667155,0.16429,0.920707,0.373412,0.199902,,30
31,redundant_variant,0.535461,0.57755,0.026045,0.112911,0.425709,0.673509,E000,252
32,supported_mixed,0.758755,0.529977,0.0,0.069049,0.766862,0.750733,,32
33,supported_mixed,0.663164,0.534702,0.0,0.264204,0.855327,0.514174,,33
34,unstable_evidence,0.473798,0.418866,0.994132,0.022568,0.240469,0.933529,,34
35,weak_evidence,0.391204,0.083089,0.0,0.92938,0.794721,0.192571,,35
36,weak_evidence,0.249252,0.697296,0.061969,0.953861,0.402248,0.154448,,36
37,unstable_evidence,0.443629,0.411861,0.963062,0.107053,0.288856,0.681329,,37
38,supported_mixed,0.569362,0.485337,0.705007,0.026371,0.34653,0.935484,,38
39,supported_mixed,0.460341,0.899153,0.0,0.991712,0.980938,0.216031,,39
40,supported_mixed,0.799677,0.56305,1.1e-05,0.027296,0.707234,0.904203,E033,40
41,supported_mixed,0.664384,0.413978,0.003957,0.029673,0.499511,0.883675,,41
42,supported_mixed,0.701703,0.404855,0.0,0.277095,0.980938,0.501955,,42
43,unstable_evidence,0.470992,0.44754,0.807601,0.109484,0.327468,0.677419,E034,43
44,supported_mixed,0.575201,0.399316,0.000276,0.795393,0.618768,0.534702,,44
45,supported_mixed,0.649686,0.208863,0.003743,0.045469,0.512219,0.824047,,45
46,robust_structured,0.695563,0.6406,1e-05,0.113833,0.72043,0.671554,,46
47,redundant_variant,0.531602,0.477191,0.0,0.651773,0.855327,0.330401,E035,161
48,supported_mixed,0.625535,0.538775,1.1e-05,0.217139,0.707234,0.553275,,48
49,unstable_evidence,0.126192,0.142555,0.999999,0.56163,0.0435,0.36608,,49
50,unstable_evidence,0.079774,0.667318,1.0,0.410855,0.014663,0.434018,E011,980
51,unstable_evidence,0.121133,0.102639,1.0,0.106773,0.021505,0.682307,,51
52,weak_evidence,0.409788,0.365754,0.068104,0.423511,0.394917,0.42522,,52
53,robust_structured,0.860687,0.783806,0.0,0.033375,0.855327,0.86608,E036,53
54,weak_evidence,0.250364,0.858423,0.02184,0.994392,0.872434,0.071848,E037,54
55,unstable_evidence,0.269943,0.202998,0.999734,0.555091,0.151515,0.480938,,55
56,supported_mixed,0.504284,0.717498,0.004504,0.331651,0.493646,0.515152,,56
57,unstable_evidence,0.198859,0.216846,0.999887,0.718671,0.130499,0.30303,,57
58,weak_evidence,0.178468,0.802053,0.0,1.0,0.794721,0.040078,E038,58
59,unstable_evidence,0.172099,0.390355,0.999961,0.673556,0.092375,0.320626,,59
60,unstable_evidence,0.455792,0.777941,0.997158,0.016267,0.215543,0.963832,E010,21
61,redundant_variant,0.607016,0.733627,0.125745,0.018532,0.386608,0.953079,E012,218
62,supported_mixed,0.45282,0.791137,0.000276,0.999761,0.618768,0.331378,,62
63,redundant_variant,0.533706,0.6942,0.0,0.662002,0.872434,0.326491,E013,362
64,weak_evidence,0.446106,0.42636,0.001202,0.976485,0.576735,0.345064,,64
65,weak_evidence,0.230871,0.773542,0.0,0.995356,0.872434,0.061095,,65
66,unstable_evidence,0.440699,0.292278,0.998268,0.023204,0.2087,0.930596,E039,66
67,supported_mixed,0.574403,0.765722,0.003258,0.153652,0.524927,0.628543,,67
68,unstable_evidence,0.058521,0.545943,0.999905,0.999364,0.125122,0.02737,,68
69,weak_evidence,0.306401,0.137993,0.003743,0.934611,0.512219,0.183284,,69
70,weak_evidence,0.359917,0.387586,0.020043,0.75069,0.447703,0.289345,,70
71,weak_evidence,0.449199,0.479798,0.000112,0.719958,0.66911,0.301564,,71
72,unstable_evidence,0.193069,0.922776,0.999929,0.895173,0.114858,0.324536,,72
73,unstable_evidence,0.24842,0.52623,0.999875,0.363456,0.134897,0.457478,,73
74,weak_evidence,0.242859,0.271098,0.061969,0.960682,0.402248,0.146628,,74
75,robust_structured,0.71214,0.847996,0.0,0.22575,0.930596,0.544966,,75
76,unstable_evidence,0.427124,0.178234,0.998484,0.028794,0.205767,0.886608,,76
77,weak_evidence,0.393695,0.830075,2e-06,0.967016,0.730694,0.212121,,77
78,weak_evidence,0.3173,0.433692,0.005833,0.910627,0.485826,0.207234,,78
79,unstable_evidence,0.449593,0.648257,0.8877,0.131829,0.313783,0.644184,,79
80,unstable_evidence,0.079713,0.511567,0.998888,0.999002,0.194037,0.032747,,80
81,weak_evidence,0.337931,0.420007,0.0,0.963328,0.794721,0.143695,,81
82,weak_evidence,0.307842,0.495764,0.000539,0.951439,0.602151,0.15738,,82
83,weak_evidence,0.286331,0.291789,0.009891,0.943052,0.47654,0.172043,,83
84,supported_mixed,0.468919,0.530629,0.06184,0.229584,0.407136,0.540078,,84
85,redundant_variant,0.670415,0.842131,0.000209,0.090963,0.632454,0.710655,E040,994
86,unstable_evidence,0.194496,0.249756,0.86942,0.995142,0.317204,0.119257,,86
87,weak_evidence,0.386246,0.408602,0.000896,0.839177,0.593842,0.251222,,87
88,supported_mixed,0.617154,0.336592,4.2e-05,0.216343,0.687195,0.554252,,88
89,supported_mixed,0.571158,0.501629,0.001016,0.845383,0.58651,0.556207,,89
90,unstable_evidence,0.357662,0.504725,0.983612,0.306678,0.264907,0.482893,,90
91,supported_mixed,0.532464,0.444444,0.001881,0.268412,0.556696,0.509286,,91
92,redundant_variant,0.590252,0.759857,0.000276,0.203044,0.618768,0.56305,E041,641
93,unstable_evidence,0.202986,0.589932,0.999887,0.683854,0.130499,0.315738,,93
94,weak_evidence,0.316937,0.250733,0.233607,0.774639,0.361193,0.278104,,94
95,supported_mixed,0.48303,0.364614,0.031666,0.21165,0.418377,0.557674,,95
96,robust_structured,0.797447,0.715217,1e-05,0.029689,0.72043,0.882698,,96
