gene_id,statistical_role,granularity_level,coarse_cluster,fine_cluster,split_stability,nearest_fused_similarity,top1_patch_support,image_support,patches_per_active_image,self_adjacency_rate,spatial_morans_i,spatial_entropy,position_r2,position_effect,position_q,position_component_probability,quality_r2,quality_driver,quality_q,quality_component_probability,city_effect,city_q,city_entropy,city_specific_probability,prevalence_group,rare_probability,unstable_probability,has_equivalent_relation
0,rare_stable_component,L0,C000,F000,0.633333,0.369811,559,108,5.175926,0.381485,0.729234,0.821479,0.000145,0.061083,4.6933095892009585e-62,0.0,0.000284,good,0.5277637130171906,0.0,0.394748,2.1534187942276734e-198,0.691839,0.066095,below_threshold,0.998821,0.000896,False
1,city_specific_component,L2,C001,F001,1.0,0.807547,17525,1031,16.99806,0.614536,0.93992,0.757358,0.007646,0.079249,0.0,0.0,0.005704,good,1.2066638478344077e-15,2e-05,0.646671,0.0,0.439792,0.940118,regional_3to5,0.239795,0.0,False
2,unstable_component,L3,C002,F002,0.163944,0.403774,12612,1750,7.206857,0.415299,0.973903,0.866863,0.001862,0.046118,0.0,0.0,0.003383,good,9.079903484496984e-09,0.0,0.373061,0.0,0.755858,0.027938,accessory_6to8,0.082602,0.999981,False
3,unstable_component,L0,C003,F003,0.158867,0.611321,21458,3363,6.380613,0.298525,0.900539,0.966586,0.000824,0.023505,0.0,0.0,0.003117,good,4.762076791728201e-08,0.0,0.080095,0.0,0.986358,0.000221,core_12,0.025613,0.999985,True
4,weakly_structured,L3,C004,F004,0.63,0.418868,4578,509,8.994106,0.438565,0.954761,0.867292,0.000665,0.045755,0.0,0.0,0.000204,good,0.6885602110911071,0.0,0.191179,0.0,0.917214,0.000513,regional_3to5,0.705781,0.001016,False
5,weakly_structured,L4,C005,F005,0.5375,0.573585,4988,246,20.276423,0.595579,0.928175,0.9129,0.000466,0.036699,0.0,0.0,0.000107,good,0.8818512436282061,0.0,0.591036,0.0,0.550404,0.5155,pair_specific,0.967326,0.031666,False
6,stable_structured,L0,C006,F006,0.708333,0.532075,2497,1521,1.641683,0.06648,0.85192,0.829969,0.000672,0.062281,0.0,0.0,0.000417,good,0.3301018805396169,0.0,0.150956,4.266955278888662e-127,0.944685,0.0003,below_threshold,0.109339,4.2e-05,True
7,weakly_structured,L0,C007,F007,0.549754,0.256604,8136,2000,4.068,0.27366,0.879801,0.884544,0.001796,0.056404,0.0,0.0,0.000613,good,0.14637931026893228,0.0,0.17673,0.0,0.926876,0.000413,accessory_6to8,0.063706,0.020225,False
8,unstable_component,L2,C008,F008,0.398137,0.483019,10675,1704,6.264671,0.350351,0.94999,0.780298,0.004119,0.074554,0.0,0.0,0.001468,good,0.0014973888062313212,0.0,0.220178,0.0,0.885587,0.001248,accessory_6to8,0.087076,0.865935,False
9,rare_stable_component,L2,C009,F009,0.805556,0.418868,521,128,4.070312,0.310461,0.807044,0.742935,0.000267,0.085909,1.411011653349212e-257,0.0,0.000508,good,0.23354996425257393,0.0,0.379053,1.9372160111562135e-169,0.777215,0.021201,below_threshold,0.997543,0.0,False
10,unstable_component,L0,C010,F010,0.067677,0.316981,10382,1467,7.077028,0.32448,0.920434,0.928304,0.000988,0.037022,0.0,0.0,0.001623,good,0.000598470075542191,0.0,0.342082,0.0,0.749817,0.03015,regional_3to5,0.117637,1.0,True
11,weakly_structured,L4,C011,F011,0.489919,0.426415,3155,219,14.406393,0.544612,0.745489,0.965394,0.000116,0.023021,4.159312016546952e-29,0.0,0.000185,good,0.7268077309417974,0.0,0.275696,0.0,0.834999,0.006537,city_unique,0.978735,0.16429,False
12,weakly_structured,L4,C012,F012,0.590278,0.592453,2823,323,8.739938,0.510893,0.886322,0.890366,0.000399,0.045135,0.0,0.0,5.4e-05,good,0.9665880769454169,0.0,0.580136,0.0,0.510346,0.72844,pair_specific,0.916584,0.004504,False
13,weakly_structured,L0,C007,F013,0.569118,0.362264,2100,381,5.511811,0.335476,0.763607,0.921743,0.000186,0.035686,4.815585304995971e-120,0.0,0.001639,good,0.0005405533453588474,0.0,0.375756,0.0,0.730536,0.038624,pair_specific,0.861146,0.009891,False
