source,target,relation,score,support,q_value
3,328,equivalent_to,0.6239,2908,0.0
6,586,equivalent_to,0.4452,952,0.0
6,930,equivalent_to,0.411234,542,0.0
10,326,equivalent_to,0.430831,600,1.153034730266426e-291
15,581,equivalent_to,0.42049,352,2.8326197544383055e-301
21,60,equivalent_to,0.710077,4026,0.0
21,613,equivalent_to,0.440307,2952,0.0
23,794,equivalent_to,0.392052,660,1.2796087174216732e-273
31,401,equivalent_to,0.465198,1183,0.0
40,691,equivalent_to,0.402652,1687,0.0
43,685,equivalent_to,0.36561,724,0.0
47,161,equivalent_to,0.3962,296,7.622874627841218e-260
50,868,equivalent_to,0.412793,444,5.380915809311412e-304
50,980,equivalent_to,0.455672,536,0.0
53,593,equivalent_to,0.493559,1881,0.0
54,710,equivalent_to,0.436615,76,1.8608109935983684e-105
58,122,equivalent_to,0.467893,48,1.2179005748739188e-91
61,218,equivalent_to,0.46399,2348,0.0
61,819,equivalent_to,0.595843,2798,0.0
63,362,equivalent_to,0.363577,248,4.396993825474702e-202
66,989,equivalent_to,0.398809,1320,0.0
85,994,equivalent_to,0.440026,1033,0.0
92,641,equivalent_to,0.47952,880,0.0
99,826,equivalent_to,0.532554,2132,0.0
104,695,equivalent_to,0.548426,1558,0.0
106,883,equivalent_to,0.494112,760,0.0
116,171,equivalent_to,0.451712,977,0.0
120,405,equivalent_to,0.592623,9712,1.9378253791395394e-10
123,449,equivalent_to,0.411579,965,0.0
124,853,equivalent_to,0.55821,2615,0.0
127,951,equivalent_to,0.57513,3993,0.0
130,293,equivalent_to,0.483517,877,6.5686106391347505e-267
131,309,equivalent_to,0.564871,558,0.0
133,540,equivalent_to,0.621628,3205,0.0
136,278,equivalent_to,0.561641,1702,0.0
137,394,equivalent_to,0.516395,630,0.0
141,781,equivalent_to,0.606832,936,0.0
142,295,equivalent_to,0.534501,1337,0.0
142,435,equivalent_to,0.498345,1108,0.0
143,922,equivalent_to,0.532723,1760,0.0
144,927,equivalent_to,0.58112,1848,0.0
145,171,equivalent_to,0.52824,1299,0.0
147,747,equivalent_to,0.594164,3399,0.0
148,945,equivalent_to,0.318739,228,5.657169901742908e-148
155,564,equivalent_to,0.419062,62,8.093177265425134e-97
156,344,equivalent_to,0.479616,1148,0.0
160,309,equivalent_to,0.396494,272,4.749765901653802e-202
162,386,equivalent_to,0.566211,1233,0.0
168,373,equivalent_to,0.643211,2411,0.0
173,421,equivalent_to,0.378818,112,5.53548456943352e-138
175,355,equivalent_to,0.529299,691,0.0
175,572,equivalent_to,0.573285,916,0.0
177,401,equivalent_to,0.611786,1942,0.0
181,972,equivalent_to,0.562493,2297,0.0
182,905,equivalent_to,0.384609,249,1.805962855409199e-172
186,811,equivalent_to,0.460267,1465,0.0
199,509,equivalent_to,0.529826,72,1.0975690663898851e-121
199,645,equivalent_to,0.482037,81,5.733235375998476e-127
200,247,equivalent_to,0.517555,978,0.0
203,923,equivalent_to,0.419731,233,1.74688340580905e-260
205,568,equivalent_to,0.625178,1282,0.0
208,342,equivalent_to,0.569765,877,0.0
208,1009,equivalent_to,0.476742,550,0.0
211,477,equivalent_to,0.599477,544,0.0
218,819,equivalent_to,0.523267,2981,0.0
225,571,equivalent_to,0.435747,1641,0.0
241,287,equivalent_to,0.393448,1618,0.0
249,515,equivalent_to,0.496578,2068,0.0
252,772,equivalent_to,0.592135,770,0.0
274,434,equivalent_to,0.547492,1087,0.0
275,1016,equivalent_to,0.454226,4232,0.0
284,362,equivalent_to,0.543302,372,0.0
285,420,equivalent_to,0.584909,672,0.0
285,476,equivalent_to,0.560257,413,0.0
288,493,equivalent_to,0.51046,501,0.0
288,718,equivalent_to,0.560322,921,0.0
299,662,equivalent_to,0.399122,456,0.0
301,967,equivalent_to,0.452978,1120,0.0
304,557,equivalent_to,0.504737,190,1.1404302233712698e-281
305,887,equivalent_to,0.429311,485,1.400424e-317
309,832,equivalent_to,0.627049,574,0.0
313,961,equivalent_to,0.560408,529,0.0
341,361,equivalent_to,0.474902,395,0.0
341,584,equivalent_to,0.313186,165,2.6357592273849176e-164
364,474,equivalent_to,0.380123,166,7.222520488013068e-129
364,580,equivalent_to,0.359776,316,2.817964243498654e-270
376,388,equivalent_to,0.639573,1988,0.0
378,842,equivalent_to,0.552624,258,7.35565e-319
394,546,equivalent_to,0.447271,474,0.0
396,504,equivalent_to,0.665178,2916,0.0
401,522,equivalent_to,0.524382,1211,0.0
414,816,equivalent_to,0.586552,859,0.0
420,476,equivalent_to,0.522976,565,0.0
431,752,equivalent_to,0.450315,384,3.965058823518949e-258
432,718,equivalent_to,0.432739,860,0.0
435,550,equivalent_to,0.580809,1531,0.0
456,488,equivalent_to,0.340876,590,1.928444283649805e-207
457,845,equivalent_to,0.461402,1647,0.0
470,781,equivalent_to,0.49229,502,0.0
494,698,equivalent_to,0.663462,2531,0.0
495,681,equivalent_to,0.52014,3099,0.0
508,649,equivalent_to,0.552793,2301,0.0
509,645,equivalent_to,0.460325,57,8.872396005719135e-88
522,772,equivalent_to,0.514753,779,0.0
529,921,equivalent_to,0.49555,241,0.0
537,653,equivalent_to,0.583345,3384,0.0
537,731,equivalent_to,0.628763,3785,0.0
540,556,equivalent_to,0.621029,2964,0.0
540,681,equivalent_to,0.621407,2983,0.0
542,883,equivalent_to,0.707067,1331,0.0
545,663,equivalent_to,0.383725,429,4.700599042004642e-222
545,784,equivalent_to,0.390737,646,1.3379337926586362e-304
548,871,equivalent_to,0.403999,469,2.0224372009283525e-306
552,583,equivalent_to,0.580946,1743,0.0
554,908,equivalent_to,0.311999,417,2.495877777323556e-195
556,681,equivalent_to,0.736107,3690,0.0
557,654,equivalent_to,0.451223,227,2.286930286084506e-303
557,728,equivalent_to,0.575726,251,0.0
559,865,equivalent_to,0.424678,225,1.7921584426095165e-278
562,842,equivalent_to,0.568416,293,0.0
572,975,equivalent_to,0.576524,796,0.0
589,690,equivalent_to,0.501888,1660,0.0
598,692,equivalent_to,0.595246,1834,0.0
605,810,equivalent_to,0.402497,1837,8.743526718449439e-277
620,1001,equivalent_to,0.376218,77,3.622754881882583e-117
628,657,equivalent_to,0.415691,293,4.363807682736718e-211
629,950,equivalent_to,0.433725,520,7.802421981392882e-285
635,893,equivalent_to,0.362957,859,0.0
638,953,equivalent_to,0.450327,1526,6.1778114262571435e-263
653,731,equivalent_to,0.707931,4150,0.0
684,706,equivalent_to,0.610218,1058,0.0
690,795,equivalent_to,0.370967,875,1.2041308455021192e-221
690,1004,equivalent_to,0.489024,1621,0.0
693,982,equivalent_to,0.578384,1236,0.0
721,997,equivalent_to,0.44411,808,0.0
724,992,equivalent_to,0.488053,319,0.0
727,956,equivalent_to,0.458025,2052,0.0
730,762,equivalent_to,0.540312,2325,0.0
737,830,equivalent_to,0.431059,753,0.0
758,956,equivalent_to,0.429042,2461,0.0
759,883,equivalent_to,0.620086,1236,0.0
759,971,equivalent_to,0.542201,1418,0.0
777,997,equivalent_to,0.427382,487,0.0
802,810,equivalent_to,0.421012,1623,0.0
815,958,equivalent_to,0.455805,204,5.224312733488359e-204
828,1011,equivalent_to,0.617152,354,0.0
855,904,equivalent_to,0.420693,544,0.0
878,963,equivalent_to,0.351128,154,1.4721689701743972e-149
879,1006,equivalent_to,0.540458,688,0.0
879,1010,equivalent_to,0.342667,296,1.8607109681463827e-182
465,1,specializes,0.418244,529,0.0
1,542,specializes,0.350364,870,0.0
1,775,specializes,0.469244,936,0.0
1,971,specializes,0.596618,930,0.0
3,405,specializes,0.672015,3064,2.0868441206650876e-05
8,496,specializes,0.422252,1406,0.0
8,780,specializes,0.607668,1388,9.053179503585513e-216
9,882,specializes,0.618257,98,4.176815442486198e-104
13,765,specializes,0.642389,338,2.4764347644706805e-304
322,15,specializes,0.343367,407,0.0
661,15,specializes,0.660442,87,2.1010603384999396e-82
729,15,specializes,0.630088,135,4.614699848666146e-133
19,133,specializes,0.565393,1056,6.50951097820885e-280
19,782,specializes,0.630077,1118,2.2065939076833226e-272
19,946,specializes,0.655167,1108,1.0192900589751562e-186
28,396,specializes,0.55176,1632,0.0
28,758,specializes,0.538217,1527,0.0
232,29,specializes,0.708498,197,3.724962252108029e-160
31,177,specializes,0.441358,1311,0.0
969,31,specializes,0.294112,712,0.0
34,120,specializes,0.559602,3087,3.4209868379862755e-57
34,405,specializes,0.666018,3399,7.223944602908824e-21
999,35,specializes,0.71206,81,2.112346779663283e-135
386,38,specializes,0.548183,1044,0.0
403,38,specializes,0.639884,657,3.67402776700543e-257
39,342,specializes,0.634667,283,1.0550059220300976e-232
42,124,specializes,0.66477,773,8.798115583997218e-175
42,537,specializes,0.65236,781,8.192436640922655e-223
42,598,specializes,0.546964,745,3.058323714e-315
42,653,specializes,0.709746,865,0.0
42,731,specializes,0.779365,906,0.0
110,44,specializes,0.796996,97,4.496271437722605e-96
212,44,specializes,0.46674,362,0.0
745,44,specializes,0.824966,129,5.600327628661366e-138
783,44,specializes,0.759622,73,3.490430900651864e-67
47,53,specializes,0.622723,425,1.281661885281653e-191
48,338,specializes,0.640214,846,2.3983665834315016e-138
356,50,specializes,0.683721,75,1.8464358110502808e-75
161,53,specializes,0.636915,577,3.26824291675436e-303
222,53,specializes,0.490038,1003,0.0
269,53,specializes,0.461613,1062,0.0
736,53,specializes,0.700672,800,0.0
58,420,specializes,0.877066,108,5.664533001201003e-121
150,61,specializes,0.693973,878,0.0
67,998,specializes,0.528105,1117,0.0
69,177,specializes,0.735487,245,7.489878481101182e-113
69,401,specializes,0.684608,238,4.1741832624057483e-137
69,522,specializes,0.6088,231,2.643646093693507e-171
69,601,specializes,0.708815,240,1.110866570030921e-120
70,1004,specializes,0.63875,368,3.4732858420860477e-177
72,455,specializes,0.276151,507,0.0
248,85,specializes,0.494934,688,0.0
98,239,specializes,0.590823,1329,2.2671611939886803e-91
106,542,specializes,0.272663,884,0.0
106,775,specializes,0.353729,869,0.0
106,971,specializes,0.578443,1057,0.0
113,177,specializes,0.602175,493,5.8342566084040294e-210
115,218,specializes,0.780417,403,2.8351863914694925e-158
115,239,specializes,0.881421,430,2.931274961301005e-80
115,819,specializes,0.86075,445,6.883210076439707e-225
119,571,specializes,0.470816,1173,0.0
241,120,specializes,0.59961,2566,2.9977486114249716e-38
502,120,specializes,0.751109,1333,6.545693768333417e-36
566,120,specializes,0.432311,4590,1.4552870710882959e-123
682,120,specializes,0.808265,549,2.9012462688562957e-11
787,120,specializes,0.43949,3652,1.0765223425536596e-07
829,120,specializes,0.59554,2707,3.491196701634943e-49
874,120,specializes,0.49596,3586,9.20037378414749e-48
928,120,specializes,0.651086,1936,1.545902278475891e-23
122,420,specializes,0.923991,62,5.731867121770208e-69
475,124,specializes,0.335074,2591,0.0
692,124,specializes,0.495449,1449,5.515259918861834e-298
978,124,specializes,0.662369,1173,0.0
1015,124,specializes,0.690034,767,1.0357703119014844e-188
125,731,specializes,0.287392,2932,0.0
668,127,specializes,0.630898,929,2.6772103284017267e-103
130,239,specializes,0.581098,1636,4.00344529918792e-144
223,133,specializes,0.673758,1261,0.0
820,137,specializes,0.569302,256,4.796396164307675e-260
141,151,specializes,0.312776,1050,0.0
141,402,specializes,0.574992,1029,0.0
470,141,specializes,0.310953,572,0.0
633,141,specializes,0.766509,195,5.242801713418262e-186
142,396,specializes,0.578413,1396,0.0
142,727,specializes,0.380789,1225,0.0
142,758,specializes,0.602344,1405,0.0
567,147,specializes,0.676826,982,0.0
903,147,specializes,0.458216,2010,0.0
149,542,specializes,0.57788,700,0.0
149,759,specializes,0.534275,705,0.0
149,775,specializes,0.613638,664,0.0
149,883,specializes,0.469,696,0.0
149,971,specializes,0.743981,699,0.0
150,594,specializes,0.727629,895,0.0
150,831,specializes,0.661221,879,0.0
151,402,specializes,0.405186,1553,0.0
633,151,specializes,0.824596,195,1.2613230881192e-143
781,151,specializes,0.30743,1013,0.0
