k,silhouette,calinski_harabasz,davies_bouldin,size_entropy,size_cv,min_size,median_size,max_size,small_cluster_fraction,singleton_fraction,split_jaccard,split_ari,split_nmi
8,0.0959801971912384,31.28064450444871,2.0675367817721786,0.521977002627596,1.8205807205823779,20,34.0,742,0.0,0.0,0.4309895634651184,0.22688702353133294,0.4691245195851388
12,0.11447717249393463,33.37677245855759,2.312102918165197,0.7895307898919737,1.296483727685135,20,48.0,440,0.0,0.0,0.4807318449020386,0.443771239569027,0.6447767721616051
16,0.14055567979812622,35.53382406417665,2.0082451202866203,0.8101979058251251,1.339302687764467,15,36.0,380,0.0,0.0,0.5105212330818176,0.4694113224808912,0.7038677894960199
20,0.1723140925168991,38.095165958008096,1.810992312987355,0.8301896632919065,1.3829669758349257,14,33.5,347,0.0,0.0,0.447037011384964,0.3574475684843891,0.7090854588675084
24,0.18765789270401,40.61140520037278,1.7988904575471618,0.9281836113719839,0.753157011119486,14,33.5,135,0.0,0.0,0.46270468831062317,0.42059159873169866,0.7293765849363999
28,0.2047695517539978,42.58055079223028,1.6674448488096747,0.9567198029212506,0.5683493072561924,14,33.5,97,0.0,0.0,0.48561400175094604,0.4792645917718445,0.7641222725564333
32,0.21955876052379608,44.236137221219,1.5528047474394422,0.9647130403569615,0.5193990668310832,11,26.0,80,0.0,0.0,0.5234706401824951,0.5391600655024316,0.7868533362834147
36,0.2187008112668991,43.81936318472452,1.4854065082048153,0.9724751930567692,0.47467768927073695,11,25.5,80,0.0,0.0,0.529545783996582,0.5589025108016349,0.8018471822623865
40,0.216006800532341,43.11475239131658,1.506409649605501,0.9791970083157605,0.40976543881072985,11,23.0,63,0.0,0.0,0.5085628032684326,0.5533251230200691,0.8073717796527897
48,0.2127918004989624,41.49769867086548,1.4693480368528444,0.9868538636660626,0.3243834295629171,9,20.5,40,0.0,0.0,0.5294151902198792,0.5851203813590309,0.8266980432086053
56,0.21156629920005798,39.37769959038978,1.4844367680423007,0.9866112742252187,0.33388727572434534,8,17.0,35,0.0,0.0,0.5379865169525146,0.5922462192746081,0.8408332437502439
64,0.2112499475479126,37.35311867447753,1.476756253660168,0.9850158718118034,0.3511282039725661,4,15.0,31,0.0,0.0,0.5529992580413818,0.6155749367312106,0.8520267979903176
72,0.2077898532152176,35.61601246646092,1.4525693542461204,0.981212235031397,0.3972677375189654,4,14.0,31,0.0,0.0,0.5539942979812622,0.6197020769998844,0.8593382966811671
80,0.20576515793800354,34.16043380800958,1.4331233738093136,0.9783056823281633,0.440108018967361,4,12.0,31,0.0,0.0,0.5518791079521179,0.619052729257698,0.863465460700519
96,0.20204056799411774,31.784567271799485,1.416311026503946,0.9784254563780261,0.4533943165170909,4,10.0,25,0.0,0.0,0.5485244989395142,0.6120715200127476,0.8719108484160397
112,0.20059704780578613,29.98248630647639,1.397019970539554,0.977101555442554,0.4787348031204228,3,8.0,23,0.026785714285714284,0.0,0.5620501041412354,0.630315273250345,0.8822056463152621
128,0.20051038265228271,28.574025318057657,1.3926942516145449,0.9793800199759674,0.4595450365578982,2,7.0,21,0.0703125,0.0,0.5600031018257141,0.6195026960183254,0.8868704833534614
160,0.20036865770816803,26.244932894198254,1.349038509541995,0.9805422683239872,0.45089700095337737,2,6.0,16,0.1625,0.0,0.559664249420166,0.6144093054751893,0.8959249711808642
192,0.20293599367141724,24.527416846131267,1.2851385247371934,0.9802162627825938,0.46888019025386435,2,5.0,14,0.2708333333333333,0.0,0.5844857692718506,0.633620334235022,0.907655479719601
224,0.2084934115409851,23.211810648090633,1.224044860437386,0.979844086157319,0.49063495212836195,1,4.0,14,0.38392857142857145,0.004464285714285714,0.5941919088363647,0.6339158994502433,0.9157896127180094
256,0.2085338532924652,22.203357296839982,1.1748509499915913,0.981030957239676,0.49013709816744133,1,4.0,14,0.49609375,0.0078125,0.6164177060127258,0.6493977768241959,0.9234576819323652
