source,target,relation,score,support,q_value,child_gene,parent_gene,child_level,parent_level,level_delta,child_image_support,parent_image_support,support_ratio
1,542,specializes,0.350364,870,0.0,1,542,2,1,1,1031,1763,0.584799
1,775,specializes,0.469244,936,0.0,1,775,2,0,2,1031,2134,0.48313
3,405,specializes,0.672015,3064,2.1e-05,3,405,0,1,-1,3363,12816,0.262406
8,496,specializes,0.422252,1406,0.0,8,496,2,0,2,1704,3490,0.488252
9,882,specializes,0.618257,98,0.0,9,882,2,4,-2,128,665,0.192481
13,765,specializes,0.642389,338,0.0,13,765,0,0,0,381,1381,0.275887
19,133,specializes,0.565393,1056,0.0,19,133,2,2,0,1344,4793,0.280409
19,782,specializes,0.630077,1118,0.0,19,782,2,2,0,1344,5541,0.242555
19,946,specializes,0.655167,1108,0.0,19,946,2,2,0,1344,6547,0.205285
28,396,specializes,0.55176,1632,0.0,28,396,3,0,3,1834,4827,0.379946
28,758,specializes,0.538217,1527,0.0,28,758,3,0,3,1834,5187,0.353576
31,177,specializes,0.441358,1311,0.0,31,177,0,0,0,1497,3018,0.496024
34,120,specializes,0.559602,3087,0.0,34,120,0,1,-1,3650,10788,0.338339
34,405,specializes,0.666018,3399,0.0,34,405,0,1,-1,3650,12816,0.2848
39,342,specializes,0.634667,283,0.0,39,342,4,0,4,339,1414,0.239745
42,124,specializes,0.66477,773,0.0,42,124,0,0,0,957,5407,0.176993
42,537,specializes,0.65236,781,0.0,42,537,0,2,-2,957,4770,0.200629
42,598,specializes,0.546964,745,0.0,42,598,0,3,-3,957,3218,0.29739
42,653,specializes,0.709746,865,0.0,42,653,0,3,-3,957,4456,0.214767
47,53,specializes,0.622723,425,0.0,47,53,0,0,0,551,2860,0.192657
48,338,specializes,0.640214,846,0.0,48,338,2,3,-1,1084,6033,0.179678
58,420,specializes,0.877066,108,0.0,58,420,4,3,1,110,1031,0.106693
67,998,specializes,0.528105,1117,0.0,67,998,4,0,4,1343,3679,0.365045
69,401,specializes,0.684608,238,0.0,69,401,0,0,0,300,2189,0.137049
69,522,specializes,0.6088,231,0.0,69,522,0,3,-3,300,1433,0.209351
69,601,specializes,0.708815,240,0.0,69,601,0,0,0,300,2632,0.113982
70,1004,specializes,0.63875,368,0.0,70,1004,3,3,0,474,2674,0.177263
72,455,specializes,0.276151,507,0.0,72,455,4,0,4,538,761,0.706965
98,239,specializes,0.590823,1329,0.0,98,239,2,2,0,1744,7762,0.224684
106,542,specializes,0.272663,884,0.0,106,542,2,1,1,1142,1763,0.64776
106,775,specializes,0.353729,869,0.0,106,775,2,0,2,1142,2134,0.535145
110,44,specializes,0.796996,97,0.0,110,44,4,2,2,109,1044,0.104406
113,177,specializes,0.602175,493,0.0,113,177,0,0,0,644,3018,0.213386
115,218,specializes,0.780417,403,0.0,115,218,0,2,-2,459,4130,0.111138
115,819,specializes,0.86075,445,0.0,115,819,0,2,-2,459,4092,0.11217
119,571,specializes,0.470816,1173,0.0,119,571,3,0,3,1550,4102,0.377864
122,420,specializes,0.923991,62,0.0,122,420,4,3,1,63,1031,0.061106
125,731,specializes,0.287392,2932,0.0,125,731,0,3,-3,3537,5414,0.653306
130,239,specializes,0.581098,1636,0.0,130,239,2,2,0,2066,7762,0.266169
141,151,specializes,0.312776,1050,0.0,141,151,1,3,-2,1272,2048,0.621094
142,727,specializes,0.380789,1225,0.0,142,727,2,0,2,1609,3219,0.499845
149,542,specializes,0.57788,700,0.0,149,542,2,1,1,718,1763,0.40726
149,759,specializes,0.534275,705,0.0,149,759,2,2,0,718,1575,0.455873
149,775,specializes,0.613638,664,0.0,149,775,2,0,2,718,2134,0.336457
149,883,specializes,0.469,696,0.0,149,883,2,2,0,718,1391,0.516175
150,61,specializes,0.693973,878,0.0,150,61,2,2,0,971,4176,0.232519
150,594,specializes,0.727629,895,0.0,150,594,2,3,-1,971,4611,0.210583
150,831,specializes,0.661221,879,0.0,150,831,2,3,-1,971,3602,0.269572
151,402,specializes,0.405186,1553,0.0,151,402,3,3,0,2048,4398,0.465666
158,578,specializes,0.738822,26,0.0,158,578,4,4,0,33,530,0.062264
158,620,specializes,0.619652,27,0.0,158,620,4,4,0,33,136,0.242647
161,222,specializes,0.352547,573,0.0,161,222,0,0,0,688,1193,0.576697
170,963,specializes,0.539873,114,0.0,170,963,4,0,4,151,530,0.284906
174,996,specializes,0.486466,1591,0.0,174,996,4,0,4,1978,5005,0.395205
185,768,specializes,0.816141,91,0.0,185,768,0,0,0,107,2651,0.040362
194,789,specializes,0.561383,262,0.0,194,789,0,0,0,304,872,0.348624
198,780,specializes,0.282936,3204,0.0,198,780,2,2,0,4213,6709,0.627962
199,746,specializes,0.564285,117,0.0,199,746,4,0,4,155,614,0.252443
201,211,specializes,0.953187,47,0.0,201,211,3,3,0,47,1004,0.046813
201,477,specializes,0.914077,47,0.0,201,477,3,3,0,47,547,0.085923
203,252,specializes,0.399495,459,0.0,203,252,0,3,-3,542,1026,0.528265
203,772,specializes,0.300497,418,0.0,203,772,0,0,0,542,888,0.61036
207,396,specializes,0.764366,292,0.0,207,396,0,0,0,354,4827,0.073337
207,758,specializes,0.771196,293,0.0,207,758,0,0,0,354,5187,0.068248
208,265,specializes,0.487951,803,0.0,208,265,4,0,4,1013,2635,0.38444
209,751,specializes,0.630593,608,0.0,209,751,4,0,4,737,3128,0.235614
212,44,specializes,0.46674,362,0.0,212,44,2,2,0,445,1044,0.426245
215,819,specializes,0.464329,1349,0.0,215,819,2,2,0,1699,4092,0.4152
217,656,specializes,0.464932,1468,0.0,217,656,0,0,0,1893,4727,0.400465
218,239,specializes,0.41569,3669,0.0,218,239,2,2,0,4130,7762,0.532079
221,895,specializes,0.581452,644,0.0,221,895,0,0,0,761,2432,0.312911
222,53,specializes,0.490038,1003,0.0,222,53,0,0,0,1193,2860,0.417133
223,133,specializes,0.673758,1261,0.0,223,133,2,2,0,1346,4793,0.280826
223,495,specializes,0.573232,1115,0.0,223,495,2,0,2,1346,4370,0.308009
223,540,specializes,0.541112,1204,0.0,223,540,2,2,0,1346,3407,0.395069
223,556,specializes,0.62183,1275,0.0,223,556,2,2,0,1346,3918,0.343543
223,681,specializes,0.656852,1290,0.0,223,681,2,1,1,1346,4278,0.314633
231,274,specializes,0.639646,307,0.0,231,274,0,0,0,376,1736,0.21659
232,29,specializes,0.708498,197,0.0,232,29,4,0,4,233,1438,0.162031
241,120,specializes,0.59961,2566,0.0,241,120,2,1,1,3064,10788,0.284019
241,405,specializes,0.6971,2807,0.0,241,405,2,1,1,3064,12816,0.239076
243,837,specializes,0.523962,486,0.0,243,837,4,0,4,509,1128,0.451241
245,361,specializes,0.667083,188,0.0,245,361,3,0,3,210,824,0.254854
248,85,specializes,0.494934,688,0.0,248,85,2,4,-2,758,1667,0.454709
250,858,specializes,0.846342,137,0.0,250,858,3,0,3,151,2248,0.067171
252,565,specializes,0.470623,952,0.0,252,565,3,0,3,1026,2082,0.492795
267,159,specializes,0.642583,410,0.0,267,159,4,0,4,522,2870,0.181882
267,940,specializes,0.681628,401,0.0,267,940,4,0,4,522,4632,0.112694
269,53,specializes,0.461613,1062,0.0,269,53,3,0,3,1275,2860,0.445804
277,571,specializes,0.651036,643,0.0,277,571,4,0,4,796,4102,0.194052
279,420,specializes,0.335996,469,0.0,279,420,3,3,0,593,1031,0.57517
293,239,specializes,0.64596,1784,0.0,293,239,2,2,0,2037,7762,0.262432
295,396,specializes,0.443258,1890,0.0,295,396,1,0,1,2264,4827,0.469028
295,758,specializes,0.480638,1931,0.0,295,758,1,0,1,2264,5187,0.436476
304,860,specializes,0.626904,198,0.0,304,860,4,0,4,232,874,0.265446
314,434,specializes,0.293118,743,0.0,314,434,0,0,0,938,1489,0.629953
314,565,specializes,0.522525,892,0.0,314,565,0,0,0,938,2082,0.450528
322,15,specializes,0.343367,407,0.0,322,15,4,4,0,494,847,0.583235
325,417,specializes,0.808429,1287,0.0,325,417,0,0,0,1295,6942,0.186546
328,405,specializes,0.564762,4417,0.0,328,405,0,1,-1,4857,12816,0.378979
335,940,specializes,0.486048,1418,0.0,335,940,4,0,4,1790,4632,0.386442
341,858,specializes,0.71906,484,0.0,341,858,0,0,0,518,2248,0.230427
342,265,specializes,0.360805,1101,0.0,342,265,0,0,0,1414,2635,0.536622
343,873,specializes,0.619863,290,0.0,343,873,4,3,1,293,784,0.373724
355,434,specializes,0.415575,613,0.0,355,434,0,0,0,741,1489,0.497649
355,975,specializes,0.256131,573,0.0,355,975,0,3,-3,741,1108,0.668773
356,50,specializes,0.683721,75,0.0,356,50,4,2,2,96,769,0.124837
361,858,specializes,0.548889,714,0.0,361,858,0,0,0,824,2248,0.366548
378,342,specializes,0.50685,366,0.0,378,342,4,0,4,478,1414,0.338048
381,177,specializes,0.606308,982,0.0,381,177,0,0,0,1054,3018,0.349238
381,401,specializes,0.444219,903,0.0,381,401,0,0,0,1054,2189,0.481498
386,38,specializes,0.548183,1044,0.0,386,38,4,0,4,1258,3706,0.33945
403,38,specializes,0.639884,657,0.0,403,38,3,0,3,804,3706,0.216945
403,162,specializes,0.528445,659,0.0,403,162,3,3,0,804,2263,0.355281
404,275,specializes,0.516436,1672,0.0,404,275,0,2,-2,2083,5841,0.356617
404,1016,specializes,0.579099,1710,0.0,404,1016,0,0,0,2083,7071,0.294584
426,218,specializes,0.435892,1692,0.0,426,218,2,2,0,2001,4130,0.484504
426,819,specializes,0.425703,1667,0.0,426,819,2,2,0,2001,4092,0.489003
435,758,specializes,0.461695,1816,0.0,435,758,2,0,2,2237,5187,0.43127
437,177,specializes,0.67903,532,0.0,437,177,0,0,0,622,3018,0.206097
453,294,specializes,0.68442,412,0.0,453,294,0,0,0,458,1915,0.239164
453,432,specializes,0.633387,387,0.0,453,432,0,2,-2,458,1829,0.25041
463,571,specializes,0.605171,645,0.0,463,571,3,0,3,846,4102,0.206241
463,998,specializes,0.616219,677,0.0,463,998,3,0,3,846,3679,0.229954
465,1,specializes,0.418244,529,0.0,465,1,2,2,0,568,1031,0.550921
465,759,specializes,0.485152,431,0.0,465,759,2,2,0,568,1575,0.360635
465,883,specializes,0.457287,439,0.0,465,883,2,2,0,568,1391,0.408339
470,141,specializes,0.310953,572,0.0,470,141,4,1,3,752,1272,0.591195
472,361,specializes,0.529479,227,0.0,472,361,3,0,3,282,824,0.342233
475,124,specializes,0.335074,2591,0.0,475,124,0,0,0,3182,5407,0.588496
475,537,specializes,0.255178,2439,0.0,475,537,0,2,-2,3182,4770,0.667086
475,731,specializes,0.358108,2764,0.0,475,731,0,3,-3,3182,5414,0.587736
482,294,specializes,0.656097,554,0.0,482,294,3,0,3,586,1915,0.306005
482,432,specializes,0.547396,472,0.0,482,432,3,2,1,586,1829,0.320394
493,718,specializes,0.580679,539,0.0,493,718,3,0,3,567,1457,0.389156
494,624,specializes,0.353251,3181,0.0,494,624,1,2,-1,3570,5915,0.60355
496,780,specializes,0.378618,2754,0.0,496,780,0,2,-2,3490,6709,0.520197
501,571,specializes,0.604388,736,0.0,501,571,0,0,0,939,4102,0.228913
502,120,specializes,0.751109,1333,0.0,502,120,2,1,1,1524,10788,0.141268
503,626,specializes,0.504214,1991,0.0,503,626,3,0,3,2621,7795,0.336241
512,858,specializes,0.767049,188,0.0,512,858,0,0,0,221,2248,0.09831
517,414,specializes,0.650133,182,0.0,517,414,3,3,0,237,1545,0.153398
522,177,specializes,0.478271,1305,0.0,522,177,3,0,3,1433,3018,0.474818
525,396,specializes,0.525514,1279,0.0,525,396,0,0,0,1618,4827,0.335198
525,758,specializes,0.587706,1382,0.0,525,758,0,0,0,1618,5187,0.311934
531,626,specializes,0.665193,2173,0.0,531,626,0,0,0,2302,7795,0.295318
