unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Vienna,232770,17370,5360628.0,17,2.9215,0.00128,0.01546,0.5035,48.190933,16.370208,17|31|5|7|12,0.0977|0.0973|0.0966|0.0916|0.0820,
unit_000018,Vienna,7,7,154.2,14,2.6687,0.0,0.04435,0.5111,48.120742,16.324732,14|19|3|15|7,0.2066|0.1694|0.1404|0.0895|0.0835,
unit_000020,Vienna,7,7,102.8,19,2.5861,0.0,0.01748,0.5044,48.119132,16.324039,19|3|9|14|5,0.1726|0.1208|0.1204|0.0984|0.0876,
unit_000023,Vienna,6,6,126.2,14,2.6687,0.0,0.0278,0.5069,48.120704,16.324963,14|19|3|15|7,0.2066|0.1694|0.1404|0.0895|0.0835,
unit_000050,Vienna,12,12,231.8,19,2.5826,0.0,0.09344,0.5233,48.117064,16.295246,19|9|13|3|14,0.2002|0.1552|0.1009|0.0712|0.0592,
unit_000071,Vienna,6,6,128.7,9,2.5283,0.0,0.00403,0.501,48.258025,16.386005,9|19|5|16|18,0.1802|0.1601|0.1197|0.0898|0.0887,
unit_000072,Vienna,221,84,5023.4,19,2.7034,0.00054,0.00764,0.5018,48.2598,16.390555,19|3|14|16|5,0.1625|0.1112|0.1040|0.1031|0.1015,
unit_000081,Vienna,23,14,516.6,3,2.4428,4e-05,0.04665,0.5116,48.263702,16.395622,3|14|5|19|7,0.1753|0.1601|0.1334|0.1176|0.0721,
unit_000111,Vienna,15,15,305.0,0,2.7068,0.0,0.00726,0.5018,48.185141,16.370961,0|19|12|11|15,0.1577|0.1446|0.1343|0.1314|0.1103,
unit_000116,Vienna,7,8,159.3,9,2.6447,0.0,0.04644,0.5116,48.202947,16.43294,9|19|5|3|14,0.1494|0.1297|0.1294|0.1162|0.0944,
unit_000123,Vienna,85,19,2075.4,19,2.7551,0.00046,0.06089,0.5151,48.116206,16.289793,19|9|13|14|5,0.1469|0.1386|0.0849|0.0849|0.0670,
unit_000132,Vienna,8,3,150.6,14,2.4192,3e-05,0.07511,0.5188,48.13358,16.340298,14|19|3|9|5,0.1655|0.1423|0.1421|0.1018|0.0831,
unit_000147,Vienna,27,16,619.1,3,2.4726,8e-05,0.04686,0.5117,48.263784,16.39538,3|14|5|19|7,0.1744|0.1618|0.1311|0.1208|0.0739,
unit_000208,Vienna,204,5,5077.8,5,2.5873,0.0,0.0035,0.5009,48.08492,16.224076,5|17|31|9|2,0.1585|0.1566|0.1477|0.1220|0.0920,
unit_000294,Vienna,18,18,407.1,12,2.7135,0.0,0.0063,0.5016,48.190881,16.325332,12|11|31|15|7,0.2103|0.1241|0.1226|0.1174|0.1071,
unit_000330,Vienna,7,8,151.5,9,2.6436,0.0,0.14263,0.5356,48.202758,16.433073,9|19|5|3|14,0.1496|0.1295|0.1293|0.1162|0.0943,
unit_000331,Vienna,13,7,304.6,5,2.6283,1e-05,0.00436,0.5011,48.202932,16.429696,5|19|14|16|9,0.1627|0.1444|0.1370|0.1203|0.0996,
unit_000359,Vienna,4,4,76.8,0,2.597,0.0,0.00523,0.5013,48.20277,16.371306,0|4|11|3|13,0.1680|0.1384|0.1374|0.1237|0.1169,
unit_000517,Vienna,67,24,1457.0,9,2.6387,0.0,0.00812,0.502,48.201872,16.433908,9|5|19|3|14,0.1501|0.1288|0.1287|0.1163|0.0935,
unit_000521,Vienna,11,5,254.1,5,2.6204,1e-05,0.00463,0.5012,48.202019,16.430436,5|19|14|16|9,0.1641|0.1457|0.1357|0.1197|0.1037,
unit_000530,Vienna,3,3,50.7,19,2.7523,0.0,0.02463,0.5062,48.186966,16.406911,19|5|0|4|12,0.1345|0.1270|0.1137|0.0944|0.0853,
unit_000547,Vienna,6,6,131.5,9,2.6602,0.0,0.00668,0.5017,48.114225,16.280114,9|5|31|2|4,0.1469|0.1342|0.1328|0.1321|0.0814,
unit_000574,Vienna,10,8,232.4,14,2.3344,1e-05,0.00544,0.5014,48.132844,16.340541,14|3|19|9|5,0.1642|0.1494|0.1363|0.1007|0.0708,
unit_000580,Vienna,5,5,103.3,19,2.7168,0.0,0.14526,0.5363,48.132019,16.339424,19|9|18|7|16,0.2276|0.1263|0.1261|0.1163|0.0900,
unit_000589,Vienna,202,6,5039.3,5,2.5873,0.0,0.0035,0.5009,48.085117,16.22409,5|17|31|9|2,0.1585|0.1566|0.1477|0.1220|0.0920,
unit_000650,Vienna,9,9,167.2,19,2.6387,0.0,0.08827,0.5221,48.256425,16.474275,19|14|3|2|5,0.1730|0.1679|0.1465|0.0997|0.0875,
unit_000683,Vienna,12,8,221.5,19,2.7097,2e-05,0.00457,0.5011,48.165804,16.386036,19|14|3|7|16,0.1804|0.1503|0.1412|0.1311|0.0981,
