unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,HongKong,89,43,1512.7,17,3.317,0.0,0.04736,0.5118,22.276146,114.173731,17|6|9|2|23,0.0325|0.0273|0.0223|0.0210|0.0204,
unit_000001,HongKong,219,48,4563.8,1,3.3268,0.0,0.18623,0.5464,22.249785,114.169305,1|3|2|10|6,0.0145|0.0139|0.0131|0.0126|0.0113,
unit_000002,HongKong,521,25,10832.0,17,3.287,0.0,0.17644,0.544,22.296751,114.172215,17|25|23|28|26,0.0455|0.0433|0.0309|0.0228|0.0224,
unit_000004,HongKong,297,48,5681.3,25,3.3121,0.0,0.13706,0.5342,22.30872,114.169707,25|4|2|29|14,0.0532|0.0393|0.0279|0.0279|0.0266,
unit_000005,HongKong,261,43,5178.1,17,3.2872,0.0,0.16279,0.5406,22.313443,114.17025,17|6|4|25|23,0.0385|0.0260|0.0251|0.0231|0.0173,
unit_000006,HongKong,298,40,6572.5,15,3.3366,0.0,0.25754,0.564,22.303306,114.163332,15|24|29|0|7,0.0303|0.0228|0.0210|0.0152|0.0151,
unit_000007,HongKong,986,31,21422.7,11,3.3745,0.0,0.1558,0.5389,22.302792,114.182044,11|13|28|24|29,0.0158|0.0104|0.0100|0.0098|0.0090,
unit_000008,HongKong,244,11,4592.8,25,3.3255,0.0,0.18924,0.5472,22.304879,114.168766,25|4|17|9|20,0.0205|0.0176|0.0173|0.0145|0.0144,
unit_000011,HongKong,254,59,4685.3,26,3.3593,0.0,0.11409,0.5285,22.283241,114.160073,26|17|15|2|12,0.0092|0.0087|0.0084|0.0080|0.0065,
unit_000012,HongKong,236,35,4505.7,11,3.373,0.0,0.07554,0.5189,22.279946,114.163825,11|13|2|23|10,0.0088|0.0080|0.0072|0.0070|0.0060,
unit_000013,HongKong,89,38,1605.4,29,3.3739,0.0,0.12618,0.5315,22.277932,114.167555,29|19|23|1|26,0.0089|0.0087|0.0081|0.0078|0.0068,
unit_000014,HongKong,167,43,3147.7,17,3.3603,0.0,0.09246,0.5231,22.277157,114.171207,17|25|4|3|27,0.0147|0.0105|0.0101|0.0087|0.0084,
unit_000016,HongKong,136,66,2343.1,27,3.319,0.0,0.07366,0.5184,22.277927,114.175659,27|17|4|6|2,0.0141|0.0140|0.0130|0.0127|0.0123,
unit_000017,HongKong,69,34,1354.1,17,3.3626,0.0,0.06862,0.5171,22.279051,114.174011,17|2|26|29|27,0.0074|0.0068|0.0067|0.0064|0.0064,
unit_000018,HongKong,166,12,3197.5,4,3.3583,0.0,0.12906,0.5322,22.279792,114.157688,4|6|2|15|23,0.0118|0.0107|0.0102|0.0096|0.0096,
unit_000022,HongKong,250,24,4636.3,20,3.3198,0.0,0.18422,0.5459,22.276,114.179581,20|2|6|3|22,0.0443|0.0363|0.0323|0.0287|0.0269,
unit_000023,HongKong,42,8,866.9,31,3.3431,0.0,0.20989,0.5523,22.27196,114.177901,31|10|24|8|22,0.0179|0.0173|0.0173|0.0169|0.0152,
unit_000140,HongKong,37,4,902.4,18,3.3571,0.0,0.12597,0.5315,22.267304,114.232099,18|13|25|19|8,0.0241|0.0167|0.0166|0.0158|0.0145,
unit_000143,HongKong,55,9,1235.8,18,3.3571,0.0,0.15139,0.5378,22.270485,114.232992,18|13|25|19|8,0.0241|0.0167|0.0166|0.0158|0.0145,
unit_000144,HongKong,99,14,2259.5,18,3.3571,0.0,0.13868,0.5346,22.269423,114.234113,18|13|25|19|8,0.0241|0.0167|0.0166|0.0158|0.0145,
unit_000145,HongKong,44,16,1017.3,22,3.3424,0.0,0.20418,0.5509,22.261411,114.190134,22|24|27|10|31,0.0212|0.0208|0.0206|0.0185|0.0165,
unit_000148,HongKong,199,6,3904.6,23,3.3639,0.0,0.13045,0.5326,22.276538,114.157086,23|18|4|26|22,0.0231|0.0216|0.0169|0.0165|0.0162,
unit_000149,HongKong,120,7,2385.6,22,3.3408,0.0,0.18525,0.5462,22.279152,114.18887,22|10|6|24|26,0.0186|0.0186|0.0184|0.0172|0.0158,
unit_000150,HongKong,254,47,4985.6,17,3.3379,0.0,0.1515,0.5378,22.282973,114.22285,17|13|9|11|23,0.0127|0.0113|0.0092|0.0084|0.0083,
