unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Singapore,79,53,1875.7,27,2.8235,0.00028,0.07029,0.5175,1.29459,103.870015,27|7|30|14|29,0.1115|0.0761|0.0754|0.0730|0.0525,
unit_000001,Singapore,89,58,2102.0,27,2.8299,0.00028,0.03635,0.509,1.295037,103.870449,27|7|30|14|24,0.1372|0.0793|0.0632|0.0583|0.0532,
unit_000004,Singapore,6,8,125.6,27,2.8695,1e-05,0.0492,0.5123,1.296247,103.876661,27|4|26|9|24,0.1187|0.0747|0.0669|0.0572|0.0569,
unit_000005,Singapore,9,21,201.0,27,2.7976,4e-05,0.05412,0.5135,1.296119,103.878296,27|4|9|3|7,0.1626|0.0904|0.0716|0.0702|0.0641,
unit_000006,Singapore,23,14,512.1,27,2.8702,9e-05,0.06613,0.5165,1.295963,103.881516,27|24|4|7|12,0.1488|0.0799|0.0729|0.0599|0.0579,
unit_000013,Singapore,9,22,200.5,27,2.7992,5e-05,0.03488,0.5087,1.295576,103.878065,27|4|7|9|3,0.1675|0.0863|0.0780|0.0746|0.0657,
unit_000014,Singapore,40,26,906.5,27,2.8636,8e-05,0.05322,0.5133,1.295761,103.88104,27|24|7|4|31,0.1548|0.0784|0.0697|0.0690|0.0556,
unit_000015,Singapore,94,112,2197.2,24,2.9427,0.00025,0.0465,0.5116,1.301659,103.910224,24|27|3|29|9,0.1150|0.0961|0.0929|0.0785|0.0669,
unit_000018,Singapore,5,6,105.6,3,2.8381,0.0,0.02137,0.5053,1.30269,103.910264,3|24|30|29|14,0.1264|0.1021|0.1019|0.0787|0.0698,
unit_000020,Singapore,9,12,162.2,3,2.861,1e-05,0.09556,0.5239,1.304045,103.910348,3|9|24|12|22,0.1246|0.1023|0.0977|0.0791|0.0735,
unit_000021,Singapore,10100,6608,222356.1,9,3.0206,0.00044,0.07064,0.5175,1.294944,103.821081,9|29|4|24|27,0.0718|0.0646|0.0617|0.0588|0.0551,
unit_000022,Singapore,6142,4454,129308.6,8,3.0007,0.00043,0.07548,0.5188,1.28902,103.850527,8|9|7|3|21,0.0881|0.0702|0.0628|0.0563|0.0478,
unit_000023,Singapore,48,51,880.8,8,2.9162,0.00012,0.15911,0.5397,1.302126,103.848674,8|5|24|13|26,0.0872|0.0831|0.0742|0.0712|0.0704,
unit_000024,Singapore,162,184,3280.2,8,2.9679,0.00021,0.08107,0.5202,1.299067,103.844909,8|9|29|27|10,0.1079|0.0896|0.0649|0.0630|0.0618,
unit_000025,Singapore,39,47,614.2,3,2.89,0.0,0.10026,0.525,1.301033,103.843286,3|29|24|8|7,0.1128|0.1076|0.0836|0.0773|0.0720,
unit_000027,Singapore,22,40,385.7,9,2.7047,1e-05,0.04616,0.5115,1.299948,103.840198,9|8|5|31|24,0.0867|0.0864|0.0648|0.0616|0.0572,
unit_000028,Singapore,48,128,831.9,7,2.9239,0.0001,0.06564,0.5164,1.267239,103.826336,7|17|14|24|29,0.0946|0.0882|0.0810|0.0697|0.0654,
unit_000030,Singapore,12,31,245.7,3,2.9166,4e-05,0.06737,0.5168,1.295716,103.860409,3|24|8|9|29,0.1197|0.1024|0.0849|0.0809|0.0726,
unit_000032,Singapore,9,9,153.8,30,2.7888,0.0,0.07116,0.5178,1.297025,103.859243,30|8|7|24|9,0.1402|0.0912|0.0782|0.0683|0.0504,
unit_000034,Singapore,16,25,315.9,14,2.6994,1e-05,0.10445,0.5261,1.295391,103.859257,14|17|21|12|9,0.1254|0.0626|0.0616|0.0580|0.0507,
unit_000035,Singapore,20,20,408.2,7,2.8854,0.0,0.13813,0.5345,1.269277,103.828616,7|26|3|21|10,0.1047|0.0735|0.0700|0.0565|0.0565,
