unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,CapeTown,618347,160282,13458082.6,7,2.812,0.00023,0.02954,0.5073,-33.960296,18.598615,7|20|6|23|29,0.0533|0.0404|0.0403|0.0396|0.0394,
unit_000001,CapeTown,32276,9673,698934.0,17,2.7725,0.0002,0.02884,0.5072,-33.927221,18.429545,17|7|31|4|6,0.0541|0.0499|0.0461|0.0391|0.0361,
unit_000002,CapeTown,8,16,74.4,6,2.6122,0.0,0.01082,0.5027,-33.931267,18.465199,6|23|31|7|20,0.0827|0.0744|0.0708|0.0630|0.0554,
unit_000005,CapeTown,30,20,609.8,17,2.5287,1e-05,0.01212,0.503,-33.92086,18.499029,17|2|9|22|7,0.0988|0.0473|0.0371|0.0366|0.0355,
unit_000008,CapeTown,3,3,50.5,17,2.4832,0.0,0.04455,0.5111,-33.920126,18.499807,17|2|0|22|9,0.0995|0.0469|0.0358|0.0343|0.0339,
unit_000010,CapeTown,24,22,353.5,31,2.6915,0.0,0.02213,0.5055,-33.91969,18.500445,31|7|23|19|20,0.0615|0.0600|0.0544|0.0520|0.0482,
unit_000018,CapeTown,3,3,50.5,17,2.4832,0.0,0.04455,0.5111,-33.920126,18.499807,17|2|0|22|9,0.0995|0.0469|0.0358|0.0343|0.0339,
unit_000039,CapeTown,4,5,85.3,6,2.6112,0.0,0.01597,0.504,-33.915772,18.509595,6|18|1|7|29,0.0829|0.0732|0.0559|0.0545|0.0535,
unit_000045,CapeTown,14,18,205.2,6,2.7112,0.0,0.0266,0.5066,-33.910708,18.520102,6|7|20|17|1,0.0675|0.0669|0.0600|0.0582|0.0578,
unit_000055,CapeTown,7,14,157.0,4,2.6212,0.0,0.01012,0.5025,-33.930164,18.505355,4|1|29|9|7,0.0898|0.0694|0.0584|0.0525|0.0504,
unit_000062,CapeTown,7,14,157.0,4,2.6212,0.0,0.01012,0.5025,-33.930164,18.505355,4|1|29|9|7,0.0898|0.0694|0.0584|0.0525|0.0504,
unit_000084,CapeTown,157,20,3801.7,4,2.5869,0.0,0.01278,0.5032,-33.931028,18.497763,4|7|9|21|0,0.0908|0.0603|0.0506|0.0452|0.0421,
