unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,HongKong,10,12,182.2,18,2.4527,1e-05,0.11354,0.5284,22.250561,114.170884,18|21|1|3|10,0.1063|0.0681|0.0661|0.0591|0.0413,
unit_000001,HongKong,13,16,261.8,1,2.4733,0.0,0.11354,0.5284,22.250418,114.172353,1|22|16|3|31,0.0776|0.0763|0.0717|0.0497|0.0410,
unit_000002,HongKong,9,9,162.8,1,2.0227,0.0,0.0,0.5,22.296997,114.171591,1|21|7|23|14,0.0991|0.0542|0.0453|0.0447|0.0241,
unit_000003,HongKong,25,25,405.9,1,2.2538,0.0,0.0,0.5,22.309813,114.171249,1|21|16|23|7,0.1208|0.0878|0.0535|0.0353|0.0335,
unit_000004,HongKong,11,11,154.0,1,2.0788,0.0,0.0,0.5,22.311525,114.170898,1|21|23|16|7,0.1209|0.0734|0.0436|0.0395|0.0370,
unit_000006,HongKong,7,10,154.8,1,2.4128,2e-05,0.09005,0.5225,22.300581,114.16828,1|2|21|14|16,0.1019|0.0720|0.0628|0.0484|0.0464,
unit_000007,HongKong,41,41,675.9,18,2.3415,0.0,0.0,0.5,22.298137,114.178967,18|1|2|3|16,0.0960|0.0745|0.0668|0.0557|0.0436,
unit_000008,HongKong,11,11,171.4,1,2.1335,0.0,0.0,0.5,22.297411,114.171087,1|21|23|7|16,0.1160|0.0604|0.0489|0.0400|0.0337,
unit_000009,HongKong,33,43,606.2,1,2.1835,2e-05,0.0,0.5,22.278495,114.171921,1|16|7|31|23,0.1289|0.0656|0.0364|0.0341|0.0336,
unit_000010,HongKong,16,16,323.4,31,2.4448,0.0,0.0,0.5,22.274251,114.17728,31|10|27|23|16,0.0824|0.0706|0.0685|0.0632|0.0629,
unit_000011,HongKong,31,32,575.9,31,2.468,0.0,0.15301,0.5382,22.271002,114.178214,31|1|10|2|23,0.0954|0.0740|0.0694|0.0690|0.0634,
unit_000012,HongKong,16,20,320.9,22,2.4387,0.0,0.15301,0.5382,22.269513,114.178717,22|21|31|23|1,0.1229|0.0927|0.0722|0.0672|0.0634,
unit_000013,HongKong,8,8,179.8,31,2.3336,0.0,0.0,0.5,22.266532,114.182627,31|22|23|27|2,0.1126|0.0883|0.0872|0.0829|0.0605,
unit_000014,HongKong,66,92,1240.9,2,2.4075,7e-05,0.15109,0.5377,22.263933,114.185015,2|31|23|21|10,0.0874|0.0756|0.0738|0.0688|0.0676,
unit_000015,HongKong,6,7,129.9,21,2.4172,0.0,0.13348,0.5333,22.264876,114.184765,21|22|23|27|1,0.1004|0.0850|0.0622|0.0619|0.0530,
unit_000016,HongKong,6,7,129.9,2,2.3336,0.0,0.13348,0.5333,22.263703,114.185387,2|31|23|10|21,0.1000|0.0836|0.0753|0.0749|0.0578,
unit_000017,HongKong,32,32,659.8,31,2.4733,0.0,0.2072,0.5516,22.262799,114.186828,31|22|16|10|14,0.0965|0.0669|0.0581|0.0432|0.0432,
unit_000018,HongKong,28,30,512.4,7,2.2054,0.0,0.1514,0.5378,22.266555,114.162438,7|31|13|22|16,0.1036|0.0827|0.0603|0.0532|0.0498,
unit_000019,HongKong,8,8,175.4,27,2.3544,0.0,0.0,0.5,22.239119,114.238116,27|22|21|23|10,0.1144|0.1056|0.0716|0.0637|0.0479,
unit_000020,HongKong,8,8,175.4,27,2.3116,0.0,0.06052,0.5151,22.242077,114.238234,27|23|22|21|18,0.1417|0.0759|0.0739|0.0447|0.0439,
unit_000021,HongKong,9,9,200.5,27,2.4379,0.0,0.06052,0.5151,22.243391,114.237335,27|22|23|21|10,0.1181|0.1164|0.0623|0.0542|0.0469,
unit_000022,HongKong,8,9,175.4,22,2.4005,0.0,0.07003,0.5175,22.244583,114.235144,22|27|21|16|23,0.1277|0.1176|0.0548|0.0538|0.0491,
unit_000023,HongKong,13,16,300.7,27,2.3029,4e-05,0.10981,0.5274,22.246681,114.234156,27|23|21|22|2,0.1269|0.0771|0.0589|0.0547|0.0424,
unit_000024,HongKong,7,8,150.4,22,2.39,0.0,0.14959,0.5373,22.24829,114.232728,22|16|27|21|31,0.1000|0.0956|0.0891|0.0721|0.0669,
unit_000025,HongKong,9,9,200.5,22,2.3386,0.0,0.0,0.5,22.249166,114.230542,22|27|16|23|18,0.1093|0.1052|0.0668|0.0655|0.0649,
unit_000026,HongKong,8,8,175.4,27,2.0685,0.0,0.10343,0.5258,22.251263,114.230349,27|23|21|2|14,0.1200|0.0701|0.0578|0.0411|0.0388,
unit_000027,HongKong,8,8,175.4,27,2.2418,0.0,0.10343,0.5258,22.253058,114.230449,27|22|21|23|2,0.1199|0.1103|0.0977|0.0591|0.0398,
unit_000028,HongKong,20,20,390.6,21,2.2588,0.0,0.0,0.5,22.236782,114.238078,21|22|23|27|2,0.1323|0.0992|0.0824|0.0657|0.0543,
unit_000030,HongKong,25,33,467.7,23,2.3032,5e-05,0.0,0.5,22.257649,114.227534,23|27|31|22|16,0.0921|0.0855|0.0849|0.0773|0.0531,
unit_000031,HongKong,8,8,175.5,22,2.3285,0.0,0.0,0.5,22.259608,114.225693,22|21|27|23|2,0.1182|0.0887|0.0700|0.0629|0.0441,
