unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,HongKong,10,12,182.2,9,2.974,1e-05,0.0932,0.5233,22.250561,114.170884,9|25|15|3|12,0.1229|0.0836|0.0811|0.0758|0.0676,
unit_000001,HongKong,13,16,261.8,25,3.1009,0.0,0.0932,0.5233,22.250418,114.172353,25|15|28|2|22,0.0863|0.0737|0.0644|0.0595|0.0591,
unit_000002,HongKong,9,9,162.8,10,2.8153,0.0,0.0,0.5,22.296997,114.171591,10|12|25|22|11,0.0763|0.0755|0.0721|0.0645|0.0596,
unit_000003,HongKong,25,25,405.9,25,3.028,0.0,0.0,0.5,22.309813,114.171249,25|11|12|22|18,0.1097|0.0853|0.0851|0.0775|0.0605,
unit_000004,HongKong,11,11,154.0,25,2.9374,0.0,0.0,0.5,22.311525,114.170898,25|22|12|11|4,0.0942|0.0833|0.0814|0.0705|0.0615,
unit_000007,HongKong,6,8,129.0,25,3.0219,0.0,0.06871,0.5172,22.300679,114.168222,25|3|17|28|15,0.1037|0.0773|0.0693|0.0685|0.0668,
unit_000008,HongKong,41,41,675.9,9,2.9441,0.0,0.0,0.5,22.298137,114.178967,9|25|15|10|28,0.1171|0.0963|0.0891|0.0649|0.0520,
unit_000009,HongKong,11,11,171.4,25,2.8107,0.0,0.0,0.5,22.297411,114.171087,25|12|22|4|10,0.0978|0.0903|0.0766|0.0763|0.0696,
unit_000010,HongKong,33,43,606.2,25,2.9884,5e-05,0.0,0.5,22.278495,114.171921,25|10|11|4|2,0.1346|0.0709|0.0677|0.0555|0.0554,
unit_000011,HongKong,16,16,323.4,17,3.0568,0.0,0.0,0.5,22.274251,114.17728,17|20|11|27|26,0.1238|0.0792|0.0759|0.0678|0.0631,
unit_000012,HongKong,31,32,575.9,17,3.0109,0.0,0.10412,0.526,22.271002,114.178214,17|11|26|15|25,0.0907|0.0875|0.0861|0.0814|0.0729,
unit_000013,HongKong,16,20,320.9,15,3.0599,0.0,0.10412,0.526,22.269513,114.178717,15|12|19|30|17,0.1379|0.0921|0.0782|0.0755|0.0718,
unit_000014,HongKong,8,8,179.8,17,3.0055,0.0,0.0,0.5,22.266532,114.182627,17|15|26|20|8,0.1132|0.1098|0.0806|0.0689|0.0623,
