unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Vienna,36,48,573.4,17,2.6342,3e-05,0.18919,0.5472,48.206828,16.355756,17|29|1|31|9,0.1377|0.1334|0.0821|0.0643|0.0511,
unit_000001,Vienna,6,12,78.6,1,2.7282,4e-05,0.1016,0.5254,48.207116,16.356754,1|29|24|9|31,0.1144|0.0905|0.0804|0.0761|0.0738,
unit_000002,Vienna,8,11,141.4,24,2.7091,1e-05,0.17825,0.5444,48.207623,16.35623,24|1|9|29|26,0.0947|0.0913|0.0872|0.0870|0.0825,
unit_000003,Vienna,18,18,327.5,1,2.6225,0.0,0.0,0.5,48.215813,16.35807,1|31|26|29|27,0.1765|0.1044|0.0624|0.0607|0.0588,
unit_000004,Vienna,19,25,282.7,1,2.4424,4e-05,0.1793,0.5447,48.212648,16.356865,1|31|29|6|24,0.1723|0.0443|0.0417|0.0367|0.0344,
unit_000005,Vienna,17,17,341.1,1,2.5843,0.0,0.0,0.5,48.21248,16.358806,1|31|29|17|9,0.1307|0.0637|0.0550|0.0462|0.0317,
unit_000006,Vienna,22,67,410.3,1,2.6634,0.0,0.1793,0.5447,48.211484,16.35567,1|31|29|26|28,0.1148|0.1062|0.0984|0.0863|0.0689,
unit_000007,Vienna,10,10,168.4,1,2.3052,0.0,0.0,0.5,48.209485,16.350207,1|17|4|15|0,0.1554|0.1341|0.0483|0.0466|0.0438,
unit_000008,Vienna,8,8,131.7,1,2.4722,0.0,0.0,0.5,48.210467,16.352309,1|4|6|26|24,0.1958|0.0706|0.0482|0.0478|0.0444,
unit_000009,Vienna,13,13,274.0,17,2.685,0.0,0.0,0.5,48.198754,16.273085,17|26|4|6|9,0.1437|0.1114|0.0997|0.0881|0.0718,
unit_000010,Vienna,10,10,154.5,4,2.6651,0.0,0.0,0.5,48.196545,16.281085,4|27|1|26|16,0.1262|0.1223|0.1193|0.0977|0.0772,
unit_000011,Vienna,9,9,160.0,27,2.666,0.0,0.0,0.5,48.198274,16.284347,27|28|6|26|2,0.1431|0.1338|0.1297|0.0929|0.0742,
unit_000012,Vienna,13,13,174.6,1,2.5258,0.0,0.0,0.5,48.195994,16.287326,1|27|4|26|6,0.1505|0.1136|0.1102|0.0745|0.0652,
unit_000013,Vienna,17,26,312.6,1,2.6822,0.0001,0.11208,0.528,48.197015,16.288556,1|17|26|6|4,0.1756|0.0983|0.0934|0.0810|0.0551,
unit_000014,Vienna,16,16,227.3,6,2.6947,0.0,0.0,0.5,48.195042,16.290183,6|27|28|31|26,0.1372|0.1296|0.0947|0.0870|0.0789,
unit_000015,Vienna,10,10,173.4,17,2.7227,0.0,0.0,0.5,48.19716,16.293728,17|26|6|27|1,0.1558|0.0979|0.0895|0.0869|0.0845,
unit_000016,Vienna,11,11,175.2,1,2.6895,0.0,0.0,0.5,48.197329,16.302635,1|4|27|26|9,0.1612|0.1106|0.0977|0.0801|0.0593,
unit_000017,Vienna,19,19,310.4,17,2.6304,0.0,0.0,0.5,48.19903,16.313177,17|1|4|2|27,0.1589|0.1314|0.0543|0.0506|0.0475,
unit_000018,Vienna,24,24,396.7,1,2.6675,0.0,0.41311,0.6018,48.201526,16.338408,1|26|24|6|4,0.1157|0.1064|0.0841|0.0694|0.0662,
unit_000020,Vienna,18,18,320.8,17,2.3722,0.0,0.41311,0.6018,48.200723,16.337431,17|1|29|31|6,0.2098|0.0875|0.0752|0.0468|0.0349,
unit_000021,Vienna,30,36,597.3,29,2.7135,1e-05,0.03784,0.5095,48.185979,16.320364,29|1|31|17|9,0.1249|0.0918|0.0789|0.0688|0.0649,
unit_000022,Vienna,8,8,175.8,1,2.7333,0.0,0.0,0.5,48.188051,16.310654,1|9|17|22|26,0.1214|0.0948|0.0857|0.0579|0.0528,
unit_000023,Vienna,11,15,181.0,1,2.4972,0.0,0.08994,0.5225,48.189708,16.286357,1|6|28|16|29,0.1697|0.0962|0.0851|0.0772|0.0743,
