unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Vienna,36,48,573.4,1,2.9335,1e-05,0.13326,0.5333,48.206828,16.355756,1|31|30|28|11,0.1102|0.1048|0.0631|0.0591|0.0545,
unit_000001,Vienna,6,12,78.6,31,3.0356,2e-05,0.06835,0.5171,48.207116,16.356754,31|11|28|1|5,0.1143|0.0614|0.0599|0.0546|0.0487,
unit_000002,Vienna,8,11,141.4,31,3.0542,0.0,0.14304,0.5357,48.207623,16.35623,31|11|5|18|20,0.0960|0.0633|0.0606|0.0595|0.0558,
unit_000003,Vienna,18,18,327.5,31,2.9236,0.0,0.0,0.5,48.215813,16.35807,31|11|15|3|18,0.1598|0.0598|0.0469|0.0454|0.0385,
unit_000004,Vienna,19,25,282.7,31,2.7228,2e-05,0.1478,0.5369,48.212648,16.356865,31|27|19|11|12,0.1371|0.0322|0.0303|0.0288|0.0258,
unit_000005,Vienna,17,17,341.1,31,2.8712,0.0,0.0,0.5,48.21248,16.358806,31|11|28|30|1,0.1186|0.0459|0.0369|0.0287|0.0261,
unit_000006,Vienna,22,67,410.3,31,2.9381,0.0,0.1478,0.5369,48.211484,16.35567,31|12|11|1|5,0.1270|0.0892|0.0701|0.0544|0.0525,
unit_000007,Vienna,10,10,168.4,31,2.4829,0.0,0.0,0.5,48.209485,16.350207,31|30|8|28|4,0.1354|0.0753|0.0382|0.0379|0.0354,
unit_000008,Vienna,8,8,131.7,31,2.7817,0.0,0.0,0.5,48.210467,16.352309,31|27|16|8|4,0.1561|0.0381|0.0337|0.0320|0.0305,
unit_000009,Vienna,13,13,274.0,31,2.9334,0.0,0.0,0.5,48.198754,16.273085,31|8|5|1|30,0.1218|0.0763|0.0699|0.0644|0.0561,
unit_000010,Vienna,10,10,154.5,31,2.8486,0.0,0.0,0.5,48.196545,16.281085,31|8|7|5|16,0.1319|0.1036|0.0649|0.0598|0.0459,
unit_000011,Vienna,9,9,160.0,31,2.7059,0.0,0.0,0.5,48.198274,16.284347,31|12|5|8|16,0.1305|0.1185|0.0897|0.0763|0.0570,
unit_000012,Vienna,13,13,174.6,31,2.7473,0.0,0.0,0.5,48.195994,16.287326,31|8|16|18|27,0.1546|0.0937|0.0470|0.0346|0.0341,
unit_000013,Vienna,17,26,312.6,31,2.9176,4e-05,0.07602,0.519,48.197015,16.288556,31|30|8|12|28,0.1800|0.0479|0.0448|0.0417|0.0371,
