unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,HongKong,13,13,211.1,0,2.9696,0.0,0.0,0.5,22.250506,114.171595,0|4|22|27|19,0.1419|0.1109|0.0941|0.0863|0.0831,
unit_000001,HongKong,19,20,388.3,26,2.7654,0.0,0.13476,0.5336,22.296826,114.171823,26|22|8|9|24,0.1033|0.1031|0.0902|0.0721|0.0708,
unit_000002,HongKong,74,109,1628.5,22,2.8942,0.00014,0.11627,0.529,22.312873,114.170406,22|26|15|27|24,0.1997|0.1080|0.0854|0.0691|0.0594,
unit_000003,HongKong,8,8,132.6,22,2.7735,0.0,0.0,0.5,22.29871,114.169394,22|9|8|24|13,0.1299|0.1035|0.0827|0.0807|0.0684,
unit_000004,HongKong,7,7,154.8,8,2.9464,0.0,0.0,0.5,22.300189,114.168508,8|22|9|6|4,0.1230|0.1065|0.1062|0.0887|0.0757,
unit_000005,HongKong,34,34,551.4,8,2.9464,0.0,0.16851,0.542,22.300099,114.168487,8|22|9|6|4,0.1230|0.1065|0.1062|0.0887|0.0757,
unit_000006,HongKong,23,24,369.1,0,2.9928,1e-05,0.10542,0.5263,22.298211,114.178936,0|4|9|27|6,0.1509|0.0972|0.0911|0.0891|0.0763,
unit_000007,HongKong,45,45,734.8,9,3.0365,0.0,0.0,0.5,22.304576,114.167481,9|22|25|14|15,0.1202|0.1014|0.0995|0.0890|0.0838,
unit_000008,HongKong,34,34,491.9,22,3.0162,0.0,0.1763,0.544,22.295237,114.174956,22|14|9|0|28,0.1328|0.1221|0.0989|0.0851|0.0743,
unit_000009,HongKong,15,17,280.8,22,2.9608,1e-05,0.11366,0.5284,22.298041,114.171073,22|4|24|27|2,0.1403|0.0953|0.0824|0.0714|0.0622,
unit_000010,HongKong,13,24,203.5,22,2.9804,1e-05,0.0612,0.5153,22.28203,114.160758,22|8|4|13|28,0.1233|0.1146|0.0857|0.0598|0.0550,
unit_000011,HongKong,23,23,423.9,22,3.0246,0.0,0.0612,0.5153,22.281666,114.162508,22|8|0|6|28,0.1298|0.1261|0.1138|0.0844|0.0816,
unit_000012,HongKong,47,57,782.6,9,3.0625,6e-05,0.09367,0.5234,22.28008,114.163234,9|14|22|8|27,0.1502|0.0993|0.0986|0.0974|0.0876,
unit_000013,HongKong,58,103,1096.7,8,3.0664,4e-05,0.23062,0.5574,22.277925,114.166972,8|4|27|1|22,0.1241|0.1146|0.1141|0.0969|0.0945,
unit_000014,HongKong,74,152,1484.1,22,2.9791,0.00016,0.0,0.5,22.277893,114.171304,22|15|4|8|26,0.2099|0.0803|0.0690|0.0676|0.0672,
unit_000015,HongKong,158,298,3321.7,22,2.9369,0.00012,0.10072,0.5251,22.277392,114.174715,22|26|4|28|24,0.2090|0.0881|0.0771|0.0614|0.0600,
unit_000016,HongKong,59,67,1087.2,22,2.8405,1e-05,0.08605,0.5215,22.27838,114.176701,22|26|15|27|8,0.2201|0.0780|0.0751|0.0735|0.0598,
unit_000017,HongKong,170,288,3388.1,22,3.0492,0.00027,0.11535,0.5287,22.280728,114.174286,22|8|14|4|27,0.1552|0.1192|0.0759|0.0721|0.0707,
unit_000018,HongKong,55,84,972.9,1,3.1002,3e-05,0.07267,0.5182,22.279299,114.162366,1|22|9|8|18,0.1213|0.1025|0.0946|0.0929|0.0863,
unit_000019,HongKong,55,69,930.1,22,3.0293,2e-05,0.05533,0.5138,22.273821,114.173095,22|16|10|28|14,0.1107|0.1051|0.1038|0.0839|0.0790,
unit_000020,HongKong,43,43,701.5,22,2.8354,0.0,0.0,0.5,22.27559,114.171163,22|26|24|4|13,0.1654|0.1401|0.0972|0.0803|0.0775,
unit_000021,HongKong,6,8,125.7,22,3.0722,0.0,0.05533,0.5138,22.272731,114.173602,22|14|9|11|23,0.1035|0.1010|0.0948|0.0932|0.0926,
unit_000022,HongKong,59,59,1225.5,22,2.9713,0.0,0.20984,0.5523,22.274637,114.179185,22|26|16|9|14,0.1407|0.1039|0.1022|0.0872|0.0807,
unit_000023,HongKong,43,47,846.1,11,3.0502,0.00013,0.05064,0.5126,22.271095,114.178204,11|14|24|21|27,0.1404|0.1279|0.0870|0.0691|0.0651,
unit_000024,HongKong,36,68,703.6,1,3.0107,1e-05,0.0,0.5,22.26563,114.184535,1|24|16|27|0,0.1594|0.1138|0.0975|0.0957|0.0872,
unit_000025,HongKong,30,30,606.5,21,3.0142,0.0,0.0,0.5,22.26262,114.187341,21|16|14|10|24,0.1411|0.1158|0.1132|0.1087|0.0974,
unit_000026,HongKong,9,9,200.5,11,2.8777,0.0,0.0,0.5,22.243211,114.237658,11|21|14|31|24,0.1833|0.1455|0.0856|0.0837|0.0773,
unit_000027,HongKong,18,25,426.0,11,3.0152,0.00019,0.0,0.5,22.246178,114.234383,11|21|24|4|19,0.1474|0.1046|0.0939|0.0696|0.0668,
unit_000028,HongKong,8,8,175.5,21,2.8687,0.0,0.0,0.5,22.261176,114.225607,21|11|24|25|8,0.1643|0.1267|0.1095|0.0919|0.0605,
unit_000029,HongKong,5,8,100.3,27,3.0259,8e-05,0.0,0.5,22.269519,114.233044,27|25|8|9|26,0.1177|0.0973|0.0938|0.0820|0.0814,
unit_000030,HongKong,5,8,100.3,27,3.0259,8e-05,0.0,0.5,22.269519,114.233044,27|25|8|9|26,0.1177|0.0973|0.0938|0.0820|0.0814,
unit_000031,HongKong,8,8,175.5,21,2.8687,0.0,0.0,0.5,22.261176,114.225607,21|11|24|25|8,0.1643|0.1267|0.1095|0.0919|0.0605,
unit_000032,HongKong,32,56,612.0,27,2.9988,8e-05,0.0,0.5,22.269136,114.233719,27|25|8|18|9,0.1089|0.0910|0.0831|0.0773|0.0745,
unit_000033,HongKong,8,8,182.7,14,2.9251,0.0,0.0,0.5,22.261631,114.189921,14|21|11|18|2,0.1380|0.1135|0.1128|0.0830|0.0713,
unit_000034,HongKong,36,36,569.4,11,2.9026,0.0,0.0,0.5,22.284754,114.192715,11|22|27|26|25,0.1246|0.1172|0.1051|0.0771|0.0752,
unit_000035,HongKong,31,46,474.6,22,3.0406,0.00017,0.0,0.5,22.279248,114.169848,22|27|8|4|31,0.1094|0.1059|0.1034|0.1021|0.0953,
unit_000036,HongKong,85,298,1819.9,22,3.0635,0.00022,0.08956,0.5223,22.279475,114.181155,22|9|26|24|0,0.1630|0.1108|0.0938|0.0934|0.0772,
unit_000037,HongKong,43,75,827.2,31,3.0943,0.00012,0.09106,0.5227,22.283063,114.185597,31|25|10|18|9,0.1089|0.1052|0.1035|0.1005|0.0962,
unit_000038,HongKong,17,17,361.0,0,2.9636,0.0,0.0,0.5,22.306259,114.222222,0|1|14|9|25,0.1675|0.1276|0.0934|0.0897|0.0699,
unit_000039,HongKong,8,8,175.4,22,3.0446,0.0,0.0,0.5,22.313044,114.216384,22|27|8|14|9,0.1522|0.1264|0.0930|0.0823|0.0802,
unit_000040,HongKong,16,34,327.9,1,2.9962,2e-05,0.0,0.5,22.316904,114.211578,1|0|14|22|31,0.1575|0.1464|0.0959|0.0912|0.0808,
unit_000041,HongKong,50,50,704.2,22,2.9069,0.0,0.25562,0.5636,22.283823,114.220468,22|13|26|2|24,0.1603|0.0842|0.0732|0.0710|0.0660,
unit_000042,HongKong,16,17,303.7,1,2.973,0.0,0.25562,0.5636,22.28514,114.220633,1|16|28|15|0,0.1173|0.0994|0.0907|0.0906|0.0868,
unit_000043,HongKong,48,48,862.3,22,2.9831,0.0,0.0,0.5,22.276525,114.176736,22|8|26|9|24,0.1320|0.1075|0.0963|0.0917|0.0830,
unit_000044,HongKong,6,8,125.7,22,3.0722,0.0,0.05533,0.5138,22.272731,114.173602,22|14|9|11|23,0.1035|0.1010|0.0948|0.0932|0.0926,
unit_000045,HongKong,32,32,588.6,22,2.8712,0.0,0.0,0.5,22.277397,114.178618,22|28|15|2|4,0.1323|0.1050|0.0876|0.0769|0.0624,
unit_000046,HongKong,20,20,409.7,21,2.9945,0.0,0.0,0.5,22.273151,114.166075,21|16|14|19|11,0.1513|0.1191|0.0906|0.0813|0.0801,
unit_000047,HongKong,6,6,129.0,11,3.015,0.0,0.0,0.5,22.274342,114.164218,11|21|16|24|14,0.1441|0.1096|0.1081|0.0939|0.0908,
unit_000048,HongKong,10,10,228.3,21,2.768,0.0,0.0,0.5,22.26346,114.171767,21|11|16|24|10,0.0882|0.0802|0.0715|0.0684|0.0545,
unit_000050,HongKong,33,48,538.4,11,2.9626,1e-05,0.10717,0.5268,22.257373,114.193173,11|25|8|3|0,0.1457|0.0691|0.0678|0.0678|0.0627,
unit_000051,HongKong,8,8,181.1,27,3.0125,0.0,0.0,0.5,22.266678,114.237759,27|25|23|26|21,0.1241|0.1217|0.1054|0.1033|0.0989,
unit_000052,HongKong,48,48,860.2,9,3.0507,0.0,0.0,0.5,22.263386,114.237298,9|8|4|15|22,0.1379|0.1183|0.1171|0.0929|0.0909,
unit_000053,HongKong,6,8,131.5,22,3.0578,4e-05,0.06156,0.5154,22.270635,114.238883,22|19|27|14|8,0.1297|0.1107|0.1071|0.0916|0.0888,
unit_000054,HongKong,3,4,52.6,27,3.106,1e-05,0.06156,0.5154,22.269662,114.238462,27|14|0|9|21,0.1437|0.1240|0.1223|0.1126|0.0979,
unit_000055,HongKong,6,7,128.7,22,3.047,1e-05,0.07542,0.5188,22.2707,114.23881,22|19|27|14|8,0.1312|0.1122|0.1043|0.0893|0.0885,
unit_000056,HongKong,11,14,211.8,27,3.1027,1e-05,0.07542,0.5188,22.269483,114.239498,27|14|0|9|21,0.1427|0.1232|0.1224|0.1132|0.0978,
unit_000057,HongKong,40,51,767.1,14,3.027,1e-05,0.06619,0.5165,22.334349,114.238344,14|21|10|16|9,0.1413|0.1318|0.1113|0.0930|0.0879,
unit_000058,HongKong,8,8,184.2,11,3.0479,0.0,0.0,0.5,22.325887,114.228459,11|14|31|10|13,0.1602|0.1162|0.0992|0.0772|0.0771,
unit_000059,HongKong,26,26,540.8,27,3.0149,0.0,0.0,0.5,22.324162,114.228937,27|14|10|11|22,0.1083|0.1020|0.0989|0.0952|0.0904,
unit_000060,HongKong,32,32,675.9,25,3.0382,0.0,0.0,0.5,22.327043,114.224169,25|21|9|11|23,0.1157|0.1031|0.1005|0.0992|0.0921,
unit_000061,HongKong,21,27,350.2,0,3.0774,2e-05,0.0656,0.5164,22.314911,114.24001,0|31|15|25|11,0.1244|0.1239|0.1213|0.1077|0.1067,
unit_000062,HongKong,3,5,54.3,6,2.9829,0.0001,0.05858,0.5146,22.315614,114.239421,6|13|23|15|1,0.1107|0.1055|0.1054|0.0907|0.0783,
unit_000063,HongKong,19,19,379.2,22,2.9621,0.0,0.21904,0.5545,22.312635,114.225358,22|9|0|8|14,0.1504|0.1293|0.1108|0.0991|0.0671,
unit_000064,HongKong,7,7,165.9,22,2.8217,0.0,0.0,0.5,22.292116,114.205987,22|8|28|19|1,0.1618|0.0753|0.0745|0.0530|0.0525,
unit_000065,HongKong,36,36,587.5,22,2.8516,0.0,0.0,0.5,22.291473,114.207712,22|26|9|0|14,0.2045|0.0985|0.0775|0.0635|0.0619,
unit_000066,HongKong,25,35,478.5,22,3.0487,5e-05,0.05047,0.5126,22.282224,114.192157,22|9|15|27|4,0.1919|0.0787|0.0772|0.0691|0.0690,
unit_000067,HongKong,25,40,471.6,4,3.0666,0.00017,0.0,0.5,22.27974,114.170339,4|8|22|27|10,0.1045|0.1018|0.0989|0.0937|0.0808,
unit_000068,HongKong,4,4,76.3,25,3.0725,0.0,0.0,0.5,22.280619,114.168617,25|27|9|18|8,0.1231|0.1078|0.0931|0.0926|0.0885,
unit_000069,HongKong,55,75,1134.7,22,2.9952,6e-05,0.08535,0.5213,22.279472,114.16571,22|0|8|9|14,0.1389|0.1370|0.1027|0.0915|0.0795,
unit_000070,HongKong,9,16,205.9,0,3.0295,6e-05,0.08282,0.5207,22.326514,114.160052,0|1|27|31|16,0.1410|0.1400|0.0999|0.0918|0.0835,
unit_000071,HongKong,4,5,77.2,22,2.9981,5e-05,0.08282,0.5207,22.325611,114.161259,22|15|4|26|24,0.1582|0.1155|0.0998|0.0996|0.0802,
unit_000072,HongKong,20,31,449.1,26,3.158,0.00031,0.0,0.4999,22.324325,114.163085,26|9|22|16|2,0.0985|0.0959|0.0937|0.0925|0.0848,
unit_000073,HongKong,11,15,208.6,8,2.9984,2e-05,0.07051,0.5176,22.322671,114.165031,8|16|22|26|4,0.1257|0.1145|0.1135|0.0867|0.0831,
unit_000074,HongKong,201,225,4045.6,0,3.0611,0.00014,0.0,0.5,22.312115,114.165892,0|6|22|10|14,0.1314|0.1226|0.0966|0.0897|0.0770,
unit_000075,HongKong,9,9,154.7,22,3.0543,0.0,0.0,0.5,22.309727,114.167833,22|31|16|8|25,0.1296|0.1043|0.1017|0.1017|0.0929,
unit_000076,HongKong,55,55,942.7,22,3.0543,0.0,0.0,0.5,22.309392,114.167542,22|31|16|8|25,0.1296|0.1043|0.1017|0.1017|0.0929,
unit_000077,HongKong,6,6,76.6,26,2.8611,0.0,0.0,0.5,22.32003,114.206581,26|22|14|24|15,0.1187|0.1107|0.1027|0.1001|0.0888,
unit_000078,HongKong,11,11,204.5,23,2.99,0.0,0.0,0.5,22.31812,114.211696,23|15|28|25|6,0.1295|0.1173|0.0736|0.0711|0.0685,
unit_000079,HongKong,8,8,176.6,14,3.061,0.0,0.0,0.5,22.318749,114.20804,14|0|27|4|9,0.1355|0.1201|0.1180|0.1087|0.1056,
unit_000080,HongKong,70,160,1386.3,22,3.0625,0.00017,0.41998,0.6034,22.291889,114.198704,22|24|26|15|27,0.1537|0.1126|0.1064|0.0933|0.0843,
unit_000081,HongKong,22,23,426.5,7,0.5512,1e-05,0.90871,0.7127,22.292157,114.200305,7|22|0|15|4,0.3802|0.0167|0.0123|0.0088|0.0046,
unit_000082,HongKong,78,171,1373.9,22,2.9619,7e-05,0.0,0.5,22.277891,114.183717,22|8|26|9|24,0.2005|0.0937|0.0802|0.0766|0.0749,
unit_000083,HongKong,6,7,138.5,3,2.9071,1e-05,0.26304,0.5654,22.341559,114.198122,3|6|24|11|16,0.1091|0.0797|0.0682|0.0667|0.0641,
unit_000085,HongKong,9,12,150.0,22,2.9921,0.0,0.06186,0.5155,22.34165,114.196235,22|31|13|28|0,0.1086|0.0953|0.0922|0.0909|0.0884,
unit_000086,HongKong,10,10,181.0,28,2.857,0.0,0.0,0.5,22.34163,114.192926,28|14|22|10|0,0.1121|0.1004|0.0922|0.0873|0.0850,
unit_000087,HongKong,25,25,421.0,31,3.0472,0.0,0.0,0.5,22.327175,114.255362,31|27|22|14|19,0.1453|0.1178|0.0922|0.0901|0.0877,
unit_000088,HongKong,68,133,1141.4,16,3.1088,0.00026,0.0,0.4999,22.322847,114.260015,16|15|4|31|8,0.0941|0.0879|0.0857|0.0850|0.0847,
unit_000089,HongKong,33,63,602.8,1,3.0319,7e-05,0.09874,0.5246,22.326392,114.160531,1|0|27|16|22,0.1294|0.1273|0.1078|0.0843|0.0827,
unit_000090,HongKong,42,42,805.8,26,3.0342,0.0,0.0,0.5,22.329886,114.174914,26|8|19|2|22,0.1260|0.1140|0.1003|0.0861|0.0838,
unit_000091,HongKong,48,48,719.1,11,2.9642,0.0,0.0,0.5,22.327244,114.172194,11|25|27|9|26,0.1091|0.1026|0.1023|0.0883|0.0850,
unit_000092,HongKong,77,92,1417.7,26,2.9464,0.00019,0.0,0.5,22.328433,114.165929,26|22|24|9|15,0.1724|0.1619|0.0908|0.0817|0.0801,
unit_000093,HongKong,48,100,994.9,22,3.0733,0.00021,0.09849,0.5246,22.324281,114.170618,22|26|9|27|15,0.1448|0.1102|0.1047|0.0843|0.0676,
unit_000094,HongKong,165,219,3047.7,22,2.8699,0.00011,0.18411,0.5459,22.317363,114.189033,22|26|24|16|15,0.1673|0.1668|0.1072|0.0775|0.0759,
unit_000095,HongKong,5,5,100.2,26,2.8052,0.0,0.0,0.5,22.324011,114.188437,26|22|24|4|13,0.1785|0.1695|0.1111|0.0826|0.0766,
unit_000096,HongKong,5,9,101.1,8,3.0656,4e-05,0.21157,0.5527,22.299133,114.180529,8|4|19|25|9,0.1536|0.1084|0.1006|0.0947|0.0907,
unit_000097,HongKong,15,15,284.0,0,2.9873,0.0,0.21157,0.5527,22.298251,114.17931,0|4|9|27|6,0.1515|0.0965|0.0903|0.0894|0.0763,
unit_000098,HongKong,9,9,208.8,11,3.0224,0.0,0.0,0.5,22.297306,114.24214,11|27|16|4|25,0.1498|0.1306|0.1007|0.0934|0.0804,
unit_000099,HongKong,8,8,176.5,14,3.0324,0.0,0.0,0.5,22.299756,114.228717,14|25|23|9|21,0.1195|0.1122|0.0912|0.0889|0.0859,
unit_000100,HongKong,37,37,775.0,22,3.0446,0.0,0.0,0.5,22.313523,114.216817,22|27|8|14|9,0.1522|0.1264|0.0930|0.0823|0.0802,
unit_000101,HongKong,38,38,694.2,22,3.0772,0.0,0.08741,0.5218,22.339478,114.198008,22|14|27|16|26,0.1510|0.1345|0.1005|0.0993|0.0981,
unit_000102,HongKong,4,6,53.2,22,3.0383,2e-05,0.0,0.5,22.346013,114.198587,22|14|26|31|27,0.1508|0.1160|0.1091|0.1015|0.0972,
unit_000104,HongKong,72,96,1186.0,22,2.8978,0.00015,0.1402,0.535,22.308064,114.170782,22|26|24|4|15,0.1254|0.1221|0.1108|0.0716|0.0653,
unit_000105,HongKong,70,116,1199.9,22,2.8215,0.00015,0.08369,0.5209,22.305653,114.170058,22|26|24|15|13,0.1611|0.1240|0.1154|0.0844|0.0689,
unit_000106,HongKong,20,20,360.6,22,2.9602,0.0,0.0,0.5,22.317278,114.172689,22|26|24|8|4,0.1734|0.1039|0.0799|0.0748|0.0668,
unit_000107,HongKong,32,32,622.1,26,2.9669,0.0,0.0,0.5,22.316544,114.186649,26|24|15|8|27,0.1250|0.1091|0.0993|0.0951|0.0934,
unit_000108,HongKong,35,35,621.6,26,2.9699,0.0,0.0,0.5,22.312572,114.186187,26|22|9|16|14,0.1817|0.1135|0.0933|0.0812|0.0810,
unit_000109,HongKong,32,32,483.8,8,2.9872,0.0,0.0,0.5,22.286707,114.220076,8|26|27|25|22,0.1322|0.1008|0.0864|0.0838|0.0774,
unit_000110,HongKong,18,18,340.5,22,2.7875,0.0,0.0,0.5,22.286138,114.217896,22|3|8|0|10,0.1575|0.1033|0.0856|0.0818|0.0633,
unit_000112,HongKong,11,12,211.8,1,2.9743,0.0,0.21202,0.5528,22.285197,114.220885,1|16|28|15|0,0.1171|0.0995|0.0906|0.0905|0.0866,
unit_000113,HongKong,15,15,265.4,22,2.8648,0.0,0.0,0.5,22.284482,114.215836,22|9|28|0|27,0.1272|0.0957|0.0840|0.0775|0.0683,
unit_000114,HongKong,9,9,160.2,25,2.9691,0.0,0.0,0.5,22.287057,114.221179,25|0|1|27|31,0.1901|0.1211|0.1080|0.0906|0.0903,
unit_000115,HongKong,7,7,151.2,25,2.9691,0.0,0.0,0.5,22.287078,114.221406,25|0|1|27|31,0.1901|0.1211|0.1080|0.0906|0.0903,
unit_000116,HongKong,23,23,417.2,27,3.0842,0.0,0.0,0.5,22.282264,114.215528,27|16|23|15|8,0.1237|0.1129|0.1071|0.1017|0.0917,
unit_000117,HongKong,41,61,720.1,6,3.0683,0.00016,0.0,0.5,22.302713,114.159327,6|8|25|22|19,0.1199|0.1047|0.0973|0.0958|0.0952,
unit_000118,HongKong,13,16,259.2,25,3.0792,8e-05,0.0,0.5,22.309278,114.160778,25|31|9|21|16,0.1781|0.0784|0.0760|0.0743|0.0741,
unit_000119,HongKong,20,35,291.1,6,2.966,0.0,0.0,0.5,22.303026,114.159587,6|19|8|22|31,0.1434|0.1064|0.1044|0.0970|0.0900,
unit_000120,HongKong,29,58,533.5,22,2.999,2e-05,0.1173,0.5293,22.281452,114.160955,22|8|4|27|9,0.1422|0.1174|0.0826|0.0675|0.0616,
unit_000121,HongKong,31,32,581.1,22,3.0255,0.0,0.12714,0.5317,22.281172,114.162289,22|8|0|6|28,0.1303|0.1266|0.1132|0.0840|0.0816,
unit_000122,HongKong,12,16,279.6,21,2.9604,6e-05,0.0,0.5,22.233778,114.248906,21|23|19|11|18,0.1114|0.0757|0.0716|0.0630|0.0621,
unit_000123,HongKong,33,33,593.2,11,2.7247,0.0,0.0,0.5,22.224148,114.243311,11|24|1|25|19,0.1053|0.0820|0.0763|0.0665|0.0598,
unit_000124,HongKong,8,8,179.9,11,2.8382,0.0,0.0,0.5,22.225618,114.244382,11|21|24|18|1,0.1146|0.0905|0.0654|0.0614|0.0446,
