unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,HongKong,13,13,211.1,25,3.0004,0.0,0.0,0.5,22.250506,114.171595,25|26|28|3|2,0.1031|0.0902|0.0866|0.0762|0.0646,
unit_000001,HongKong,19,20,388.3,25,2.8143,0.0,0.11754,0.5294,22.296826,114.171823,25|12|10|22|4,0.0968|0.0856|0.0791|0.0663|0.0629,
unit_000002,HongKong,74,109,1628.5,25,2.8906,8e-05,0.11366,0.5284,22.312873,114.170406,25|11|4|22|30,0.1220|0.0969|0.0900|0.0861|0.0647,
unit_000003,HongKong,8,8,132.6,25,2.8478,0.0,0.0,0.5,22.29871,114.169394,25|22|11|12|10,0.1201|0.0729|0.0723|0.0683|0.0616,
unit_000004,HongKong,7,7,154.8,25,2.9221,0.0,0.0,0.5,22.300189,114.168508,25|15|11|17|22,0.1308|0.0727|0.0708|0.0689|0.0570,
unit_000005,HongKong,34,34,551.4,25,2.9221,0.0,0.15272,0.5381,22.300099,114.168487,25|15|11|17|22,0.1308|0.0727|0.0708|0.0689|0.0570,
unit_000006,HongKong,23,24,369.1,25,2.9379,0.0,0.09853,0.5246,22.298211,114.178936,25|9|15|26|28,0.1086|0.0951|0.0821|0.0704|0.0648,
unit_000007,HongKong,45,45,734.8,25,3.0723,0.0,0.0,0.5,22.304576,114.167481,25|11|12|18|1,0.1047|0.0831|0.0810|0.0776|0.0765,
unit_000008,HongKong,34,34,491.9,25,3.0891,0.0,0.15501,0.5387,22.295237,114.174956,25|18|1|27|26,0.1390|0.0886|0.0715|0.0666|0.0595,
unit_000009,HongKong,15,17,280.8,25,2.9078,1e-05,0.10258,0.5256,22.298041,114.171073,25|27|22|30|10,0.1040|0.0627|0.0602|0.0595|0.0570,
unit_000010,HongKong,13,24,203.5,25,2.9257,1e-05,0.0535,0.5134,22.28203,114.160758,25|3|11|1|2,0.1019|0.0706|0.0654|0.0624|0.0613,
unit_000011,HongKong,23,23,423.9,25,3.0494,0.0,0.0535,0.5134,22.281666,114.162508,25|10|9|1|11,0.1198|0.0864|0.0725|0.0690|0.0654,
unit_000012,HongKong,47,57,782.6,25,3.0645,3e-05,0.08288,0.5207,22.28008,114.163234,25|18|15|12|9,0.1401|0.0733|0.0715|0.0704|0.0703,
unit_000013,HongKong,58,103,1096.7,25,2.9925,2e-05,0.24094,0.5599,22.277925,114.166972,25|15|11|3|22,0.1198|0.1181|0.0902|0.0757|0.0673,
unit_000014,HongKong,74,152,1484.1,25,2.9691,9e-05,0.0,0.5,22.277893,114.171304,25|10|11|2|4,0.1512|0.0695|0.0689|0.0662|0.0629,
unit_000015,HongKong,158,298,3321.7,25,2.9422,7e-05,0.08193,0.5205,22.277392,114.174715,25|10|4|22|11,0.1378|0.0881|0.0682|0.0659|0.0620,
unit_000016,HongKong,59,67,1087.2,25,2.7795,0.0,0.06966,0.5174,22.27838,114.176701,25|11|4|22|30,0.1486|0.0958|0.0861|0.0644|0.0621,
unit_000017,HongKong,170,288,3388.1,25,3.0388,0.00016,0.10293,0.5257,22.280728,114.174286,25|11|3|15|10,0.1507|0.0711|0.0668|0.0588|0.0535,
unit_000018,HongKong,55,84,972.9,15,3.0447,2e-05,0.0687,0.5172,22.279299,114.162366,15|25|11|9|3,0.1080|0.1062|0.0895|0.0768|0.0763,
unit_000019,HongKong,67,85,1231.9,10,3.1196,7e-05,0.0,0.5,22.273626,114.173186,10|11|25|8|22,0.0892|0.0877|0.0754|0.0693|0.0634,
unit_000020,HongKong,43,43,701.5,25,2.8655,0.0,0.0,0.5,22.27559,114.171163,25|11|22|10|4,0.0989|0.0908|0.0899|0.0893|0.0795,
unit_000021,HongKong,59,59,1225.5,25,3.0543,0.0,0.20263,0.5505,22.274637,114.179185,25|18|10|11|20,0.1044|0.0879|0.0843|0.0811|0.0650,
unit_000022,HongKong,43,47,846.1,17,3.0377,9e-05,0.05025,0.5125,22.271095,114.178204,17|15|12|18|3,0.1100|0.0829|0.0729|0.0683|0.0653,
unit_000023,HongKong,36,68,703.6,26,2.9504,1e-05,0.0,0.5,22.26563,114.184535,26|15|9|11|22,0.1022|0.1016|0.0957|0.0903|0.0859,
unit_000024,HongKong,30,30,606.5,15,3.0515,0.0,0.0,0.5,22.26262,114.187341,15|18|20|26|17,0.1135|0.1072|0.0807|0.0757|0.0696,
unit_000025,HongKong,9,9,200.5,17,2.944,0.0,0.0,0.5,22.243211,114.237658,17|15|18|30|16,0.1376|0.1038|0.1006|0.0629|0.0484,
unit_000026,HongKong,18,25,426.0,17,3.03,0.00011,0.0,0.5,22.246178,114.234383,17|15|12|16|19,0.1094|0.1027|0.0581|0.0572|0.0505,
unit_000027,HongKong,8,8,175.5,15,2.866,0.0,0.0,0.5,22.261176,114.225607,15|12|17|30|19,0.1080|0.1022|0.0965|0.0710|0.0625,
