unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Vienna,162118,30017,3702265.0,1,2.4658,0.00071,0.36249,0.5895,48.177512,16.337773,1|0|6|7|2,0.1163|0.0795|0.0750|0.0725|0.0722,
unit_000002,Vienna,46,8,918.5,1,2.2843,0.0,0.3138,0.5778,48.207874,16.31113,1|13|15|2|7,0.1519|0.1347|0.1282|0.1054|0.0855,
unit_000003,Vienna,49849,7537,1153229.5,1,2.435,0.00062,0.37613,0.5928,48.252642,16.456536,1|0|8|4|16,0.1315|0.1057|0.0795|0.0708|0.0666,
unit_000004,Vienna,460,49,10437.2,1,2.382,0.0001,0.46743,0.6148,48.223334,16.425886,1|20|2|6|4,0.1602|0.1304|0.1127|0.1069|0.0797,
unit_000005,Vienna,1019,224,24723.7,13,2.245,0.00023,0.49144,0.6204,48.131151,16.541284,13|15|16|8|0,0.1349|0.1336|0.1287|0.0784|0.0599,
unit_000007,Vienna,663,161,15436.9,15,2.1844,0.00016,0.40033,0.5987,48.116636,16.295021,15|16|13|0|6,0.1547|0.1218|0.1213|0.0710|0.0693,
unit_000008,Vienna,1350,305,30237.6,1,2.4506,0.00056,0.34083,0.5843,48.16114,16.323148,1|15|16|8|20,0.1285|0.0807|0.0803|0.0762|0.0746,
unit_000009,Vienna,42,8,884.9,13,2.1977,1e-05,0.31459,0.578,48.12009,16.316866,13|16|15|0|2,0.1576|0.1362|0.0891|0.0590|0.0567,
unit_000015,Vienna,170,16,3681.7,0,2.0941,0.0,0.42818,0.6054,48.252009,16.280884,0|1|16|4|20,0.1459|0.1308|0.0984|0.0980|0.0575,
unit_000018,Vienna,113,126,2771.3,16,2.2203,0.0002,0.37722,0.5932,48.156812,16.3766,16|15|13|8|6,0.1472|0.1440|0.1019|0.0702|0.0528,
unit_000019,Vienna,36,5,831.1,1,2.2969,6e-05,0.39685,0.5979,48.176196,16.399688,1|13|7|2|0,0.1485|0.1040|0.1026|0.0860|0.0782,
unit_000020,Vienna,22,8,525.9,16,1.8981,0.0,0.38475,0.595,48.17117,16.396857,16|13|15|2|1,0.1613|0.1446|0.0895|0.0639|0.0398,
unit_000021,Vienna,132,42,3181.3,13,2.3477,0.00021,0.28316,0.5703,48.200773,16.240795,13|0|2|8|4,0.1163|0.1090|0.1057|0.1015|0.0771,
unit_000023,Vienna,55,16,1357.3,13,2.2086,0.00012,0.43579,0.6072,48.152144,16.36038,13|16|15|0|2,0.1412|0.1354|0.1061|0.0724|0.0717,
unit_000026,Vienna,58,16,1434.4,13,2.2052,0.00012,0.43579,0.6072,48.152022,16.360266,13|16|15|0|2,0.1416|0.1354|0.1061|0.0726|0.0718,
unit_000028,Vienna,110,125,2690.2,16,2.2201,0.0002,0.34877,0.5863,48.156596,16.376672,16|15|13|8|6,0.1478|0.1438|0.1016|0.0707|0.0526,
unit_000031,Vienna,88,21,1797.4,7,2.2921,0.0,0.29365,0.5729,48.244638,16.360745,7|6|13|20|1,0.1537|0.1341|0.1221|0.0859|0.0811,
unit_000032,Vienna,39,5,913.5,1,2.2884,6e-05,0.39685,0.5979,48.176208,16.399919,1|7|13|2|0,0.1499|0.1038|0.1034|0.0852|0.0782,
