unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Vienna,21,21,406.5,27,2.6248,0.0,0.0,0.5,48.215868,16.358065,27|25|23|10|14,0.2325|0.2109|0.1121|0.1076|0.0986,
unit_000001,Vienna,25,25,416.3,25,2.6554,0.0,0.0,0.5,48.196165,16.287231,25|13|10|12|14,0.2138|0.1629|0.1532|0.1407|0.1295,
unit_000002,Vienna,13,13,252.7,8,2.753,0.0,0.0,0.5,48.197157,16.293664,8|25|12|31|13,0.1800|0.1795|0.1681|0.1253|0.1164,
unit_000003,Vienna,27,27,444.9,25,2.5506,0.0,0.0,0.5,48.200926,16.337454,25|23|8|12|22,0.2385|0.1590|0.1496|0.1392|0.1076,
unit_000004,Vienna,16,16,318.9,13,2.7583,0.0,0.0,0.5,48.188827,16.280024,13|3|19|5|27,0.1852|0.1817|0.1514|0.1514|0.1276,
unit_000005,Vienna,20,20,311.0,25,2.828,0.0,0.0,0.5,48.195125,16.28385,25|8|16|26|22,0.1794|0.1595|0.1425|0.1344|0.1323,
unit_000006,Vienna,20,22,349.1,26,2.8283,1e-05,0.07668,0.5192,48.206213,16.337733,26|5|23|22|27,0.1910|0.1483|0.1416|0.1404|0.1386,
unit_000007,Vienna,16,17,297.5,22,2.823,0.0,0.03309,0.5083,48.207726,16.337366,22|9|12|23|27,0.1662|0.1329|0.1327|0.1271|0.1038,
unit_000009,Vienna,3,3,52.2,26,2.8259,0.0,0.04837,0.5121,48.206583,16.336833,26|5|23|22|27,0.1920|0.1489|0.1409|0.1388|0.1381,
unit_000010,Vienna,4,5,75.2,22,2.8286,1e-05,0.07668,0.5192,48.20739,16.33819,22|9|12|23|27,0.1684|0.1334|0.1323|0.1292|0.1064,
unit_000011,Vienna,30,60,529.3,26,2.805,0.0,0.0,0.5,48.212692,16.333687,26|16|25|22|27,0.1938|0.1843|0.1554|0.1433|0.1397,
unit_000012,Vienna,16,16,302.8,9,2.8179,0.0,0.0,0.5,48.206323,16.304277,9|26|27|5|22,0.1590|0.1499|0.1491|0.1413|0.1277,
unit_000013,Vienna,12,12,257.3,3,2.8428,0.0,0.0,0.5,48.201146,16.28891,3|13|5|19|23,0.2917|0.1710|0.1507|0.1383|0.1346,
unit_000014,Vienna,17,17,328.5,3,2.8804,0.0,0.0,0.5,48.198745,16.29417,3|14|23|5|13,0.2152|0.1742|0.1570|0.1335|0.1326,
unit_000015,Vienna,8,8,180.8,23,2.8179,0.0,0.0,0.5,48.207468,16.311068,23|17|14|26|19,0.1910|0.1708|0.1584|0.1496|0.1432,
unit_000016,Vienna,16,16,341.7,25,2.5561,0.0,0.0,0.5,48.205998,16.32868,25|27|16|20|22,0.2529|0.2010|0.1442|0.1361|0.0929,
unit_000017,Vienna,21,21,424.2,25,2.7691,0.0,0.0,0.5,48.217145,16.340277,25|16|26|5|20,0.1756|0.1576|0.1544|0.1385|0.1341,
unit_000018,Vienna,19,19,329.2,25,2.6733,0.0,0.0,0.5,48.231206,16.372804,25|27|10|19|16,0.2760|0.1453|0.1282|0.1239|0.1183,
unit_000019,Vienna,7,7,152.7,6,2.6475,0.0,0.0,0.5,48.199142,16.425212,6|21|22|20|31,0.2504|0.1537|0.1137|0.1008|0.0957,
unit_000020,Vienna,13,13,263.9,6,2.7302,0.0,0.0,0.5,48.209572,16.440414,6|31|22|23|20,0.2638|0.1522|0.1246|0.1180|0.1136,
unit_000021,Vienna,11,11,206.9,6,2.6238,0.0,0.0,0.5,48.193478,16.416957,6|31|23|20|19,0.2846|0.1670|0.1184|0.1174|0.0907,
unit_000022,Vienna,7,7,155.9,6,2.5913,0.0,0.0,0.5,48.1947,16.418785,6|31|17|20|19,0.2421|0.1739|0.1468|0.1247|0.1033,
unit_000023,Vienna,15,15,307.5,6,2.5784,0.0,0.0,0.5,48.192707,16.418781,6|20|23|22|9,0.2906|0.1585|0.1310|0.1197|0.1030,
unit_000024,Vienna,8,8,176.9,6,2.6238,0.0,0.0,0.5,48.193334,16.417024,6|31|23|20|19,0.2846|0.1670|0.1184|0.1174|0.0907,
unit_000025,Vienna,6,11,126.7,6,2.7884,1e-05,0.0,0.5,48.210576,16.443405,6|31|22|13|17,0.2571|0.1775|0.1272|0.1248|0.1157,
unit_000026,Vienna,8,15,179.6,6,2.7834,1e-05,0.0,0.5,48.211343,16.443346,6|31|13|22|17,0.2605|0.1778|0.1271|0.1258|0.1185,
unit_000027,Vienna,7,7,152.4,6,2.7336,0.0,0.0,0.5,48.248908,16.392819,6|23|9|31|20,0.2829|0.1530|0.1475|0.1440|0.1393,
unit_000028,Vienna,17,17,366.3,6,2.7956,0.0,0.0,0.5,48.25214,16.389705,6|23|21|22|5,0.2650|0.1549|0.1311|0.1282|0.1176,
unit_000029,Vienna,14,14,298.4,6,2.7336,0.0,0.0,0.5,48.249018,16.393009,6|23|9|31|20,0.2829|0.1530|0.1475|0.1440|0.1393,
unit_000030,Vienna,8,8,176.6,17,2.7583,0.0,0.0,0.5,48.21251,16.438486,17|21|6|23|13,0.2243|0.2041|0.1829|0.1589|0.1270,
unit_000031,Vienna,18,18,341.7,8,2.8181,0.0,0.0,0.5,48.198446,16.268389,8|26|13|16|14,0.1841|0.1647|0.1525|0.1410|0.1405,
unit_000032,Vienna,13,26,262.6,19,2.8511,0.0,0.0,0.5,48.148048,16.264397,19|13|16|3|14,0.1954|0.1795|0.1793|0.1554|0.1428,
unit_000033,Vienna,48,48,951.3,31,2.7582,0.0,0.0,0.5,48.121492,16.292955,31|14|19|22|9,0.2519|0.2110|0.1729|0.1543|0.1166,
unit_000034,Vienna,14,14,253.8,5,2.8825,0.0,0.0,0.5,48.148882,16.296995,5|8|14|12|17,0.2132|0.1612|0.1595|0.1148|0.1121,
unit_000036,Vienna,8,8,175.6,26,2.7744,0.0,0.0,0.5,48.172572,16.286859,26|8|20|3|12,0.2021|0.1357|0.1227|0.1207|0.1178,
unit_000037,Vienna,30,30,492.7,25,2.7335,0.0,0.0,0.5,48.170539,16.288896,25|8|12|31|26,0.2083|0.2070|0.1436|0.1297|0.1235,
unit_000038,Vienna,24,24,534.7,8,2.7603,0.0,0.0,0.5,48.170932,16.291884,8|25|13|19|23,0.2262|0.1518|0.1498|0.1474|0.1446,
unit_000039,Vienna,15,15,306.5,31,2.8318,0.0,0.0,0.5,48.169037,16.305749,31|3|10|26|13,0.1990|0.1709|0.1700|0.1552|0.1487,
unit_000040,Vienna,32,32,593.5,17,2.7728,0.0,0.09654,0.5241,48.164326,16.316944,17|22|5|26|9,0.1585|0.1539|0.1477|0.1472|0.1354,
unit_000041,Vienna,8,8,177.9,31,2.8298,0.0,0.0,0.5,48.157603,16.320769,31|21|19|12|6,0.1999|0.1404|0.1319|0.1306|0.1282,
unit_000042,Vienna,8,8,177.6,31,2.8298,0.0,0.0,0.5,48.157467,16.320766,31|21|19|12|6,0.1999|0.1404|0.1319|0.1306|0.1282,
unit_000043,Vienna,13,26,256.9,31,2.8165,8e-05,0.0,0.5,48.149553,16.33713,31|17|21|27|13,0.1816|0.1689|0.1670|0.1607|0.1607,
unit_000044,Vienna,6,6,126.7,31,2.8114,0.0,0.0,0.5,48.154026,16.334398,31|6|10|21|9,0.2242|0.1679|0.1425|0.1307|0.1231,
unit_000045,Vienna,6,6,127.1,31,2.8114,0.0,0.0,0.5,48.153894,16.33441,31|6|10|21|9,0.2242|0.1679|0.1425|0.1307|0.1231,
unit_000046,Vienna,9,23,203.4,31,2.8275,8e-05,0.0,0.5,48.149715,16.336922,31|17|21|13|27,0.1927|0.1733|0.1663|0.1637|0.1603,
unit_000047,Vienna,8,22,184.3,31,2.8266,7e-05,0.0,0.5,48.149675,16.336695,31|17|21|13|27,0.1950|0.1740|0.1666|0.1643|0.1611,
unit_000048,Vienna,15,15,309.4,31,2.7408,0.0,0.0,0.5,48.118344,16.323479,31|6|17|9|20,0.2392|0.1927|0.1582|0.1505|0.1252,
unit_000049,Vienna,3,3,51.5,31,2.7408,0.0,0.0,0.5,48.11806,16.323826,31|6|17|9|20,0.2392|0.1927|0.1582|0.1505|0.1252,
unit_000050,Vienna,8,8,177.6,31,2.7408,0.0,0.0,0.5,48.118579,16.323011,31|6|17|9|20,0.2392|0.1927|0.1582|0.1505|0.1252,
unit_000051,Vienna,6,6,126.8,31,2.7408,0.0,0.0,0.5,48.119155,16.323115,31|6|17|9|20,0.2392|0.1927|0.1582|0.1505|0.1252,
unit_000052,Vienna,9,9,151.8,6,2.639,0.0,0.0,0.5,48.081438,16.334534,6|31|17|19|20,0.3189|0.1600|0.1236|0.0921|0.0880,
unit_000053,Vienna,7,7,154.6,6,2.639,0.0,0.0,0.5,48.081457,16.334277,6|31|17|19|20,0.3189|0.1600|0.1236|0.0921|0.0880,
unit_000054,Vienna,8,8,177.2,6,2.639,0.0,0.0,0.5,48.081208,16.334123,6|31|17|19|20,0.3189|0.1600|0.1236|0.0921|0.0880,
unit_000055,Vienna,12,12,231.5,6,2.639,0.0,0.0,0.5,48.081291,16.334033,6|31|17|19|20,0.3189|0.1600|0.1236|0.0921|0.0880,
unit_000056,Vienna,8,8,179.3,10,2.69,0.0,0.0,0.5,48.250854,16.287445,10|31|3|9|17,0.2644|0.1755|0.1366|0.1122|0.0993,
unit_000057,Vienna,22,22,361.6,25,2.792,0.0,0.0,0.5,48.222922,16.331584,25|27|16|14|20,0.2645|0.1729|0.1642|0.1257|0.1172,
unit_000058,Vienna,22,22,407.7,5,2.7728,0.0,0.0,0.5,48.185416,16.286862,5|23|3|13|9,0.1694|0.1558|0.1440|0.1383|0.1379,
unit_000059,Vienna,8,8,177.2,9,2.6642,0.0,0.0,0.5,48.162268,16.384991,9|6|20|23|5,0.1851|0.1748|0.1590|0.1336|0.1328,
unit_000060,Vienna,4,4,76.0,9,2.8105,0.0,0.0,0.5,48.160688,16.382817,9|23|31|19|17,0.1887|0.1730|0.1617|0.1583|0.1315,
unit_000061,Vienna,8,8,177.2,21,2.6696,0.0,0.0,0.5,48.160129,16.38061,21|6|20|17|31,0.2488|0.2361|0.1571|0.1507|0.1092,
unit_000062,Vienna,8,8,176.4,9,2.6642,0.0,0.0,0.5,48.162413,16.384904,9|6|20|23|5,0.1851|0.1748|0.1590|0.1336|0.1328,
unit_000063,Vienna,5,5,100.2,19,2.7877,0.0,0.0,0.5,48.176776,16.399819,19|14|13|20|22,0.2060|0.1431|0.1344|0.1255|0.1156,
unit_000064,Vienna,26,53,475.2,23,2.771,0.0,0.0152,0.5038,48.188496,16.338511,23|27|8|20|14,0.2064|0.1410|0.1374|0.1184|0.1149,
unit_000065,Vienna,27,27,488.7,27,2.6205,0.0,0.0,0.5,48.217025,16.368113,27|10|25|23|5,0.1736|0.1134|0.1124|0.0965|0.0893,
unit_000066,Vienna,8,8,175.9,31,2.8049,0.0,0.0,0.5,48.200622,16.247227,31|6|10|16|27,0.2197|0.1879|0.1461|0.1132|0.1057,
unit_000067,Vienna,18,18,344.2,19,2.8167,0.0,0.0,0.5,48.206991,16.307418,19|10|26|25|27,0.1480|0.1476|0.1387|0.1319|0.1290,
unit_000068,Vienna,8,8,180.2,23,2.8617,0.0,0.0,0.5,48.190261,16.317196,23|31|10|8|19,0.1689|0.1547|0.1385|0.1313|0.0959,
unit_000070,Vienna,17,17,340.8,25,2.8163,0.0,0.0,0.5,48.189448,16.308086,25|16|13|19|8,0.2673|0.1590|0.1300|0.1230|0.1114,
unit_000071,Vienna,40,40,769.3,25,2.5213,0.0,0.0,0.5,48.190333,16.32292,25|8|23|31|26,0.2250|0.2129|0.1595|0.1332|0.1153,
unit_000072,Vienna,23,23,391.4,3,2.8356,0.0,0.0,0.5,48.166921,16.271537,3|13|19|23|10,0.2293|0.1874|0.1522|0.1497|0.1269,
unit_000073,Vienna,5,5,101.9,3,2.8356,0.0,0.0,0.5,48.166135,16.271669,3|13|19|23|10,0.2293|0.1874|0.1522|0.1497|0.1269,
unit_000074,Vienna,31,31,661.8,16,2.8335,0.0,0.0,0.5,48.223641,16.314065,16|9|23|27|14,0.1987|0.1464|0.1462|0.1414|0.1254,
unit_000076,Vienna,15,15,267.7,25,2.5935,0.0,0.0,0.5,48.225473,16.346736,25|23|8|10|22,0.3064|0.0914|0.0879|0.0857|0.0815,
unit_000077,Vienna,8,8,175.7,21,2.7903,0.0,0.0,0.5,48.245224,16.364289,21|20|17|6|8,0.2205|0.1416|0.1297|0.1082|0.1058,
unit_000078,Vienna,8,8,176.2,10,2.8573,0.0,0.0,0.5,48.150499,16.31401,10|23|31|5|14,0.1853|0.1794|0.1746|0.1415|0.1327,
unit_000079,Vienna,17,17,335.5,25,2.846,0.0,0.0,0.5,48.191482,16.26916,25|16|27|14|19,0.2212|0.1754|0.1652|0.1343|0.1313,
unit_000080,Vienna,8,16,175.1,17,2.8804,0.0,0.0,0.5,48.194666,16.263795,17|9|14|20|12,0.2058|0.1307|0.1232|0.1227|0.1169,
unit_000081,Vienna,26,26,427.8,23,2.6781,0.0,0.0,0.5,48.219478,16.368577,23|27|26|20|12,0.2138|0.1467|0.1377|0.1352|0.1027,
unit_000082,Vienna,5,5,50.5,19,2.7877,0.0,0.0,0.5,48.176711,16.399961,19|14|13|20|22,0.2060|0.1431|0.1344|0.1255|0.1156,
unit_000083,Vienna,7,14,151.8,6,2.7497,0.0,0.00991,0.5025,48.180799,16.403095,6|21|20|22|14,0.2383|0.1758|0.1564|0.1202|0.1184,
