unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Vienna,61,104,1087.1,31,2.9827,5e-05,0.0,0.5,48.207028,16.356122,31|1|28|11|30,0.1210|0.0834|0.0586|0.0541|0.0477,
unit_000001,Vienna,21,42,406.5,31,2.8781,0.0,0.0,0.5,48.215868,16.358065,31|11|15|3|27,0.1672|0.0553|0.0465|0.0443|0.0372,
unit_000002,Vienna,16,16,315.8,31,2.8655,0.0,0.0,0.5,48.21243,16.358795,31|11|28|30|3,0.1081|0.0469|0.0312|0.0308|0.0295,
unit_000004,Vienna,21,46,384.2,31,2.9628,0.0,0.03275,0.5082,48.211455,16.35566,31|12|11|3|1,0.1258|0.0818|0.0558|0.0556|0.0499,
unit_000006,Vienna,15,45,296.1,31,2.4796,0.0,0.0,0.5,48.209521,16.350318,31|30|8|4|28,0.1482|0.0774|0.0389|0.0372|0.0324,
unit_000007,Vienna,16,16,300.5,31,2.7816,0.0,0.0,0.5,48.210411,16.35208,31|27|16|8|4,0.1561|0.0381|0.0337|0.0320|0.0305,
unit_000008,Vienna,16,42,305.0,31,2.9194,0.0,0.0,0.5,48.198708,16.273294,31|8|5|1|30,0.1363|0.0742|0.0688|0.0634|0.0558,
unit_000009,Vienna,10,10,191.8,31,2.7058,0.0,0.0,0.5,48.198329,16.284379,31|12|5|8|16,0.1304|0.1185|0.0897|0.0763|0.0570,
unit_000010,Vienna,25,25,416.3,31,2.747,0.0,0.12858,0.5321,48.196165,16.287231,31|8|16|18|27,0.1545|0.0937|0.0470|0.0346|0.0340,
unit_000011,Vienna,19,106,365.0,31,2.8994,4e-05,0.12858,0.5321,48.196936,16.288518,31|30|12|8|28,0.1896|0.0553|0.0513|0.0435|0.0431,
unit_000012,Vienna,22,57,409.4,31,2.9089,0.0,0.0,0.5,48.196897,16.293678,31|8|5|30|1,0.1257|0.0937|0.0657|0.0633|0.0499,
unit_000013,Vienna,26,26,438.3,8,2.832,0.0,0.0,0.5,48.195741,16.295416,8|31|5|16|10,0.1246|0.1119|0.0954|0.0654|0.0499,
unit_000014,Vienna,14,14,252.8,31,2.9237,0.0,0.0,0.5,48.197408,16.302549,31|8|30|27|4,0.1458|0.0967|0.0466|0.0424|0.0423,
unit_000016,Vienna,26,26,468.1,31,2.734,0.0,0.0,0.5,48.199106,16.313051,31|30|1|28|18,0.1591|0.0753|0.0592|0.0510|0.0497,
unit_000017,Vienna,30,66,521.6,31,3.0397,0.0,0.12556,0.5313,48.201423,16.338386,31|20|8|5|18,0.1304|0.0596|0.0553|0.0482|0.0471,
unit_000018,Vienna,19,20,323.4,31,2.5909,0.0,0.16138,0.5403,48.200903,16.337224,31|1|30|12|28,0.1285|0.0962|0.0840|0.0551|0.0535,
unit_000019,Vienna,25,25,492.0,31,2.966,0.0,0.0116,0.5029,48.185913,16.320472,31|1|5|12|28,0.1083|0.0851|0.0584|0.0501|0.0349,
unit_000020,Vienna,8,18,117.5,31,3.0155,1e-05,0.02443,0.5061,48.185808,16.320042,31|1|5|12|28,0.1111|0.0861|0.0685|0.0527|0.0371,
unit_000021,Vienna,15,57,295.0,31,2.9012,0.0,0.04323,0.5108,48.189617,16.286388,31|12|7|19|20,0.1621|0.0675|0.0664|0.0541|0.0435,
unit_000022,Vienna,13,26,233.9,8,3.025,0.0,0.18999,0.5474,48.191909,16.277476,8|27|5|31|1,0.1225|0.0789|0.0782|0.0639|0.0525,
unit_000023,Vienna,11,19,146.7,8,3.024,0.0,0.0,0.5,48.192519,16.277582,8|27|5|31|1,0.1204|0.0790|0.0738|0.0610|0.0523,
