city_key,city,element_a,element_b,name_a,name_b,parent_a,parent_b,same_coarse_family,visual_distance,pair_stability,city_images,rest_images,city_n11,city_n10,city_n01,city_n00,rest_n11,rest_n10,rest_n01,rest_n00,city_expected,city_pearson_residual,global_pearson_residual,delta_residual_vs_global,requested_city_score,city_log_odds,rest_log_odds,delta_log_odds,delta_log_odds_se,z_city_vs_rest,p_value_upper,city_atypicality_index,q_value_within_city,q_value_global_bh,passes_city_support,significant_city_specific
Netherlands/Amsterdam,Amsterdam,F045,F062,underpass glow,shaded alley,C027,C005,False,0.9250620347394541,0.5966287862790239,12639,366179,151,1580,143,10765,2113,81663,4248,278155,40.265369095656304,17.450891575389807,19.6561489413107,-2.205257365920893,0.0,1.9728559136323118,0.5273525257779393,1.4455033878543726,0.12255312379580688,11.794912631217892,2.0731535818712845e-32,1.3371803051913402,5.224347026315637e-30,1.1718161554352832e-29,True,True
Netherlands/Amsterdam,Amsterdam,F033,F062,zebra_crossing,shaded alley,C023,C005,False,0.9176178660049628,0.7071067811865476,12639,366179,187,4564,107,7781,758,38885,5603,320933,110.5145976738666,7.275598621529747,5.911707424145291,1.363891197384456,1.251530930006878,1.0897281404826773,0.11080862336289274,0.9789195171197845,0.1284870996591162,7.618815583174617,1.2800695818698301e-14,0.8982740382900652,1.1730092168407171e-12,1.4416873056142892e-12,True,True
Netherlands/Amsterdam,Amsterdam,F041,F045,concrete_wall,underpass glow,C011,C027,False,0.8987593052109181,0.6036897361201449,12639,366179,59,319,1672,10589,1098,7491,82678,274912,51.769760265843814,1.0048809670979382,-19.272054416885776,20.276935383983716,18.224084357515885,0.1647624698592672,-0.7183301588545911,0.8830926287138583,0.1472701703783055,5.996412080229028,1.0086237181887751e-09,0.7936877174197505,4.149766154833818e-08,5.550642627484725e-08,True,True
Netherlands/Amsterdam,Amsterdam,F004,F062,highlighted_buildings,shaded alley,C004,C005,False,0.9498759305210918,0.6094738146552856,12639,366179,52,1352,242,10993,505,34797,5856,325021,32.658912888677904,3.3843870047803524,-3.459264302777754,6.8436513075581065,6.500619653928642,0.5651609165334182,-0.2154136071809997,0.7805745237144178,0.16180997804553765,4.824019712151146,7.034675177034028e-07,0.7414489520542906,1.8909206875867465e-05,2.2678952809542533e-05,True,True
Netherlands/Amsterdam,Amsterdam,F035,F062,small alley entrance,shaded alley,C010,C005,False,0.8704714640198511,0.4007934610678437,12639,366179,136,2344,158,10001,1565,61588,4796,298230,57.68810823641111,10.310614905562874,16.13759524782328,-5.826980342260407,0.0,1.3012329435053458,0.45771028915822337,0.8435226543471224,0.12259086257745451,6.880795490073118,2.975962372391804e-12,0.7342623998634504,2.0688069457730611e-10,2.4159222051309574e-10,True,True
Netherlands/Amsterdam,Amsterdam,F000,F033,red brick corner,zebra_crossing,C000,C023,False,0.569727047146402,0.635854883943252,12639,366179,410,317,4341,7571,590,6906,39053,319630,273.27929424796264,8.270484038629123,1.1706296813247041,7.099854357304419,4.044979058156562,0.813069398455747,-0.35701550032452706,1.170084898780274,0.08840291289483594,13.235818373679683,2.7249922175696276e-40,0.6666290142926822,1.3733960776550922e-37,2.3212328073043815e-37,True,True
Netherlands/Amsterdam,Amsterdam,F021,F054,road_and_building,highlighted_lane,C017,C023,False,0.9404466501240695,0.8056292277454714,12639,366179,1827,2691,2375,5746,105656,58942,135204,66377,1502.0678851174935,8.38393411673843,-5.805420557942724,14.189354674681155,13.344331071226199,0.49623328580475895,-0.12779942979948694,0.6240327156042459,0.0395298684657057,15.78635952572491,1.9311847533325775e-56,0.5868694769578392,1.946634231359238e-53,5.078176255719752e-53,True,True
Netherlands/Amsterdam,Amsterdam,F017,F054,building facade,highlighted_lane,C011,C023,False,0.8655086848635236,0.6274211390466261,12639,366179,419,678,3783,7759,16976,12734,223884,112585,364.7119234116623,2.842689818994282,-17.952796496269045,20.795486315263325,17.998674011820963,0.23744743860944026,-0.39990217188418753,0.6373496104936278,0.06634447918983057,9.606671395670888,3.746609813522533e-22,0.5516316231766188,5.3951181314724475e-20,9.063798460873711e-20,True,True
Netherlands/Amsterdam,Amsterdam,F019,F045,road_and_building,underpass glow,C016,C027,False,0.9563275434243176,0.5704230159512896,12639,366179,90,367,1641,10541,2709,10201,81067,272202,62.58936624732969,3.4647252395647135,-3.972508612145595,7.4372338517103085,7.112431579278295,0.45833592207138985,-0.11450651865555743,0.5728424407269472,0.1223028207990703,4.683803995560025,1.4079965019128534e-06,0.5478250041095917,3.461610912019893e-05,4.251404315311501e-05,True,True
Netherlands/Amsterdam,Amsterdam,F038,F057,red-yellow hotspot,streetlight illumination,C000,C027,False,0.8754342431761787,0.37470226112242994,12639,366179,121,129,5593,6796,838,3027,112717,249597,113.02318221378273,0.7503189345853051,-9.351145499893944,10.101464434479249,8.843167872169428,0.1310359461293282,-0.488912962238735,0.6199489083680632,0.13346970987805276,4.644865932011778,1.7014868519522164e-06,0.5427245034050935,4.0835684446853196e-05,5.049358430131013e-05,True,True
