,BuenosAires,Sydney,Vienna,Dhaka,SaoPaulo,Toronto,HongKong,Bogota,Paris,Mumbai,NewDelhi,Jakarta,Osaka,KualaLumpur,MexicoCity,Amsterdam,Lagos,Lima,Manila,Moscow,Singapore,CapeTown,Johannesburg,Seoul,Taipei,Bangkok,Istanbul,London,LosAngeles,NewYorkCity
BuenosAires,1.0,0.9673089245741023,0.9457755597641012,0.8922100086769045,0.9772658144985491,0.9521364975329639,0.9435913684394334,0.9750882651402517,0.9614287732509801,0.9503079722723794,0.9365863208238847,0.914906228295407,0.928876105870721,0.9107427810216776,0.9770677741372867,0.8807323458501183,0.878448573184253,0.9741440355975503,0.9613843321671611,0.9373763253355591,0.9175511454520183,0.9651361270676344,0.9488367034289681,0.9447068752693807,0.9444872248861438,0.9560500264947612,0.9554176950576209,0.9216757728021417,0.9518369410675055,0.9419233637012221
Sydney,0.9673089245741023,0.9999999999999999,0.9378082954414705,0.8573156965091389,0.9723948572633209,0.9770260392625123,0.9328437238731252,0.9631608672728141,0.9502479267278342,0.9293249449506502,0.9119523997430947,0.8893956963366529,0.9093323066117099,0.934311525721515,0.9683765316570488,0.8827718271176952,0.8782486388900291,0.9467703717046905,0.9428732012562209,0.9406019661060907,0.9361111514399408,0.9780900284309602,0.9720317210300676,0.9313769436314416,0.9453000083712587,0.9506013487218454,0.9336271803093681,0.9264732735679355,0.9795233750774195,0.9580314790900496
Vienna,0.9457755597641012,0.9378082954414705,1.0,0.8989515571803455,0.956585086472891,0.9604689211944307,0.9591245412548182,0.9522133489571004,0.9915448109188744,0.9590671054043499,0.9535269981750057,0.914180331626334,0.9621788669331439,0.9302222261793518,0.9440017773698076,0.9371733045799701,0.8675776425593672,0.9232147406559601,0.9464979654685638,0.9639966574341614,0.9384789381357516,0.9200572952605658,0.9193891473880523,0.9773955672523118,0.9656704428961818,0.9391909695633903,0.9807768712678665,0.9652401035829093,0.9362149178135983,0.9688779773775131
Dhaka,0.8922100086769045,0.8573156965091389,0.8989515571803455,1.0,0.9014180051826114,0.8743974003485249,0.9101093267786156,0.8703158269244218,0.9016288586051947,0.9523136526922945,0.9426378837488006,0.9724854399521901,0.8900315482702627,0.9320959790759451,0.8844394770356215,0.9132247788885728,0.8806608052042081,0.8726856033585704,0.9548165539771865,0.9307265402143753,0.9243885028192627,0.8423704027569113,0.8698972817541267,0.9210563572533947,0.9355454127548498,0.9490318503976866,0.8969024571400469,0.8848961402272022,0.8343898617841806,0.8941826306873196
SaoPaulo,0.9772658144985491,0.9723948572633209,0.956585086472891,0.9014180051826114,1.0,0.9591431900537887,0.9471872113423242,0.9806156370601198,0.9721148333954515,0.9540143599392252,0.9449603844662451,0.9408828621130869,0.931235733778777,0.951988279370217,0.9887951047288788,0.8960803644518368,0.9134505126083419,0.9671550712673842,0.9797758700780462,0.9518437943054032,0.9414362973507253,0.9692640509668913,0.9652710229427385,0.9517674949375423,0.9586043528451301,0.9710358670196808,0.9630354794729781,0.9521140712305877,0.9570718217092272,0.9545570988344634
Toronto,0.9521364975329639,0.9770260392625123,0.9604689211944307,0.8743974003485249,0.9591431900537887,1.0,0.9403110895775971,0.9473081589414964,0.9625999228799748,0.9397910821143185,0.9308432023156973,0.8959693338641417,0.9238681299269738,0.9473632865374993,0.9509889323337297,0.9061549619561924,0.8694512374275993,0.924017916374245,0.9388351376246379,0.9646458503289116,0.9467826284855939,0.9480818546311575,0.9541786448245875,0.9540026952810218,0.961926922667202,0.9438744801609646,0.9391841472565751,0.9490765238895589,0.9785503146345259,0.987506082264707
HongKong,0.9435913684394334,0.9328437238731252,0.9591245412548182,0.9101093267786156,0.9471872113423242,0.9403110895775971,1.0,0.930800187345795,0.9634309430460153,0.9566360325902601,0.9378027483379204,0.9145223722990429,0.951131331357746,0.9343513994838847,0.9337291120372085,0.9162042006406034,0.8835465981763858,0.939115772206609,0.9430507342413943,0.9377169525295665,0.9661770879915642,0.9355343803817278,0.933628914217117,0.9805491461636752,0.9791728847237446,0.9481809893443769,0.9539726881802404,0.9314360091630962,0.9405121647896045,0.9432078929960024
Bogota,0.9750882651402517,0.9631608672728141,0.9522133489571004,0.8703158269244218,0.9806156370601198,0.9473081589414964,0.930800187345795,0.9999999999999996,0.967522052870363,0.9423310642700811,0.9316889948481634,0.9083918067459262,0.9199252271311862,0.918330991217674,0.9804912420445274,0.894330287410432,0.896445684060678,0.978125783193245,0.9612058663905505,0.9373060300077681,0.9136887333048166,0.955584607344087,0.9459255400114849,0.9379406206691551,0.9406713513554819,0.9546211945375438,0.9708641617735971,0.9469060946835517,0.9420263802404093,0.9338495513350994
Paris,0.9614287732509801,0.9502479267278342,0.9915448109188744,0.9016288586051947,0.9721148333954515,0.9625999228799748,0.9634309430460153,0.967522052870363,0.9999999999999997,0.9616444493378112,0.9566210988132778,0.9295211298127349,0.9594504841278944,0.9424084736495152,0.9599827043344824,0.9460600857651074,0.8936843848417202,0.9433851773306577,0.960923872250042,0.9628789543269222,0.9473965564417922,0.9439044303323736,0.943587809324775,0.974515992347582,0.9676463202298989,0.9518135130531664,0.9864638491453511,0.9782609357784293,0.9423561619076907,0.9625623052441293
Mumbai,0.9503079722723794,0.9293249449506502,0.9590671054043499,0.9523136526922945,0.9540143599392252,0.9397910821143185,0.9566360325902601,0.9423310642700811,0.9616444493378112,1.0,0.989504980421693,0.9465952439709479,0.937950667039924,0.9303024769067508,0.9486972259978609,0.9195402211017029,0.8957358773259885,0.9356289055484384,0.9692294279282836,0.9505012970381789,0.9341192798737299,0.9191088191709827,0.9256632644970709,0.9604640274612583,0.967728808894911,0.9590224419103995,0.9620620077042799,0.9296085968256222,0.9231209020680533,0.9478504628472836
NewDelhi,0.9365863208238847,0.9119523997430947,0.9535269981750057,0.9426378837488006,0.9449603844662451,0.9308432023156973,0.9378027483379204,0.9316889948481634,0.9566210988132778,0.989504980421693,0.9999999999999998,0.9477937193055702,0.9378701171559698,0.9216461489835361,0.9442408435125786,0.9125725955038897,0.8916707787373885,0.9239607336697744,0.9631201307062958,0.9454120294475965,0.9112733192783481,0.903473808157567,0.916562421055153,0.9559184581921625,0.9529515581929068,0.948444220411195,0.9647803069740314,0.923507382713692,0.9070382586082261,0.9385465590228305
Jakarta,0.914906228295407,0.8893956963366529,0.914180331626334,0.9724854399521901,0.9408828621130869,0.8959693338641417,0.9145223722990429,0.9083918067459262,0.9295211298127349,0.9465952439709479,0.9477937193055702,0.9999999999999998,0.9051413095769394,0.9607153462438077,0.9253161994601558,0.9231258978626221,0.9193452507020553,0.9065812431788699,0.9821353634129808,0.9392225803623445,0.9318209048354159,0.8924798500313722,0.9148801945230746,0.9314210369356616,0.9448477600215112,0.9759425867429887,0.9248357924527495,0.9265188842182305,0.8641750622993107,0.9048069824488516
Osaka,0.928876105870721,0.9093323066117099,0.9621788669331439,0.8900315482702627,0.931235733778777,0.9238681299269738,0.951131331357746,0.9199252271311862,0.9594504841278944,0.937950667039924,0.9378701171559698,0.9051413095769394,1.0,0.8999583517219376,0.9265371326439947,0.8971739617027851,0.8321061496145745,0.9033725171271318,0.9367762816691475,0.9246696494609592,0.9140710639077537,0.9014851389700772,0.8877172431823644,0.9791212312163443,0.9558608859836477,0.9355702384370413,0.9621347780160354,0.9192224003949295,0.9040142585488056,0.9395559080588701
KualaLumpur,0.9107427810216776,0.934311525721515,0.9302222261793518,0.9320959790759451,0.951988279370217,0.9473632865374993,0.9343513994838847,0.918330991217674,0.9424084736495152,0.9303024769067508,0.9216461489835361,0.9607153462438077,0.8999583517219376,0.9999999999999998,0.9282754263590403,0.9420785284525515,0.9353195366829486,0.9044643471296363,0.962091867310688,0.9672541994318647,0.9793915762857287,0.9153121620905159,0.9543173866985749,0.9367342355264738,0.9596476006442752,0.96948543945624,0.9136795059433895,0.9595481212757347,0.914937531163273,0.9425009377919311
MexicoCity,0.9770677741372867,0.9683765316570488,0.9440017773698076,0.8844394770356215,0.9887951047288788,0.9509889323337297,0.9337291120372085,0.9804912420445274,0.9599827043344824,0.9486972259978609,0.9442408435125786,0.9253161994601558,0.9265371326439947,0.9282754263590403,1.0,0.8744780959678924,0.9036344026685016,0.9744016320785591,0.9703833286456077,0.9353875189964064,0.9148643576427531,0.9708001319583416,0.9628567419560782,0.9436955791789051,0.9421044691728598,0.9658121971481479,0.9610692902792505,0.9326398845463086,0.959728760530164,0.941839907268721
Amsterdam,0.8807323458501183,0.8827718271176952,0.9371733045799701,0.9132247788885728,0.8960803644518368,0.9061549619561924,0.9162042006406034,0.894330287410432,0.9460600857651074,0.9195402211017029,0.9125725955038897,0.9231258978626221,0.8971739617027851,0.9420785284525515,0.8744780959678924,1.0,0.9063764049075568,0.8681247151903303,0.9177964299125607,0.9457917528556998,0.9401313471194979,0.8585776873761832,0.8961159350730397,0.9189476431403507,0.9250754884305188,0.9178170186766164,0.9192517408321955,0.9640494277640009,0.8551291916501514,0.9035598923869554
Lagos,0.878448573184253,0.8782486388900291,0.8675776425593672,0.8806608052042081,0.9134505126083419,0.8694512374275993,0.8835465981763858,0.896445684060678,0.8936843848417202,0.8957358773259885,0.8916707787373885,0.9193452507020553,0.8321061496145745,0.9353195366829486,0.9036344026685016,0.9063764049075568,1.0,0.9133810028617225,0.9167050255970044,0.8977241516136619,0.8965622619873357,0.8891608147071761,0.9375555720595358,0.8644953168070602,0.8829248373062024,0.9166914771155898,0.8739138873538812,0.9207073414803711,0.8626188466298662,0.8580446427478406
Lima,0.9741440355975503,0.9467703717046905,0.9232147406559601,0.8726856033585704,0.9671550712673842,0.924017916374245,0.939115772206609,0.978125783193245,0.9433851773306577,0.9356289055484384,0.9239607336697744,0.9065812431788699,0.9033725171271318,0.9044643471296363,0.9744016320785591,0.8681247151903303,0.9133810028617225,1.0,0.9480914490013533,0.9082658852200916,0.9034671874734185,0.9590542675212647,0.950517276104109,0.9317055703071825,0.9281834072699526,0.9463139270104575,0.9497077195503609,0.917845858061154,0.9403665213867877,0.9108206219681002
Manila,0.9613843321671611,0.9428732012562209,0.9464979654685638,0.9548165539771865,0.9797758700780462,0.9388351376246379,0.9430507342413943,0.9612058663905505,0.960923872250042,0.9692294279282836,0.9631201307062958,0.9821353634129808,0.9367762816691475,0.962091867310688,0.9703833286456077,0.9177964299125607,0.9167050255970044,0.9480914490013533,0.9999999999999999,0.9580314942579842,0.9456981504441303,0.9388369392967711,0.9425433925572143,0.957593080082928,0.9698271697035719,0.9927968986424648,0.959836708628372,0.9445045937110265,0.9195569035124901,0.9409293649732577
Moscow,0.9373763253355591,0.9406019661060907,0.9639966574341614,0.9307265402143753,0.9518437943054032,0.9646458503289116,0.9377169525295665,0.9373060300077681,0.9628789543269222,0.9505012970381789,0.9454120294475965,0.9392225803623445,0.9246696494609592,0.9672541994318647,0.9353875189964064,0.9457917528556998,0.8977241516136619,0.9082658852200916,0.9580314942579842,1.0,0.9636662320518856,0.9076533348518927,0.935120841715635,0.9508771485092415,0.9606634384745246,0.9583651950664239,0.9399126527087942,0.9567618414111634,0.9184060515839748,0.9567901517177654
Singapore,0.9175511454520183,0.9361111514399408,0.9384789381357516,0.9243885028192627,0.9414362973507253,0.9467826284855939,0.9661770879915642,0.9136887333048166,0.9473965564417922,0.9341192798737299,0.9112733192783481,0.9318209048354159,0.9140710639077537,0.9793915762857287,0.9148643576427531,0.9401313471194979,0.8965622619873357,0.9034671874734185,0.9456981504441303,0.9636662320518856,0.9999999999999999,0.9149501378890857,0.9405984773690319,0.9494644999637408,0.9700131058665477,0.9563624692340891,0.9160842835945096,0.9466479242103183,0.9199261823994959,0.9421289264152366
CapeTown,0.9651361270676344,0.9780900284309602,0.9200572952605658,0.8423704027569113,0.9692640509668913,0.9480818546311575,0.9355343803817278,0.955584607344087,0.9439044303323736,0.9191088191709827,0.903473808157567,0.8924798500313722,0.9014851389700772,0.9153121620905159,0.9708001319583416,0.8585776873761832,0.8891608147071761,0.9590542675212647,0.9388369392967711,0.9076533348518927,0.9149501378890857,1.0,0.9811770254547889,0.9252008756615613,0.9353231754335997,0.9447647849232647,0.9308349080966845,0.9120306954215749,0.9728847323506952,0.9252423782400262
Johannesburg,0.9488367034289681,0.9720317210300676,0.9193891473880523,0.8698972817541267,0.9652710229427385,0.9541786448245875,0.933628914217117,0.9459255400114849,0.943587809324775,0.9256632644970709,0.916562421055153,0.9148801945230746,0.8877172431823644,0.9543173866985749,0.9628567419560782,0.8961159350730397,0.9375555720595358,0.950517276104109,0.9425433925572143,0.935120841715635,0.9405984773690319,0.9811770254547889,0.9999999999999996,0.9182114851612694,0.9347358407226495,0.9510079406179984,0.9208407344334194,0.9330774411463556,0.9612188306906906,0.9286663948294392
