,BuenosAires,Sydney,Vienna,Dhaka,SaoPaulo,Toronto,HongKong,Bogota,Paris,Mumbai,NewDelhi,Jakarta,Osaka,KualaLumpur,MexicoCity,Amsterdam,Lagos,Lima,Manila,Moscow,Singapore,CapeTown,Johannesburg,Seoul,Taipei,Bangkok,Istanbul,London,LosAngeles,NewYorkCity
BuenosAires,0.0,0.13654455694420223,0.16461385151091462,0.1988857352118987,0.12012352219214097,0.1573756287552094,0.16811729912368656,0.13857638285690718,0.13965256335779844,0.17318192810618002,0.18119796149148304,0.18718521226277,0.1924575581725057,0.18196221565585718,0.12071942671093541,0.20977549226595157,0.22477830276989294,0.1314116348976999,0.13832635578700023,0.1477967317846554,0.1856021235328847,0.13565387117493674,0.1538461451459788,0.15866569414978554,0.15602908833950557,0.14930275129256187,0.15564379992370198,0.19037803834392522,0.16642192582673274,0.1599821991210627
Sydney,0.13654455694420223,0.0,0.18043128885971532,0.24058151443099557,0.13158322509893539,0.10246256935862186,0.19082876770332075,0.1718191282957377,0.16212668938429298,0.2009263570355915,0.21091756391056524,0.21764756489737566,0.2043348924478283,0.1615295599192177,0.13699589710357443,0.22185042828626808,0.23825548482637512,0.1848264737958507,0.16688231541000934,0.15212994104233823,0.16208409758769288,0.11452380961369509,0.12904781848666405,0.18002416302508012,0.1598453933652206,0.16087301632265782,0.19029384024903465,0.19280702462699614,0.10426691530232068,0.12001115034177429
Vienna,0.16461385151091462,0.18043128885971532,0.0,0.21516542214503243,0.1517214158090103,0.17113502767294012,0.14300666521617178,0.16791404045830244,0.0747064183121093,0.16139985427479753,0.16515267896789548,0.20052350807435884,0.1618228943070133,0.18096025210361935,0.15701066944004194,0.16405995288710737,0.2361481431050569,0.18966556421121547,0.1685920208650348,0.13995466381867952,0.18419841253725994,0.18535428717234656,0.19295197228907857,0.1195033232129197,0.1415034325543067,0.17801222704727415,0.0914760138680804,0.13674811898242883,0.18648757757349432,0.15187794288905349
Dhaka,0.1988857352118987,0.24058151443099557,0.21516542214503243,0.0,0.19811793018195914,0.2505551715603474,0.2010073437226257,0.22938672484929937,0.2068719964908994,0.1492965799917378,0.1574958578019426,0.10879211564073507,0.22960780638704648,0.1712906908047602,0.19717796550076894,0.1946111195182947,0.22388123434499818,0.22101476484945337,0.13311021423655378,0.18877352407283698,0.1959194839100735,0.24451122304285683,0.22821345709907867,0.19192063546627977,0.16735509128186263,0.1403309963178,0.20803723737594004,0.23453669936374386,0.26739121948165795,0.2280030911589659
SaoPaulo,0.12012352219214097,0.13158322509893539,0.1517214158090103,0.19811793018195914,0.0,0.15765655350626603,0.165913521441256,0.10687204307756443,0.13060645530387346,0.16722055284740014,0.1735063159447635,0.15954172798711483,0.1894778296548637,0.1357459460932373,0.06888442096052892,0.21275194086090046,0.19455460749636955,0.1312996260028956,0.09912863669672638,0.13794224191723686,0.16212560912226295,0.1392490159019716,0.14889887704683913,0.15163294534117477,0.1370183688574409,0.12300766852002044,0.14203875018361642,0.1608878559231524,0.15970431920790407,0.14641551139155506
Toronto,0.1573756287552094,0.10246256935862186,0.17113502767294012,0.2505551715603474,0.15765655350626603,0.0,0.1965394060475901,0.18308288541295126,0.15380562273348236,0.20963649185448943,0.21350003828126524,0.22859776364693002,0.20221900351080982,0.16967293055727994,0.16047661887406753,0.21290046052656694,0.2526601867103171,0.20299879115340486,0.18593217686119123,0.14283121407102348,0.17002259777040848,0.15124552179973125,0.1523838860942553,0.17245782450787603,0.16464479386553207,0.1849059122511492,0.18864388096242793,0.1702616965738014,0.10632839293243229,0.08297110352275534
HongKong,0.16811729912368656,0.19082876770332075,0.14300666521617178,0.2010073437226257,0.165913521441256,0.1965394060475901,0.0,0.19559237036920873,0.1443616999509831,0.15685108197781442,0.17819997565845389,0.20128468058638543,0.16839873086419915,0.17424820146419404,0.1686552974243041,0.1961704268976929,0.23409467513003623,0.1731955130087933,0.17258906725433745,0.17279178703451345,0.14215340818097688,0.17671983555966086,0.18467231252956887,0.10093178128483411,0.10561135020354707,0.16500085054799105,0.14921657855270157,0.1948732267535354,0.1826423932654458,0.18349402998650508
Bogota,0.13857638285690718,0.1718191282957377,0.16791404045830244,0.22938672484929937,0.10687204307756443,0.18308288541295126,0.19559237036920873,0.0,0.14878049969071086,0.19169634186532747,0.19445473226676355,0.19896718653507467,0.21880957865768727,0.18737686003014128,0.11369521379203407,0.21958802646547154,0.20382724612458744,0.11154608760465123,0.14049635674688907,0.1643808848701031,0.21276613588184282,0.17755676705818696,0.18710236210063405,0.17673947799900147,0.17065929445112157,0.1596101931394275,0.13287188051750007,0.16605939894972116,0.2001290992465128,0.18567938899536496
Paris,0.13965256335779844,0.16212668938429298,0.0747064183121093,0.2068719964908994,0.13060645530387346,0.15380562273348236,0.1443616999509831,0.14878049969071086,0.0,0.15752524695669415,0.1586579467461506,0.18020852401794793,0.16334475331411225,0.15897471156651358,0.13999917825823208,0.14281700579380419,0.210642633764117,0.16846844186279164,0.15038941379590925,0.13331113427781885,0.16525634973022682,0.15254269281651892,0.15845735833275584,0.12452875529908354,0.1345921731147032,0.1623210033267371,0.089809577811021,0.1015502325079214,0.17513904553682436,0.14711337354287982
Mumbai,0.17318192810618002,0.2009263570355915,0.16139985427479753,0.1492965799917378,0.16722055284740014,0.20963649185448943,0.15685108197781442,0.19169634186532747,0.15752524695669415,0.0,0.07436419936823195,0.16394880161711378,0.197704558619392,0.1855817829796435,0.16039767066040428,0.1954982838124472,0.21334644083544074,0.18840853981953606,0.14149191066951078,0.1752232060662964,0.19407127498041293,0.204381947417315,0.19705277197870824,0.16439224797135651,0.14757187564413032,0.15733050173877763,0.15278890214500454,0.19818559129839172,0.21331325483296942,0.18643830894151628
NewDelhi,0.18119796149148304,0.21091756391056524,0.16515267896789548,0.1574958578019426,0.1735063159447635,0.21350003828126524,0.17819997565845389,0.19445473226676355,0.1586579467461506,0.07436419936823195,0.0,0.16114397037431616,0.19136009439691037,0.1959584317490623,0.16012456124601668,0.19593972204506063,0.21208601348516268,0.19294369994115435,0.14813831945621708,0.17837841182134292,0.21498872942470043,0.21046563318702022,0.19808237427404332,0.16939941280818088,0.16563521105394555,0.16481053200696258,0.14688814558473967,0.20311176517895063,0.22499504036724868,0.1950943929182749
Jakarta,0.18718521226277,0.21764756489737566,0.20052350807435884,0.10879211564073507,0.15954172798711483,0.22859776364693002,0.20128468058638543,0.19896718653507467,0.18020852401794793,0.16394880161711378,0.16114397037431616,0.0,0.2149739096189254,0.12754875295439916,0.16649371258646453,0.18238879612579229,0.1901411361926088,0.19851001348256844,0.08700983613475854,0.17790436269362528,0.18255631908770126,0.20886878922620575,0.19283582964116788,0.18280135076972248,0.1557071902057352,0.09757806070033909,0.18711972627249962,0.19426778941802897,0.24810969797794905,0.2131041533261095
Osaka,0.1924575581725057,0.2043348924478283,0.1618228943070133,0.22960780638704648,0.1894778296548637,0.20221900351080982,0.16839873086419915,0.21880957865768727,0.16334475331411225,0.197704558619392,0.19136009439691037,0.2149739096189254,0.0,0.21376158695317965,0.1841314324848356,0.220330812079804,0.263362844329259,0.22085579776210953,0.18471393433112365,0.19495827323880027,0.20982162617921574,0.2044575990122051,0.2222648819455583,0.11858861940527905,0.1511495349031902,0.18051532754160676,0.1672583205444078,0.2130544381807937,0.2099265977585378,0.18305583217968574
KualaLumpur,0.18196221565585718,0.1615295599192177,0.18096025210361935,0.1712906908047602,0.1357459460932373,0.16967293055727994,0.17424820146419404,0.18737686003014128,0.15897471156651358,0.1855817829796435,0.1959584317490623,0.12754875295439916,0.21376158695317965,0.0,0.15643235473209952,0.17141129473800443,0.183643306874366,0.19537625144125492,0.12165731859633054,0.13199546325745362,0.10098684221174525,0.1718053261313366,0.1389337322500687,0.16821876815273437,0.1296863058030547,0.1099167056850991,0.1906205028005342,0.15805602928561654,0.19191544125016846,0.1700402047456287
MexicoCity,0.12071942671093541,0.13699589710357443,0.15701066944004194,0.19717796550076894,0.06888442096052892,0.16047661887406753,0.1686552974243041,0.11369521379203407,0.13999917825823208,0.16039767066040428,0.16012456124601668,0.16649371258646453,0.1841314324848356,0.15643235473209952,0.0,0.21719148061047427,0.1966981128099646,0.11854962650632467,0.10815760193521844,0.1477985250395077,0.18090175132398262,0.140279523956597,0.14814700042962636,0.14722730269450243,0.14780932440215683,0.1242623984257803,0.1355434787477199,0.17388168066275753,0.15030638663472368,0.15124938148925096
Amsterdam,0.20977549226595157,0.22185042828626808,0.16405995288710737,0.1946111195182947,0.21275194086090046,0.21290046052656694,0.1961704268976929,0.21958802646547154,0.14281700579380419,0.1954982838124472,0.19593972204506063,0.18238879612579229,0.220330812079804,0.17141129473800443,0.21719148061047427,0.0,0.20809065443201286,0.2290233320011496,0.193199439584963,0.17542555336654714,0.18425961869767932,0.22397314126532103,0.20237070916400313,0.19081508752919352,0.186068306852225,0.19504306651783695,0.17663638009160945,0.13520316407765112,0.24639550566862167,0.21386166130539078
Lagos,0.22477830276989294,0.23825548482637512,0.2361481431050569,0.22388123434499818,0.19455460749636955,0.2526601867103171,0.23409467513003623,0.20382724612458744,0.210642633764117,0.21334644083544074,0.21208601348516268,0.1901411361926088,0.263362844329259,0.183643306874366,0.1966981128099646,0.20809065443201286,0.0,0.17923948714828009,0.19307251738211548,0.21607383583421025,0.23281816373906644,0.21564384462710945,0.1795562306537067,0.23939088240372827,0.22360814737224458,0.1981617298161327,0.22282734509554822,0.19551701687339115,0.25708686434562805,0.254946960975291
Lima,0.1314116348976999,0.1848264737958507,0.18966556421121547,0.22101476484945337,0.1312996260028956,0.20299879115340486,0.1731955130087933,0.11154608760465123,0.16846844186279164,0.18840853981953606,0.19294369994115435,0.19851001348256844,0.22085579776210953,0.19537625144125492,0.11854962650632467,0.2290233320011496,0.17923948714828009,0.0,0.15901636795168259,0.18718206214488392,0.21217003524407183,0.16511950045784304,0.1724056812397001,0.17208743674835156,0.17864503370114806,0.1677860464865597,0.1571403363728026,0.19163932138687836,0.19302944161164762,0.20533978118430568
Manila,0.13832635578700023,0.16688231541000934,0.1685920208650348,0.13311021423655378,0.09912863669672638,0.18593217686119123,0.17258906725433745,0.14049635674688907,0.15038941379590925,0.14149191066951078,0.14813831945621708,0.08700983613475854,0.18471393433112365,0.12165731859633054,0.10815760193521844,0.193199439584963,0.19307251738211548,0.15901636795168259,0.0,0.1423603560450858,0.16579293873614678,0.1714916371189322,0.1725407492921566,0.1469003888054405,0.1179773161900689,0.058336966296427935,0.15133649579114772,0.17704571232026145,0.2007900114042434,0.17075960416369654
Moscow,0.1477967317846554,0.15212994104233823,0.13995466381867952,0.18877352407283698,0.13794224191723686,0.14283121407102348,0.17279178703451345,0.1643808848701031,0.13331113427781885,0.1752232060662964,0.17837841182134292,0.17790436269362528,0.19495827323880027,0.13199546325745362,0.1477985250395077,0.17542555336654714,0.21607383583421025,0.18718206214488392,0.1423603560450858,0.0,0.1464518528167689,0.17759766038794544,0.16138870273024603,0.15031203117295325,0.1413261557700184,0.14543216036322837,0.15950474816600044,0.1629618446968128,0.18177398975799797,0.15280327265992852
Singapore,0.1856021235328847,0.16208409758769288,0.18419841253725994,0.1959194839100735,0.16212560912226295,0.17002259777040848,0.14215340818097688,0.21276613588184282,0.16525634973022682,0.19407127498041293,0.21498872942470043,0.18255631908770126,0.20982162617921574,0.10098684221174525,0.18090175132398262,0.18425961869767932,0.23281816373906644,0.21217003524407183,0.16579293873614678,0.1464518528167689,0.0,0.17856051103029905,0.15908708264934732,0.16677414523891226,0.12964760990046525,0.15274286831427303,0.20347039595013333,0.18415446939797087,0.1824224707199789,0.17009969242176737
CapeTown,0.13565387117493674,0.11452380961369509,0.18535428717234656,0.24451122304285683,0.1392490159019716,0.15124552179973125,0.17671983555966086,0.17755676705818696,0.15254269281651892,0.204381947417315,0.21046563318702022,0.20886878922620575,0.2044575990122051,0.1718053261313366,0.140279523956597,0.22397314126532103,0.21564384462710945,0.16511950045784304,0.1714916371189322,0.17759766038794544,0.17856051103029905,0.0,0.0834184857500721,0.17600889867300176,0.16039379454514183,0.16570921682107337,0.1827332636184285,0.1941943932280333,0.12586173481745278,0.17317920049186783
