,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07126935643145263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003261036557069581,0.008345651115880086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4222917133027569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15686268866877334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.021490463671057603,0.0,0.0,0.02507759086113963,0.0,0.0,0.0,0.08271060033811244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2088559520484452,0.2636406297287961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298507420461882,0.0,0.0,0.0,0.0,0.01849479918543594,0.0,0.20044918321417404,0.0,0.0,0.0,0.0,0.0,0.42819201646626903,0.42708716710837685,0.0,0.0,0.0,0.0,0.0,0.0,0.2948560377288668,0.0,0.0,0.054211586592415484,0.0,0.0,0.0,0.0,0.0,0.0,0.25418465513979305,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.37142308158073906,0.0,0.0,0.0,0.0,0.0,0.1290994080279902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17287915860895156,0.0,0.0,0.0,0.0,0.0,0.0,0.2095394392287194,0.0,0.0,0.0,0.0,0.23069251115302963,0.0,0.0,0.0,0.0,0.0,0.0,0.0008128518067071382,0.0,0.07634248777713544,0.0,0.0,0.24503242371925837,0.0,0.0,0.0,0.0,0.0,0.0,0.07947972812005082,0.0,0.006653697956685421,0.0,0.0,0.0,0.0,0.0,0.2564401551202375,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.021490463671057603,0.37142308158073906,0.0,0.0,0.0,0.0,0.0,0.20549701648594892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002322679140614696,0.0,0.0,0.0,0.0,0.0,0.0,0.2288456650484674,0.0,0.0,0.0,0.0,0.17983518941931761,0.0,0.13252683800892648,0.0,0.0,0.0,0.0,0.201710360599508,0.0,0.06636759881265109,0.0,0.0,0.0040173734183782984,0.0,0.012871854642836942,0.0,0.0,0.0,0.5239187042809739,0.0,0.013771740928662835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2815690014476224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04486705370240823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3794937483956862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.07126935643145263,0.02507759086113963,0.0,0.0,0.0,0.0,0.2815690014476224,0.0,0.007826279021716167,0.012994535828194976,0.0,0.06631728364796399,0.0,0.0,0.362096088909575,0.0,0.0,0.0,0.013957257947191644,0.0,0.1763312977766226,0.0,0.0,0.0,0.04091718498928355,0.0,0.0,0.007531341444364786,0.0,0.0,0.0,0.009915725748826675,0.0,0.03251185423310677,0.3360960461515168,0.0,0.0,0.15567554821355054,0.5653068407731411,0.0,0.03185672810791067,0.0,0.0,0.0,0.0,0.0,0.015266170558534959,0.16077261028687706,0.0,0.0,0.0,0.09769923373506714,0.04906170727310739,0.0,0.0,0.0,0.0,0.02502771383261775,0.0,0.0,0.04469033719322743,0.2660179991757758,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.20549701648594892,0.0,0.0,0.007826279021716167,0.0,0.0,0.0,0.059347280359958905,0.0,0.0,0.0,0.0,0.0,0.0006800148547216018,0.0,0.0,0.0,0.09699087430872562,0.0,0.0,0.0,0.0,0.0,0.015345477185353082,0.19472161268028643,0.0,0.0,0.0,0.0,0.0,0.0851937895369607,0.0,0.0,0.0,1.04094028877001,0.0,0.0,0.0,0.0,0.0,0.4172192899476263,0.0,0.0,0.0,0.0,0.0,0.0,0.38852958180197045,0.0,0.09709052645190093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012994535828194976,0.0,0.0,0.0,0.26896921009374447,0.0,0.06415258086134634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10469575798509503,0.0,0.05019737978871721,0.0,0.0,0.0
