,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006736496322852467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13668473087066477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04591607318366615,0.0,0.020784723325671012,0.0,0.06938612173878195,0.0,0.0,0.0,0.0,0.052509348341294865,0.0,0.0,0.0,0.0,0.0,0.0,0.020109182880346133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08671336434733733,0.01581616489166944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12217827234815719,0.0022837837163088358,0.02428044095734958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04461156301961298,0.0,0.027094616435773763,0.0,0.0,0.0,0.0,0.0,0.10734316962181417,0.20655766917478166,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14756425835991507,0.0,0.0,0.0,0.0,0.0,0.0,0.1986095463808097,0.00020703133901476945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701522096610248,0.02687222657200848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714384211691702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12470535101946507,0.0,0.0,0.0,0.00018353219443990835,0.0,0.21813362376373885,0.0,0.0,0.0,0.0,0.3690278484075369,0.11629162219136908,0.0,0.0,0.0,0.0,0.0,0.14175856790719635,0.05236573484764139,0.0,0.0,0.0,0.28313219623479924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5706060492268011,0.0,0.13115505215252546,0.0,0.0,0.0,0.0,0.0,0.0,0.016619811175947127,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07306823563005009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.04591607318366615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15192615103043894,0.0,0.0019693066598819218,0.0,0.0,0.0,0.0,0.0,0.0,0.1575042686985798,0.1508629204906282,0.0,0.0,0.0,0.27591186600742257,0.0,0.0,0.0,0.0,0.022061864093815102,0.0,0.21030293500731048,0.0,0.0,0.5328730409223259,0.2471886535013473,0.20386933063450954,0.0,0.0,0.0,0.0,0.2352471445227951,0.0,0.11831208954404328,0.0,0.0677861841647108,0.0,0.1557366362318889,0.0,0.0,0.0,0.0,0.024152349607979618,0.03906911112289128,0.0,0.0,0.0,0.0,0.2508301496741202,0.0,0.0,0.20731368835425032,0.11008389005562709,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.2714384211691702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35333073643626195,0.01570794421367381,0.1096373944704243,0.0,0.0,0.0,0.037656764438393386,0.0,0.0,0.46494023736101514,0.0,0.0,0.08238230734213026,0.041051832014024084,0.0,0.0,0.0,0.0,0.0,0.24746898178459034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27262513736998656,0.0,0.0,0.0,0.0,0.0,0.0,0.2473005562708596,0.0,0.10047303930637962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.020784723325671012,0.0,0.0,0.0,0.0,0.0,0.15192615103043894,0.0,0.0,0.0,0.07608605459482234,0.0,0.0,0.0,0.0,0.0,0.0,0.14188467587633252,0.10896314101317675,0.0,0.0,0.0,0.12488225581307616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4345693895134739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03900886164000144,0.18332917390124914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026538023429368715,0.0,0.18715577315276077,0.0,0.0,0.0
