,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00130948799811809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1373389193352888,0.1075880942556082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312458112128104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07711669871062803,0.0,0.0,0.0,0.0,0.0,0.0,0.007935095710534537,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.04852754226199683,0.10821779645852059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09597917953836328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09273628329242813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219946763750078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03633967129509438,0.048757187109857006,0.0,0.0,0.0937536830756838,0.0,0.0,0.0,0.24292083333379733,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.19973850461237982,0.0,0.0,0.0,0.0,0.0,0.07768876054665848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058627052952179154,0.0,0.0,0.0,0.48654317319536505,0.0,0.0,0.37334813206231626,0.0,0.8173434721396824,0.0,0.0,0.3739518514798786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1656998028559272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.04852754226199683,0.19973850461237982,0.0,0.0,0.0,0.0,0.0,0.15695878892486434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30479617715689283,0.0,0.12493285761594265,0.05305807766220496,0.0,0.0,0.0,0.0,0.0,0.0,0.20468591417382237,0.0,0.3314521333895832,0.0,0.0,0.227760585889647,0.0,0.08044373289698774,0.0,0.0,0.0,0.0,0.15282727990467687,0.0,0.13502248061941005,0.0,0.022147958649261525,0.10293980337533201,0.0295789077306557,0.3275990678932201,0.0,0.0,0.0,0.1597362752331508,0.0,0.033231596386090266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.10821779645852059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004199100049762966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28082124699649064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42247501907629653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3712689182388237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21133647063693006,0.06798440515112382,0.0,0.0,0.17848596968871155,0.0,0.0,0.10304626531911776,0.12869913787460105,0.2192408960160099,0.0,0.0,0.0,0.027996242210302027,0.0,0.0,0.15374151317520482,0.0,0.0,0.0,0.0,0.0,0.0,0.24339141341771633,0.0,0.028387348476620434,0.26445966650888353,0.49909918963800914,0.4268481342810584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2425347665999703,0.0,0.0,0.0,0.148337886046927,0.03451998575642628,0.0,0.0,0.0,0.0,0.21669371622711966,0.13832606637179942,0.0,0.0,0.39297552304636735,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.15695878892486434,0.0,0.0,0.0,0.0,0.22009971732195124,0.0,0.0,0.0,0.0,0.0,0.3017081675938905,0.4295287585551273,0.048741630740018416,0.0,0.0,0.4473075886375256,0.087923240497176,0.0,0.0,0.2689266223081758,0.0,0.0,0.22878767379950787,0.0,0.0,0.0,0.0,0.0,0.0,0.08350635224905643,0.0,0.0,0.0,0.4609482831356472,0.6557946557523359,0.0,0.0,0.0,0.5631588705450724,0.0800206215483247,0.0,0.0,0.0,0.0,0.0,0.0,0.333085832458214,0.0,0.14213862656649726,0.0,0.0,0.0,0.0,0.0,0.0,0.029476851010925474,0.4463222892360774,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22009971732195124,0.0,0.0,0.0,0.0,0.0025326484572821845,0.0,0.0,0.0,0.0,0.0,0.0,0.7682172124402623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014439688820145435,0.0,0.0,0.0,0.0,0.10219830025833662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11885700556229402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11407545483939208,0.0,0.0,0.0,0.0,0.0,0.0,0.28425189502537423,0.0,0.0,0.0
