,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14560271022373408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07158348374474946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.09087584043110868,0.9222187550220164,0.06964626098692922,0.0,0.0,0.0,0.0,0.09945180784862426,0.0,0.0,0.0,0.0,0.0,0.0,0.007208232344829019,0.0,0.0,0.0,0.10649978937792706,0.0,0.08958352038708692,0.3408915883239194,0.0,0.0,0.0,0.0,0.0,0.0,0.13231774919791936,0.0,0.0,0.0,0.0,0.0,0.0,0.09746926985606806,0.0,0.0,0.0,0.6144354450203272,0.0,0.19269383504027154,0.22439782762020166,0.0,0.0,0.2145637916563422,0.0,0.0,0.9695648756192148,0.0,0.0,0.0013368818230339971,0.09989646946941406,0.0,0.43383312845431615,0.07362973775649824,0.0,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.09087584043110868,0.0,0.0,0.10928419369145674,0.0,0.0,0.0,0.0,0.0,0.11643333365106485,0.0,0.0,0.0,0.0,0.0,0.0,0.11457424647606639,0.0,0.0,0.0,0.060154935309102625,0.0,0.0,0.0,0.0,0.0,0.0,0.24497665090946344,0.0,0.611170737221458,0.0,0.0,0.24115811717366112,0.0,0.08835318370117216,0.0,0.0,0.0,0.0,0.12391845520363648,0.0,0.0,0.0,0.0,0.045059103414850615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047097442479829686,0.005156575661523996,0.0,0.0,0.0,0.0,0.0,0.43973006103151674,0.0,0.012460017136393973,0.0
F003,0.0,0.9222187550220164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014695068440749443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.06964626098692922,0.10928419369145674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00919470813396416,0.0,0.0,0.0,0.0,0.0,0.0975089336277213,0.0,0.06581677223999635,0.0,0.0,0.20408391251181104,0.0,0.11613246393825004,0.0,0.0,0.0,0.0,0.21125924440775157,0.0,0.11335066825250474,0.0,0.0,0.08907862445538177,0.0,0.0,0.0,0.0,0.0,0.45078712718951186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30183088398927316,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13511106938968037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265353763240679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010801613762086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.14560271022373408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04540857818089392,0.012439124039341345,0.0,0.23112346116619711,0.0,0.0,0.0,0.0,0.17504815014669345,0.0,0.12755312924919898,0.0,0.04235155984611675,0.0,0.0,0.0,0.3754570389403727,0.0,0.0,0.013127124506017175,0.0,0.0,0.0,0.0,0.0,0.0,0.1935378375422056,0.0,0.051854199447274416,0.04082817277555208,0.0,0.0,0.0,0.0,0.0,0.0,0.22201312715362748,0.0,0.08926673582777594,0.11872400492598796,0.0,0.0,0.0,0.04807005242258451,0.1813867462708122,0.0,0.0,0.0,0.12335968387367854,0.2613688737071258,0.1606673849565176,0.0,0.0,0.4966237271685864,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04540857818089392,0.0,0.0,0.0,0.09572129737358485,0.0,0.0,0.0,0.0,0.21574139958479066,0.0,0.07093591251142069,0.0,0.0,0.0,0.0,0.0,0.5193418337001128,0.0,0.0,0.10962329453420978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11324199776539343,0.21528378262118764,0.0,0.0,0.0,0.0,0.0,0.2868563078054872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10904463152331174,0.0,0.0,0.0,0.0,0.16178480321117325,0.0,0.0,0.009066972623494998,0.0,0.0
F009,0.0,0.09945180784862426,0.0,0.0,0.0,0.0,0.0,0.012439124039341345,0.0,0.0,0.0,0.0,0.13675698785983334,0.006637716982598322,0.0,0.0,0.0,0.0,0.620814175671163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010164104981058677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2280476103537625,0.0,0.0,0.0,0.0,0.0,0.017482745866197583,0.0,0.0,0.0,0.0,0.0
