,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07186467521296717,0.0,0.06139902035180491,0.0,0.0,0.0,0.0,0.0,0.0,0.061855573692657255,0.0,0.0,0.0,0.0,0.0,0.0,0.21800312256580423,0.08122019519332908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21365637810647492,0.0,0.11107026670488121,0.0,0.0,0.0,0.0,0.0,0.0,0.17172456829953306,0.018461344184281685,0.0477760644325894,0.0,0.01248194879918729,0.0,0.0,0.0,0.0,0.0,0.008225725540234648,0.0,0.038324074801134735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10499102681085302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14833356317220425,0.0,0.0,0.0,0.0,0.0,0.0,0.1645762214260212,0.0,0.0,0.0,0.0,0.0,0.0,0.3860770720315315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317795500178091,0.0,0.05230048527880113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23019805069262478,0.0,0.0,0.0,0.0,0.06612087163096872,0.0,0.0,0.15566078589214874,0.17426650745827987,0.0,0.0,0.0,0.07310944608748014,0.0,0.08275247165569283,0.0,0.0,0.0,0.0,0.24072870647966757,0.021236244175231633,0.0,0.0,0.0,0.0,0.0,0.1169655791198907,0.0834905590326642,0.0,0.0,0.0,0.30138484039164337,0.0,0.02911017882562134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41189180928724267,0.0,0.11365029145561549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.07186467521296717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07076141198421872,0.0,0.0,0.0,0.0,0.0,0.0,0.17248413726061393,0.0,0.0,0.0,0.0,0.09392110309369921,0.2333187954500344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941911601749555,0.20650396359573894,0.04012612630337777,0.030693607637152932,0.0,0.0,0.0,0.08931914181049015,0.0,0.18537844561080088,0.0,0.0,0.0,0.08207095356599264,0.0,0.0,0.0,0.23140836972705345,0.0,0.0,0.0,0.0,0.0,0.0,0.08361866506153391,0.0,0.0,0.15202064093800008,0.08419957880951555,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.23019805069262478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10465926027259892,0.0,0.527845243262836,0.19706377385304794,0.11965884696616924,0.0,0.0,0.0,0.12086093381803518,0.0,0.0,0.0,0.0,0.0,0.0,0.0912935014599075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07970949688279143,0.0,0.0,0.0,0.09449032578197261,0.0,0.0,0.0,0.2492285159416934,0.0,0.0,0.0,0.0,0.0,0.0,0.42855687039584467,0.0,0.08273875401774647,0.0,0.0,0.0,0.0,0.0,0.0,0.07559001554244911,0.0,0.0,0.0
F009,0.0,0.06139902035180491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007357584166734009,0.03916034039082845,0.0,0.31354367990071014,0.0,0.0,0.163732103655954,0.0912145807472287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3637187712613189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2754273978393596,0.2318011229072868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13399072232404496,0.0,0.0,0.0
F010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08050902263386861,0.0,0.0,0.0,0.16584173050638365,0.0,0.0317484795995509,0.10225620654682115,0.0,0.0,0.2022682288282347,0.0,0.015056696549973164,0.10261955569079456,0.0,0.0,0.0021593042844433295,0.027733787188615543,0.0,0.0,0.0,0.0,0.0,0.16279451900821257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1403750490413938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014531767531709925,0.0890186012483389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07076141198421872,0.0,0.0,0.0,0.0,0.18776370671610232,0.0734709709931038,0.0,0.0,0.02060238331070299,0.0,0.05349801103857124,0.0,0.23074895467961334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06693455310640015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14100701965421608,0.2191391869621225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04997702039967912,0.0,0.0,0.039421876860277545,0.12956635560563107,0.0,0.0,0.0,0.0,0.0
F012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08050902263386861,0.18776370671610232,0.0,0.01051074326951785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13319681205437806,0.0,0.02474523324372339,0.0,0.0,0.0,0.0,0.0,0.0,0.04022505550655479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050317433008919624,0.0,0.0,0.0,0.13023989311317585,0.0,0.0,0.0,0.0,0.0
F013,0.0,0.0,0.10499102681085302,0.0,0.06612087163096872,0.0,0.0,0.0,0.10465926027259892,0.0,0.0,0.0734709709931038,0.01051074326951785,0.0,0.0,0.10527646235861216,0.0,0.09732416326754918,0.0,0.0,0.45953382945589116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058355688636848105,0.0,0.04814359412356303,0.0,0.0,0.0,0.0,0.0,0.0,0.035956672217796144,0.023631596604576123,0.023239330611616673,0.0,0.26879036642960213,0.0,0.0,0.0,0.15748288258266513,0.0,0.005795768057821217,0.0,0.0,0.0,0.0,0.0,0.0,0.11421619232272356,0.1388146029702446,0.0,0.0
F014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527845243262836,0.0,0.0,0.0,0.0,0.10527646235861216,0.0,0.0,0.0,0.10624973802954565,0.0,0.0,0.0,0.06675793750183112,0.0,0.0,0.0,0.0,0.0,0.0,0.10748483078976019,0.10986437832230819,0.0,0.0,0.0,0.0,0.0,0.23853433224191156,0.0655362308751406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04509953604716275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3253912904946514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F016,0.0,0.061855573692657255,0.0,0.0,0.15566078589214874,0.0,0.0,0.0,0.19706377385304794,0.0,0.16584173050638365,0.02060238331070299,0.0,0.0,0.0,0.0,0.0,0.10894307933900566,0.18758765686232476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620252131721397,0.0,0.20481920261836303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04543182035159377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
