,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048441142265197926,0.0,0.09836232420463069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026196894516142682,0.22765518947650487,0.0,0.0,0.10256738286207567,0.2370746535458786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0847639389162608,0.0,0.03451837274934339,0.0,0.0,0.0,0.0,0.0,0.0,0.10178498467594684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03728053326264817,0.0,0.018008923167504746,0.0,0.0,0.0,0.0,0.020359882836033287,0.0,0.0,0.0,0.2046183424894307,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850813049011843,0.0,0.0,0.0,0.0,0.0,0.0,0.13548293454922944,0.0,0.0,0.0,0.0,0.11105776236597881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3241868182850547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009761839226951669,0.0,0.0,0.0,0.0,0.0,0.0,0.2617668956057006,0.09435617718585729,0.0,0.0,0.0,0.0,0.0,0.13089627781692068,0.0,0.0,0.0,0.0,0.22885261672198517,0.0,0.0,0.0,0.0,0.0,0.04951139631204041,0.0,0.0,0.0,0.0,0.0,0.0,0.04765266094203578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013803372434096151,0.0,0.24239644706261712,0.2627565391873527,0.0,0.0,0.0,0.0,0.0,0.7889659042067746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.048441142265197926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03264815509077198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09192904363656518,0.0,0.0,0.0032825571107573995,0.0,0.0,0.0,0.0555974060985894,0.0,0.04546377141503493,0.047230499017875474,0.0,0.0,0.031258227753131425,0.0,0.0,0.0,0.0,0.0513248501207693,0.0,0.05619700340677774,0.0,0.05219255486925279,0.0,0.0,0.0,0.007010308003535981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04050281679192114,0.0,0.0,0.1400493284576969,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3509885952162063,0.11354862349463792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055379430427464835,0.14836277238604886,0.0,0.34100876811292496,0.0,0.0,0.031001561246747533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7650505196019471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004285409596481735,0.0,0.00591383233458491,0.0,0.0,0.0
F009,0.0,0.09836232420463069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017922587001542954,0.0,0.0,0.0,0.0,0.0,0.0,0.12333269647565645,0.4667146057252448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06720651487746437,0.0,0.0,0.0,0.0,0.08544235535725918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39828298886386687,0.0,0.0,0.0,0.0,0.0,0.0,0.2357749934096688,0.0,0.0,0.0,0.0,0.0,0.12234427483032907,0.0,0.0,0.0,0.0,0.0
