,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40001480832566844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1680898417857659,0.0,0.0,0.0,0.0,0.0,0.0,0.13308433021344232,0.0,0.0,0.0,0.0,0.0,0.4213196483554692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040064905545307644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.4132448133922823,0.2572306068658573,0.09462603416374103,0.17971787693304048,0.0,0.28010230936759517,0.0,0.0,0.0,0.0,0.0,0.3857657111784409,0.0,0.009939106584105807,0.0,0.0,0.0,0.0,0.639631686273893,0.0,0.0,0.0,0.0,0.0,0.29065889541478646,0.0,0.0,0.07411633864662238,0.03886850018344572,0.0,0.0,0.0,0.0,0.0,0.0,0.02028599628018636,0.0,0.31286997202594935,0.2512248705296764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12206331726344184,0.0,0.0,0.0,0.0,0.0,0.03388898616047929,0.0,0.0,0.56286945736502,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3347957200935988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09882452940825867,0.0,0.0,0.0,0.0,0.0,0.0,0.24889188082651176,0.0,0.0,0.0,0.0,0.0,0.0,0.27616879578576203,0.06602398574200254,0.0,0.0,0.0,0.19216440969819285,0.0,0.0,0.0,0.0,0.24699401378906244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08185937613045742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6792701051517548,0.0,0.0,0.0,0.0,0.24012813204103242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14121724531721916,0.2107107239974081,0.23301466265494689,0.0,0.0,0.0,0.0,0.0,0.0,0.029951858375317948,0.0,0.0,0.0,0.0998218417325641,0.0,0.0,0.0,0.0,0.1748790667448973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038044647988965974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.4132448133922823,0.0,0.0,0.0,0.0,0.0,0.031719296645121436,0.0,0.0,0.09377447734203131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165100739090418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30352615019122225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.2572306068658573,0.0,0.0,0.0,0.0,0.031719296645121436,0.0,0.0,0.28267007930283294,0.0,0.25224896817178577,0.0,0.0,0.0,0.0,0.0,0.0,0.05379712503668461,0.0,0.0,0.0,0.0,0.0,0.2516693269653166,0.0,0.0,0.011923223487395475,0.0,0.0,0.0,0.0,0.0,0.04711931832448017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05630469908637353,0.0,0.23091633060555522,0.0,0.0,0.0,0.0,0.0,0.07222364574138375,0.0,0.0,0.0,0.0,0.0,0.15065643241705487,0.0,0.0,0.28182177612114284,0.0,0.0
F008,0.0,0.09462603416374103,0.0,0.0,0.6792701051517548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13445259577378452,0.0,0.0,0.0,0.0,0.044883047561732066,0.0,0.0,0.0795860546527389,0.0,0.0,0.6913082481719757,0.0,0.0,0.09050898783348152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5960045568427178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.17971787693304048,0.0,0.0,0.0,0.0,0.0,0.28267007930283294,0.0,0.0,0.0,0.3253853625511362,0.0,0.017799919965366184,0.0,0.0,0.0,0.13142548660967607,0.23788005463289336,0.13245721885838643,0.612748052333022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00881517076889099,0.0,0.0,0.0,0.10485547694639068,0.011468683250745937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01417688468903139,0.12098682558902707,0.0,0.0,0.0,0.0,0.0,0.2673296364881782,0.0,0.0,0.0,0.0,0.0,0.2580419277912624,0.0,0.0,0.3424051945916436,0.0,0.0
F010,0.40001480832566844,0.0,0.3347957200935988,0.0,0.0,0.0,0.09377447734203131,0.0,0.0,0.0,0.0,0.0,0.1561190386154031,0.0,0.0,0.118183942080497,0.0,0.0,0.0,0.0,0.0,0.20734110382662763,0.15918443686199932,0.0,0.0,0.16699281605826022,0.0,0.0,0.14029661080349612,0.020150199813870492,0.30706192986949954,0.0,0.0,0.0,0.0,0.3227031431933939,0.0,0.0,0.0,0.0,0.02710790162252343,0.5038021637263522,0.3081349636683081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022034986016417277,0.08733906204772272,0.0,0.0,0.0,0.0,0.0,0.24128271760278452,0.0,0.0,0.0
F011,0.0,0.28010230936759517,0.0,0.0,0.0,0.0,0.0,0.25224896817178577,0.0,0.3253853625511362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49551743922004327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003368823667139101,0.0,0.0,0.1227277639935188,0.032439234715798716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08724436622012317,0.2840655630195993,0.0,0.0,0.21260730395924185,0.0,0.0
F012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1561190386154031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007039212996619881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2530133843541546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002378813905070482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076022482627854885,0.0,0.0,0.0
F013,0.0,0.0,0.0,0.0,0.24012813204103242,0.0,0.0,0.0,0.13445259577378452,0.017799919965366184,0.0,0.0,0.0,0.0,0.0,0.14348499887579355,0.0,0.03027005034795188,0.0,0.0,0.3624152825522189,0.0,0.0,0.0,0.0,0.04304565331889261,0.0,0.10756354898815143,0.0,0.16968399869946257,0.0,0.0,0.0,0.0,0.02624681796436735,0.0,0.05904606815485431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16992445463495273,0.0,0.0,0.0,0.0,0.0,0.020006170559742565,0.0,0.0,0.0,0.0,0.0,0.0,0.04312139663956249,0.0,0.0,0.04065484389340958,0.0,0.0
F014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118183942080497,0.0,0.0,0.14348499887579355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14244975688940137,0.10031750591029713,0.0,0.0,0.0,0.0,0.0,0.0,0.12267999401851029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F017,0.0,0.3857657111784409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13142548660967607,0.0,0.0,0.0,0.03027005034795188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006010998052130641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18810328781977356,0.0,0.0,0.0,0.0,0.27515389643907423,0.06459402075474142,0.0,0.0,0.0,0.0,0.0
F018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05379712503668461,0.044883047561732066,0.23788005463289336,0.0,0.0,0.007039212996619881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27059540396294995,0.0,0.0,0.0,0.0,0.0,0.0,0.031374724992046125,0.0,0.0,0.030396304440747327,0.0,0.0,0.0,0.0,0.0,0.05937000484124249,0.0,0.011388420030680593,0.0,0.0,0.10762736201037097,0.13491009498641293,0.0,0.0,0.0,0.0,0.0
F019,0.0,0.009939106584105807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13245721885838643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09945095076700643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027275112235037823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09310820964354777,0.0,0.0,0.0,0.0,0.0,0.0,0.15922490921403362,0.0,0.0,0.0,0.21696850001586496,0.03258192099463285,0.0,0.0,0.0,0.0,0.0
F020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612748052333022,0.0,0.0,0.0,0.3624152825522189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2172658059068153,0.0,0.0,0.007410039514020369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F021,0.0,0.0,0.09882452940825867,0.0,0.0,0.0,0.0,0.0,0.0795860546527389,0.0,0.20734110382662763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09945095076700643,0.0,0.0,0.05043208761962883,0.0,0.0,0.0,0.0,0.0,0.02454529399980971,0.0,0.0,0.0,0.0,0.007886248962631768,0.0,0.041364667921012045,0.0,0.0,0.0,0.0,0.0,0.1634878985461871,0.1360969528044157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037050194834148654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F022,0.1680898417857659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15918443686199932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05043208761962883,0.0,0.0,0.0,0.0,0.0,0.0,0.0686640630490972,0.0,0.03840470880798394,0.36992655516003037,0.0,0.1317293688079718,0.0,0.16514937437411664,0.0,0.0,0.0,0.0,0.07857765202604791,0.22150707868982258,0.10799424438796662,0.0,0.0,0.0029928394197009218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01079236416840394,0.0,0.0,0.0,0.0,0.0,0.0,0.24338018786932566,0.0,0.0,0.0
F023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F024,0.0,0.639631686273893,0.0,0.0,0.0,0.0,0.0,0.2516693269653166,0.6913082481719757,0.0,0.0,0.49551743922004327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17419740073847376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2869206632462515,0.2652526021165347,0.0,0.0,0.0,0.0,0.0
F025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16699281605826022,0.0,0.0,0.04304565331889261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029903231288570503,0.0,0.008674477195416157,0.0817424485929437,0.0,0.0,0.0,0.0,0.0,0.02014137722328919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006898129106056207,0.0,0.0,0.2664535287969569,0.0,0.0,0.0,0.0,0.0,0.0
F026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
