,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07302488427008635,0.0,0.2423608663277437,0.11644657895481705,0.0,0.5427426216829679,0.0,0.0,0.0,0.0,0.0,0.0,0.17222896715022729,0.0,0.0,0.0,0.0,0.0,0.0,0.3339854978935213,0.0,0.0,0.0,0.0,0.0,0.12209070243803594,0.07625784835717257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020087113613394422,0.0,0.0,0.0,0.157815352519261,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12317204881309746,0.0,0.0,0.013615407586017807,0.0,0.0,0.0,0.0,0.24589237419173152,0.0,0.0,0.0,0.0,0.03929155953533676,0.0,0.2311288936754533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020103708831628292,0.0,0.0,0.0,0.0,0.0,0.07576656392942017,0.12940989210160414,0.02004705146631986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05078813061968494,0.028094866544712757,0.0,0.0,0.0,0.06055115214232296,0.0,0.0,0.2780474496795575,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,1.1349729304171763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452326903614505,0.0,0.0,0.0,0.0,0.0,0.0,0.02968944780335355,0.0,0.0,0.0,0.0,0.0,0.0,0.28828171775403766,0.024045334838487586,0.0,0.0,0.0,0.04232620945838445,0.93024243148312,0.0,0.0,0.0,0.24758359956491513,0.0,0.0,0.0,0.0,0.0,0.0,0.1688391543330321,0.0,0.03596551965634872,0.0,0.0,0.0,0.0,0.0,0.487503356020679,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182382321250161,0.0,0.0,0.0,0.0,0.0005769648876817452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11209383937213431,0.0,0.0,0.0,0.0,0.04154777270402507,0.0,0.246970684012779,0.0,0.0,0.0,0.0,0.023275053507984287,0.0,0.0,0.0,0.0,0.23345414033446404,0.0,0.0,0.0,0.0,0.0,0.2218753544108097,0.0,0.004509736406855238,0.0,0.0,0.0,0.0,0.0,0.0,0.14642917134212202,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,1.1349729304171763,0.0,0.0,0.0,0.0,0.14047836139520609,0.0,0.0,0.10539894564312013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12598417229718853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06078230977411248,0.0,0.0,0.0,0.0,0.0,0.35636580940857787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23439510008278228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.0,0.0,0.0,0.0,0.0,0.14047836139520609,0.0,0.0,0.028326964930696523,0.0,0.12427224588482504,0.0,0.0,0.0,0.0,0.0,0.0,0.2267674493005468,0.0,0.0,0.0,0.0,0.12202083566164888,0.0,0.0,0.0,0.0,0.0141214568482151,0.0,0.0,0.0,0.0,0.15712693766480892,0.05383502788670008,0.0,0.03194289488293675,0.0,0.0,0.0,0.21422522721812318,0.18622622662814448,0.0,0.0,0.06798180787903445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12709250201724123,0.0,0.0,0.0,0.0,0.026816939464037872,0.0,0.0,0.04345534885821401,0.0,0.0,0.0
F008,0.0,0.12317204881309746,0.0,0.0,0.1182382321250161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035485390509414426,0.0,0.5628965324441544,0.7762300086656997,0.5523974729597048,0.0,0.0,0.0,0.0,0.0,0.3673044559947633,0.0,0.26790799851591435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27492248936690744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14367780270833866,0.0655923761115463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6108819788757062,0.0,0.5308533087803113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028326964930696523,0.0,0.0,0.0,0.0,0.0,0.056377316161201334,0.0,0.0,0.0,0.09020150578006875,0.2533239372419537,0.0,0.0,0.0,0.06459572477347734,0.0,0.0,0.0,0.0,0.06720987116893869,0.0,0.09928299232656426,0.0,0.0,0.0,0.1940696274897744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015204594116273807,0.20130130307369182,0.0,0.0,0.0,0.0,0.0,0.0,0.13426825562630829,0.0,0.0,0.0,0.0,0.0,0.2803942921282762,0.0,0.0,0.0,0.0,0.0
