,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15874809143808274,0.0,0.0,0.03938230024109653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2201436077134332,0.0,0.0,0.0,0.0,0.0,0.0,0.3399391489267735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13007256735341277,0.0,0.0,0.0,0.007342464780112178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07941180278557604,0.0,0.0,0.08576341899931943,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.09775995466560937,0.18964123873028776,0.0,0.20209500241276046,0.0,0.11535177319474385,0.0,0.0,0.0,0.0,0.12008055998450973,0.0,0.0,0.05516011322120945,0.0,0.0,0.0,0.0,0.19910216097662448,0.0,0.0,0.0,0.0,0.0,0.25816582629924983,0.0,0.0,0.0,0.0,0.05209487117509507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1760137290821818,0.12520855166469608,0.0,0.0,0.0,0.0,0.0,0.0,0.016574620820965873,0.02321255350219258,0.0,0.029491732396788827,0.0,0.0,0.019424253355860663,0.0,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21647753761893299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19405094068135678,0.0,0.0,0.0,0.0,0.0,0.0,0.10694888021114456,0.0,0.0,0.0,0.0,0.0,0.0,0.18785628642761348,0.0,0.0,0.0,0.0,0.0,0.0,0.14943364458874703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384874519396932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5535377199809323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1932284962892306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23568569414268653,0.0,0.0,0.0,0.0,0.007787473319697772,0.0,0.0,0.10050185408665616,0.0,0.0,0.0,0.0847394684159244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047510343503649,0.0,0.06810082364869165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.09775995466560937,0.0,0.0,0.0,0.0,0.0,0.20928724895764347,0.0,0.0,0.047227102304223015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11175870398009548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3679378502605639,0.0,0.0,0.0,0.0,0.0,0.44094849082877147,0.0,0.0,0.0,0.31208111257031446,0.0,0.0,0.0,0.0,0.0,0.5172632049280017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.18964123873028776,0.0,0.0,0.0,0.0,0.20928724895764347,0.0,0.0,0.11662177853939593,0.0,0.22943084894622393,0.0,0.0,0.0,0.0,0.0,0.0,0.26212564167398344,0.0,0.219150716670908,0.0,0.0,0.0,0.27784042327014846,0.0,0.0,0.04176951394333575,0.0,0.0,0.0,0.0,0.0,0.13466577985825162,0.26742544049341727,0.0,0.06381890359230606,0.0,0.0,0.0,0.0,0.0,0.005830329255402282,0.0,0.14665516876238374,0.0,0.0914450470430074,0.263009301066188,0.0,0.0,0.0,0.13837994122085143,0.052839737697582635,0.0,0.0,0.0,0.0,0.07781990542774919,0.06504819586755416,0.0,0.19194773948435817,0.221782160436058,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.5535377199809323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06769077030349763,0.0,0.2022177357517177,0.0,0.46063735440916515,0.0,0.0,0.0,0.019565148581490263,0.0,0.0,0.0,0.0,0.0,0.0,0.05340795435499929,0.0,0.0,0.0,0.0,0.015958207876027336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2996040751941257,0.0,0.14088995964728515,0.0,0.0,0.0,0.0,0.007956070351352526,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.20209500241276046,0.0,0.0,0.0,0.0,0.0,0.11662177853939593,0.0,0.0,0.0,0.21402533769780732,0.0,0.0,0.0,0.0,0.0,0.5636493303216217,0.28186969637737935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3149063218643798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629214743302961,0.09731934451132752,0.0,0.0,0.0,0.0,0.0,0.17709987719324352,0.0,0.0,0.0,0.0,0.0,0.13873255590941505,0.0,0.0,0.0,0.0,0.0
