,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05064537458557942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11363970551193942,0.0,0.0,0.0,0.0,0.0,0.42256391216408434,0.0,0.0,0.0,0.0,0.0,0.0,0.3751818713758136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14259867559136225,0.16115638455293543,0.0,0.0,0.1035572033864901,0.008951069375225745,0.0,0.0,0.22069297991765147,0.05959293884532544,0.3177509333945697,0.0,0.0,0.0,0.0,0.0,0.43850072988336347,0.0,0.0,0.0,0.0,0.0,0.0,0.0823023252152164,0.0,0.0,0.0,0.0,0.0,0.0,0.02032309749181308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08465665593960463,0.08293827572967503,0.0708964552831207,0.0,0.0,0.028879900864911167,0.11761810767043838,0.0,0.0,0.2774219831739615,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.14572453713958763,0.0,0.0,0.0,0.0,0.0,0.004570054852375555,0.0,0.0,0.0,0.0,0.0,0.0,0.27969711814058223,0.0,0.0,0.0,0.09462961537174883,0.0,0.0,0.0,0.0,0.0,0.0,0.10423644659585626,0.0,0.3375918586378826,0.0,0.0,0.09082545480221044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07676126943508593,0.004759101448954931,0.0,0.0,0.0,0.0,0.35784198720186705,0.0,0.04791628069617505,0.0,0.0,0.0,0.0,0.0,0.0,0.223919306357291,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.14572453713958763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038893786567694565,0.0,0.19353423827900773,0.0,0.0,0.015073434838460726,0.0,0.0,0.0,0.0,0.0,0.0,0.21306342802366404,0.0,0.19701488047428137,0.0,0.0,0.34338182937631967,0.0,0.10244080365132216,0.0,0.0,0.0,0.0,0.19625241824699483,0.0,0.03871035702889286,0.0,0.0,0.15152251089477653,0.01583237099626585,0.0,0.0,0.0,0.0,0.4085576001053974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34109229407290026,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15168504045645953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15492013916669747,0.0,0.0,0.04095908503998099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006527119505770902,0.0,0.0,0.0,0.0,0.0,0.09213454823351722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1453308322357983,0.0,0.0,0.1707491210525338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.14259867559136225,0.0,0.0,0.0,0.0,0.15492013916669747,0.0,0.0,0.0,0.0,0.2552472811114427,0.12469698364420295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2945017228746467,0.23475932363814198,0.0,0.0,0.17033659388802702,0.0,0.0,0.0,0.0,0.0,0.0,0.2241239614513549,0.0,0.040310784932818366,0.1936937194314551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039906257058303835,0.10982508484745541,0.0,0.0,0.0,0.14810000960015127,0.15748236012881617,0.0,0.0,0.0,0.0,0.25450542848689656,0.1320706997523245,0.0,0.0,0.18252801890641457,0.0,0.0
F008,0.0,0.16115638455293543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23297425667863242,0.0,0.007142466584842127,0.0,0.22195489408790686,0.15295957725184414,0.0,0.05002086500969482,0.0,0.0,0.0,0.0,0.044495191380965436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14206630365597933,0.0,0.0,0.0,0.0,0.0,0.0,0.059732260062950834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03972334932969992,0.0,0.0,0.0,0.0,0.194769203343891,0.0,0.0,0.032443886933393735,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003127712199205206,0.0,0.0,0.0,0.11105062160739201,0.0,0.0,0.0,0.0,0.0
