,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23280845465502242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.03434611404082367,0.0,0.0,0.0,0.0,0.18865552538765099,0.11412245794707711,0.09500465665462855,0.0,0.1424631259209099,0.24491301344161875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07951572071558961,0.0,0.0,0.0,0.0,0.0,0.0,0.1251545690125605,0.0,0.0,0.0,0.18164726912469534,0.0014978522994492877,0.0,0.0,0.0,0.0,0.0,0.39642539612207417,0.425424530795557,0.0,0.036093034515143826,0.0,0.0,0.0,0.0,0.0,0.0,0.16176542934447138,0.10638579434942412,0.0,0.029259965912978546,0.0,0.23692122364869533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.03434611404082367,0.0,0.0,0.5617207516483375,0.0,0.0,0.0,0.0,0.0,0.09505592819808809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23403562900704222,0.0,0.0,0.0,0.0,0.0,0.0,0.09020238986303625,0.0,0.0,0.0,0.0,0.026634630255639457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09192356881661631,0.0,0.0,0.0,0.0,0.0,0.6271059289215666,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.5617207516483375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111354134041965,0.0,0.0,0.0,0.0,0.6690619435709755,0.0,0.49406396565288807,0.004826227286907575,0.0,0.0,0.0,0.14642599200183773,0.0,0.0,0.0,0.0,0.009941202633455624,0.0,0.03393040452184584,0.0,0.0,0.0,0.48901532675827214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47582996143516865,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28120766709180856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42085578833753623,0.0,0.0,0.0,0.0,0.0,0.18002031371670107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09710960646584715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.18865552538765099,0.0,0.0,0.0,0.0,0.0,0.0,0.10623180973199113,0.3812753350618527,0.0,0.2386801314000578,0.0,0.0,0.0,0.0,0.11043423613617917,0.0,0.5696793418765554,0.0,0.0,0.0,0.0,0.19497560291619176,0.07856452624622962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08113743756825312,0.5550170534005108,0.0,0.061825276095204336,0.0,0.0,0.0,0.016289304015123397,0.0,0.3306375195452468,0.0,0.2665207177242942,0.0,0.27530583351989946,0.1799951572825655,0.0,0.0,0.0,0.43066889893917726,0.0,0.018847563851415845,0.0,0.0,0.21250939335049648,0.25292290592008765,0.05016663234626728,0.0,0.0,0.0,0.0,0.0
F008,0.0,0.11412245794707711,0.0,0.0,0.0,0.0,0.0,0.10623180973199113,0.0,0.0,0.0,0.03704720290941251,0.0,0.07347875879716317,0.0,0.0,0.7160922737322836,0.23844290363064705,0.0,0.0,0.0,0.030655065895588966,0.0,0.0,0.39694371353298485,0.0,0.0,0.26038577148750464,0.0,0.0,0.0,0.0,0.0,0.0,0.07451584535598593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025312847957337854,0.0,0.027483449202693598,0.0,0.0,0.0,0.0,0.0,0.0,0.05179550770436093,0.0,0.11824717448587078,0.0,0.0,0.10705246016527997,0.0,0.33178963928252286,0.1255326938194788,0.0,0.0,0.0,0.0
F009,0.0,0.09500465665462855,0.0,0.0,0.0,0.0,0.0,0.3812753350618527,0.0,0.0,0.0,0.0,0.0,0.17331809111174148,0.0,0.0,0.0,0.31100973504755924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07549380654760353,0.302258077797277,0.0,0.0,0.0,0.0,0.0,0.0,0.28179870128552637,0.0,0.0,0.0,0.0,0.0,0.2864502724107038,0.0,0.08417025678614808,0.0,0.0,0.0
