,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10444091389736573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3780347218579355,0.0,0.0,0.0,0.0,0.0,0.10038312926722018,0.011321178485560154,0.0,0.0,0.0,0.0,0.0,0.16366122064816002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.02695529082185331,0.0977715499933469,0.0,0.0,0.0,0.15305676598551257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023629109034566,0.013711519830774956,0.0,0.0,0.0,0.0,0.0,0.021443788464770002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02397819298527549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399992130953922,0.0,0.07458762590518148,0.0,0.36906692586405726,0.0,0.0,0.0,0.10496433411682093,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.049517506588479414,0.0,0.8054548149184766,0.0,0.0,0.0,0.052643328612414594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337665272714915,0.0,0.0,0.0,0.0,0.0,0.0,0.10364960181062909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02526440841268399,0.0,0.0,0.0,0.014481240322732245,1.033052938253201,0.02903133121961869,0.0,0.02663220892115729,0.09988410792090337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.049517506588479414,0.0,0.0,0.0,0.0,0.0,0.06547380677205182,0.0,0.0,0.0,0.0,0.05929864598660335,0.0,0.0,0.0,0.0,0.0,0.4929299100104103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06981603466682554,0.0,0.0,0.0,0.0,0.36902545264334663,0.0,0.0393190850691364,0.0,0.0,0.0,0.0,0.049157161313103506,0.0,0.0,0.0,0.0,0.3227189310112457,0.0,0.0,0.0,0.0,0.0,0.23963800584366793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17548437605072081,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.02695529082185331,0.8054548149184766,0.0,0.0,0.0,0.0,0.003135487384544637,0.0,0.0,0.05102233027663674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015644969032572998,0.0,0.0,0.0,0.0,0.0,0.02250791062699303,0.0,0.0,0.0,0.0,0.0,0.0,0.26049827227763556,0.10502758612757235,0.0,0.0,0.0,0.0,0.0,0.1428761135383543,0.0,0.0,0.2997403413595823,0.0,0.0,0.0,0.0,0.0,0.0,0.3256053794920057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.0977715499933469,0.0,0.0,0.0,0.0,0.003135487384544637,0.0,0.0,0.14397368518268203,0.0,0.042257226528740345,0.0,0.0,0.0,0.0,0.0,0.0,0.2638992526195511,0.0,0.0,0.0,0.03655525164960378,0.302374469776409,0.008474066666000452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1160876467572985,0.28646744351786335,0.0,0.04334935348925425,0.0,0.0,0.0,0.1518847330939845,0.0,0.0,0.0,0.0,0.0,0.03584166310073381,0.0,0.0,0.0,0.0,0.0,0.14027473144662225,0.0,0.0,0.0,0.0,0.0910084971414199,0.057267068747452896,0.0,0.0304015031401059,0.08931785796060593,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.06547380677205182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07706096720608885,0.0,0.3995664925873642,0.5455936365904049,0.2990512175193738,0.0,0.0,0.7090058736127036,0.037835926429990216,0.0,0.0,0.2624582878359837,0.5410431479799022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708566817502259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1796122441073118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6755333727308227,0.0,0.36034454283669864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14397368518268203,0.0,0.0,0.0,0.0,0.0,0.053679244439704475,0.0,0.0,0.0,0.0,0.3060576540842051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3862452119155834,0.05525475707670812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133728432075956,0.24139524872273257,0.0,0.0,0.0,0.0,0.0,0.0576234272820136,0.1167919203803102,0.0,0.0,0.0,0.0,0.0,0.2205149105644791,0.0,0.07308883421155413,0.0,0.0,0.0
F010,0.10444091389736573,0.0,0.052643328612414594,0.0,0.0,0.0,0.05102233027663674,0.0,0.0,0.0,0.0,0.0,0.011518374255595478,0.0,0.0,0.0,0.0,0.0,0.0,0.09363600188025754,0.0,0.0,0.0901933435183458,0.0,0.05016587160728467,0.0,0.0,0.0,0.044087743856035665,0.0038194783762977177,0.055922010779995576,0.0,0.0,0.0,0.0,0.1599398572480651,0.0,0.0,0.0,0.0,0.07202501053000324,0.27329353942238704,0.1360594549602436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09779572840350025,0.0,0.06112645697125001,0.0,0.0,0.0,0.0,0.0,0.12606099098057652,0.0
F011,0.0,0.15305676598551257,0.0,0.0,0.0,0.0,0.0,0.042257226528740345,0.0,0.0,0.0,0.0,0.2855146778879141,0.07209205386252501,0.0,0.0,0.04604175282745633,0.15700801963903344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08237892668985068,0.0,0.0,0.0,0.0,0.0,0.0,0.1806922476216036,0.0,0.0057619684328054106,0.095395868775455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11137735821740714,0.3552523083114749,0.0,0.0,0.0,0.0,0.0
