,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31268293002531666,0.0,0.0,0.10546721378376492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14104338841440062,0.0,0.0,0.0,0.0,0.0,0.0,0.4041400265276652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13113034050402042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14358756668853437,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11267934143567268,0.0,0.12436590388520186,0.0,0.08500018409012548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07063439624843966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17023626671160144,0.0,0.0,0.02780067923618022,0.11338326774099425,0.0930243034310686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3190590582313799,0.244380193384295,0.0,0.0,0.0,0.0,0.0,0.0,0.09526434063838199,0.022101901018369934,0.0,0.033044767890392276,0.0,0.1754029024480631,0.0,0.0,0.0,0.0,0.3424547750500094,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.22419878568448232,0.0,0.0,0.0,0.0,0.0,0.358808250877218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17953753257724267,0.0,0.0,0.0,0.0,0.0,0.0,0.07328764178033796,0.0,0.4865209300688399,0.0,0.0,0.0,0.0,0.046798528378651214,0.03391655081323123,0.0,0.0,0.0,0.0,0.0,0.10172588032459651,0.0,0.0,0.023021983824692813,0.0,0.0,0.0,0.0,0.0,0.0,0.03442668898074271,0.0,0.01946873128313502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.22419878568448232,0.0,0.0,0.0,0.0,0.0,0.5313277469363711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27005491352176725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511475582684744,0.02388845863374111,0.0,0.0,0.0,0.0,0.0,0.0,0.05196549929221208,0.0,0.0,0.0,0.1218500038835473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5717636599538704,0.0,0.09047464733505395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135355120490043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37132040885900863,0.0,0.0,0.0,0.0,0.0,0.33577850140752685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39410434122026167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.11267934143567268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285289134710502,0.0,0.21203657712333687,0.0,0.0,0.0,0.0,0.0,0.0,0.23870181257616027,0.0,0.3287594113655315,0.0,0.0,0.10793706706573034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22382575713941752,0.0,0.0962258110172999,0.0,0.0,0.0,0.04181266274194687,0.0,0.0,0.0,0.10102665888291877,0.0,0.06930230743821555,0.2685498941634834,0.0,0.0,0.0,0.22032113452260207,0.06672692756249345,0.0,0.0,0.0,0.00939704093835471,0.09526534403456907,0.09384042259878271,0.0,0.00014928078677369083,0.0,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.5313277469363711,0.0,0.0,0.0,0.0,0.0,0.0,0.0971417009929403,0.0,0.0,0.0,0.0,0.0,0.34865674065747054,0.0,0.0,0.0,0.07334602367520476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10294283328791838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.12436590388520186,0.0,0.0,0.0,0.0,0.0,0.14285289134710502,0.0,0.0,0.0,0.16177699853263156,0.0,0.017458786712128666,0.0,0.0,0.0,0.15893635253936036,0.26149988042281375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04518625051777124,0.0,0.0,0.0,0.3125525983290813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802367612198837,0.2846542330554072,0.0,0.0,0.0,0.0,0.0,0.24301263339737478,0.0,0.0,0.0,0.0,0.0,0.18751147408051366,0.0,0.0,0.0,0.0,0.0
