,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09581522842742096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060273040264564474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1620432171415086,0.0,0.0,0.0,0.0,0.0,0.2603991518156887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03462209148283515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05853511726611772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010278169098078747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10203427708531225,0.07075638926926221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11178069997999765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09158999959539305,0.0,0.0,0.046592085617148005,0.0,0.0,0.08569066401998267,0.0154404624442327,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14290120517279697,0.0,0.0,0.03315050935681462,0.0,0.0,0.0,0.2856683965760771,0.0,0.0,0.0,0.1633090115988876,0.0,0.0,0.0,0.0,0.0,0.0,0.09682318488029311,0.0,0.0,0.0,0.0,0.0,0.0,0.25130261603653037,0.0,0.0,0.0,0.0,0.09355977395835506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026407035375434144,0.01029423920350138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021972017331503522,0.0,0.0,0.0,0.0,0.01774692204168405,0.0,0.0,0.0,0.0,0.15540896510294455,0.0,0.024100122422287724,0.0,0.047701365982435344,0.0,0.0,0.0,0.0,0.0,0.05830745617739137,0.0,0.0,0.0,0.0,0.16669743735768144,0.0,0.0,0.0,0.0,0.0,0.0,0.0770925084186127,0.0,0.0,0.0,0.0,0.0,0.01581197008747302,0.0,0.0,0.0,0.0,0.204293804403568,0.0,0.10202128404346168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.09581522842742096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24801950282067198,0.0,0.0,0.0,0.0,0.0,0.12669396252043652,0.10095535087104508,0.0,0.19332317219794223,0.0,0.0,0.2403757471393616,0.08171131636971161,0.0776070123410227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975591275254384,0.20945914685113823,0.0,0.04755529178360123,0.0,0.0,0.0,0.1088713416382305,0.0,0.0,0.0,0.10944497875830402,0.0,0.0,0.2170383230048136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01589226281291532,0.0,0.0,0.02661776384891496,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.021972017331503522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018418663461453856,0.0,0.0,0.4332978208391219,0.0,0.0,0.0,0.2419020328649993,0.0,0.0,0.0,0.17378894221093902,0.0,0.0,0.0,0.03711466848891122,0.0,0.0,0.0,0.0,0.19808911280804464,0.0,0.0,0.0,0.0,0.0,0.0,0.09480826981125098,0.0,0.0,0.065310037979335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03995241558037199,0.0,0.06201061795064921,0.0,0.0,0.0,0.0,0.0,0.0,0.08175260590165946,0.0,0.0,0.0
F009,0.0,0.05853511726611772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021413008467334117,0.0,0.0,0.0,0.0740021126898938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05525585443671963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035032693506252836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F010,0.0,0.0,0.14290120517279697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350821789477858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10188575436396383,0.12146826956449311,0.0,0.0,0.0,0.0,0.0,0.17191328869905106,0.06505693900869652,0.0,0.0,0.0,0.0,0.0,0.37458397906770974,0.0,0.0,0.0,0.0,0.0,0.0,0.09385298394174925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682176200838558,0.0,0.07031770078308142,0.18383151061895886,0.0,0.0,0.0,0.0,0.0,0.33430732939230706,0.0,0.0,0.0
