,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08772891223820427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.12466900996613592,0.0,0.0,0.0,0.0,0.08434924063994102,0.0,0.0,0.0,0.16534717760725062,0.032512039127993914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11519104188102784,0.1859539780583376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2936997594901172,0.40113727880675376,0.15333848147950652,0.03942630341895407,0.0,0.0,0.0,0.0,0.0,0.2822387478482512,0.391917690102403,0.2756458967762805,0.0,0.0,0.0038263799816618408,0.0,0.0,0.0,0.0,0.006539224812497666,0.0,0.016391657651786535,0.0,0.0,0.0,0.0,0.0,0.09326082574005785,0.1587989829431455,0.0,0.0
F002,0.0,0.12466900996613592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056822363293227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349104350298985,0.0,0.0,0.0,0.0,0.0,0.0,0.09133219179940791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000984953051927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09966481860738474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06377049669999557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07684577844438006,0.0,0.0,0.0,0.0,0.0,0.0,0.0935567237186106,0.003602618680198392,0.0,0.0,0.0,0.16574919880833017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18786871774944794,0.0,0.0462762710426233,0.0,0.0,0.0,0.0,0.0,0.0,0.012019686272844303,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21934439869368097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277612961671553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.08434924063994102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009914572481605,0.0,0.0,0.0,0.0,0.0,0.0,0.3775039804118862,0.07648350250497497,0.0,0.0,0.0,0.4144937208599111,0.0,0.0,0.0,0.0,0.027564313944956613,0.0,0.0,0.0,0.0,0.3442032247240187,0.6269042329148746,0.0,0.16788780642704815,0.0,0.0,0.0,0.32056775303438195,0.0,0.3902546398115658,0.0,0.24635526959838247,0.0,0.0,0.37922195452993634,0.0,0.0,0.0,0.2886345636458048,0.0630886431354489,0.0,0.0,0.0,0.0,0.016918307341422297,0.0,0.0,0.27932044794134236,0.0,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.06377049669999557,0.0,0.0,0.0,0.0,0.0,0.09063441499993459,0.0,0.0,0.0,0.0,0.053922961499503694,0.3079051607220723,0.07150386189291077,0.0,0.0,0.0,0.148868288245387,0.0,0.0,0.4743892715977879,0.0,0.0,0.05109196721269908,0.04376946449896536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1637154371114438,0.0,0.0,0.0,0.0,0.0,0.0,0.11458904877333534,0.0,0.2830572548883724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17835217421225635,0.0,0.07319648889035837,0.0,0.0,0.0,0.0,0.2827073310726435,0.14192455917476146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9359265099105087,0.0,0.0,0.0,0.0,0.0,0.0,0.16443494883016238,0.0,0.0,0.0,0.0,0.09667127868802912,0.10527287918849848,0.33737575471407033,0.0,0.0,0.0,0.2079323048605403,0.0,0.0,0.0,0.0,0.0,0.0,0.03365372420200915,0.0,0.3008419970372364,0.0,0.0,0.0
F010,0.0,0.0,0.1056822363293227,0.0,0.0,0.0,0.0,0.0,0.09063441499993459,0.0,0.0,0.0,0.322369251876925,0.0,0.0,0.0,0.21089062334860573,0.0,0.0,0.21694273886542312,0.0,0.12519804623081635,0.30834703870409175,0.0,0.0,0.0,0.0,0.0,0.058153987494544604,0.0,0.0,0.0,0.0,0.0,0.0,0.4316052481780584,0.0,0.0,0.0,0.0,0.0671683585041186,0.0,0.16978178429037413,0.0,0.0889150809483406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04171046291974817,0.0,0.009123491617650931,0.0,0.0,0.0,0.16719203278788022,0.0,0.0,0.0
F011,0.0,0.16534717760725062,0.0,0.0,0.0,0.0,0.0,0.3009914572481605,0.0,0.17835217421225635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2117238298150718,0.01970604620492849,0.0,0.0,0.0,0.5803184721518615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20280659067588794,0.34539366032861313,0.0,0.10006320494506772,0.0,0.0,0.0,0.0,0.0,0.0,0.13130878186509629,0.2598618009198711,0.0,0.0,0.2945310720347874,0.0,0.0,0.0,0.12583431277614493,0.0,0.0,0.00979756139114509,0.0,0.0,0.054978929851541056,0.0042064550320785555,0.0,0.0359561108467987,0.0,0.0,0.0
F012,0.0,0.032512039127993914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322369251876925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010832775187057042,0.0,0.0,0.0,0.0,0.0,0.24744454852093678,0.0,0.030867232034690266,0.0,0.0,0.0,0.0,0.0,0.0,0.10747595619318741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05299874125514807,0.0,0.0,0.0,0.09271896606693696,0.0,0.0,0.0,0.0,0.0
F013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07319648889035837,0.0,0.0,0.0,0.0,0.0,0.028436198300046824,0.0,0.03350758918574473,0.0062303538108973615,0.0,0.03744247532240837,0.0,0.0,0.04043849382835855,0.0,0.0,0.0,0.0,0.0,0.06879646349394263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017489182242810316,0.08089906256183095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04652435193453305,0.02256153264448779,0.0,0.0,0.0708294322922394,0.0,0.0
F014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053922961499503694,0.0,0.0,0.0,0.0,0.028436198300046824,0.0,0.0,0.0,0.05750858466264095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2958681337444573,0.0,0.0,0.0,0.0,0.0,0.1506293286151905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423471829541827,0.19924110372545537,0.0,0.0,0.0,0.0,0.0,0.0,0.0657231359207065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3079051607220723,0.0,0.21089062334860573,0.0,0.0,0.0,0.0,0.0,0.0,0.14863575136629942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23383829152851357,0.0,0.0,0.0,0.0,0.0,0.0,0.43562794458036264,0.0,0.0,0.0,0.0,0.19707456707888563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014977548732079555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
