,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21909600122893777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16180058880842338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24237475790790272,0.10242502942409193,0.3482248607292788,0.0,0.1506723962314548,0.0,0.0,0.0,0.0021352144567329625,0.17144138242486678,0.0,0.0,0.029598853060309644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17638565187566113,0.0,0.0,0.0,0.1914715487393656,0.0,0.0,0.0,0.0,0.0,0.0,0.13472659111758775,0.0,0.22487884617476528,0.37132944901123777,0.0,0.0,0.074821101526535,0.0,0.0,0.0,0.17809704543216442,0.02729601411975609,0.0,0.10200423298139512,0.0,0.4576982044299878,0.07134657966223268,0.04758833834829228,0.0,0.0,0.2983560148993897,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.4343155879504554,0.0,0.0,0.0,0.0,0.0,0.12785945096586712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17753875122855883,0.0,0.0,0.0,0.0,0.0,0.0,0.28476872157581956,0.0,0.0,0.0,0.0,0.0,0.0,0.21426845629946217,0.0,0.0,0.0,0.0,0.0,0.0,0.17399187850518996,0.0,0.0,0.21980332903516164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6744436714911516,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.4343155879504554,0.0,0.0,0.0,0.0,0.0,0.0013156180810057416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10765290387951848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1811943357663732,0.0,0.0,0.0,0.0,0.5616947732502171,0.0,0.25230682636648344,0.0,0.0,0.0,0.0,0.32559218309516885,0.0,0.011254059557775383,0.0,0.0,0.15268207121388744,0.0,0.0,0.0,0.0,0.0,0.4249232464754934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5034332261603088,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21703865236950973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26150662041176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24922171299927526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359142633377281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.24237475790790272,0.0,0.0,0.0,0.0,0.0,0.0,0.06369790819344556,0.13714193207086156,0.0,0.2713957957527368,0.0,0.0,0.0,0.0,0.11677229225900145,0.0,0.1898268318020379,0.0,0.40785460996045025,0.0,0.0,0.0,0.1384234395545891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32764326385792675,0.0,0.03624871839643604,0.0,0.0,0.0,0.08766635300994267,0.0,0.0,0.0,0.2040199192550334,0.0,0.28483513993224735,0.30205967747070894,0.0,0.0,0.0,0.4096710921789365,0.024143480923925233,0.0,0.0,0.0,0.08684149559265937,0.14233350244015114,0.12501847828316173,0.0,0.0,0.33182716473990365,0.0,0.0
F008,0.0,0.10242502942409193,0.0,0.0,0.0013156180810057416,0.0,0.0,0.06369790819344556,0.0,0.0,0.0,0.1534124746555937,0.0,0.0,0.0,0.0,0.4750998580717083,0.281478742514611,0.09142941685541638,0.0,0.13869434028531466,0.0,0.0,0.0,0.726252562572919,0.0,0.0,0.052472084884089665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11044572138017882,0.0,0.0,0.0,0.0,0.0,0.4279602833604061,0.0,0.0,0.0,0.0,0.0,0.0,0.5243053288518557,0.0,0.110077433497175,0.0,0.0,0.0,0.0,0.08139628223371152,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.3482248607292788,0.0,0.0,0.0,0.0,0.0,0.13714193207086156,0.0,0.0,0.0,0.41510792278502173,0.0,0.0,0.0,0.0,0.0,0.15610035149909524,0.5103832628462189,0.0,0.8084602475192704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924070221804339,0.0,0.0,0.21069052868614413,0.0,0.0,0.0,0.0,0.28076199180210093,0.0,0.0,0.0,0.0,0.0,0.3377457284746629,0.0,0.0,0.0,0.0,0.0
