,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.34456437248357236,0.0,0.0,0.0,0.08031074655696942,0.0,0.0,0.0,0.6356805924201732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10896425129959067,0.0,0.0,0.0,0.0,0.0,0.0,0.44574882638200836,0.0,0.0,0.0,0.0,0.0,0.0,0.03658027220367237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10195999111760541,0.0,0.0,0.0,0.2798926341062265,0.0,0.0,0.0,0.0,0.0,0.0,0.3733729674791158,0.08896640752604734,0.0,0.01341712862905831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525259443130172,0.0,0.0,0.0,0.0,0.0,0.0,0.2796867136045412,0.0,0.0,0.134315254289128,0.0,0.0,0.0,0.0,0.0,0.0,0.02828462735946889,0.0,0.05862046026355238,0.0,0.0,0.0,0.03386041173000091,0.0,0.262662863678168,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17017417269552945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08054827404330887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.34456437248357236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006713732991930815,0.0,0.0,0.0,0.08759510843538561,0.0,0.0,0.0,0.0,0.0,0.1298686041453361,0.0,0.0,0.0,0.0,0.07700672815657651,0.0,0.0,0.0,0.0,0.11012483612151117,0.004973485960923154,0.32628891764277024,0.03922572748917482,0.0,0.0,0.0,0.10805926843037474,0.0,0.0,0.0,0.0331830441427305,0.0,0.0,0.0,0.0,0.0,0.0,0.267501554613248,0.07225553713423338,0.0,0.0,0.0,0.17481205904492028,0.033496691802173545,0.0,0.0,0.06112196011776022,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07825605461054065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035444546624330156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.10195999111760541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19586135594536183,0.0,0.0,0.0,0.0,0.0,0.0,0.17765272030332088,0.30894331971986017,0.0,0.0,0.0,0.0,0.0,0.1011582545262494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10917270878561791,0.09519103978176076,0.0,0.05015915460320026,0.0,0.0,0.0,0.03054905376436609,0.0,0.17826021387986746,0.0,0.0,0.0,0.19850226936038246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13509317320401862,0.0,0.0,0.06483079090364646,0.0,0.0,0.0
F008,0.08031074655696942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022990027963643526,0.0,0.0,0.0,0.0,0.3294390924770689,0.31603701059417094,0.23184159259124776,0.0,0.0,0.0,0.028190929116148438,0.0,0.3201566572418153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055922858088459315,0.06114046436189584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47626769092033633,0.12063214674318404,0.0,0.0,0.0,0.0,0.0,0.0,0.2724774583707506,0.0,0.28882744468872174,0.0,0.0,0.05275694799762697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12565287177300152,0.0,0.10199010794946271,0.0,0.0,0.0,0.0,0.2642350084611383,0.02650790728605774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6792302382886173,0.11661586225238577,0.0,0.0509208767133382,0.0,0.0,0.0,0.0967154913525764,0.0,0.0,0.0,0.0,0.0,0.09904538978203871,0.0,0.0,0.0,0.0,0.0,0.26507012083509157,0.0,0.0,0.0,0.0,0.0,0.15845885925389794,0.0,0.0,0.0,0.0,0.0
F010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022990027963643526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1215373667049947,0.0,0.0,0.0,0.0,0.0039855896808382914,0.0649799317312868,0.0,0.0,0.0,0.0,0.0,0.062401837065259,0.0,0.0,0.0,0.0,0.0,0.0,0.3173725747112039,0.0,0.0,0.0,0.0,0.11078553642935954,0.5978186927050942,0.10444649059304127,0.0,0.27815947091824017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01565669306244071,0.0438181594561796,0.0,0.012443366889377746,0.0,0.0,0.0,0.010370864739738892,0.0,0.0,0.0
F011,0.0,0.2798926341062265,0.0,0.0,0.0,0.0,0.0,0.19586135594536183,0.0,0.12565287177300152,0.0,0.0,0.0,0.013322381049746118,0.0,0.0,0.0,0.0,0.0775364096980878,0.0,0.0,0.0,0.0,0.0,0.0,0.26985481855483284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087986598405217,0.0,0.0,0.02807313112006561,0.0,0.0,0.0,0.0,0.0,0.0,0.16335384562886504,0.0,0.0,0.0,0.2623122958019422,0.0,0.0,0.0,0.0,0.0,0.0,0.027938798684343402,0.0,0.0,0.058465621879045325,0.0,0.0,0.0,0.0,0.0,0.0
F012,0.6356805924201732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005920615330249149,0.0,0.0,0.0,0.16811286663988997,0.0,0.158988663205459,0.0,0.013550967146337545,0.0,0.0,0.0,0.0,0.0,0.0,0.03468239509549615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07617229015198253,0.0,0.0,0.0,0.0,0.0
