,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07976090914839597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5465853564707694,0.0,0.0,0.0,0.0,0.0,0.315652078855895,0.026858574650268738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20925349541466112,0.0,0.0,0.0,0.21092416593940982,0.13645558037862843,0.0,0.0,0.0010767684374854722,0.0,0.08353453167513684,0.0,0.0,0.0,0.0,0.10233648700893952,0.1816045217307135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020662350363975474,0.0,0.0,0.0,0.0,0.0,0.09805024436930772,0.0,0.18528738899894948,0.0,0.0627549732072756,0.0,0.0,0.0,0.0,0.0,0.2004400793567196,0.0,0.08068596241391661,0.0,0.17821744128000908,0.0,0.07459739366628297,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.0,0.0,1.3918355729367617,0.0,0.0,0.6021551625487738,0.0,0.0,0.0,0.006109562798011528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1195895210480342,0.0,0.09620332761900281,0.0,0.0,0.0,0.0,0.0,0.0,0.1528664761277184,0.0,0.44595063090769393,0.0,0.0,0.2941046207424963,0.0,0.25150716388437755,0.043531005370842896,0.0,0.883970322228127,0.0,0.17702784081908635,1.1871350937767975,0.0,0.0,0.0,0.354519237971496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228982704557031,0.0
F003,0.0,0.0,1.3918355729367617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904137545246366,0.02985606205592227,0.0,0.0,0.0,0.39835784073946656,0.0,0.0,0.0,0.0,0.7016189356237478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6918434776797986,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242628362869294,0.0,0.0,0.0,0.0,0.029265741009840023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04273813347617933,0.0,0.0,0.0,0.0,0.13371613889740375,0.0,0.05876959573255456,0.0,0.0,0.0,0.0,0.07113912586988565,0.0,0.006936816978898465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4354977843558638,0.0,0.2839068495793883,0.0,0.0,0.0,0.0,0.0,0.0,0.11935132147964596,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.6021551625487738,0.0,0.0,0.0,0.0,0.01790295776599111,0.0,0.0,0.15544542303616038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25271525951477614,0.0,0.0,0.0,0.0,0.0,0.021645866774692508,0.0,0.0,0.0,0.0,0.0,0.0,0.2874702298030714,0.0671021722533284,0.0,0.0,0.0,0.0,0.0,0.007786906977364456,0.0,0.0,0.22388503286107755,0.0,0.0,0.0,0.0,0.0,0.0,0.1692794406797839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8365759253085834,0.0
F007,0.0,0.20925349541466112,0.0,0.0,0.0,0.0,0.01790295776599111,0.0,0.0,0.24397046538926823,0.0,0.2127323681831962,0.0,0.0,0.0,0.0,0.0,0.0,0.4370845529379244,0.0,0.0,0.0,0.0,0.148615231787544,0.22816827069559362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04401550854061369,0.3885251318457717,0.0,0.01534435734973466,0.0,0.0,0.0,0.10657587503692816,0.0,0.06480592786542738,0.0,0.2639700299885852,0.0,0.1344617724461339,0.0,0.0,0.0,0.0,0.13454724047789351,0.1689172272326916,0.0,0.0,0.0,0.0,0.13188193907226922,0.13323466234270992,0.0,0.18534629303650907,0.0,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.1242628362869294,0.0,0.0,0.0,0.0,0.0,0.0,0.04100163206452944,0.0,0.037243847098099,0.0,0.3287012012288808,0.37848856343436343,0.15224606881416092,0.0,0.0,0.0,0.0,0.034570865727782306,0.11514829716029348,0.5354566003001997,0.4790258663210378,0.0,0.1439054016733362,0.0,0.0,0.0,0.0,0.0,0.0,0.18618847403033945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03862067986091955,0.0,0.0,0.0,0.1578713479183836,0.0,0.0,0.0,0.0,0.5434472780581759,0.0,0.4426822567134734,0.0,0.0,0.164407724378931,0.0,0.0,0.0,0.014313715589155543,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24397046538926823,0.0,0.0,0.0,0.22569484049890695,0.0,0.07739011156227812,0.0,0.0,0.0,0.04484025524444148,0.3730669201200695,0.0,0.0,0.0,0.018311622218170107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3905247221675025,0.26462600619668336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020255602665109604,0.324717437359435,0.0,0.0,0.0,0.0,0.10586716271875606,0.22033474434457148,0.0,0.0,0.0,0.0,0.0,0.13497135761453977,0.0,0.3216646069862701,0.0,0.03907079823824747,0.0
F010,0.07976090914839597,0.0,0.006109562798011528,0.0,0.0,0.0,0.15544542303616038,0.0,0.0,0.0,0.0,0.0,0.011316788075130058,0.0,0.0,0.0,0.0,0.0,0.0,0.19264137998477948,0.0,0.03644635265592793,0.049573473605519766,0.0,0.0,0.0,0.0,0.0,0.04666676572616261,0.09286194569212888,0.14677207231247777,0.0,0.0,0.0,0.016409704021800784,0.1630342404569241,0.0,0.0,0.0,0.0,0.0,0.2455457122969652,0.05178583859731168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665077606379111,0.0,0.18803706783650917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F011,0.0,0.21092416593940982,0.0,0.0,0.0,0.0,0.0,0.2127323681831962,0.04100163206452944,0.22569484049890695,0.0,0.0,0.004711590275866503,0.04303871736436206,0.0,0.0,0.0,0.23479778697676995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07066910240069516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23933812325105602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030088440617654366,0.0,0.0,0.026770707261204008,0.31402995773073833,0.0,0.0,0.0,0.0,0.0
F012,0.0,0.13645558037862843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011316788075130058,0.004711590275866503,0.0,0.0,0.0,0.0,0.0,0.0,0.18169035576036155,0.0,0.0,0.030464444947488414,0.0,0.0,0.0,0.0,0.0,0.2302246009600243,0.0,0.15490183696266283,0.0,0.0,0.0,0.0,0.0,0.0,0.034307703260977304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06075795068372992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28107190017846,0.0,0.0,0.0,0.0,0.0
F013,0.0,0.0,0.0,0.0,0.029265741009840023,0.0,0.0,0.0,0.037243847098099,0.07739011156227812,0.0,0.04303871736436206,0.0,0.0,0.0,0.06577520274973053,0.0,0.0,0.0,0.0,0.21874467319331137,0.0,0.0,0.029414525198676038,0.0,0.010430624349345104,0.0,0.0,0.0,0.028327633354876442,0.0,0.0,0.0,0.017534182252332907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01498010182728695,0.0,0.0,0.0,0.0,0.047735851631192545,0.0,0.027736098854155768,0.0,0.0,0.0,0.014938336100087823,0.0,0.0,0.0,0.11091988646225406,0.0,0.0
F014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
