community_id,member_elements,community_size,strongest_internal_edges,representative_global_image_rows
0,"[""F000"", ""F012"", ""F015"", ""F027"", ""F029"", ""F038"", ""F056""]",7,"[{""a"": ""F038"", ""b"": ""F012"", ""ppmi"": 0.7129772709733394, ""support"": 603}, {""a"": ""F015"", ""b"": ""F056"", ""ppmi"": 0.5830266153564159, ""support"": 610}, {""a"": ""F000"", ""b"": ""F015"", ""ppmi"": 0.5328594392415293, ""support"": 559}, {""a"": ""F027"", ""b"": ""F029"", ""ppmi"": 0.3057801546484355, ""support"": 42705}, {""a"": ""F000"", ""b"": ""F029"", ""ppmi"": 0.2624236681611776, ""support"": 3551}, {""a"": ""F012"", ""b"": ""F027"", ""ppmi"": 0.2274223559739229, ""support"": 8532}, {""a"": ""F056"", ""b"": ""F029"", ""ppmi"": 0.21937671406702036, ""support"": 3530}, {""a"": ""F015"", ""b"": ""F029"", ""ppmi"": 0.16799757524620937, ""support"": 5935}, {""a"": ""F000"", ""b"": ""F056"", ""ppmi"": 0.15781070349653978, ""support"": 217}, {""a"": ""F000"", ""b"": ""F012"", ""ppmi"": 0.12978180096430694, ""support"": 672}]","[256366, 199015, 308504, 157145, 82454, 374201, 68976, 67369, 168821, 74406]"
1,"[""F001"", ""F009"", ""F011"", ""F018"", ""F037"", ""F046"", ""F050"", ""F052"", ""F054"", ""F057"", ""F058""]",11,"[{""a"": ""F001"", ""b"": ""F050"", ""ppmi"": 0.6792267234342599, ""support"": 597}, {""a"": ""F009"", ""b"": ""F018"", ""ppmi"": 0.3781496720491402, ""support"": 2716}, {""a"": ""F037"", ""b"": ""F011"", ""ppmi"": 0.3127838329907163, ""support"": 1142}, {""a"": ""F011"", ""b"": ""F058"", ""ppmi"": 0.2927020556406912, ""support"": 36598}, {""a"": ""F009"", ""b"": ""F058"", ""ppmi"": 0.2566368636555506, ""support"": 18066}, {""a"": ""F009"", ""b"": ""F046"", ""ppmi"": 0.2470654126091198, ""support"": 4209}, {""a"": ""F009"", ""b"": ""F011"", ""ppmi"": 0.204407026226366, ""support"": 6144}, {""a"": ""F018"", ""b"": ""F057"", ""ppmi"": 0.1913325428569, ""support"": 8624}, {""a"": ""F009"", ""b"": ""F052"", ""ppmi"": 0.19077987377600036, ""support"": 8961}, {""a"": ""F037"", ""b"": ""F018"", ""ppmi"": 0.18651446194619895, ""support"": 374}]","[280501, 287116, 80554, 177485, 289585, 284478, 223475, 214861, 281695, 214623]"
2,"[""F002"", ""F003"", ""F006"", ""F010"", ""F019"", ""F028"", ""F030"", ""F035"", ""F036"", ""F040"", ""F041"", ""F043"", ""F055"", ""F062""]",14,"[{""a"": ""F002"", ""b"": ""F062"", ""ppmi"": 1.1137121483776025, ""support"": 857}, {""a"": ""F006"", ""b"": ""F062"", ""ppmi"": 1.1022903676910214, ""support"": 272}, {""a"": ""F041"", ""b"": ""F030"", ""ppmi"": 0.9442080625695765, ""support"": 644}, {""a"": ""F041"", ""b"": ""F062"", ""ppmi"": 0.9173628008008037, ""support"": 395}, {""a"": ""F062"", ""b"": ""F030"", ""ppmi"": 0.8835814081678549, ""support"": 450}, {""a"": ""F002"", ""b"": ""F030"", ""ppmi"": 0.8325815505113285, ""support"": 1027}, {""a"": ""F002"", ""b"": ""F041"", ""ppmi"": 0.7863994600440682, ""support"": 832}, {""a"": ""F002"", ""b"": ""F006"", ""ppmi"": 0.7830499082315729, ""support"": 474}, {""a"": ""F006"", ""b"": ""F041"", ""ppmi"": 0.7332583731391205, ""support"": 253}, {""a"": ""F035"", ""b"": ""F030"", ""ppmi"": 0.611524142235063, ""support"": 3376}]","[31913, 37667, 27441, 31525, 104604, 31260, 295776, 308994, 364545, 302769]"
3,"[""F004"", ""F007"", ""F008"", ""F013"", ""F014"", ""F016"", ""F017"", ""F020"", ""F023"", ""F024"", ""F034"", ""F039"", ""F044"", ""F047"", ""F051"", ""F059"", ""F061""]",17,"[{""a"": ""F034"", ""b"": ""F014"", ""ppmi"": 1.2660079081710287, ""support"": 198}, {""a"": ""F014"", ""b"": ""F051"", ""ppmi"": 1.1631300771930868, ""support"": 220}, {""a"": ""F039"", ""b"": ""F051"", ""ppmi"": 1.0329467658886784, ""support"": 199}, {""a"": ""F034"", ""b"": ""F020"", ""ppmi"": 0.9783115339723516, ""support"": 986}, {""a"": ""F017"", ""b"": ""F020"", ""ppmi"": 0.7163010964092409, ""support"": 1481}, {""a"": ""F051"", ""b"": ""F023"", ""ppmi"": 0.6356537513738458, ""support"": 797}, {""a"": ""F051"", ""b"": ""F020"", ""ppmi"": 0.621725057580367, ""support"": 851}, {""a"": ""F008"", ""b"": ""F039"", ""ppmi"": 0.6164610675520938, ""support"": 394}, {""a"": ""F008"", ""b"": ""F016"", ""ppmi"": 0.5489832483108128, ""support"": 2768}, {""a"": ""F017"", ""b"": ""F059"", ""ppmi"": 0.4480763006360699, ""support"": 241}]","[175160, 267601, 43233, 195394, 303127, 194641, 288010, 160373, 194046, 130966]"
4,"[""F005"", ""F021"", ""F022"", ""F025"", ""F031"", ""F033"", ""F042"", ""F045"", ""F053"", ""F060""]",10,"[{""a"": ""F005"", ""b"": ""F060"", ""ppmi"": 0.6622296493968864, ""support"": 218}, {""a"": ""F025"", ""b"": ""F031"", ""ppmi"": 0.6345692711651797, ""support"": 233}, {""a"": ""F060"", ""b"": ""F031"", ""ppmi"": 0.5253081193648316, ""support"": 427}, {""a"": ""F005"", ""b"": ""F042"", ""ppmi"": 0.4784535435538905, ""support"": 338}, {""a"": ""F005"", ""b"": ""F053"", ""ppmi"": 0.4581941487415175, ""support"": 433}, {""a"": ""F033"", ""b"": ""F031"", ""ppmi"": 0.4335955673149644, ""support"": 485}, {""a"": ""F033"", ""b"": ""F025"", ""ppmi"": 0.38514246396927704, ""support"": 3001}, {""a"": ""F005"", ""b"": ""F045"", ""ppmi"": 0.3525528031150589, ""support"": 383}, {""a"": ""F005"", ""b"": ""F021"", ""ppmi"": 0.32946964313687793, ""support"": 740}, {""a"": ""F033"", ""b"": ""F060"", ""ppmi"": 0.3102576706818106, ""support"": 5698}]","[122264, 316541, 45350, 148856, 150331, 123880, 144769, 146348, 48820, 38975]"
5,"[""F026""]",1,[],"[343752, 261831, 196511, 367060, 24337, 304930, 259712, 88413, 87428, 197880]"
6,"[""F032""]",1,[],"[277621, 293421, 302283, 367302, 84821, 4178, 196681, 179435, 370270, 298571]"
7,"[""F048""]",1,[],"[99228, 255727, 62518, 334140, 4214, 274018, 54594, 375482, 83193, 74377]"
8,"[""F049""]",1,[],"[136040, 4882, 247505, 160903, 78199, 206140, 102061, 42698, 247510, 218036]"
9,"[""F063""]",1,[],"[77974, 77919, 129426, 77673, 136300, 366537, 73480, 222570, 83951, 240998]"
