community_a,community_b,size_a,size_b,mean_ppmi_all_pairs,mean_positive_ppmi,sum_ppmi,positive_pair_count,possible_pair_count
0,1,7,11,0.01619968425896348,0.10394797399501567,1.247375687940188,12,77
0,2,7,14,0.025363267515362355,0.10806957463067438,2.4856002165055107,23,98
0,3,7,17,0.02855054019822843,0.12583386235515492,3.397514283589183,27,119
0,4,7,10,0.008322635758919507,0.08322635758919507,0.5825845031243655,7,70
1,2,11,14,0.0130636149360738,0.09579984286454121,2.011796700155365,21,154
1,3,11,17,0.022055541560126513,0.09819967313675379,4.124386271743658,42,187
1,4,11,10,0.012014006396029864,0.08259629397270532,1.3215407035632851,16,110
2,3,14,17,0.014294037819681048,0.10005826473776733,3.4019810010840894,34,238
2,4,14,10,0.04423069835525171,0.15480744424338094,6.192297769735239,40,140
3,4,17,10,0.03662407931995558,0.1831203965997779,6.2260934843924485,34,170
