,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1600041687801983,0.0,0.12978180096430694,0.0,0.0,0.5328594392415293,0.0,0.0,0.0,0.0,0.0,0.0,0.06239817692115873,0.0,0.0,0.0,0.0,0.0,0.02069402119772506,0.2624236681611776,0.0,0.0,0.0,0.036997602058306135,0.0,0.1078517155061918,0.0,0.0,0.0,0.0,0.0,0.454723944827311,0.3258193450235946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15781070349653978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.2744503591783163,0.0,0.0,0.0,0.11944949831673475,0.0,0.08967872980955569,0.0,0.13933545941523393,0.0,0.0,0.0,0.0,0.042033044296372404,0.0,0.0,0.0,0.0,0.0,0.0,0.210419833277187,0.22888159432306449,0.0,0.0,0.0,0.0,0.0,0.12618100216977662,0.0,0.0,0.0,0.0,0.0,0.0,0.07311101350874243,0.0,0.0,0.0,0.0,0.0,0.12063669467022026,0.13257515136853884,0.0,0.0,0.0,0.0,0.0,0.6792267234342599,0.0,0.0631126311166911,0.0,0.052931652066691016,0.0,0.0,0.0,0.05863149090867592,0.08076454342528054,0.0,0.1634673767611331,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.16701059098313864,0.0,0.7830499082315729,0.0,0.0,0.0,0.1761508252185369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13776651801445292,0.0,0.0,0.0,0.0,0.0,0.0,0.2154539317309743,0.0,0.8325815505113285,0.0,0.0,0.15123389580105157,0.0,0.18854697075844068,0.0,0.0,0.22152386571859528,0.0,0.06302956399646369,0.7863994600440682,0.0,0.0,0.0,0.047561637875370405,0.0,0.01863167439695195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002413731127432,0.0,1.1137121483776025,0.0
F003,0.0,0.2744503591783163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061803206111356396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31791001942788855,0.1277943276074628,0.0,0.0,0.0,0.35880571742830447,0.0,0.0,0.0,0.0,0.054211839593679347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.16701059098313864,0.0,0.0,0.0,0.0,0.0,0.15685750986121494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08254220466658674,0.04771834960969641,0.0,0.0,0.18786010732568373,0.0,0.0,0.13168722399445237,0.0,0.0,0.0,0.0,0.11766726239753032,0.0,0.033404877550656846,0.0,0.0,0.041745067196822166,0.0,0.04284444693196678,0.0,0.0,0.0,0.0,0.120730066954659,0.0,0.0,0.0,0.0,0.0,0.0,0.03696804350505433,0.0,0.0,0.0,0.35881291272862076,0.0,0.023239014276005013,0.0,0.0,0.05076546787504337,0.0,0.0,0.19594090905852385,0.02134993950704388,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09551706086136313,0.0,0.25152421960499965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32946964313687793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40212939016162297,0.0,0.0,0.0,0.0,0.0,0.0,0.4784535435538905,0.0,0.0,0.3525528031150589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4581941487415175,0.0,0.0,0.0,0.0,0.0,0.0,0.6622296493968864,0.0,0.0,0.0
F006,0.0,0.0,0.7830499082315729,0.0,0.0,0.0,0.0,0.026889062829484906,0.0,0.0,0.23698247403021228,0.0,0.0,0.0,0.0,0.0035359195264331573,0.0,0.0,0.0,0.4330115853455624,0.0,0.0,0.11201270710556366,0.0,0.0,0.4452046977445114,0.0,0.0,0.10958078752598674,0.0,0.0,0.0,0.0,0.12298082815187311,0.0,0.2701065993448532,0.1845303360692763,0.0,0.0,0.0,0.0,0.7332583731391205,0.28564367559099785,0.045525984545092456,0.0,0.015978723270936038,0.042497024877771114,0.0,0.0,0.0,0.0,0.08678055200647868,0.303334285963204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11693475899150037,0.0,1.1022903676910214,0.0
F007,0.0,0.11944949831673475,0.0,0.0,0.0,0.0,0.026889062829484906,0.0,0.0,0.08558654120006594,0.0,0.18455860606988322,0.0,0.0,0.2848405098091869,0.0,0.0,0.0,0.22529042049841025,0.0,0.30262229716662337,0.0,0.0,0.028251337028214276,0.21237268527876488,0.0,0.0,0.0,0.0,0.0,0.0,0.1205925245971983,0.0,0.16394004703342768,0.24894222101771063,0.0,0.0041536719363685914,0.1499220681632213,0.11462020338426253,0.38934652644579953,0.01060513820517617,0.0,0.0,0.0,0.027969838215952492,0.0,0.10597413602681886,0.19384908053306904,0.0,0.0,0.0018383807787630698,0.0,0.03736948976226498,0.0,0.0,0.0,0.0,0.13701959110785564,0.03932921703910722,0.0,0.046302920011930995,0.3259042690922007,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.15685750986121494,0.09551706086136313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04127707942939049,0.3645004444869478,0.4194830449705298,0.5489832483108128,0.20034384771511538,0.0,0.0,0.3513628813209374,0.038981528803167735,0.0,0.13849137501905118,0.3526605103758331,0.0,0.0,0.04335516995644546,0.0,0.0,0.0,0.0,0.0,0.0,0.042034486626171506,0.0,0.0,0.11595592260303651,0.25754398124714317,0.6164610675520938,0.0,0.0,0.0,0.0,0.08514137492381596,0.0,0.0,0.0,0.0,0.0,0.07470223588282883,0.39159047772980865,0.0,0.11793983683292845,0.0,0.0,0.0,0.0,0.0,0.1614716740915239,0.0,0.0,0.0,0.0
F009,0.0,0.08967872980955569,0.0,0.0,0.0,0.0,0.0,0.08558654120006594,0.0,0.0,0.0,0.204407026226366,0.0,0.013240577047286622,0.0,0.0,0.0,0.0,0.3781496720491402,0.08661391334542107,0.3753367937131164,0.0,0.0,0.01084433367129683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1945772839208078,0.06448013679938189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03845829002877002,0.2470654126091198,0.0,0.0,0.0,0.0,0.00047692919622116205,0.19077987377600036,0.0,0.0,0.0,0.0,0.0,0.2566368636555506,0.0,0.0,0.0,0.0,0.0
F010,0.1600041687801983,0.0,0.1761508252185369,0.061803206111356396,0.0,0.25152421960499965,0.23698247403021228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1796310889205031,0.0,0.08568417826887006,0.13844939508691728,0.0,0.0,0.0,0.0,0.0,0.14482027587081872,0.0014760984534204818,0.4116497844750428,0.14939137328021612,0.0,0.0,0.0,0.2704112749702284,0.0,0.0,0.01886522608054455,0.0,0.06201066658572797,0.41084031625216666,0.1431255029659643,0.0,0.03787343484301183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07553352354013367,0.0,0.0012988548227269876,0.0,0.0,0.057009818904094144,0.045209242226781875,0.0,0.3705611131862232,0.0
F011,0.0,0.13933545941523393,0.0,0.0,0.0,0.0,0.0,0.18455860606988322,0.0,0.204407026226366,0.0,0.0,0.08028659653368614,0.04296725322183377,0.0,0.0,0.026654331487917553,0.0,0.0,0.0,0.0,0.0,0.0,0.03554919217560119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010022047715169305,0.0,0.04594609959366141,0.3127838329907163,0.012926505394264062,0.0,0.0,0.0,0.0,0.06810561138518473,0.0,0.0,0.027949663138392103,0.04535504421860599,0.0,0.0,0.0,0.0,0.0,0.0,0.02217270424503593,0.0,0.0,0.12259697532699676,0.2927020556406912,0.0,0.0,0.0,0.0,0.0
