image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,PC1,PC2
3,Argentina/BuenosAires,A02,0,0.14153737,0.008301844,-0.065672696
53,Argentina/BuenosAires,A08,2,0.13569634,0.022791054,0.010397535
56,Argentina/BuenosAires,A07,4,0.13119003,0.04839304,0.07317019
72,Argentina/BuenosAires,A04,1,0.14669295,0.08874158,0.005465308
86,Argentina/BuenosAires,A03,7,0.14541098,-0.06263705,-0.067886055
149,Argentina/BuenosAires,A03,7,0.18609576,-0.03726696,-0.057113685
198,Argentina/BuenosAires,A04,1,0.17507948,0.107224844,-0.12806787
209,Argentina/BuenosAires,A08,2,0.12689105,0.0047536446,-0.019981774
212,Argentina/BuenosAires,A04,1,0.16753075,0.003686486,-0.044443574
224,Argentina/BuenosAires,A02,0,0.15612787,-0.022775056,-0.053637028
230,Argentina/BuenosAires,A03,7,0.1680906,-0.055073135,-0.034135196
257,Argentina/BuenosAires,A07,4,0.1754024,0.15523873,0.07487618
283,Argentina/BuenosAires,A03,7,0.14510575,-0.025466828,-0.03563899
298,Argentina/BuenosAires,A06,5,0.15680037,-0.07261698,0.03676234
339,Argentina/BuenosAires,A04,1,0.18536146,0.23868716,-0.04042118
344,Argentina/BuenosAires,A02,0,0.14244142,-0.014618863,-0.047843285
355,Argentina/BuenosAires,A07,4,0.17899926,0.007228877,0.14251132
366,Argentina/BuenosAires,A06,5,0.16687119,0.018083796,-0.025648832
368,Argentina/BuenosAires,A01,6,0.16153611,-0.042590305,-0.016509702
378,Argentina/BuenosAires,A04,1,0.14677447,0.08068946,-0.042739313
381,Argentina/BuenosAires,A07,4,0.18071699,0.049494263,0.08895914
390,Argentina/BuenosAires,A03,7,0.11656329,-0.04565851,-0.010968271
399,Argentina/BuenosAires,A05,3,0.14811715,-0.12840724,0.038372364
402,Argentina/BuenosAires,A08,2,0.15118885,0.018838651,-0.016025173
413,Argentina/BuenosAires,A08,2,0.12885271,0.07417124,0.044553593
478,Argentina/BuenosAires,A06,5,0.14183117,-0.032870512,0.02158378
498,Argentina/BuenosAires,A03,7,0.14011613,0.012420201,-0.031863693
520,Argentina/BuenosAires,A07,4,0.11018933,0.027549418,0.10906524
558,Argentina/BuenosAires,A04,1,0.16135606,0.04740089,-0.049676146
585,Argentina/BuenosAires,A02,0,0.16853988,-0.11610629,-0.04683659
587,Argentina/BuenosAires,A03,7,0.18968002,-0.06649087,-0.009726152
593,Argentina/BuenosAires,A07,4,0.15277512,0.15648702,0.073160075
609,Argentina/BuenosAires,A06,5,0.15989949,0.048584457,0.00019862376
621,Argentina/BuenosAires,A04,1,0.15655147,0.09285594,0.005129024
624,Argentina/BuenosAires,A06,5,0.17392488,0.014279004,-0.026679652
629,Argentina/BuenosAires,A06,5,0.14447561,-0.00463188,-0.019800978
655,Argentina/BuenosAires,A03,7,0.17577302,-0.03932835,-0.05078783
668,Argentina/BuenosAires,A03,7,0.13645235,-0.026971634,-0.047573917
678,Argentina/BuenosAires,A07,4,0.11218895,0.089344405,0.06416617
682,Argentina/BuenosAires,A08,2,0.14328328,0.031816375,0.027106991
684,Argentina/BuenosAires,A01,6,0.1579727,-0.071828455,-0.034166817
712,Argentina/BuenosAires,A06,5,0.111748844,0.0020572934,0.0067056315
737,Argentina/BuenosAires,A04,1,0.13249949,0.058452,-0.042119253
798,Argentina/BuenosAires,A06,5,0.16654895,-0.025719615,0.008572685
807,Argentina/BuenosAires,A05,3,0.14279918,-0.0032298078,0.025939578
808,Argentina/BuenosAires,A01,6,0.28038344,-0.03521615,0.007905004
817,Argentina/BuenosAires,A06,5,0.17512596,0.067529395,0.010748832
820,Argentina/BuenosAires,A04,1,0.117600895,0.11290043,-0.05755159
833,Argentina/BuenosAires,A03,7,0.15090944,-0.06266706,-0.016821297
838,Argentina/BuenosAires,A04,1,0.13327715,0.08119111,-0.060668606
850,Argentina/BuenosAires,A08,2,0.11621422,0.02960809,-0.015567883
859,Argentina/BuenosAires,A04,1,0.14952512,0.07330888,-0.06813278
868,Argentina/BuenosAires,A04,1,0.12388733,0.071028054,-0.054139227
891,Argentina/BuenosAires,A07,4,0.111514434,0.003618647,0.097023815
903,Argentina/BuenosAires,A06,5,0.13209035,-0.0026780898,-0.019532429
926,Argentina/BuenosAires,A06,5,0.14999092,0.084249,0.0056150896
965,Argentina/BuenosAires,A06,5,0.15488857,-0.0013125658,0.043922674
966,Argentina/BuenosAires,A06,5,0.15688196,-0.024971401,0.042697143
981,Argentina/BuenosAires,A03,7,0.15626924,-0.053709567,-0.048081875
989,Argentina/BuenosAires,A03,7,0.17057928,-0.055286106,-0.0049047307
1008,Argentina/BuenosAires,A06,5,0.15456015,0.013436634,0.022882361
1032,Argentina/BuenosAires,A01,6,0.15276192,0.068394445,-0.039340194
1051,Argentina/BuenosAires,A04,1,0.12917256,0.075189255,-0.05863709
1073,Argentina/BuenosAires,A03,7,0.1432569,-0.06184235,-0.045253105
1075,Argentina/BuenosAires,A01,6,0.13975516,0.07549588,-0.019127663
1091,Argentina/BuenosAires,A05,3,0.14058648,-0.12448793,-0.004450715
1097,Argentina/BuenosAires,A01,6,0.13714498,-0.017654682,0.032431606
1107,Argentina/BuenosAires,A03,7,0.17798173,-0.084115006,-0.038539246
1114,Argentina/BuenosAires,A04,1,0.15463386,0.06370126,-0.061064415
1117,Argentina/BuenosAires,A04,1,0.13785076,0.069995254,-0.031465787
1127,Argentina/BuenosAires,A04,1,0.13119712,0.11019872,-0.048646152
1165,Argentina/BuenosAires,A04,1,0.13015959,0.05376165,-0.0034627547
1168,Argentina/BuenosAires,A07,4,0.1773844,0.09939014,0.12934415
1187,Argentina/BuenosAires,A02,0,0.13370577,-0.022190584,-0.060544662
1190,Argentina/BuenosAires,A03,7,0.16944411,-0.04731011,-0.05906592
1194,Argentina/BuenosAires,A04,1,0.11911536,0.106846936,-0.08369955
1199,Argentina/BuenosAires,A03,7,0.1614809,-0.05291762,-0.039679613
1204,Argentina/BuenosAires,A04,1,0.15125984,0.08021231,-0.0838495
1231,Argentina/BuenosAires,A03,7,0.13419193,0.0088276155,-0.016920118
1243,Argentina/BuenosAires,A03,7,0.16198508,-0.038692772,0.013438485
1255,Argentina/BuenosAires,A07,4,0.11744277,0.052096877,0.14144349
1290,Argentina/BuenosAires,A06,5,0.14231767,0.029342009,-0.02648181
1320,Argentina/BuenosAires,A03,7,0.18779312,-0.07367886,-0.032597933
1325,Argentina/BuenosAires,A04,1,0.12528615,0.13048294,-0.019572224
1328,Argentina/BuenosAires,A08,2,0.13121778,0.07346593,-0.015391177
1339,Argentina/BuenosAires,A03,7,0.16412434,-0.054835238,-0.04013251
1367,Argentina/BuenosAires,A06,5,0.17357935,-0.03498152,-0.012771699
1372,Argentina/BuenosAires,A02,0,0.18192841,-0.016652353,-0.06388132
1382,Argentina/BuenosAires,A08,2,0.112489775,0.0326405,0.024065357
1385,Argentina/BuenosAires,A06,5,0.17122608,0.042471617,-0.024936369
1444,Argentina/BuenosAires,A04,1,0.116871595,0.083255075,-0.0224788
1453,Argentina/BuenosAires,A07,4,0.14827636,0.14429204,0.118886165
1459,Argentina/BuenosAires,A03,7,0.14511745,-0.010898908,-0.045009438
1466,Argentina/BuenosAires,A06,5,0.11004593,-0.029034637,0.004079615
1474,Argentina/BuenosAires,A06,5,0.17757489,-0.029665621,0.039142966
1499,Argentina/BuenosAires,A02,0,0.109056585,0.0044081677,-0.057994466
1511,Argentina/BuenosAires,A08,2,0.17236425,0.116188146,-0.0032579626
1520,Argentina/BuenosAires,A02,0,0.13775572,-0.04368883,-0.01183473
1536,Argentina/BuenosAires,A01,6,0.15259705,0.052725926,-0.029596275
1553,Argentina/BuenosAires,A06,5,0.20977719,-0.06736551,0.0079544885
1556,Argentina/BuenosAires,A08,2,0.1456006,0.04369773,0.026020464
1558,Argentina/BuenosAires,A08,2,0.15278943,0.028165514,-0.024262294
1561,Argentina/BuenosAires,A04,1,0.10425504,0.11052006,0.006889526
1568,Argentina/BuenosAires,A03,7,0.18567102,-0.05281353,-0.017301477
1604,Argentina/BuenosAires,A08,2,0.1405668,0.049706332,0.0047420207
1653,Argentina/BuenosAires,A03,7,0.17084762,-0.057660423,-0.06170679
1707,Argentina/BuenosAires,A07,4,0.15064524,0.15548413,0.08706933
1723,Argentina/BuenosAires,A04,1,0.1043048,0.08551678,-0.028462436
1740,Argentina/BuenosAires,A06,5,0.16994397,-0.06798328,0.005595512
1762,Argentina/BuenosAires,A04,1,0.107740946,0.070262454,-0.0094108535
1771,Argentina/BuenosAires,A04,1,0.12928203,0.07668951,-0.05696468
1778,Argentina/BuenosAires,A07,4,0.10378758,0.111020334,0.13171583
1797,Argentina/BuenosAires,A02,0,0.12523288,-0.018315949,-0.020160234
1838,Argentina/BuenosAires,A03,7,0.12368349,-0.04575467,-0.03410553
1843,Argentina/BuenosAires,A04,1,0.17408803,0.040200327,-0.043297157
1875,Argentina/BuenosAires,A08,2,0.14709435,0.041083317,-0.005180725
1891,Argentina/BuenosAires,A06,5,0.1250653,-0.015173161,-0.012690165
1893,Argentina/BuenosAires,A06,5,0.16725227,0.01906796,-0.01158007
1925,Argentina/BuenosAires,A04,1,0.14641856,0.08878922,-0.036310192
1969,Argentina/BuenosAires,A06,5,0.1765657,-0.013525872,0.024097016
1978,Argentina/BuenosAires,A03,7,0.17259023,-0.042654175,-0.026687853
1988,Argentina/BuenosAires,A06,5,0.112917155,0.020711044,0.0036369034
1990,Argentina/BuenosAires,A03,7,0.18420745,-0.024164692,0.070103064
2008,Argentina/BuenosAires,A03,7,0.18429048,-0.06303547,-0.013448974
2016,Argentina/BuenosAires,A01,6,0.110719554,0.0047149463,-0.034904987
2022,Argentina/BuenosAires,A05,3,0.12025894,-0.05120141,0.059001092
2023,Argentina/BuenosAires,A06,5,0.12722747,-0.022618767,-0.01271135
2029,Argentina/BuenosAires,A02,0,0.13292773,0.038420472,-0.05742451
2031,Argentina/BuenosAires,A03,7,0.12419912,-0.0038020795,-0.037932772
2057,Argentina/BuenosAires,A05,3,0.12051459,-0.011274822,0.020101767
2074,Argentina/BuenosAires,A04,1,0.12682848,0.11977643,-0.038772274
2092,Argentina/BuenosAires,A06,5,0.32380903,-0.030901218,0.023957513
2110,Argentina/BuenosAires,A01,6,0.16816157,-0.061007313,-0.01184184
2117,Argentina/BuenosAires,A07,4,0.108762264,0.016198887,0.10087548
2139,Argentina/BuenosAires,A04,1,0.11184686,0.11751254,-0.09103912
2150,Argentina/BuenosAires,A08,2,0.16174567,0.0074125626,-0.0122214025
2164,Argentina/BuenosAires,A06,5,0.1199615,-0.00038059353,0.047160666
2179,Argentina/BuenosAires,A08,2,0.14172426,0.100837104,0.04228904
2198,Argentina/BuenosAires,A06,5,0.13828252,0.008637765,0.032249425
2203,Argentina/BuenosAires,A08,2,0.14432731,0.008442175,0.020007968
2219,Argentina/BuenosAires,A02,0,0.14733028,-0.09677889,-0.05146292
2230,Argentina/BuenosAires,A06,5,0.14503857,-0.055267736,0.040324092
2244,Argentina/BuenosAires,A06,5,0.16049854,0.04260023,0.040222257
2245,Argentina/BuenosAires,A02,0,0.17283572,0.00015110466,-0.03607848
2246,Argentina/BuenosAires,A08,2,0.1837406,-0.026668191,0.011636039
2256,Argentina/BuenosAires,A03,7,0.15747195,0.0125074955,-0.037275996
2260,Argentina/BuenosAires,A04,1,0.17646933,0.07809804,-0.021539802
2263,Argentina/BuenosAires,A06,5,0.16320002,-0.0028447385,0.022994151
2297,Argentina/BuenosAires,A08,2,0.15544802,-0.05001991,0.028918356
2311,Argentina/BuenosAires,A04,1,0.12005297,0.099285476,-0.06586459
2315,Argentina/BuenosAires,A07,4,0.119174324,0.11361014,0.051584918
2369,Argentina/BuenosAires,A05,3,0.18772729,-0.06616393,0.009145003
2397,Argentina/BuenosAires,A06,5,0.15658778,-0.009094816,-0.008721604
2411,Argentina/BuenosAires,A05,3,0.15671161,-0.10049001,0.022595573
2422,Argentina/BuenosAires,A06,5,0.19785218,-0.023781683,0.01770792
2430,Argentina/BuenosAires,A04,1,0.21147287,0.033988714,-0.05038222
2436,Argentina/BuenosAires,A04,1,0.13649675,0.07601114,-0.07602806
2464,Argentina/BuenosAires,A03,7,0.12568404,-0.0042149,-0.056609936
2473,Argentina/BuenosAires,A08,2,0.15155903,-0.018954253,0.02597827
2538,Argentina/BuenosAires,A05,3,0.11155325,-0.05346569,0.06840178
2542,Argentina/BuenosAires,A02,0,0.16514884,-0.076169476,-0.028231965
2578,Argentina/BuenosAires,A07,4,0.20302337,0.1254079,0.2133916
2579,Argentina/BuenosAires,A03,7,0.11502624,-0.041613575,-0.025446238
2607,Argentina/BuenosAires,A06,5,0.16432522,-0.008038663,0.00790127
2621,Argentina/BuenosAires,A04,1,0.14068176,0.051668704,-0.007571183
2629,Argentina/BuenosAires,A07,4,0.17943135,0.0020245952,0.11479127
2691,Argentina/BuenosAires,A01,6,0.13161725,-0.03087262,-0.028896788
2711,Argentina/BuenosAires,A06,5,0.17657521,-0.07634193,0.016025567
2730,Argentina/BuenosAires,A06,5,0.17653206,-0.015539645,0.07841835
2735,Argentina/BuenosAires,A02,0,0.14847706,-0.06548949,-0.054704998
2742,Argentina/BuenosAires,A04,1,0.12003214,0.07913009,-0.057912253
2789,Argentina/BuenosAires,A05,3,0.21742421,-0.11147001,-0.016273243
2807,Argentina/BuenosAires,A04,1,0.1180264,0.06656392,-0.091953814
