component,explained_variance,explained_variance_ratio,cumulative_explained_variance
1,0.0037792358,0.10331882,0.10331882
2,0.0033131784,0.09057749,0.19389631
3,0.0026939998,0.07365004,0.26754636
4,0.0021470822,0.05869811,0.32624447
5,0.0017056845,0.046630938,0.37287542
6,0.0014870176,0.0406529,0.41352832
7,0.0012720247,0.03477531,0.44830364
8,0.0011988356,0.032774422,0.48107806
9,0.0010723381,0.029316166,0.5103942
10,0.0010109334,0.027637452,0.5380317
11,0.00094100164,0.025725618,0.5637573
12,0.0008983485,0.024559544,0.58831686
13,0.00083475665,0.022821035,0.61113787
14,0.0007537454,0.020606304,0.63174415
15,0.00072257756,0.019754222,0.6514984
16,0.0006812646,0.018624786,0.67012316
17,0.00067029434,0.018324874,0.688448
18,0.0006223825,0.017015034,0.70546305
19,0.0005183899,0.014172028,0.71963507
20,0.00050899043,0.013915059,0.73355013
21,0.00048857834,0.013357023,0.7469072
22,0.00046524938,0.012719243,0.7596264
23,0.00044149536,0.012069842,0.7716962
24,0.00041168943,0.011254991,0.7829512
25,0.00039896995,0.010907259,0.7938584
26,0.00032409438,0.00886027,0.8027187
27,0.00031813368,0.008697313,0.81141603
28,0.0002770944,0.0075753587,0.81899136
29,0.00025887732,0.0070773303,0.8260687
30,0.00024979,0.006828896,0.8328976
31,0.00023784833,0.006502428,0.83940005
32,0.00023321934,0.006375878,0.8457759
33,0.00021234447,0.0058051897,0.8515811
34,0.00020118829,0.0055001955,0.8570813
35,0.00019255801,0.0052642566,0.8623456
36,0.00017765108,0.0048567224,0.8672023
37,0.00017206461,0.0047039967,0.8719063
38,0.00016688614,0.0045624245,0.8764687
39,0.00016375082,0.0044767098,0.88094544
40,0.00014720285,0.0040243124,0.8849698
41,0.00014624203,0.003998045,0.8889678
42,0.0001409649,0.0038537756,0.8928216
43,0.0001356518,0.0037085235,0.89653015
44,0.00013123677,0.0035878227,0.900118
