image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,UMAP1,UMAP2
3,Argentina/BuenosAires,A02,0,0.14153737,9.200277,6.217493
53,Argentina/BuenosAires,A08,2,0.13569634,5.7195077,5.1760964
56,Argentina/BuenosAires,A07,4,0.13119003,4.963682,4.9560456
72,Argentina/BuenosAires,A04,1,0.14669295,6.7279963,7.3637133
86,Argentina/BuenosAires,A03,7,0.14541098,9.917969,4.007629
149,Argentina/BuenosAires,A03,7,0.18609576,9.126053,3.8476706
198,Argentina/BuenosAires,A04,1,0.17507948,8.481509,8.256939
209,Argentina/BuenosAires,A08,2,0.12689105,7.4945545,5.61471
212,Argentina/BuenosAires,A04,1,0.16753075,8.268442,5.241828
224,Argentina/BuenosAires,A02,0,0.15612787,10.030122,5.985819
230,Argentina/BuenosAires,A03,7,0.1680906,9.2862215,3.688618
257,Argentina/BuenosAires,A07,4,0.1754024,4.708247,6.898022
283,Argentina/BuenosAires,A03,7,0.14510575,8.865321,4.359166
298,Argentina/BuenosAires,A06,5,0.15680037,7.5893445,2.9897828
339,Argentina/BuenosAires,A04,1,0.18536146,7.2101483,8.619945
344,Argentina/BuenosAires,A02,0,0.14244142,9.2514925,4.23289
355,Argentina/BuenosAires,A07,4,0.17899926,3.4934921,4.243821
366,Argentina/BuenosAires,A06,5,0.16687119,7.1556716,4.1375957
368,Argentina/BuenosAires,A01,6,0.16153611,8.5607,3.9981573
378,Argentina/BuenosAires,A04,1,0.14677447,7.249031,7.101044
381,Argentina/BuenosAires,A07,4,0.18071699,4.018222,4.9458985
390,Argentina/BuenosAires,A03,7,0.11656329,9.130841,3.972204
399,Argentina/BuenosAires,A05,3,0.14811715,7.9764,1.1791745
402,Argentina/BuenosAires,A08,2,0.15118885,6.1559687,3.9036474
413,Argentina/BuenosAires,A08,2,0.12885271,4.400152,5.9230113
478,Argentina/BuenosAires,A06,5,0.14183117,7.9866076,3.7755804
498,Argentina/BuenosAires,A03,7,0.14011613,8.046791,5.907112
520,Argentina/BuenosAires,A07,4,0.11018933,3.88072,5.2022333
558,Argentina/BuenosAires,A04,1,0.16135606,7.8518,6.2871947
585,Argentina/BuenosAires,A02,0,0.16853988,9.70235,3.0865629
587,Argentina/BuenosAires,A03,7,0.18968002,8.928487,3.5462337
593,Argentina/BuenosAires,A07,4,0.15277512,4.2164793,6.5660424
609,Argentina/BuenosAires,A06,5,0.15989949,7.1300893,5.1624913
621,Argentina/BuenosAires,A04,1,0.15655147,6.608331,7.091718
624,Argentina/BuenosAires,A06,5,0.17392488,7.2561893,5.9544964
629,Argentina/BuenosAires,A06,5,0.14447561,6.9891596,3.9417145
655,Argentina/BuenosAires,A03,7,0.17577302,9.192402,3.45098
668,Argentina/BuenosAires,A03,7,0.13645235,8.617504,4.391333
678,Argentina/BuenosAires,A07,4,0.11218895,4.6043644,6.470998
682,Argentina/BuenosAires,A08,2,0.14328328,5.2130523,5.580602
684,Argentina/BuenosAires,A01,6,0.1579727,8.97396,3.506869
712,Argentina/BuenosAires,A06,5,0.111748844,7.2730694,4.5725007
737,Argentina/BuenosAires,A04,1,0.13249949,8.587615,7.3207927
798,Argentina/BuenosAires,A06,5,0.16654895,7.2354903,3.323898
807,Argentina/BuenosAires,A05,3,0.14279918,7.889971,3.6967885
808,Argentina/BuenosAires,A01,6,0.28038344,8.044209,4.2007113
817,Argentina/BuenosAires,A06,5,0.17512596,6.468741,6.65913
820,Argentina/BuenosAires,A04,1,0.117600895,7.8301277,7.7913084
833,Argentina/BuenosAires,A03,7,0.15090944,8.590178,3.266628
838,Argentina/BuenosAires,A04,1,0.13327715,8.021225,7.313307
850,Argentina/BuenosAires,A08,2,0.11621422,8.28642,6.721842
859,Argentina/BuenosAires,A04,1,0.14952512,8.53117,7.467591
868,Argentina/BuenosAires,A04,1,0.12388733,7.9501996,7.0560417
891,Argentina/BuenosAires,A07,4,0.111514434,4.2222095,4.9740944
903,Argentina/BuenosAires,A06,5,0.13209035,8.063692,4.617129
926,Argentina/BuenosAires,A06,5,0.14999092,6.552957,4.661892
965,Argentina/BuenosAires,A06,5,0.15488857,6.036352,4.2661214
966,Argentina/BuenosAires,A06,5,0.15688196,6.6817703,3.942511
981,Argentina/BuenosAires,A03,7,0.15626924,9.166408,3.6608834
989,Argentina/BuenosAires,A03,7,0.17057928,9.029831,3.6820872
1008,Argentina/BuenosAires,A06,5,0.15456015,5.7916565,4.0614705
1032,Argentina/BuenosAires,A01,6,0.15276192,8.1168,6.4460993
1051,Argentina/BuenosAires,A04,1,0.12917256,7.556513,7.3182373
1073,Argentina/BuenosAires,A03,7,0.1432569,9.624494,4.162421
1075,Argentina/BuenosAires,A01,6,0.13975516,7.1908774,6.469821
1091,Argentina/BuenosAires,A05,3,0.14058648,8.410932,1.8290535
1097,Argentina/BuenosAires,A01,6,0.13714498,7.727807,3.4895835
1107,Argentina/BuenosAires,A03,7,0.17798173,9.158328,3.720985
1114,Argentina/BuenosAires,A04,1,0.15463386,7.5929775,6.7786536
1117,Argentina/BuenosAires,A04,1,0.13785076,7.130066,6.962005
1127,Argentina/BuenosAires,A04,1,0.13119712,7.595383,7.9533925
1165,Argentina/BuenosAires,A04,1,0.13015959,7.554497,6.155366
1168,Argentina/BuenosAires,A07,4,0.1773844,3.0867007,5.271724
1187,Argentina/BuenosAires,A02,0,0.13370577,10.082618,5.066339
1190,Argentina/BuenosAires,A03,7,0.16944411,8.687736,4.134817
1194,Argentina/BuenosAires,A04,1,0.11911536,8.2038765,7.8495245
1199,Argentina/BuenosAires,A03,7,0.1614809,9.78181,3.7136295
1204,Argentina/BuenosAires,A04,1,0.15125984,8.228479,7.762439
