city,archetype_id,image_count,city_image_count,city_prevalence
Argentina/BuenosAires,A01,2169,12797,0.1694928498866922
Argentina/BuenosAires,A02,1736,12797,0.13565679456122529
Argentina/BuenosAires,A03,1885,12797,0.1473001484722982
Argentina/BuenosAires,A04,1293,12797,0.10103930608736422
Argentina/BuenosAires,A05,974,12797,0.07611158865359069
Argentina/BuenosAires,A06,2051,12797,0.16027193873564116
Argentina/BuenosAires,A07,1582,12797,0.1236227240759553
Argentina/BuenosAires,A08,1107,12797,0.08650464952723294
Australia/Sydney,A01,2138,12737,0.16785742325508363
Australia/Sydney,A02,2452,12737,0.19251001020648503
Australia/Sydney,A03,2643,12737,0.20750569207819738
Australia/Sydney,A04,1286,12737,0.10096569050796891
Australia/Sydney,A05,380,12737,0.029834340896600454
Australia/Sydney,A06,1700,12737,0.133469419800581
Australia/Sydney,A07,1620,12737,0.12718850592761247
Australia/Sydney,A08,518,12737,0.040668917327471146
Austria/Vienna,A01,1886,12625,0.14938613861386138
Austria/Vienna,A02,1003,12625,0.07944554455445545
Austria/Vienna,A03,1463,12625,0.11588118811881189
Austria/Vienna,A04,1637,12625,0.12966336633663367
Austria/Vienna,A05,1821,12625,0.14423762376237623
Austria/Vienna,A06,1070,12625,0.08475247524752476
Austria/Vienna,A07,2259,12625,0.17893069306930692
Austria/Vienna,A08,1486,12625,0.1177029702970297
Bangladesh/Dhaka,A01,1014,12696,0.07986767485822306
Bangladesh/Dhaka,A02,1060,12696,0.08349086326402017
Bangladesh/Dhaka,A03,1040,12696,0.08191556395715185
Bangladesh/Dhaka,A04,2657,12696,0.2092785129174543
Bangladesh/Dhaka,A05,3855,12696,0.30363894139886577
Bangladesh/Dhaka,A06,1731,12696,0.1363421550094518
Bangladesh/Dhaka,A07,256,12696,0.020163831127914304
Bangladesh/Dhaka,A08,1083,12696,0.08530245746691871
Brazil/SaoPaulo,A01,2772,12782,0.21686746987951808
Brazil/SaoPaulo,A02,1694,12782,0.13253012048192772
Brazil/SaoPaulo,A03,1492,12782,0.11672664684712877
Brazil/SaoPaulo,A04,909,12782,0.07111563135659521
Brazil/SaoPaulo,A05,1510,12782,0.11813487717102175
Brazil/SaoPaulo,A06,1290,12782,0.10092317321232984
Brazil/SaoPaulo,A07,1620,12782,0.12674072915036771
Brazil/SaoPaulo,A08,1495,12782,0.11696135190111094
Canada/Toronto,A01,2087,12732,0.16391768771599122
Canada/Toronto,A02,2217,12732,0.1741281809613572
Canada/Toronto,A03,2669,12732,0.20962928055293747
Canada/Toronto,A04,1426,12732,0.11200125667609173
Canada/Toronto,A05,252,12732,0.019792648444863337
Canada/Toronto,A06,2035,12732,0.1598334904178448
Canada/Toronto,A07,1435,12732,0.112708136977694
Canada/Toronto,A08,611,12732,0.04798931825322023
China/HongKong,A01,805,12697,0.06340080333937151
China/HongKong,A02,1736,12697,0.13672521067968813
China/HongKong,A03,1969,12697,0.15507600220524534
China/HongKong,A04,2166,12697,0.17059147830196109
China/HongKong,A05,1447,12697,0.11396392848704419
China/HongKong,A06,1590,12697,0.12522643144049775
China/HongKong,A07,2112,12697,0.1663385051586989
China/HongKong,A08,872,12697,0.0686776403874931
Colombia/Bogota,A01,2613,12770,0.20462020360219263
Colombia/Bogota,A02,2053,12770,0.16076742364917776
Colombia/Bogota,A03,915,12770,0.07165231010180109
Colombia/Bogota,A04,716,12770,0.056068911511354735
Colombia/Bogota,A05,2251,12770,0.17627251370399374
Colombia/Bogota,A06,637,12770,0.04988253719655442
Colombia/Bogota,A07,1963,12770,0.15371965544244323
Colombia/Bogota,A08,1622,12770,0.1270164447924824
France/Paris,A01,2453,12570,0.19514717581543356
France/Paris,A02,1093,12570,0.08695306284805092
France/Paris,A03,1794,12570,0.14272076372315035
France/Paris,A04,1560,12570,0.12410501193317422
France/Paris,A05,1450,12570,0.11535401750198886
France/Paris,A06,1192,12570,0.09482895783611774
France/Paris,A07,1617,12570,0.1286396181384248
France/Paris,A08,1411,12570,0.11225139220365951
India/Mumbai,A01,773,11415,0.06771791502409111
India/Mumbai,A02,1165,11415,0.1020586946999562
India/Mumbai,A03,909,11415,0.07963206307490145
India/Mumbai,A04,1032,11415,0.09040735873850198
India/Mumbai,A05,2445,11415,0.21419185282522996
India/Mumbai,A06,2833,11415,0.24818221638195356
India/Mumbai,A07,812,11415,0.07113447218572054
India/Mumbai,A08,1446,11415,0.1266754270696452
India/NewDelhi,A01,1130,11876,0.09514988211519029
India/NewDelhi,A02,1353,11876,0.11392724823172785
India/NewDelhi,A03,733,11876,0.06172111822162344
India/NewDelhi,A04,1278,11876,0.10761199056921522
India/NewDelhi,A05,3244,11876,0.2731559447625463
India/NewDelhi,A06,1844,11876,0.15527113506231055
India/NewDelhi,A07,725,11876,0.0610474907376221
India/NewDelhi,A08,1569,11876,0.13211519029976423
Indonesia/Jakarta,A01,1831,12767,0.14341662097595362
Indonesia/Jakarta,A02,1078,12767,0.0844364376909219
Indonesia/Jakarta,A03,882,12767,0.0690843581107543
Indonesia/Jakarta,A04,1885,12767,0.14764627555416307
Indonesia/Jakarta,A05,3385,12767,0.26513668050442546
Indonesia/Jakarta,A06,1681,12767,0.1316675804809274
Indonesia/Jakarta,A07,365,12767,0.028589331871230517
Indonesia/Jakarta,A08,1660,12767,0.13002271481162372
Japan/Osaka,A01,1482,12754,0.11619883957973969
Japan/Osaka,A02,1260,12754,0.09879253567508232
Japan/Osaka,A03,1759,12754,0.13791751607338873
Japan/Osaka,A04,2194,12754,0.17202446291359574
Japan/Osaka,A05,1730,12754,0.13564371961737495
Japan/Osaka,A06,864,12754,0.06774345303434216
Japan/Osaka,A07,1908,12754,0.14960012545083895
Japan/Osaka,A08,1557,12754,0.12207934765563745
Malaysia/KualaLumpur,A01,3017,12757,0.23649760915575763
Malaysia/KualaLumpur,A02,2183,12757,0.17112173708552167
Malaysia/KualaLumpur,A03,1942,12757,0.1522301481539547
Malaysia/KualaLumpur,A04,1769,12757,0.1386689660578506
Malaysia/KualaLumpur,A05,800,12757,0.0627106686525045
