sample_id,archetype_id,feature_type,rank,feature_id,value,count
S01,A01,node,1,F054,0.12244898080825806,24
S01,A01,node,2,F029,0.1071428582072258,21
S01,A01,node,3,F057,0.08673469722270966,17
S01,A01,node,4,F021,0.06122449040412903,12
S01,A01,node,5,F028,0.05612244829535484,11
S01,A01,node,6,F013,0.051020409911870956,10
S01,A01,node,7,F046,0.04591836780309677,9
S01,A01,node,8,F058,0.04591836780309677,9
S01,A01,node,9,F052,0.0357142873108387,7
S01,A01,node,10,F025,0.0357142873108387,7
S01,A01,edge,1,F029-F054,0.02747252769768238,10
S01,A01,edge,2,F045-F057,0.01923076994717121,7
S01,A01,edge,3,F010-F013,0.016483517363667488,6
S01,A01,edge,4,F029-F040,0.016483517363667488,6
S01,A01,edge,5,F007-F010,0.01373626384884119,5
S01,A01,edge,6,F007-F057,0.010989011265337467,4
S01,A01,edge,7,F013-F028,0.010989011265337467,4
S01,A01,edge,8,F027-F029,0.010989011265337467,4
S01,A01,edge,9,F043-F057,0.010989011265337467,4
S01,A01,edge,10,F023-F054,0.010989011265337467,4
S01,A01,activation,1,D492,2.634765625,0
S01,A01,activation,2,D016,2.15625,2
S01,A01,activation,3,D502,2.087890625,2
S01,A01,activation,4,D389,1.9765625,0
S01,A01,activation,5,D147,1.921875,0
S01,A01,activation,6,D012,1.8232421875,0
S01,A01,activation,7,D095,1.7548828125,0
S01,A01,activation,8,D092,1.7470703125,0
S01,A01,activation,9,D335,1.7216796875,11
S01,A01,activation,10,D511,1.6826171875,0
S02,A02,node,1,F054,0.13265305757522583,26
S02,A02,node,2,F058,0.11734694242477417,23
S02,A02,node,3,F057,0.1071428582072258,21
S02,A02,node,4,F013,0.0714285746216774,14
S02,A02,node,5,F007,0.06122449040412903,12
S02,A02,node,6,F029,0.051020409911870956,10
S02,A02,node,7,F036,0.051020409911870956,10
S02,A02,node,8,F011,0.051020409911870956,10
S02,A02,node,9,F022,0.04591836780309677,9
S02,A02,node,10,F042,0.040816325694322586,8
S02,A02,edge,1,F007-F012,0.021978022530674934,8
S02,A02,edge,2,F004-F058,0.021978022530674934,8
S02,A02,edge,3,F007-F057,0.01923076994717121,7
S02,A02,edge,4,F042-F057,0.01923076994717121,7
S02,A02,edge,5,F011-F029,0.016483517363667488,6
S02,A02,edge,6,F011-F013,0.01373626384884119,5
S02,A02,edge,7,F027-F058,0.01373626384884119,5
S02,A02,edge,8,F022-F054,0.01373626384884119,5
S02,A02,edge,9,F036-F054,0.01373626384884119,5
S02,A02,edge,10,F027-F036,0.010989011265337467,4
S02,A02,activation,1,D364,2.6328125,8
S02,A02,activation,2,D160,2.4609375,0
S02,A02,activation,3,D459,2.43359375,0
S02,A02,activation,4,D034,2.294921875,0
S02,A02,activation,5,D307,2.11328125,0
S02,A02,activation,6,D005,1.9912109375,6
S02,A02,activation,7,D308,1.93359375,0
S02,A02,activation,8,D368,1.91015625,0
