direction_id,heading,feature_type,rank,feature_id,value,count
H000,0,node,1,F054,0.10714286,21
H000,0,node,2,F022,0.0867347,17
H000,0,node,3,F057,0.0867347,17
H000,0,node,4,F040,0.08163265,16
H000,0,node,5,F036,0.071428575,14
H000,0,node,6,F013,0.06632653,13
H000,0,node,7,F021,0.06122449,12
H000,0,node,8,F041,0.06122449,12
H000,0,node,9,F019,0.06122449,12
H000,0,node,10,F045,0.030612245,6
H000,0,edge,1,F035-F040,0.01923077,7
H000,0,edge,2,F019-F057,0.01923077,7
H000,0,edge,3,F015-F036,0.016483517,6
H000,0,edge,4,F036-F054,0.013736264,5
H000,0,edge,5,F040-F054,0.013736264,5
H000,0,edge,6,F021-F054,0.010989011,4
H000,0,edge,7,F028-F057,0.010989011,4
H000,0,edge,8,F021-F040,0.010989011,4
H000,0,edge,9,F021-F060,0.010989011,4
H000,0,edge,10,F045-F057,0.010989011,4
H090,90,node,1,F054,0.1122449,22
H090,90,node,2,F036,0.091836736,18
H090,90,node,3,F057,0.08163265,16
H090,90,node,4,F019,0.07653061,15
H090,90,node,5,F041,0.05612245,11
H090,90,node,6,F045,0.05612245,11
H090,90,node,7,F058,0.045918368,9
H090,90,node,8,F004,0.045918368,9
H090,90,node,9,F011,0.045918368,9
H090,90,node,10,F062,0.045918368,9
H090,90,edge,1,F036-F054,0.032967035,12
H090,90,edge,2,F011-F040,0.021978023,8
H090,90,edge,3,F035-F036,0.01923077,7
H090,90,edge,4,F019-F045,0.013736264,5
H090,90,edge,5,F029-F036,0.010989011,4
H090,90,edge,6,F041-F045,0.010989011,4
H090,90,edge,7,F041-F047,0.010989011,4
H090,90,edge,8,F004-F057,0.010989011,4
H090,90,edge,9,F011-F021,0.010989011,4
H090,90,edge,10,F004-F058,0.010989011,4
H180,180,node,1,F054,0.12755102,25
H180,180,node,2,F029,0.10714286,21
H180,180,node,3,F057,0.091836736,18
H180,180,node,4,F021,0.06122449,12
H180,180,node,5,F028,0.05612245,11
H180,180,node,6,F013,0.05612245,11
H180,180,node,7,F046,0.045918368,9
H180,180,node,8,F058,0.045918368,9
H180,180,node,9,F052,0.035714287,7
H180,180,node,10,F025,0.035714287,7
H180,180,edge,1,F029-F054,0.03021978,11
H180,180,edge,2,F045-F057,0.01923077,7
H180,180,edge,3,F007-F010,0.013736264,5
H180,180,edge,4,F010-F013,0.013736264,5
H180,180,edge,5,F029-F040,0.010989011,4
H180,180,edge,6,F007-F057,0.010989011,4
H180,180,edge,7,F021-F054,0.010989011,4
H180,180,edge,8,F013-F028,0.010989011,4
H180,180,edge,9,F027-F029,0.010989011,4
H180,180,edge,10,F023-F054,0.010989011,4
H270,270,node,1,F036,0.19387755,38
H270,270,node,2,F062,0.0867347,17
H270,270,node,3,F028,0.07653061,15
H270,270,node,4,F047,0.06632653,13
H270,270,node,5,F010,0.06122449,12
H270,270,node,6,F040,0.05102041,10
H270,270,node,7,F011,0.045918368,9
H270,270,node,8,F013,0.045918368,9
H270,270,node,9,F021,0.040816326,8
H270,270,node,10,F052,0.040816326,8
H270,270,edge,1,F028-F062,0.032967035,12
H270,270,edge,2,F036-F054,0.032967035,12
H270,270,edge,3,F011-F040,0.021978023,8
H270,270,edge,4,F007-F010,0.021978023,8
H270,270,edge,5,F036-F047,0.01923077,7
H270,270,edge,6,F021-F054,0.016483517,6
H270,270,edge,7,F019-F052,0.013736264,5
H270,270,edge,8,F010-F013,0.013736264,5
H270,270,edge,9,F011-F036,0.010989011,4
H270,270,edge,10,F028-F040,0.010989011,4
