result_row,area_id,source_archetype_id,source_representative_rank,direction_id,panorama_id,city,heading,direction_index,image_path,jpg_offset,jpg_size,lat,lon,year,month,sample_key,was_in_analysis_cache,cached_image_id,cached_top1_match_fraction
0,M01,A01,1,H000,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,0,0,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,509946368,104386,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_0,True,377445,0.9897959183673469
1,M01,A01,1,H090,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,90,1,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,510052352,108045,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_90,False,,
2,M01,A01,1,H180,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,180,2,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,510162432,91160,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_180,True,368570,0.9795918367346939
3,M01,A01,1,H270,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,270,3,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,510255616,99955,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_270,False,,
4,M02,A02,1,H000,Ow2PN8qSvoYmbOVF2BS6Yg,Indonesia/Jakarta,0,0,/nas_data_24T/GSV/packages_main/cities/Indonesia/Jakarta/shard-000496.tar,37028864,77364,-6.143276137076998,106.7902676780859,2022,6,Indonesia_Jakarta_Ow2PN8qSvoYmbOVF2BS6Yg_0,False,,
5,M02,A02,1,H090,Ow2PN8qSvoYmbOVF2BS6Yg,Indonesia/Jakarta,90,1,/nas_data_24T/GSV/packages_main/cities/Indonesia/Jakarta/shard-000496.tar,37108224,63796,-6.143276137076998,106.7902676780859,2022,6,Indonesia_Jakarta_Ow2PN8qSvoYmbOVF2BS6Yg_90,False,,
6,M02,A02,1,H180,Ow2PN8qSvoYmbOVF2BS6Yg,Indonesia/Jakarta,180,2,/nas_data_24T/GSV/packages_main/cities/Indonesia/Jakarta/shard-000496.tar,37173760,72407,-6.143276137076998,106.7902676780859,2022,6,Indonesia_Jakarta_Ow2PN8qSvoYmbOVF2BS6Yg_180,False,,
7,M02,A02,1,H270,Ow2PN8qSvoYmbOVF2BS6Yg,Indonesia/Jakarta,270,3,/nas_data_24T/GSV/packages_main/cities/Indonesia/Jakarta/shard-000496.tar,37248000,60550,-6.143276137076998,106.7902676780859,2022,6,Indonesia_Jakarta_Ow2PN8qSvoYmbOVF2BS6Yg_270,True,147311,0.9846938775510204
8,M03,A03,1,H000,yyoWUgFTg_X_I71bkwbjXQ,Singapore/Singapore,0,0,/nas_data_24T/GSV/packages_main/cities/Singapore/Singapore/shard-000090.tar,686671360,98677,1.309597033999107,103.875777045427,2020,8,Singapore_Singapore_yyoWUgFTg_X_I71bkwbjXQ_0,False,,
9,M03,A03,1,H090,yyoWUgFTg_X_I71bkwbjXQ,Singapore/Singapore,90,1,/nas_data_24T/GSV/packages_main/cities/Singapore/Singapore/shard-000090.tar,686977536,131732,1.309597033999107,103.875777045427,2020,8,Singapore_Singapore_yyoWUgFTg_X_I71bkwbjXQ_90,False,,
10,M03,A03,1,H180,yyoWUgFTg_X_I71bkwbjXQ,Singapore/Singapore,180,2,/nas_data_24T/GSV/packages_main/cities/Singapore/Singapore/shard-000090.tar,686771712,100656,1.309597033999107,103.875777045427,2020,8,Singapore_Singapore_yyoWUgFTg_X_I71bkwbjXQ_180,True,255578,0.9897959183673469
11,M03,A03,1,H270,yyoWUgFTg_X_I71bkwbjXQ,Singapore/Singapore,270,3,/nas_data_24T/GSV/packages_main/cities/Singapore/Singapore/shard-000090.tar,686874112,101436,1.309597033999107,103.875777045427,2020,8,Singapore_Singapore_yyoWUgFTg_X_I71bkwbjXQ_270,False,,
12,M04,A04,1,H000,1FuSNLk-chbGRLtqokanmg,Japan/Osaka,0,0,/nas_data_24T/GSV/packages_main/cities/Japan/Osaka/shard-000040.tar,391813120,126890,34.45450830922107,135.4929734452656,2026,4,Japan_Osaka_1FuSNLk-chbGRLtqokanmg_0,False,,
13,M04,A04,1,H090,1FuSNLk-chbGRLtqokanmg,Japan/Osaka,90,1,/nas_data_24T/GSV/packages_main/cities/Japan/Osaka/shard-000040.tar,392124416,87600,34.45450830922107,135.4929734452656,2026,4,Japan_Osaka_1FuSNLk-chbGRLtqokanmg_90,False,,
14,M04,A04,1,H180,1FuSNLk-chbGRLtqokanmg,Japan/Osaka,180,2,/nas_data_24T/GSV/packages_main/cities/Japan/Osaka/shard-000040.tar,391941632,94883,34.45450830922107,135.4929734452656,2026,4,Japan_Osaka_1FuSNLk-chbGRLtqokanmg_180,True,162285,0.9642857142857143
15,M04,A04,1,H270,1FuSNLk-chbGRLtqokanmg,Japan/Osaka,270,3,/nas_data_24T/GSV/packages_main/cities/Japan/Osaka/shard-000040.tar,392038400,84348,34.45450830922107,135.4929734452656,2026,4,Japan_Osaka_1FuSNLk-chbGRLtqokanmg_270,True,153495,0.9744897959183674
