area_id,source_archetype_id,city,panorama_id,lat,lon,cached_directions,completed_directions,heading_0_archetype,heading_0_distance,heading_90_archetype,heading_90_distance,heading_180_archetype,heading_180_distance,heading_270_archetype,heading_270_distance
M01,A01,UnitedStates/NewYorkCity,BFlilbUSNYggO3YcnRY3kg,40.89517472490672,-73.85979552568753,2,2,A05,0.86885506,A07,0.849395,A01,0.61479545,A04,0.80549836
M02,A02,Indonesia/Jakarta,Ow2PN8qSvoYmbOVF2BS6Yg,-6.143276137076998,106.7902676780859,1,3,A04,0.7481971,A01,0.80476403,A07,0.9693899,A02,0.5945002
M03,A03,Singapore/Singapore,yyoWUgFTg_X_I71bkwbjXQ,1.309597033999107,103.875777045427,1,3,A03,0.92154264,A06,0.79464066,A03,0.57883584,A02,0.90825194
M04,A04,Japan/Osaka,1FuSNLk-chbGRLtqokanmg,34.45450830922107,135.4929734452656,2,2,A06,0.8079121,A03,0.9407999,A04,0.63043344,A03,0.881713
M05,A05,Philippines/Manila,yR4HaQ5uu8VvUqcHLm4yFA,14.64219480702591,120.9573246559979,1,3,A05,0.78920287,A01,0.9023161,A05,0.6288881,A05,0.8430125
M06,A06,Thailand/Bangkok,ukeJHe-PyDE7ualz5td5VA,13.83801493383317,100.5693680502621,2,2,A01,0.95539486,A05,1.0150378,A06,0.66760266,A06,0.8529524
M07,A07,Mexico/MexicoCity,CyGzAR_d_Mi7OujGYCmDmQ,19.35041011160614,-99.28409256306811,2,2,A07,0.65983653,A07,0.89322835,A02,0.81559294,A07,0.90842164
M08,A08,Colombia/Bogota,fooe9wu9hS1VqmJGXcpbcw,4.733382428965706,-74.10999890434732,2,2,A05,0.88993317,A08,0.8609992,A05,0.93894017,A08,0.65189534
M09,A01,Turkey/Istanbul,B5LhM2iZOdu-wn8oNo_rGg,41.06648418445738,28.99365949453266,2,2,A02,1.0823938,A01,0.61904186,A02,0.8399442,A02,0.8249916
M10,A08,France/Paris,4nvSfB0WY-sdJMKBYWBO3A,48.95424656811786,2.382526291086219,2,2,A01,0.9016345,A06,0.90862674,A08,0.6824613,A04,0.84025675
