component,explained_variance,explained_variance_ratio,cumulative_explained_variance
1,0.048684414,0.049984254,0.049984254
2,0.040085807,0.04115607,0.09114032
3,0.028413212,0.029171824,0.12031215
4,0.024295317,0.024943985,0.14525613
5,0.023910062,0.024548443,0.16980457
6,0.023134788,0.023752471,0.19355704
7,0.020499902,0.021047235,0.21460427
8,0.01993245,0.020464633,0.2350689
9,0.01902642,0.01953441,0.25460333
10,0.017549628,0.018018192,0.2726215
11,0.017121814,0.017578954,0.29020047
12,0.01569451,0.016113542,0.30631402
13,0.015416411,0.015828017,0.32214203
14,0.014906708,0.015304707,0.33744675
15,0.014340315,0.014723191,0.35216993
16,0.014060538,0.014435944,0.36660588
17,0.013594514,0.013957477,0.38056335
18,0.0128111765,0.013153226,0.39371657
19,0.012682121,0.013020725,0.4067373
20,0.012189806,0.0125152655,0.41925257
21,0.011923115,0.012241454,0.43149403
22,0.011468116,0.011774307,0.44326833
23,0.010920083,0.011211641,0.45447996
24,0.010878267,0.011168709,0.46564868
25,0.010368419,0.010645248,0.47629392
26,0.0101948595,0.010467055,0.48676097
27,0.01010134,0.010371039,0.497132
28,0.009817731,0.010079857,0.50721186
29,0.009331277,0.009580415,0.5167923
30,0.009181313,0.009426448,0.5262188
31,0.008816486,0.00905188,0.53527063
32,0.008741013,0.008974392,0.544245
33,0.0086489385,0.008879859,0.55312485
34,0.008175984,0.008394277,0.56151915
35,0.007946886,0.008159062,0.5696782
36,0.0078090485,0.008017545,0.5776957
37,0.0077098133,0.00791566,0.5856114
38,0.007662415,0.007866996,0.5934784
39,0.0073771374,0.007574102,0.60105246
40,0.0072288453,0.00742185,0.6084743
41,0.007144501,0.007335254,0.61580956
42,0.0070590056,0.007247476,0.623057
43,0.006889368,0.0070733093,0.6301303
44,0.0066785323,0.0068568443,0.63698715
45,0.006658233,0.0068360027,0.64382315
46,0.0065604253,0.006735584,0.6505587
47,0.0063417684,0.006511089,0.6570698
48,0.006112998,0.006276211,0.663346
49,0.0060440977,0.0062054708,0.6695515
50,0.005949923,0.0061087813,0.67566025
51,0.005894382,0.006051758,0.68171203
52,0.005748454,0.0059019336,0.68761396
53,0.0057013165,0.0058535375,0.6934675
54,0.0055604787,0.0057089394,0.69917643
55,0.0053083817,0.005450112,0.70462656
56,0.0052165594,0.0053558378,0.7099824
57,0.0050917957,0.005227743,0.71521014
58,0.0048970506,0.0050277985,0.7202379
59,0.0047954065,0.0049234405,0.7251614
60,0.0047031925,0.0048287646,0.7299901
61,0.0046785055,0.004803418,0.73479354
62,0.0046035983,0.004726511,0.7395201
63,0.00457272,0.0046948083,0.7442149
64,0.0044839666,0.0046036853,0.7488186
65,0.004423214,0.004541311,0.7533599
66,0.004321138,0.004436509,0.7577964
67,0.0042739785,0.0043880907,0.7621845
68,0.0041850964,0.0042968355,0.76648134
69,0.004074084,0.0041828593,0.7706642
70,0.004020573,0.0041279197,0.77479213
71,0.003975851,0.004082003,0.77887416
72,0.0039492454,0.0040546875,0.7829288
73,0.0038380085,0.0039404808,0.7868693
74,0.0037794318,0.00388034,0.7907496
75,0.0037350599,0.0038347833,0.7945844
76,0.003657985,0.0037556505,0.79834
77,0.0035741928,0.0036696212,0.80200964
78,0.0035506266,0.0036454257,0.80565506
79,0.003476429,0.0035692472,0.8092243
80,0.0034277176,0.0035192352,0.81274354
81,0.0033742161,0.0034643053,0.8162078
82,0.0033533438,0.0034428756,0.8196507
83,0.003297773,0.0033858211,0.82303655
84,0.003253401,0.0033402645,0.8263768
85,0.0032300316,0.0033162711,0.8296931
86,0.0031343836,0.0032180694,0.83291113
87,0.0030848626,0.0031672262,0.83607835
88,0.0030395696,0.0031207239,0.83919907
89,0.0029402717,0.0030187748,0.84221786
90,0.0029289268,0.0030071272,0.845225
91,0.0028777164,0.0029545494,0.8481795
92,0.002829567,0.0029051146,0.85108465
93,0.0027806263,0.0028548671,0.85393953
94,0.00273183,0.002804768,0.8567443
95,0.0026871453,0.0027588902,0.85950315
96,0.002662154,0.0027332315,0.8622364
97,0.0025656004,0.0026341002,0.8648705
98,0.0025618207,0.0026302196,0.8675007
99,0.002498607,0.002565318,0.87006605
100,0.002464655,0.0025304595,0.8725965
101,0.0024440675,0.0025093223,0.8751058
102,0.0024176338,0.0024821828,0.877588
103,0.0023697815,0.002433053,0.88002104
104,0.0023430511,0.002405609,0.8824266
105,0.0023261313,0.0023882373,0.88481486
106,0.0022680045,0.0023285586,0.88714343
107,0.0022252286,0.0022846407,0.8894281
108,0.0022094382,0.0022684287,0.8916965
109,0.0021595256,0.0022171834,0.8939137
110,0.0021206986,0.0021773197,0.896091
111,0.002103182,0.0021593354,0.89825034
112,0.0020703846,0.0021256623,0.900376
