archetype_id,element_id,element_name,canvas_share,within_archetype_rank
A01,F000,red brick corner,0.009945054388485877,33
A01,F001,shaded_corner,0.013404931213072338,24
A01,F002,shaded patches,0.017324979342939046,18
A01,F003,building facade,0.001502430370148485,59
A01,F004,highlighted_buildings,0.016542109292132085,19
A01,F005,palm_trees_and_buildings,0.0024584073152766743,56
A01,F006,small alley entrance,0.003218485862756079,53
A01,F007,roof_and_eaves,0.012125441540155735,26
A01,F008,stone_wall_and_retaining_wall,0.01068098479553489,30
A01,F009,highlighted road,0.005587536014192956,43
A01,F010,green_wall,0.06986274088448398,2
A01,F011,road_edge,0.010151172785642655,32
A01,F012,bamboo,0.00929142663234194,34
A01,F013,tree-lined_driveway,0.037263384400771586,8
A01,F014,road_edge,0.0014976369190518157,60
A01,F015,tree_shade_street,0.007493068488829269,37
A01,F016,construction scaffolding,0.003499581070462646,51
A01,F017,building facade,0.00467732296066693,48
A01,F018,small alley flowerbed,0.006222713505738394,40
A01,F019,road_and_building,0.011173263178915472,28
A01,F020,advertising_wall,0.003586767614937913,50
A01,F021,road_and_building,0.05317321036051093,4
A01,F022,tree_canopy_and_road,0.044149945662161905,5
A01,F023,street_corner_cafe,0.006364798631641553,39
A01,F024,road_edge,0.0049311949838433565,47
A01,F025,shaded alley,0.014661267612767294,20
A01,F026,tree_shadows,0.00032315095789432557,64
A01,F027,car_top_heat,0.01878824812205248,17
A01,F028,red_car_street,0.06878566146730974,3
A01,F029,electric_bike_parking,0.026240707940270343,12
A01,F030,stone_wall_and_shadows,0.01464969097615647,21
A01,F031,road_edge,0.00546399159536182,45
A01,F032,tree-lined walk,0.0016916360247566373,57
A01,F033,zebra_crossing,0.026138055732822803,13
A01,F034,red_door_street,0.007750015556105445,36
A01,F035,small alley entrance,0.03670435947193172,9
A01,F036,pedestrian walk,0.043754259840502886,6
A01,F037,street_corner_shops,0.005793292641455647,41
A01,F038,red-yellow hotspot,0.005497636195512028,44
A01,F039,red car corner,0.0013068937423937879,61
A01,F040,cobblestone,0.02852600836122579,11
A01,F041,concrete_wall,0.013895219862035433,22
A01,F042,Red-yellow glow street,0.03368231466166556,10
A01,F043,tree_shadows,0.0089448510738054,35
A01,F044,road_and_buildings,0.011715375365206709,27
A01,F045,underpass glow,0.037579842615625275,7
A01,F046,window_heat_zone,0.012435659224336405,25
A01,F047,underpass,0.0056049009691091925,42
A01,F048,shaded path,0.0009246838492895563,62
