archetype_id,region_id,region_row,region_column,element_id,element_name,within_region_share,equal_weight_canvas_share
A01,R11,0,0,F000,red brick corner,0.00021697510355975344,2.4108344839972604e-05
A01,R11,0,0,F001,shaded_corner,0.0002120116288133617,2.3556847645929077e-05
A01,R11,0,0,F002,shaded patches,0.08050763164840082,0.008945292405377869
A01,R11,0,0,F003,building facade,0.0007785577505313445,8.650641672570494e-05
A01,R11,0,0,F004,highlighted_buildings,0.09657370992808412,0.010730412214231568
A01,R11,0,0,F005,palm_trees_and_buildings,1.772672523956582e-05,1.9696361377295354e-06
A01,R11,0,0,F006,small alley entrance,1.4181380191652654e-06,1.5757089101836283e-07
A01,R11,0,0,F007,roof_and_eaves,0.03339571596361607,0.0037106351070684516
A01,R11,0,0,F008,stone_wall_and_retaining_wall,0.0018655607098239239,0.00020728452331376932
A01,R11,0,0,F009,highlighted road,0.023226259470023998,0.0025806954966693333
A01,R11,0,0,F010,green_wall,0.2807349658118895,0.031192773979098833
A01,R11,0,0,F011,road_edge,0.0006537616194060028,7.264017993400031e-05
A01,R11,0,0,F012,bamboo,0.0009714245255953314,0.00010793605839948126
A01,R11,0,0,F013,tree-lined_driveway,0.005798056589447832,0.000644228509938648
A01,R11,0,0,F014,road_edge,2.127207028747898e-06,2.3635633652754425e-07
A01,R11,0,0,F015,tree_shade_street,0.038439322488849605,0.004271035832094401
A01,R11,0,0,F016,construction scaffolding,0.015822873641597138,0.0017580970712885707
A01,R11,0,0,F017,building facade,0.0004942211026507688,5.491345585008542e-05
A01,R11,0,0,F018,small alley flowerbed,0.0,0.0
A01,R11,0,0,F019,road_and_building,6.877969333518061e-05,7.642188148353401e-06
A01,R11,0,0,F020,advertising_wall,1.4181380191652654e-06,1.5757089101836283e-07
A01,R11,0,0,F021,road_and_building,0.0008863362783224969,9.848180870249965e-05
A01,R11,0,0,F022,tree_canopy_and_road,0.09099901381502047,0.010111001535002275
A01,R11,0,0,F023,street_corner_cafe,0.0002999361767894193,3.3326241865491034e-05
A01,R11,0,0,F024,road_edge,7.090690095826327e-07,7.878544550918142e-08
A01,R11,0,0,F025,shaded alley,0.006223498795469171,0.0006914998661632412
A01,R11,0,0,F026,tree_shadows,4.254414057495796e-06,4.727126730550885e-07
A01,R11,0,0,F027,car_top_heat,0.0008693185567156897,9.659095074618775e-05
A01,R11,0,0,F028,red_car_street,0.00011132383242430167,1.2369314713811296e-05
A01,R11,0,0,F029,electric_bike_parking,9.217897124574227e-06,1.0242107916193585e-06
A01,R11,0,0,F030,stone_wall_and_shadows,0.02509677677219775,0.002788530752466417
A01,R11,0,0,F031,road_edge,2.127207028747898e-06,2.3635633652754425e-07
A01,R11,0,0,F032,tree-lined walk,0.0011841452730452283,0.00013157169700502537
A01,R11,0,0,F033,zebra_crossing,1.4181380191652654e-06,1.5757089101836283e-07
A01,R11,0,0,F034,red_door_street,0.0015025171766268005,0.0001669463529585334
A01,R11,0,0,F035,small alley entrance,0.0002779550440300401,3.088389378111557e-05
A01,R11,0,0,F036,pedestrian walk,0.016334814749344298,0.001814979416593811
A01,R11,0,0,F037,street_corner_shops,0.003200028607848825,0.000355558734205425
A01,R11,0,0,F038,red-yellow hotspot,5.0343899383199536e-05,5.593766598133282e-06
A01,R11,0,0,F039,red car corner,6.381621086243694e-06,7.090690095826327e-07
A01,R11,0,0,F040,cobblestone,0.00013401404043377854,1.4890448937086504e-05
A01,R11,0,0,F041,concrete_wall,0.0010146777366657088,0.00011274197074063432
A01,R11,0,0,F042,Red-yellow glow street,0.05703604868455685,0.006337338742728539
A01,R11,0,0,F043,tree_shadows,0.049217163441891726,0.005468573715765747
A01,R11,0,0,F044,road_and_buildings,0.032810029548182185,0.003645558838686909
A01,R11,0,0,F045,underpass glow,0.02909379290807909,0.0032326436564532324
A01,R11,0,0,F046,window_heat_zone,0.001927249449178643,0.0002141388276865159
A01,R11,0,0,F047,underpass,0.0012408709067354441,0.00013787454519282712
A01,R11,0,0,F048,shaded path,0.0031737937697761554,0.0003526437521973506
A01,R11,0,0,F049,red_wall_yellow_wall,0.0030943775738529436,0.00034381973042810486
A01,R11,0,0,F050,greenery_and_water,0.003827554318785249,0.000425283813198361
A01,R11,0,0,F051,zebra_crossing,0.007182868787437563,0.000798096531937507
