representation,k,silhouette,calinski_harabasz,davies_bouldin,initialization_stability_ari,minimum_cluster_fraction,maximum_cluster_fraction,normalized_size_entropy,inertia_per_image,selection_score
spatial,6,0.022017647,101.99806504706066,4.601267004899316,0.37955424691162354,0.14016666666666666,0.19763333333333333,0.9966020295748742,0.44393583984375,0.7666666666666667
spatial,8,0.021353077,87.74909439420914,4.441298678778885,0.2975151603881995,0.10978333333333333,0.14986666666666668,0.9974729228791328,0.43609986979166665,0.8
spatial,10,0.018041592,75.76077954226199,4.581806063540309,0.32867378585314283,0.07896666666666667,0.1213,0.9962626683566894,0.43028557942708334,0.5333333333333333
spatial,12,0.018548049,67.56344539733094,4.509465236328075,0.36056387497302766,0.06345,0.10978333333333333,0.9943349982800475,0.42585677083333334,0.5666666666666667
spatial,15,0.0159039,57.392330689785176,4.475271891525325,0.2753070823123203,0.05826666666666667,0.08306666666666666,0.9974228186116622,0.42166188151041667,0.4666666666666666
spatial,20,0.016520651,47.470210444663614,4.366758125467253,0.2464775094330887,0.03495,0.07143333333333333,0.9934610305029968,0.4149793294270833,0.3666666666666667
composition,6,0.03077083,157.56627097625594,3.820406603907305,0.3282637082924371,0.14155,0.21616666666666667,0.9948392555411613,0.2881166666666667,0.6
composition,8,0.032226242,132.59328278594649,3.731442943639047,0.3370069743075301,0.07868333333333333,0.16531666666666667,0.9896585474379671,0.28173001302083334,0.6666666666666667
composition,10,0.030250903,117.14949610371062,3.542075092930601,0.33472227761738305,0.07268333333333334,0.12428333333333333,0.9947155536531433,0.27596279296875,0.6666666666666666
composition,12,0.023069732,100.42003120252099,3.7728984626759647,0.2613013215389158,0.06491666666666666,0.10155,0.9972117004406041,0.27376158854166666,0.4666666666666666
composition,15,0.021186423,86.91181481034148,3.7284777895227834,0.34500761732152185,0.051533333333333334,0.07836666666666667,0.9976067910151933,0.26829337565104167,0.6666666666666667
composition,20,0.020161947,70.91723451148503,3.6662469767141004,0.23321231322166777,0.039716666666666664,0.06026666666666667,0.9974118619041733,0.263253662109375,0.4333333333333334
coarse_spatial,6,0.027241232,115.1888707343956,4.236878563891069,0.27949611496377796,0.14526666666666666,0.2064,0.9953574414080001,0.33563912760416664,0.8
coarse_spatial,8,0.02288042,93.29381894192275,4.457970598591027,0.377169809371574,0.09181666666666667,0.16353333333333334,0.9928587520656471,0.33093876953125,0.6333333333333334
coarse_spatial,10,0.022023188,81.20883841848348,4.384967854151169,0.34692184701476253,0.08293333333333333,0.12258333333333334,0.9968874629034407,0.32680817057291667,0.7333333333333333
coarse_spatial,12,0.02181156,73.41395887566232,4.3164280257193015,0.3214391925214066,0.048916666666666664,0.1098,0.9933126863701333,0.32216263020833336,0.5
coarse_spatial,15,0.01741559,62.340273956690474,4.479269762154639,0.26854500803986486,0.052366666666666666,0.08563333333333334,0.9967462132216784,0.31854951171875,0.4333333333333333
coarse_spatial,20,0.016004868,50.83582555186465,4.236578879801102,0.21562728347041088,0.038566666666666666,0.07335,0.9947428691515513,0.31433362630208334,0.4
dimension_composition,6,0.032021955,138.2010871096524,4.027082487752022,0.470156793910114,0.13401666666666667,0.20971666666666666,0.9900412639145622,0.5128300130208333,0.8333333333333334
dimension_composition,8,0.029484747,111.55033285224442,4.03907950192502,0.33653067438269724,0.09856666666666666,0.16661666666666666,0.9942654403699128,0.50511044921875,0.6333333333333334
dimension_composition,10,0.02574945,97.929892976455,4.065308254277033,0.37254589724573217,0.07573333333333333,0.12295,0.9963593412190357,0.49645703125,0.7333333333333333
dimension_composition,12,0.025452457,86.16673659305249,4.110384227071079,0.3981764680017603,0.058883333333333336,0.1093,0.9948643905253521,0.4906564453125,0.5666666666666667
dimension_composition,15,0.02268211,72.85990062537745,4.1863908799125,0.35725557352401494,0.05168333333333333,0.08728333333333334,0.9953984120237417,0.4845713541666667,0.4333333333333333
dimension_composition,20,0.019853463,59.42899127346677,4.254065535411475,0.28822012166617494,0.031216666666666667,0.06371666666666667,0.9954540538741969,0.4763469075520833,0.3
