element_a,element_b,name_a,name_b,parent_a,parent_b,same_coarse_family,centroid_distance_raw,visual_distance,visual_similarity,cophenetic_distance_raw,cophenetic_distance_percentile,fused_mean_similarity,fused_distance_percentile,stability_a,stability_b,pair_stability,images,support_a,support_b,observed,expected,pearson_residual,adjusted_residual,log_lift,p_value_upper,q_value_bh,passes_support,significant_positive,unexpected_score,unexpected_score_adjusted,visual_bridge_index,unexpected_score_cophenetic,visual_bridge_index_cophenetic,unexpected_score_fused,visual_bridge_index_fused
F000,F001,red brick corner,shaded_corner,C000,C001,False,0.06816844558498728,0.6451612903225806,0.3548387096774194,0.2803388833999634,0.7880893300248138,0.015667724609375,0.8253101736972704,0.4043114334344864,0.3675737664103508,0.3855052222607133,378818,62937,175377,25766,29137.216945868466,-19.749798430814497,-29.512887889602403,-0.12295825132476564,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F002,red brick corner,shaded patches,C000,C002,False,0.06620850570412248,0.5012406947890818,0.49875930521091816,0.2803388833999634,0.7880893300248138,0.033286927238343256,0.34739454094292804,0.4043114334344864,0.5684704088738987,0.4794153584073987,378818,62937,59003,10262,9802.78606349223,4.638102023324578,5.527887098161933,0.04577883270547884,1.9503118559100337e-08,6.086422138567536e-08,True,True,2.3248054806738576,2.7708019697982884,0.022946213911927357,3.6552387161486,0.03607780959617886,1.6112513232393075,0.015903316572622922
F000,F003,red brick corner,building facade,C000,C003,False,0.06851285294569098,0.6660049627791563,0.33399503722084367,0.2613743543624878,0.11538461538461539,0.023482852511935763,0.6198511166253102,0.4043114334344864,0.6305155009031296,0.5049006099944894,378818,62937,5434,944,902.8073058830362,1.3709533101586975,1.5122134416496238,0.04459287482662617,0.06822970961722404,0.16297523055488583,True,False,0.9130617083042045,1.0071416569199976,0.02969907593912274,0.15818692040292665,0.005145331710764558,0.8497869401430339,0.02764094325481692
F000,F004,red brick corner,highlighted_buildings,C000,C004,False,0.07078042059160668,0.8248138957816377,0.17518610421836234,0.2803388833999634,0.7880893300248138,0.028938462999131945,0.45905707196029777,0.4043114334344864,0.7429166615009308,0.5480599422816855,378818,62937,106313,17478,17662.891628697686,-1.3911896755748736,-1.7962525177632875,-0.010522674003110171,0.9642417989320358,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F005,red brick corner,palm_trees_and_buildings,C000,C005,False,0.06394732237402001,0.3270471464019851,0.6729528535980149,0.27533864974975586,0.31042183622828784,0.016654685691550927,0.8059553349875931,0.4043114334344864,0.3401900368432204,0.3708675254537841,378818,62937,7569,1361,1257.517206151767,2.918173957145509,3.2280987571082798,0.07905019756082082,0.0007297618467007145,0.0019774191975116136,True,True,0.9543804653890275,1.0557404868160578,0.025853141534779616,0.9058649182106778,0.02453890748103892,2.351917869183279,0.06371092845596676
F000,F006,red brick corner,small alley entrance,C000,C006,False,0.06587941432694605,0.47245657568238214,0.5275434243176178,0.2803388833999634,0.7880893300248138,0.02327097198109568,0.6243176178660049,0.4043114334344864,0.8267045550876193,0.5781402111030634,378818,62937,14523,2987,2412.858024169918,11.688355588691275,13.052541770311938,0.21341776857081574,3.591796652743636e-37,1.9105704622509686e-36,True,True,5.522240456791113,6.166759188752836,0.10083062812874272,9.211468324983496,0.16819226624836495,7.297246317902542,0.13324047288441002
F000,F007,red brick corner,roof_and_eaves,C000,C007,False,0.06954117380473007,0.7404466501240695,0.2595533498759305,0.27533864974975586,0.31042183622828784,0.017585523200757576,0.7866004962779156,0.4043114334344864,0.7774307294325395,0.5606461741712757,378818,62937,225740,35767,37504.54936143478,-8.972122104221521,-15.456354401507271,-0.047435913691824996,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F008,red brick corner,stone_wall_and_retaining_wall,C000,C008,False,0.06884379770102812,0.6908188585607941,0.30918114143920594,0.27533864974975586,0.31042183622828784,0.015026177300347223,0.8397022332506203,0.4043114334344864,0.44401784539222716,0.4236997658024176,378818,62937,131190,20567,21795.968063819564,-8.324391861198102,-11.275113502140648,-0.05803578118705802,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F009,red brick corner,highlighted road,C000,C009,False,0.0631153851872489,0.27791563275434245,0.7220843672456576,0.2803388833999634,0.7880893300248138,0.03877286557798033,0.24367245657568237,0.4043114334344864,1.0,0.635854883943252,378818,62937,73900,11236,12277.780622884868,-9.401915436164119,-11.47606741913385,-0.08866449041909544,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F010,red brick corner,green_wall,C000,C004,False,0.06599637632428793,0.4843672456575682,0.5156327543424317,0.2803388833999634,0.7880893300248138,0.02456341367779356,0.5875930521091811,0.4043114334344864,0.6875132593241605,0.5272281018520989,378818,62937,222384,40525,36946.981949115405,18.614571484582157,31.721648565282152,0.09243390805704498,6.153911126487506e-224,1.117683318108001e-222,True,True,9.01628871908297,15.364927543283066,0.04477195745095578,14.669945169983357,0.07284617667225182,10.93779287233016,0.05431352215361848
F000,F011,red brick corner,road_edge,C000,C010,False,0.06374134967381383,0.31265508684863524,0.6873449131513647,0.2803388833999634,0.7880893300248138,0.020915278682002315,0.6823821339950372,0.4043114334344864,0.384821442887187,0.3944460789386122,378818,62937,137840,17105,22900.802179410693,-38.29906805117117,-52.58571579801324,-0.29179372345195187,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F012,red brick corner,bamboo,C000,C011,False,0.06754140895603976,0.6034739454094293,0.39652605459057066,0.27533864974975586,0.31042183622828784,0.016584608289930556,0.8074441687344913,0.4043114334344864,0.27633877843618393,0.3342557817346896,378818,62937,85178,14989,14151.512826740018,7.040065982343012,8.756638142231594,0.05749309277545645,1.5945448286894918e-18,6.390859591725676e-18,True,True,4.248496394307247,5.284402968215196,0.03469558353099506,2.1853902094072226,0.017847111429800503,5.684460224948923,0.04642246250405342
F000,F013,red brick corner,tree-lined_driveway,C000,C012,False,0.06048562053784278,0.1598014888337469,0.8401985111662531,0.2803388833999634,0.7880893300248138,0.05864307133838384,0.10074441687344914,0.4043114334344864,0.5153925527225841,0.45648559864767596,378818,62937,322145,54208,53521.32122813594,2.9681798247617426,8.403697070649844,0.01274827855055641,1.2652593032311586e-17,4.962573453918318e-17,True,True,0.47431955512321644,1.3429233035976427,0.002037193892446235,2.339190849489651,0.010046782301877706,0.2990275456211582,0.001284317888716105
F000,F014,red brick corner,road_edge,C000,C013,False,0.06183063806506687,0.21786600496277916,0.7821339950372208,0.2803388833999634,0.7880893300248138,0.041122248143325615,0.20496277915632755,0.4043114334344864,0.6375317871570587,0.5077020688607841,378818,62937,7094,1052,1178.6004836095433,-3.68767005907867,-4.076712057146425,-0.11358355917743042,0.9999833829311972,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F015,red brick corner,tree_shade_street,C000,C014,False,0.0694692944255756,0.7359801488833747,0.2640198511166253,0.2803388833999634,0.7880893300248138,0.018050158465350116,0.7746898263027295,0.4043114334344864,0.8839921777447065,0.5978362188165214,378818,62937,68468,13149,11375.305597938852,16.63019183341636,20.120541545811577,0.14489495096110871,1.1443822200029712e-87,9.734491795468312e-87,True,True,12.239491061516857,14.808319162500531,0.10663980758080607,13.106076740181232,0.11419016482691842,12.883240422810392,0.11224864439220382
F000,F016,red brick corner,construction scaffolding,C000,C015,False,0.061251915300373785,0.19404466501240694,0.8059553349875931,0.2803388833999634,0.7880893300248138,0.016386809172453703,0.8109181141439206,0.4043114334344864,0.3196994091073672,0.35952486195582906,378818,62937,38020,6032,6316.6606127480745,-3.5816538266152835,-4.1352652413989475,-0.04610831855485333,0.9999843560428217,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F017,red brick corner,building facade,C000,C011,False,0.06894917413109326,0.7017369727047147,0.2982630272952853,0.27533864974975586,0.31042183622828784,0.014190249972873263,0.8575682382133996,0.4043114334344864,0.43739699572324753,0.4205289601452011,378818,62937,93953,12398,15609.395437914776,-25.70400189971122,-32.46007207072565,-0.23032953854911592,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F018,red brick corner,small alley flowerbed,C000,C013,False,0.05122626204376229,0.04466501240694789,0.9553349875930521,0.2803388833999634,0.7880893300248138,0.03543528804072627,0.3012406947890819,0.4043114334344864,0.2877193056046963,0.34106920833726667,378818,62937,66626,7586,11069.274854943535,-33.10763503399748,-39.93793038171197,-0.37784805622374346,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F019,red brick corner,road_and_building,C000,C016,False,0.06979063126852826,0.7558312655086848,0.24416873449131515,0.2803388833999634,0.7880893300248138,0.025980066370081017,0.5449131513647643,0.4043114334344864,0.45704154421885806,0.42986872633658485,378818,62937,61909,10777,10285.59026498213,4.845394542862135,5.801364336879213,0.046668104806545825,4.027076981596764e-09,1.2968989129231752e-08,True,True,3.6623006892203627,4.384852548420368,0.03527321271482347,3.8186037389901086,0.036778635450518495,2.6403192099566373,0.02543006405835599
F000,F020,red brick corner,advertising_wall,C000,C013,False,0.06504659872811873,0.4079404466501241,0.5920595533498759,0.2803388833999634,0.7880893300248138,0.030721513051835316,0.41687344913151364,0.4043114334344864,0.6375811781202044,0.507721734867268,378818,62937,30821,3379,5120.615379944987,-24.338352290033946,-27.808124849120343,-0.4156444934132972,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F021,red brick corner,road_and_building,C000,C017,False,0.06048630836104105,0.16029776674937965,0.8397022332506203,0.2803388833999634,0.7880893300248138,0.07913226845823688,0.06104218362282878,0.4043114334344864,0.7211538553237915,0.5399729150362714,378818,62937,294889,47067,48992.9966184289,-8.701387678756886,-20.24420729561598,-0.04010482561266351,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F022,red brick corner,tree_canopy_and_road,C000,C005,False,0.06558170108234139,0.4471464019851117,0.5528535980148883,0.27533864974975586,0.31042183622828784,0.013320734471450617,0.8734491315136477,0.4043114334344864,0.5876411199569702,0.487432070708165,378818,62937,215822,38976,35856.76819475315,16.472597192787322,27.500582117398192,0.08341261487080853,3.130490084688561e-168,4.3226493224192734e-167,True,True,7.365662566104902,12.296786346290705,0.03729765061965186,5.1134538680339805,0.025893097072799375,14.387975711814237,0.07285667601619009
F000,F023,red brick corner,street_corner_cafe,C000,C018,False,0.06595437294262843,0.4784119106699752,0.5215880893300249,0.2803388833999634,0.7880893300248138,0.030979368421766493,0.40595533498759306,0.4043114334344864,0.48124999552965164,0.441106422003731,378818,62937,36478,5667,6060.472010305741,-5.054295382090892,-5.822373715022962,-0.06712208155955517,0.9999999978864326,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F024,red brick corner,road_edge,C000,C018,False,0.06816865595475076,0.6456575682382134,0.3543424317617866,0.2803388833999634,0.7880893300248138,0.019050880714699073,0.7419354838709677,0.4043114334344864,0.4875000019868215,0.44396151252401006,378818,62937,48194,8769,8006.973739368245,8.51600163212478,9.982442783339513,0.09090446922469084,2.711959273331044e-23,1.2069116766082527e-22,True,True,5.498420904910342,6.445239732568092,0.05869315854159939,6.711370020751439,0.07164084224754791,6.31832379157645,0.06744525136025449
F000,F025,red brick corner,shaded alley,C000,C019,False,0.06504653176705945,0.4074441687344913,0.5925558312655087,0.2613743543624878,0.11538461538461539,0.05211944580078125,0.13101736972704714,0.4043114334344864,0.7079328984022141,0.5350003410544986,378818,62937,115295,18128,19155.165316854003,-7.421597450493751,-9.744429389423665,-0.05511322532819245,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F026,red brick corner,tree_shadows,C000,C016,False,0.07023879024755951,0.7885856079404466,0.21141439205955337,0.2803388833999634,0.7880893300248138,0.016149054633246528,0.8138957816377171,0.4043114334344864,0.7362637281417846,0.545600442916631,378818,62937,1860,231,309.021271428496,-4.438322292919006,-4.872374201237026,-0.29044694460015275,0.999999815381341,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F027,red brick corner,car_top_heat,C000,C020,False,0.06497738840953503,0.40099255583126553,0.5990074441687345,0.2803388833999634,0.7880893300248138,0.04876316918267144,0.1444168734491315,0.4043114334344864,0.9444444179534912,0.6179398647295505,378818,62937,185347,32168,30793.637416912607,7.83196660698543,12.001379540762976,0.04366338461618858,1.872506940794517e-33,9.484859277994336e-33,True,True,3.1405603069202126,4.812463855551606,0.01750869219348902,6.1722893160758625,0.03441064752878782,1.1310681303388388,0.006305729490476862
F000,F028,red brick corner,red_car_street,C000,C021,False,0.06361758135050417,0.3062034739454094,0.6937965260545906,0.27533864974975586,0.31042183622828784,0.02284756413212529,0.6377171215880894,0.4043114334344864,0.6187312696129084,0.5001601008956379,378818,62937,270788,49023,44988.84518687074,19.019545638431474,39.002839985539744,0.08587408687002836,0.0,0.0,True,True,5.823850947350977,11.942805097309192,0.026294943721492554,5.904082281309622,0.026657191730621706,12.129089898453818,0.054763375497760024
F000,F029,red brick corner,electric_bike_parking,C000,C022,False,0.06942639216863843,0.7320099255583127,0.2679900744416873,0.2803388833999634,0.7880893300248138,0.018284267849392362,0.7652605459057072,0.4043114334344864,0.39830395206809044,0.4012964512717134,378818,62937,225095,42506,37397.38875924586,26.41692207686629,45.413091857670715,0.1280427528729672,0.0,0.0,True,True,19.33744916296664,33.242833990106355,0.09372856599882215,20.818894420875267,0.10090912732618953,20.215828209691225,0.09798606696283645
F000,F030,red brick corner,stone_wall_and_shadows,C000,C012,False,0.06296929539064117,0.2729528535980149,0.7270471464019851,0.2803388833999634,0.7880893300248138,0.04508599175347222,0.16997518610421836,0.4043114334344864,0.38914142847061156,0.3966539155910308,378818,62937,39257,5512,6522.176372294875,-12.508376267587884,-14.468060510439072,-0.1682665374873363,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F031,red brick corner,road_edge,C000,C001,False,0.06804176547735857,0.6372208436724566,0.36277915632754343,0.2803388833999634,0.7880893300248138,0.025081634521484375,0.5707196029776674,0.4043114334344864,0.5565476566553116,0.47436123454274104,378818,62937,28416,5344,4721.047553178571,9.06641738487745,10.323351190583129,0.12393137743635486,1.5047288201080846e-24,6.957645186554812e-24,True,True,5.7773101350782365,6.5782545551904406,0.0789716568874837,7.145146802573395,0.09766899621286924,5.17438213032708,0.0707300665269519
F000,F032,red brick corner,tree-lined walk,C000,C012,False,0.06416638441779947,0.3444168734491315,0.6555831265508685,0.2803388833999634,0.7880893300248138,0.051953421698676214,0.13200992555831265,0.4043114334344864,0.42500001192092896,0.41452667468984983,378818,62937,7500,916,1246.0535138245807,-9.350094787580069,-10.342160988903798,-0.3075757660295452,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F000,F033,red brick corner,zebra_crossing,C000,C023,False,0.06712970013274762,0.569727047146402,0.430272952853598,0.2803388833999634,0.7880893300248138,0.020380655924479168,0.7027295285359801,0.4043114334344864,1.0,0.635854883943252,378818,62937,99736,17674,16570.185767307783,8.57496391156541,10.940436988809013,0.0644877061795589,7.50735917698299e-28,3.59497294555765e-27,True,True,4.885388868723122,6.2330628601254325,0.03674039041892487,6.757837564052541,0.050822073157885624,6.025880346787405,0.04531741535992824
F000,F034,red brick corner,red_door_street,C000,C018,False,0.06883426794897458,0.6898263027295285,0.3101736972704715,0.2803388833999634,0.7880893300248138,0.031839865225332754,0.38312655086848635,0.4043114334344864,0.8333333730697632,0.5804534525650025,378818,62937,48527,8539,8062.298515382056,5.309053078287853,6.2263994472307544,0.05744175147696692,3.1997296619763547e-10,1.0592208536197587e-09,True,True,3.662324455990132,4.2951341100003715,0.03962483104366452,4.184008083534049,0.04526923143693472,2.0340391942621454,0.022007460119215116
