pair_rank,sample_rank,element_a,name_a,element_b,name_b,pair_unexpected_score,visual_distance,observed,expected,global_image_index,city_key,panoid,heading,patches_a,patches_b,share_a,share_b,joint_min_share,sample_pair_score
1,1,F027,car_top_heat,F029,electric_bike_parking,38.57453798468593,0.7429280397022332,127365,110133.84518423094,55417,Brazil/SaoPaulo,SqpyBacUaKhj5PVS_D8JlQ,90.0,31,30,0.15816326530612246,0.15306122448979592,0.15306122448979592,5.904266018064173
1,2,F027,car_top_heat,F029,electric_bike_parking,38.57453798468593,0.7429280397022332,127365,110133.84518423094,171877,Malaysia/KualaLumpur,gYsflk2ov8c1zz4KRewMJg,180.0,28,32,0.14285714285714285,0.16326530612244897,0.14285714285714285,5.510648283526561
1,3,F027,car_top_heat,F029,electric_bike_parking,38.57453798468593,0.7429280397022332,127365,110133.84518423094,24957,Australia/Sydney,sbgPKtGh7RwyEjJ9_VjF5A,0.0,28,29,0.14285714285714285,0.14795918367346939,0.14285714285714285,5.510648283526561
1,4,F027,car_top_heat,F029,electric_bike_parking,38.57453798468593,0.7429280397022332,127365,110133.84518423094,364370,UnitedStates/LosAngeles,AwfCTuvZf-509lGRYEkN5Q,90.0,29,28,0.14795918367346939,0.14285714285714285,0.14285714285714285,5.510648283526561
1,5,F027,car_top_heat,F029,electric_bike_parking,38.57453798468593,0.7429280397022332,127365,110133.84518423094,340549,Turkey/Istanbul,1cJ_AUcOBbKgPaicpb0ncQ,0.0,26,27,0.1326530612244898,0.1377551020408163,0.1326530612244898,5.117030548988951
2,1,F051,zebra_crossing,F060,street_corner_shop,38.27938208364664,0.6213399503722085,22462,14933.389395435275,106377,France/Paris,4m8oNdMWy6Mk85UdmIT_fg,0.0,31,29,0.15816326530612246,0.14795918367346939,0.14795918367346939,5.663786124621186
2,2,F051,zebra_crossing,F060,street_corner_shop,38.27938208364664,0.6213399503722085,22462,14933.389395435275,127317,India/NewDelhi,WrTOgnhv9YrBoNJLC8ci1w,270.0,30,27,0.15306122448979592,0.1377551020408163,0.1377551020408163,5.273180184992138
2,3,F051,zebra_crossing,F060,street_corner_shop,38.27938208364664,0.6213399503722085,22462,14933.389395435275,214263,Peru/Lima,xtr3fb5dzcEAMuH7z9Yp_Q,0.0,27,27,0.1377551020408163,0.1377551020408163,0.1377551020408163,5.273180184992138
2,4,F051,zebra_crossing,F060,street_corner_shop,38.27938208364664,0.6213399503722085,22462,14933.389395435275,112599,France/Paris,-1s4xsVGcnNnruF2tQqLIA,180.0,28,26,0.14285714285714285,0.1326530612244898,0.1326530612244898,5.077877215177615
2,5,F051,zebra_crossing,F060,street_corner_shop,38.27938208364664,0.6213399503722085,22462,14933.389395435275,315130,Taiwan/Taipei,73TdYGq-mtUopTK7mWVh-A,270.0,25,40,0.12755102040816327,0.20408163265306123,0.12755102040816327,4.882574245363092
