global_image_index,city_key,image_index,source_image_index,pano_index,panoid,direction_index,heading,lat,lon,year,month,image_unexpected_max,image_unexpected_top3_mean,image_visual_bridge_max,image_visual_bridge_top3_mean,top_pair_index,top_pair_joint_share,top_element_a,top_element_b,top_name_a,top_name_b
218140,Peru/Lima,4030,4071,2820,NdHCs7RZpI953ueQZ3jlRw,3,270.0,-11.8312427802051,-77.16193547399668,2014,1,6.603945,3.0856125,0.019782422,0.008846455,684,0.1734694,F011,F058,road_edge,shaded alley
247935,Russia/Moscow,8371,8406,1315,F6f2LGWwm9FS2eKOx_UZzQ,0,0.0,55.84375733866165,37.67562767471812,2014,9,6.184985,3.4705856,0.016581248,0.009543786,1995,0.2244898,F057,F058,streetlight illumination,shaded alley
278113,SouthAfrica/Johannesburg,363,368,9364,F2dhiz-rtUZT38vJbQvJEQ,3,270.0,-26.23090416508617,28.1658333638046,2021,11,6.184985,3.217769,0.016581248,0.008633771,1995,0.2244898,F057,F058,streetlight illumination,shaded alley
175866,Malaysia/KualaLumpur,12648,12691,2529,FJpOXPD3Ljd17rZQghdrJA,2,180.0,2.985282241104485,101.77063956929,2014,2,6.0444174,3.1563485,0.016204402,0.008379041,1995,0.21938775,F057,F058,streetlight illumination,shaded alley
115600,India/Mumbai,1194,1331,4249,_WnnRkjiFXOepMPkUstiWQ,3,270.0,19.23259012025879,72.86368205335711,2026,4,6.0444174,2.6555712,0.016204402,0.0074423105,1995,0.21938775,F057,F058,streetlight illumination,shaded alley
56041,Brazil/SaoPaulo,5186,5196,371,EfN4fK7WScHJo0paj77A9g,2,180.0,-23.5055095432546,-46.8717254573747,2021,4,6.0444174,3.4485006,0.016204402,0.009487657,1995,0.21938775,F057,F058,streetlight illumination,shaded alley
166362,Malaysia/KualaLumpur,3144,3148,7847,eNO25X5JZpaeqHTgWTSe6g,1,90.0,3.143301697699544,101.7726226136753,2018,6,6.0212436,2.5692043,0.018036915,0.007825698,684,0.15816326,F011,F058,road_edge,shaded alley
214652,Peru/Lima,542,545,3487,rGdpie9aNat3k61FVRyMNg,2,180.0,-12.01410704180494,-77.05206407034358,2014,12,6.0212436,3.1975698,0.018036915,0.010238691,684,0.15816326,F011,F058,road_edge,shaded alley
87226,China/HongKong,10857,10943,1979,t90-6QeltyJrcwWeL3ytHg,3,270.0,22.33011038604111,114.1945611191549,2022,3,6.0212436,2.9418602,0.018036915,0.009602203,684,0.15816326,F011,F058,road_edge,shaded alley
225384,Peru/Lima,11274,11377,5144,-DPHlu7vcYWXlRBSX0G16A,1,90.0,-11.99346664738835,-76.90829757645173,2025,12,6.0212436,3.117529,0.018036915,0.009736934,684,0.15816326,F011,F058,road_edge,shaded alley
55417,Brazil/SaoPaulo,4562,4572,5166,SqpyBacUaKhj5PVS_D8JlQ,1,90.0,-23.44210207723847,-46.39093208603109,2025,1,5.9042664,2.4862175,0.016529387,0.007556625,1351,0.15306123,F027,F029,car_top_heat,electric_bike_parking
101774,Colombia/Bogota,12708,12738,529,ZiygdkP-OiSxI6VIiMuZ5Q,3,270.0,4.613281992931609,-74.18306132336022,2020,3,5.9038496,3.1878376,0.015827555,0.008487174,1995,0.21428572,F057,F058,streetlight illumination,shaded alley
279064,SouthAfrica/Johannesburg,1314,1332,9751,C9naMh9ON7OWIfuEatHSDw,1,90.0,-26.11495429413398,28.21138277943782,2017,3,5.9038496,2.96704,0.015827555,0.0076963906,1995,0.21428572,F057,F058,streetlight illumination,shaded alley
16862,Australia/Sydney,4065,4090,2477,HAoKK4rGP1Ow75QhOmEB4A,2,180.0,-33.86440330865859,151.0090828526761,2014,5,5.9038496,3.1860378,0.015827555,0.008098797,1995,0.21428572,F057,F058,streetlight illumination,shaded alley
59026,Brazil/SaoPaulo,8171,8182,9663,wEUyPlBarNDOnBxmulYZ-g,3,270.0,-23.63431669039596,-46.66903837961137,2022,3,5.8270097,3.052295,0.017455079,0.008262105,684,0.15306123,F011,F058,road_edge,shaded alley
178258,Mexico/MexicoCity,2283,2291,2,iWyIbVzv0Nh5cT4pLzbN4Q,2,180.0,19.62185327391652,-99.04393150203065,2022,1,5.8270097,2.8425386,0.017455079,0.00880921,684,0.15306123,F011,F058,road_edge,shaded alley
179639,Mexico/MexicoCity,3664,3676,8309,-8wimaLa1UtwR7Q8x1NtwA,2,180.0,19.29385642058991,-99.04136744539545,2023,4,5.763282,3.350216,0.0154507095,0.009004933,1995,0.20918368,F057,F058,streetlight illumination,shaded alley
281714,SouthAfrica/Johannesburg,3964,4020,9950,-80vrHIecNr3A9aXjwh9aQ,0,0.0,-26.02853012940438,28.19423509910192,2022,4,5.763282,3.460756,0.0154507095,0.009343535,1995,0.20918368,F057,F058,streetlight illumination,shaded alley
339100,Turkey/Istanbul,10644,10721,9124,YClc1okTrW9LTZaSBGG8MQ,0,0.0,41.0801556768315,28.97508481411507,2019,8,5.763282,2.8930557,0.0154507095,0.0076994337,1995,0.20918368,F057,F058,streetlight illumination,shaded alley
337413,Turkey/Istanbul,8957,9028,1982,7bn20ZEPRwdzeDROwBPBdA,3,270.0,40.99106038234845,29.0397323347315,2020,7,5.763282,3.9708154,0.0154507095,0.010949228,1995,0.20918368,F057,F058,streetlight illumination,shaded alley
106377,France/Paris,4541,4632,2284,4m8oNdMWy6Mk85UdmIT_fg,0,0.0,48.67073860872257,2.405837810054751,2019,7,5.663786,2.604405,0.037528332,0.017356897,1946,0.14795919,F051,F060,zebra_crossing,street_corner_shop
340363,Turkey/Istanbul,11907,11996,7923,BuCkqGoV1nStOuIJDWmKvg,2,180.0,40.81291382283495,29.41909738993634,2019,4,5.6327763,2.5286489,0.016873242,0.0074822255,684,0.14795919,F011,F058,road_edge,shaded alley
321842,Thailand/Bangkok,6168,6176,1917,ECdzO0kx2xciSxkM7FVulg,2,180.0,13.82555537057209,100.5713606286197,2017,11,5.6327763,3.722325,0.016873242,0.01055697,684,0.14795919,F011,F058,road_edge,shaded alley
133760,India/NewDelhi,7939,8572,3151,9A6rd6052iZgvSK30R_ETg,0,0.0,28.73787767350741,77.16644104489733,2025,10,5.6327763,3.3560295,0.016873242,0.009808737,684,0.14795919,F011,F058,road_edge,shaded alley
212946,Nigeria/Lagos,11572,11630,8092,P048AwAX9mES9XT5suMXbQ,3,270.0,6.566767006883346,3.321486736080231,2021,6,5.6327763,2.8820355,0.016873242,0.008150508,684,0.14795919,F011,F058,road_edge,shaded alley
362607,UnitedStates/LosAngeles,8842,8913,9843,4RGW7h0wx7fG9MwMLR5etw,0,0.0,34.09673627570042,-117.6882653148908,2025,9,5.6327763,2.8793495,0.016873242,0.008990784,684,0.14795919,F011,F058,road_edge,shaded alley
280370,SouthAfrica/Johannesburg,2620,2653,5047,C5q4fePOJyKNsQIG5hve_A,2,180.0,-26.11740429305608,28.2138107754604,2022,3,5.622714,2.885027,0.015073863,0.007365348,1995,0.20408164,F057,F058,streetlight illumination,shaded alley
126112,India/NewDelhi,291,313,6935,I38OX-3sCChCkMQLb1hMzQ,1,90.0,28.43092292691769,77.3287442056048,2026,4,5.622714,2.4131165,0.015073863,0.0064620166,1995,0.20408164,F057,F058,streetlight illumination,shaded alley
165436,Malaysia/KualaLumpur,2218,2221,4056,y5u9DR5jXDzaBs2786OLwg,2,180.0,3.173113048115416,101.5394889380592,2019,5,5.622714,2.663517,0.015073863,0.007151664,1995,0.20408164,F057,F058,streetlight illumination,shaded alley
364370,UnitedStates/LosAngeles,10605,10688,8341,AwfCTuvZf-509lGRYEkN5Q,1,90.0,33.89498507657242,-118.0956787718908,2020,12,5.5106487,4.223349,0.015427428,0.011162392,1351,0.14285715,F027,F029,car_top_heat,electric_bike_parking
24957,Australia/Sydney,12160,12223,2078,sbgPKtGh7RwyEjJ9_VjF5A,0,0.0,-33.78251126370012,150.9741692718284,2020,10,5.5106487,3.5272963,0.015427428,0.009406582,1351,0.14285715,F027,F029,car_top_heat,electric_bike_parking
171877,Malaysia/KualaLumpur,8659,8685,3036,gYsflk2ov8c1zz4KRewMJg,2,180.0,3.170230425695349,101.5805614425997,2016,5,5.5106487,2.8312438,0.015427428,0.00785268,1351,0.14285715,F027,F029,car_top_heat,electric_bike_parking
90059,Colombia/Bogota,993,996,5580,vp_F0zaJCUxOP3OY6iwbSQ,0,0.0,4.604538876342056,-74.08102628333964,2025,4,5.482146,2.616773,0.014697015,0.0066808886,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
216203,Peru/Lima,2093,2114,4475,nC1lV5wVy2CQ8CoKIYDF4g,1,90.0,-11.87327686464892,-77.06555991708325,2013,12,5.482146,2.942735,0.014697015,0.0073862243,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
332183,Turkey/Istanbul,3727,3757,8759,Sxw44w1BlKPt35qVoRUeTw,0,0.0,41.02392430502687,28.62394711251902,2014,5,5.482146,3.0812194,0.014697015,0.008463562,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
126848,India/NewDelhi,1027,1094,801,wqIr6Iznf4GVIptRJCtH5A,2,180.0,28.71436757462021,77.05484369865209,2026,3,5.482146,3.0877001,0.014697015,0.008484748,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
100665,Colombia/Bogota,11599,11626,4436,nrBiOF1fzwmk3-LE8G-V7w,1,90.0,4.684363311698762,-74.08139994209273,2022,11,5.482146,2.535843,0.014697015,0.0064535174,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
284674,SouthAfrica/Johannesburg,6924,7035,4430,PmDgiaJvqxvC2C_9n5eEYg,0,0.0,-26.11786588953088,28.10027452265669,2013,9,5.482146,3.112014,0.014697015,0.0082143,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
176784,Mexico/MexicoCity,809,812,7571,MPZbifhY66GKv56cC9maIA,0,0.0,19.39787064073028,-99.10992580740626,2019,8,5.482146,2.5458863,0.014697015,0.0068155327,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
15788,Australia/Sydney,2991,3006,9250,5GDviAF5QJCl7XaaLjHGUg,2,180.0,-33.74383464680859,150.8084434552806,2019,2,5.482146,3.3057368,0.014697015,0.0089122495,1995,0.19897959,F057,F058,streetlight illumination,shaded alley
207779,Nigeria/Lagos,6405,6443,2778,lbSwWJOdrxQ6svUBwrh_rg,0,0.0,6.730911769652165,3.216996355330772,2024,3,5.438543,2.656542,0.016291408,0.0077738524,684,0.14285715,F011,F058,road_edge,shaded alley
