dimension_id,dimension,profile_top_images,profile_top_patches,high_activation_threshold,mean_selected_activation,selected_image_count,selected_city_count,top1_class_id,top1_class,top1_share,top1_lift_vs_global,top2_class_id,top2_class,top2_share,top3_class_id,top3_class,top3_individual_share,top3_cumulative_share,semantic_specificity,js_divergence_vs_global,row_entropy_normalized,column_entropy_normalized,row_peak_lift,column_peak_lift,seam_share,seam_lift,assessment
0,D000,50,1000,2.4960938,2.7254825,50,13,29,Terrain,0.45317524909973145,13.39579272793364,30,Vegetation,0.36591496229171755,17,Building,0.06496252632141113,0.8840527377128601,0.6740923467718198,0.45008827890003833,0.33367018190040687,0.842200915519825,6.6499999999999995,3.696,0.07899999999999999,0.5529999999999999,coherent_semantic_mixture
1,D001,50,1000,2.1835938,2.4102929,50,14,30,Vegetation,0.6417384028434754,3.8697765481726907,29,Terrain,0.09278968667984008,17,Building,0.07782960891723632,0.8123576984405518,0.6464920869466997,0.281137782366232,0.307307416161355,0.9185904044505336,8.344,3.136,0.248,1.736,clear_single_semantic
2,D002,50,1000,2.9121094,3.2242188,50,12,30,Vegetation,0.947324462890625,5.712505241639059,27,Sky,0.05010595607757568,50,Traffic Sign (Front),0.0011541748046875,0.9985845937728882,0.9473902360396248,0.5578298746532306,0.49639489488570854,0.8695459346779352,5.488,3.64,0.049,0.343,clear_single_semantic
3,D003,50,1000,2.0527344,2.2642305,50,5,17,Building,0.9635724792480469,6.483021696161189,30,Vegetation,0.0236044921875,6,Wall,0.00734092664718628,0.9945178980827333,0.9540516479030096,0.6095969430505254,0.6497995669718546,0.6240784715009758,4.354,8.68,0.012,0.084,clear_single_semantic
4,D004,50,1000,1.9589844,2.1521933,50,10,30,Vegetation,0.8840250096321106,5.33080026863669,17,Building,0.09269927072525025,61,Truck,0.0159677734375,0.9926920537948608,0.8944698051356536,0.5280713955024059,0.5373915700376065,0.9528092397791623,5.054,2.3520000000000003,0.12499999999999999,0.875,clear_single_semantic
5,D005,50,1000,2.1308594,2.3632948,50,7,17,Building,0.6311858806610108,4.246688076676131,27,Sky,0.24650453662872315,30,Vegetation,0.11603689098358154,0.9937273082733155,0.7784826010202939,0.3321844205709059,0.4455083993690159,0.8762774733272015,6.58,3.7520000000000002,0.035,0.24500000000000002,clear_single_semantic
6,D006,50,1000,1.3496094,1.6389062,50,15,13,Road,0.5620004115104675,2.5499931655899153,17,Building,0.14429666423797607,15,Sidewalk,0.08073550987243652,0.7870325856208801,0.601421552136874,0.2999606748813442,0.3781731242425915,0.9555500430723219,10.612,2.184,0.199,1.3930000000000002,clear_single_semantic
7,D007,50,1000,1.8261719,2.0818818,50,18,55,Car,0.774192626953125,31.267685770914234,13,Road,0.09840694427490235,27,Sky,0.07074371337890625,0.9433432846069336,0.7919702467352974,0.6009620144422156,0.6398412092439361,0.8544156802623692,4.494,3.64,0.056999999999999995,0.39899999999999997,clear_single_semantic
8,D008,50,1000,2.8320312,3.058078,50,16,30,Vegetation,0.99678857421875,6.01078107669216,47,Utility Pole,0.001776458740234375,27,Sky,0.0008918352127075196,0.9994568681716919,0.9939287567955422,0.6468149852110501,0.7089561624784301,0.8339820398767589,3.4859999999999998,3.9200000000000004,0.186,1.302,clear_single_semantic
9,D009,50,1000,2.5976562,2.80275,50,9,27,Sky,0.9763983726501465,3.851185089071181,30,Vegetation,0.009839097023010253,17,Building,0.00675902795791626,0.992996497631073,0.9657926680285369,0.49398309903496285,0.4752076715997497,0.7372052856322094,5.53,6.888,0.126,0.882,clear_single_semantic
10,D010,50,1000,2.4746094,2.6579823,50,13,27,Sky,0.9849369506835938,3.884863601167663,30,Vegetation,0.008176280975341796,3,Fence,0.00252392578125,0.9956371574401857,0.9762675264177405,0.5092431539516986,0.5777982573386883,0.6221217986577205,4.2,8.512,0.016,0.112,clear_single_semantic
11,D011,50,1000,2.7675781,2.9556758,50,19,30,Vegetation,0.46899133682250976,2.8280864422174417,17,Building,0.46720219898223875,16,Bridge,0.044449462890625,0.9806429986953735,0.7720659571107142,0.4460348967520995,0.5903953749019784,0.7227950362969537,3.878,6.44,0.085,0.5950000000000001,coherent_semantic_mixture
12,D012,50,1000,1.8300781,2.005874,50,14,27,Sky,0.9180148296356201,3.6209042563671976,17,Building,0.051517373085021974,30,Vegetation,0.019099156379699708,0.9886313591003418,0.9102248906586414,0.4112418560423063,0.5626281051249061,0.7637563095038297,4.368,7.6160000000000005,0.036,0.252,clear_single_semantic
13,D013,50,1000,2.4980469,2.694625,50,18,30,Vegetation,0.7847317123413086,4.732047145020984,13,Road,0.12033213806152344,23,Lane Marking - Crosswalk,0.02772020435333252,0.9327840547561645,0.7854762852357315,0.4177410364456279,0.8697626178012975,0.7414736743547478,2.9539999999999997,9.184000000000001,0.396,2.7720000000000002,clear_single_semantic
14,D014,50,1000,2.2304688,2.439248,50,14,27,Sky,0.46788564014434814,1.8454703030932664,17,Building,0.43471704864501953,30,Vegetation,0.039208919525146484,0.9418116083145142,0.7447241933521522,0.3116100916173382,0.6371935464654856,0.8569808378153995,3.878,4.928,0.30600000000000005,2.1420000000000003,coherent_semantic_mixture
15,D015,50,1000,3.0996094,3.3979628,50,6,30,Vegetation,0.5122332410812378,3.088841457434396,17,Building,0.23605417346954347,3,Fence,0.07910446357727051,0.8273918781280518,0.6205669821205588,0.27606511741073586,0.40457216190116735,0.7773172976039167,8.036,5.936,0.026000000000000002,0.18200000000000002,coherent_semantic_mixture
16,D016,50,1000,2.4121094,2.7057831,50,18,55,Car,0.45689719772338866,18.45292438943773,17,Building,0.14172031688690184,13,Road,0.0999739236831665,0.698591438293457,0.5392599276025549,0.40360384939885174,0.3895459301298256,0.9339463808379748,8.442,3.192,0.191,1.3370000000000002,low_mapillary_specificity
17,D017,50,1000,2.046875,2.3527286,50,13,30,Vegetation,0.5777665405273438,3.4840168500823157,27,Sky,0.3905295777320862,16,Bridge,0.015,0.98329611825943,0.80131931896227,0.36737502837829783,0.4891117423099281,0.7900973438998015,6.482,5.6000000000000005,0.105,0.735,clear_single_semantic
18,D018,50,1000,2.2578125,2.482586,50,24,61,Truck,0.3946954174041748,119.97676117369245,17,Building,0.2385102982521057,55,Car,0.1493187837600708,0.7825244994163513,0.5894911967458907,0.627394660072351,0.5658376104464635,0.7820430048657575,4.69,4.5360000000000005,0.196,1.372,coherent_semantic_mixture
19,D019,50,1000,2.7929688,3.092492,50,15,27,Sky,0.5715476522445678,2.2543419342697018,13,Road,0.3781409912109375,24,Lane Marking - General,0.018348445892333986,0.9680370893478394,0.7807987522862033,0.29672466123305263,0.6584498502521854,0.8073144524607159,4.242,4.928,0.10899999999999999,0.7629999999999999,clear_single_semantic
20,D020,50,1000,3.2265625,3.521215,50,9,17,Building,0.4684899682998657,3.1520520711551376,16,Bridge,0.3700396728515625,27,Sky,0.11180492782592774,0.950334568977356,0.7109016476850132,0.512680289564764,0.5252006354761308,0.8092456669496713,5.656000000000001,5.6000000000000005,0.313,2.1910000000000003,coherent_semantic_mixture
21,D021,50,1000,3.0488281,3.4423184,50,19,30,Vegetation,0.8882924194335937,5.356533374678108,61,Truck,0.038234375,17,Building,0.03392665100097656,0.9604534454345703,0.8700109445190387,0.5343656283274953,0.6773002779034218,0.7853988172877416,3.542,5.6000000000000005,0.368,2.576,clear_single_semantic
22,D022,50,1000,1.7851562,2.0280087,50,13,30,Vegetation,0.9096615753173828,5.485392514051606,17,Building,0.030263333797454835,13,Road,0.019739027976989745,0.9596639370918274,0.8870850487621681,0.49827252552813694,0.6487438845065733,0.8582204647845082,4.1579999999999995,4.648000000000001,0.24200000000000002,1.6940000000000002,clear_single_semantic
23,D023,50,1000,2.0371094,2.1911368,50,14,30,Vegetation,0.7531643028259277,4.541691042771358,29,Terrain,0.1283220901489258,17,Building,0.07472751045227051,0.9562139034271241,0.7952712662984047,0.4748267150474513,0.5840308208881722,0.9375739437311914,5.026,3.136,0.263,1.8410000000000002,clear_single_semantic
24,D024,50,1000,1.8964844,2.1084287,50,18,29,Terrain,0.14130076026916505,4.17682938471473,15,Sidewalk,0.11188427972793578,17,Building,0.11015267324447632,0.36333771324157715,0.32286545060268257,0.3254985723246492,0.7288553254969502,0.7506051095601924,4.088,5.152,0.088,0.616,low_mapillary_specificity
25,D025,50,1000,2.9335938,3.198707,50,18,16,Bridge,0.6517137298583985,109.43657169687347,17,Building,0.17586865615844727,6,Wall,0.03635001564025879,0.8639324016571045,0.6779371049212701,0.5893766645671816,0.6951761906085364,0.8218609299342736,4.62,5.768,0.198,1.3860000000000001,clear_single_semantic
26,D026,50,1000,1.5175781,1.7470752,50,19,13,Road,0.33800582885742186,1.533651107477751,55,Car,0.24501726388931275,64,Ego Vehicle,0.1495561475753784,0.732579240322113,0.5466827347641541,0.5156945331550471,0.3513962087620307,0.9331825220390985,9.422,2.856,0.162,1.1340000000000001,spatial_artifact_candidate
27,D027,50,1000,2.1601562,2.391623,50,7,30,Vegetation,0.97563671875,5.883232290643788,29,Terrain,0.017,27,Sky,0.006070557117462158,0.9987072758674622,0.9678039016679807,0.6119353706372183,0.5229181474233529,0.662808869701459,5.614000000000001,8.064,0.017,0.11900000000000001,clear_single_semantic
28,D028,50,1000,2.3125,2.4704552,50,18,30,Vegetation,0.8734391593933105,5.2669660414577235,29,Terrain,0.05908454942703247,3,Fence,0.058994836807250976,0.9915185456275939,0.8780898253792468,0.5711624792169272,0.4901921773140813,0.8901919686400807,6.09,3.64,0.092,0.644,clear_single_semantic
29,D029,50,1000,2.7695312,2.930207,50,11,13,Road,0.8312562866210937,3.771701597229098,26,Sand,0.13763594055175782,31,Water,0.02,0.9888922271728515,0.8667928755657701,0.5671145562675561,0.5083426105140046,0.9158991137504673,4.928,3.64,0.176,1.232,clear_single_semantic
30,D030,50,1000,1.9814453,2.1241455,50,11,13,Road,0.8449109611511231,3.833657649247542,64,Ego Vehicle,0.04581254577636719,24,Lane Marking - General,0.0375714373588562,0.9282949442863464,0.8259112544056108,0.5287317601976977,0.32656941537451323,0.8438737008803678,8.568,4.760000000000001,0.10700000000000001,0.7490000000000001,clear_single_semantic
31,D031,50,1000,3.6875,3.9845781,50,17,13,Road,0.47699861955642703,2.1643101943566068,5,Barrier,0.26533676862716676,2,Curb,0.07302970409393311,0.8153650922775268,0.6239598808386171,0.5162278639114363,0.31534379201618123,0.7997721340510534,9.030000000000001,4.872,0.14700000000000002,1.0290000000000001,coherent_semantic_mixture
